"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"1","Cst3",6021.24176904089,0.917989956174192,33.4947064872819,5.75565820791069e-246,1.09754646366649e-241,0.762580966616841,0.577060931899642,"SD6h ZT0-ZT6","ZT6"
"2","Gm47283",531.55278912864,4.07131348054812,32.7251079709846,6.86396619939977e-235,6.54444857281771e-231,0.189669490117921,0.0153609831029186,"SD6h ZT0-ZT6","ZT6"
"3","Ptgds",4831.93174408804,1.06915667367457,31.6189315099097,2.0282539605451e-219,1.28922582578782e-215,0.606543763494436,0.403481822836662,"SD6h ZT0-ZT6","ZT6"
"4","Rn18s-rs5",64263.7550777788,-0.413132883576783,-24.9636456315977,1.51823110307728e-137,7.23778722614516e-134,0.998754359740907,0.999743983614951,"SD6h ZT0-ZT6","ZT6"
"5","Apoe",3731.24792820966,0.854096174513099,22.6911384587413,5.48007983837985e-114,2.08999284876131e-110,0.560953330011626,0.401092336576208,"SD6h ZT0-ZT6","ZT6"
"6","Kcnma1",19613.7990666248,-0.444993980085634,-22.5770901325929,7.27858689063852e-113,2.31325622362643e-109,0.641338648065105,0.728707970643454,"SD6h ZT0-ZT6","ZT6"
"7","Snhg11",67689.233426009,-0.350404633192524,-22.312899462421,2.76949257338029e-110,7.5444934116841e-107,0.706361069589769,0.79621095750128,"SD6h ZT0-ZT6","ZT6"
"8","Trpm3",4512.15985167949,0.658856700002098,20.5279181501267,1.21259844774868e-93,2.89037997501495e-90,0.305098820793888,0.288530465949821,"SD6h ZT0-ZT6","ZT6"
"9","Cmss1",3640.75192718537,-0.629813523899561,-19.5341011726149,5.63288532313752e-85,1.19348322474344e-81,0.481232353429663,0.658644819935143,"SD6h ZT0-ZT6","ZT6"
"10","Sgcz",32246.0874639811,-0.384765230970992,-18.1392222026365,1.56226445245019e-73,2.97908208437727e-70,0.536289652881581,0.656084656084656,"SD6h ZT0-ZT6","ZT6"
