"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"1","Rn18s-rs5",61853.8946097548,-0.549838325574983,-42.1423907773586,0,0,0.999307659022068,0.999743983614951,"SD3D R7","ZT6"
"2","Qki",7595.39886510992,0.740855583276885,28.376407182821,3.95401561626865e-177,3.50760725319192e-173,0.674080484638685,0.565198839392388,"SD3D R7","ZT6"
"3","mt-Cytb",6791.75759747536,-0.703323647685289,-27.4746853493741,3.52394506794934e-166,2.08406111318524e-162,0.513630463003029,0.629288274449565,"SD3D R7","ZT6"
"4","Cst3",5559.71709104761,0.734722991766042,27.4213170867867,1.52773672732751e-165,6.77627625406118e-162,0.705581999134574,0.577060931899642,"SD3D R7","ZT6"
"5","mt-Rnr1",6943.72066367873,-0.757791930395158,-26.9937408836406,1.75037028764198e-160,6.21101392866882e-157,0.532323669407183,0.662143710530807,"SD3D R7","ZT6"
"6","mt-Rnr2",10787.8542795974,-0.605769784414982,-25.9900096160543,6.42309684285458e-149,1.8993097364321e-145,0.671224578104717,0.775302952722308,"SD3D R7","ZT6"
"7","Homer1",3591.64904651994,-0.754783478701705,-23.5032834870799,3.77530197775266e-122,9.56877252704111e-119,0.363652098658589,0.466120498378563,"SD3D R7","ZT6"
"8","mt-Nd2",4113.83475366619,-0.769179123099269,-23.0447612087933,1.66004089687141e-117,3.68155569903657e-114,0.396105581999135,0.528247141150367,"SD3D R7","ZT6"
"9","Slc1a3",2623.39578697026,0.839913366090488,20.9609249724606,1.49160332757353e-97,2.94044735975663e-94,0.220164430982259,0.161119644990613,"SD3D R7","ZT6"
"10","1700016P03Rik",523.196685083316,-1.72481646073116,-20.0126334434998,4.27458942952918e-89,7.58397656587067e-86,0.0549545651233232,0.143027820447175,"SD3D R7","ZT6"
"11","mt-Nd4",3158.89240652257,-0.712673290848939,-19.4735197093599,1.84171297097815e-84,2.97051559373585e-81,0.358286456079619,0.470814132104455,"SD3D R7","ZT6"
"12","mt-Nd1",4464.32084460612,-0.638088145265267,-19.3015258475538,5.21464367282121e-83,7.70985067026616e-80,0.418866291648637,0.521932070319167,"SD3D R7","ZT6"
