"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SD3D_1_FC_clean_L009","SD3D_2_FC_clean_L010","SD3D_3_FC_clean_L011","SD3D_4_FC_clean_L012","R7_1_FC_clean_L013","R7_2_FC_clean_L014","R7_3_FC_clean_L015","R7_4_FC_clean_L016"
"1","ENSMUSG00000053414.9",282.015102012063,-0.876433002472053,0.109482635523316,-8.00522382643416,1.1924957136157e-15,1.86053181238321e-11,383.643817686868,368.053620397924,347.291312885769,339.77079520282,244.11799589125,224.134123928009,279.203397040237,262.853883189022,218.604794653907,184.845263588006,197.762819248005,183.138396903074,345.743872460223,332.761273590101,309.815182255365,290.501083272433
"2","ENSMUSG00000037112.17",176.071395938711,0.907170066256635,0.13431369130723,6.75411462098504,1.43710108149766e-11,1.12108255367633e-07,102.228442437519,125.676845989535,113.023800051582,99.3349833151103,219.138480032611,208.266221349035,187.193186651977,195.086866429352,205.262717984889,215.488061295109,222.59815003729,185.927306500583,177.494180514339,208.568319629123,160.014434791232,191.840338010097
"3","ENSMUSG00000024222.18",350.50812388948,0.998417496635295,0.162752584536389,6.13457229867869,8.53886049549593e-10,4.44077671502425e-06,240.064544600465,203.77602885446,243.51491465659,259.625524573584,412.162011667553,493.888467770569,372.271196053649,457.940749618374,393.078104941062,349.920980268204,619.04361559957,526.174277396649,246.827844777753,265.450588618884,298.750354317673,225.640778516638
"4","ENSMUSG00000031431.14",749.021288121874,0.845228086063346,0.145860678839132,5.79476314514852,6.84176697744425e-09,2.66863120955213e-05,393.981525349089,574.522724523589,581.558825719957,698.731303091514,853.845269349861,934.2227643371,759.348632859432,923.068910105197,834.392948608573,937.076523430105,1092.75455472851,1175.99021361619,610.13624551804,582.095219328554,543.878850168072,488.7360992162
"5","ENSMUSG00000038894.8",388.365344903509,0.751415171540749,0.134515590618482,5.58608238707391,2.32249088718339e-08,6.03925047030588e-05,240.064544600465,291.749821047135,338.043911063367,353.31647474579,331.546301396489,399.67279620791,337.370771423619,477.449436261309,488.525268804036,457.665010915758,539.018660834098,573.585740554298,339.272730462304,340.34557612207,348.11650973199,358.101964285515
"6","ENSMUSG00000050211.15",233.656130578961,-0.871974386572032,0.155516728425534,-5.60694913916968,2.05924141160605e-08,6.03925047030588e-05,377.900646763412,359.076702827243,288.724434677222,256.239104687841,204.377857025233,184.464367480574,189.308363902282,139.641125444168,182.683819006551,162.110284644027,179.366277922609,176.630941175554,285.654696765264,255.022172637428,294.494651264715,202.802643039246
"7","ENSMUSG00000031853.6",78.0270187934119,-1.14395479467922,0.208531968945204,-5.48575261848612,4.11712727319958e-08,8.77738822116911e-05,149.322444009859,117.597620175922,111.996310960204,90.3045302864639,62.4487896465989,65.4550981382681,75.0887923858212,58.5260599288056,50.2893659062978,60.2971180688148,52.4301427773782,49.2707362226544,88.7470902571695,51.1940420907848,73.1980925108829,92.2660673286658
"8","ENSMUSG00000055866.10",609.349516066479,0.811389255737703,0.148334727803765,5.469988503374,4.50064772268638e-08,8.77738822116911e-05,433.035087628591,435.380502178032,401.748234728804,627.616485490924,690.342983729675,655.542725293867,596.47998458596,486.690393092173,677.366969350133,778.92014816764,875.675367088842,994.711089778118,498.277933839733,540.381555402729,566.859646654047,490.563150054391
"9","ENSMUSG00000026814.17",454.895677615469,-0.779099009079135,0.143250913947857,-5.43870183866838,5.36701850942296e-08,9.30402475377967e-05,712.153194508558,535.92197896966,477.782427490777,484.258043661163,443.954122760367,406.615003586211,444.187222564013,331.647672929898,340.736111854916,326.197523978834,307.222240134111,313.287511453482,420.62422986471,586.835408411034,554.943678105764,591.964471574014
"10","ENSMUSG00000090061.10",595.045247526116,-0.55240199906677,0.102701685548479,-5.37870431353354,7.50238084344381e-08,0.00011705214591941,768.436269558428,671.473434286944,699.720071228429,680.670397034222,568.851702053565,573.227980665439,593.307218710503,504.145533772694,483.393700854413,458.653488261149,522.461773641242,457.381173991434,631.398569225487,561.238387365641,588.138161918838,758.226097849432
"11","ENSMUSG00000042834.16",405.16878472497,-0.622214323892937,0.117445088744023,-5.29791692906871,1.17131229190374e-07,0.000166134676166201,534.114895881418,547.591971811545,540.459262064836,412.014419431991,372.421872801535,343.143393270315,401.883677557916,344.995721685591,338.683484675067,293.577771580951,309.98172133292,380.221341793692,464.073326136449,418.084677074743,405.994071252223,375.458947248333
"12","ENSMUSG00000030103.12",1309.25664260069,0.708721928150912,0.136280305998508,5.2004720928545,1.98782965861432e-07,0.000258450986114171,704.112755215719,1080.82087551,1214.49210600881,1140.09469486661,994.638904189466,1231.74593769286,1221.51486205104,1294.76072930217,1594.89131874259,1596.39091280551,1882.88600465426,1693.79776222031,1179.59674133488,1397.40774151513,1439.2787725105,1281.67616299127
"13","ENSMUSG00000048458.9",1368.40562723177,0.520105845742299,0.102432546078565,5.07754483954135,3.8234329228165e-07,0.000458870772782947,912.01554264483,1227.1446319121,1355.2581115276,1252.97535772469,1205.82935644887,1198.02664471254,1249.012166305,1316.32296190752,1694.44373696526,1590.46004873316,1804.70070402133,1721.6868581954,1257.2504453099,1465.66646430284,1284.37118138282,1359.3258236144
"14","ENSMUSG00000020785.18",1776.1241172338,0.482955839438498,0.0955131603903895,5.05643240642986,4.27172176720512e-07,0.000476052878656674,1366.87467978255,1563.77904081264,1533.013724336,1640.1560313279,1712.23226885584,1715.71696635157,1678.39314811688,1555.56106652878,2035.17984882017,1950.26580245527,2316.12455286734,2229.26840494199,1475.42037552544,1866.68646068065,1993.37131000567,1785.9421943321
