"","Package","Version"
"abind","abind","1.4-5"
"ade4","ade4","1.7-22"
"airway","airway","1.18.0"
"akima","akima","0.6-3.4"
"ALL","ALL","1.40.0"
"amap","amap","0.8-19"
"annotate","annotate","1.76.0"
"AnnotationDbi","AnnotationDbi","1.60.2"
"AnnotationFilter","AnnotationFilter","1.22.0"
"AnnotationForge","AnnotationForge","1.40.2"
"anytime","anytime","0.3.9"
"ape","ape","5.7-1"
"apeglm","apeglm","1.20.0"
"aplot","aplot","0.2.1"
"arrow","arrow","13.0.0.1"
"askpass","askpass","1.2.0"
"assertthat","assertthat","0.2.1"
"AUCell","AUCell","1.20.2"
"babelgene","babelgene","22.9"
"babelwhale","babelwhale","1.2.0"
"backports","backports","1.4.1"
"base64enc","base64enc","0.1-3"
"bbmle","bbmle","1.0.25"
"bdsmatrix","bdsmatrix","1.3-6"
"beachmat","beachmat","2.14.2"
"beeswarm","beeswarm","0.4.0"
"BH","BH","1.84.0-0"
"Biobase","Biobase","2.58.0"
"BiocFileCache","BiocFileCache","2.6.1"
"BiocGenerics","BiocGenerics","0.44.0"
"BiocIO","BiocIO","1.8.0"
"BiocManager","BiocManager","1.30.22"
"BiocNeighbors","BiocNeighbors","1.16.0"
"BiocParallel","BiocParallel","1.32.6"
"BiocSingular","BiocSingular","1.14.0"
"BiocVersion","BiocVersion","3.16.0"
"biocViews","biocViews","1.66.3"
"biomaRt","biomaRt","2.54.1"
"Biostrings","Biostrings","2.66.0"
"BioVenn","BioVenn","1.1.3"
"bit","bit","4.0.5"
"bit64","bit64","4.0.5"
"bitops","bitops","1.0-7"
"bladderbatch","bladderbatch","1.36.0"
"blob","blob","1.2.4"
"bluster","bluster","1.8.0"
"brew","brew","1.0-8"
"brio","brio","1.1.3"
"broom","broom","1.0.5"
"broom.mixed","broom.mixed","0.2.9.4"
"bslib","bslib","0.6.1"
"BUSseq","BUSseq","1.4.2"
"ca","ca","0.71.1"
"cachem","cachem","1.0.8"
"Cairo","Cairo","1.6-1"
"calibrate","calibrate","1.7.7"
"callr","callr","3.7.3"
"car","car","3.1-2"
"carData","carData","3.0-5"
"caret","caret","6.0-94"
"carrier","carrier","0.1.1"
"CATALYST","CATALYST","1.22.0"
"Category","Category","2.64.0"
"caTools","caTools","1.18.2"
"cellranger","cellranger","1.1.0"
"Cepo","Cepo","1.4.0"
"checkmate","checkmate","2.3.1"
"ChemmineR","ChemmineR","3.50.0"
"chemodiv","chemodiv","0.3.0"
"circlize","circlize","0.4.15"
"CiteFuse","CiteFuse","1.10.0"
"classyfireR","classyfireR","0.3.8"
"cli","cli","3.6.1"
"clipr","clipr","0.8.0"
"clisymbols","clisymbols","1.2.0"
"clock","clock","0.7.0"
"clue","clue","0.3-65"
"clusterGeneration","clusterGeneration","1.3.8"
"clusterProfiler","clusterProfiler","4.6.2"
"clusteval","clusteval","0.2.1"
"coda","coda","0.19-4"
"colorRamps","colorRamps","2.3.1"
"colorspace","colorspace","2.1-0"
"combinat","combinat","0.0-8"
"commonmark","commonmark","1.9.0"
"ComplexHeatmap","ComplexHeatmap","2.14.0"
"conflicted","conflicted","1.2.0"
"ConsensusClusterPlus","ConsensusClusterPlus","1.62.0"
"corpcor","corpcor","1.6.10"
"corrplot","corrplot","0.92"
"cowplot","cowplot","1.1.1"
"cpp11","cpp11","0.4.6"
"crayon","crayon","1.5.2"
"credentials","credentials","2.0.1"
"crosstalk","crosstalk","1.2.1"
"curl","curl","5.0.2"
"cytolib","cytolib","2.10.1"
"data.table","data.table","1.14.10"
"data.tree","data.tree","1.0.0"
"DBI","DBI","1.1.3"
"dbplyr","dbplyr","2.3.4"
"dbscan","dbscan","1.1-11"
"DDRTree","DDRTree","0.1.5"
"DelayedArray","DelayedArray","0.24.0"
"DelayedMatrixStats","DelayedMatrixStats","1.20.0"
"deldir","deldir","1.0-9"
"DElegate","DElegate","1.1.0"
"dendextend","dendextend","1.17.1"
"densEstBayes","densEstBayes","1.0-2.2"
"desc","desc","1.4.3"
"DescTools","DescTools","0.99.50"
"DESeq2","DESeq2","1.38.3"
"deSolve","deSolve","1.38"
"devtools","devtools","2.4.5"
"diagram","diagram","1.6.5"
"diffobj","diffobj","0.3.5"
"digest","digest","0.6.33"
"diptest","diptest","0.76-0"
"DirichletMultinomial","DirichletMultinomial","1.40.0"
"dirmult","dirmult","0.1.3-5"
"distr","distr","2.9.2"
"docopt","docopt","0.7.1"
"doMC","doMC","1.3.5"
"doParallel","doParallel","1.0.17"
"DOSE","DOSE","3.24.2"
"doSNOW","doSNOW","1.0.20"
"dotCall64","dotCall64","1.1-1"
"downlit","downlit","0.4.3"
"downloader","downloader","0.4"
"dplyr","dplyr","1.1.4"
"dqrng","dqrng","0.3.1"
"drc","drc","3.0-1"
"DropletUtils","DropletUtils","1.18.1"
"DT","DT","0.31"
"dtplyr","dtplyr","1.3.1"
"dynamicTreeCut","dynamicTreeCut","1.63-1"
"dyndimred","dyndimred","1.0.4"
"dynfeature","dynfeature","1.0.1"
"dynguidelines","dynguidelines","1.0.1"
"dynmethods","dynmethods","1.0.5.9000"
"dyno","dyno","0.1.2"
"dynparam","dynparam","1.0.2"
"dynplot","dynplot","1.1.2"
"dynutils","dynutils","1.0.11"
"dynwrap","dynwrap","1.2.4"
"e1071","e1071","1.7-13"
"edgeR","edgeR","3.40.2"
"egg","egg","0.4.5"
"ellipse","ellipse","0.5.0"
"ellipsis","ellipsis","0.3.2"
"emdbook","emdbook","1.3.13"
"emmeans","emmeans","1.8.8"
"enrichplot","enrichplot","1.18.4"
"EnsDb.Hsapiens.v79","EnsDb.Hsapiens.v79","2.99.0"
"ensembldb","ensembldb","2.22.0"
"equatiomatic","equatiomatic","0.3.1"
"estimability","estimability","1.4.1"
"eulerr","eulerr","7.0.0"
"evaluate","evaluate","0.23"
"eVenn","eVenn","2.4"
"Exact","Exact","3.2"
"expm","expm","0.999-7"
"factoextra","factoextra","1.0.7"
"FactoMineR","FactoMineR","2.8"
"fansi","fansi","1.0.6"
"farver","farver","2.1.1"
"fastICA","fastICA","1.2-4"
"fastmap","fastmap","1.1.1"
"fastmatch","fastmatch","1.1-4"
"fBasics","fBasics","4022.94"
"FD","FD","1.0-12.1"
"fgsea","fgsea","1.24.0"
"filelock","filelock","1.0.2"
"fitdistrplus","fitdistrplus","1.1-11"
"flashClust","flashClust","1.01-2"
"flowCore","flowCore","2.10.0"
"FlowSOM","FlowSOM","2.6.0"
"fmcsR","fmcsR","1.40.0"
"FNN","FNN","1.1.3.2"
"fontawesome","fontawesome","0.5.2"
"forcats","forcats","1.0.0"
"foreach","foreach","1.5.2"
"formatR","formatR","1.14"
"Formula","Formula","1.2-5"
"fs","fs","1.6.3"
"furrr","furrr","0.3.1"
"futile.logger","futile.logger","1.4.3"
"futile.options","futile.options","1.0.1"
"future","future","1.33.0"
"future.apply","future.apply","1.11.0"
"GA","GA","3.2.4"
"gam","gam","1.22-3"
"gargle","gargle","1.5.2"
"gclus","gclus","1.3.2"
"geiger","geiger","2.0.11"
"genefilter","genefilter","1.80.3"
"geneplotter","geneplotter","1.76.0"
"generics","generics","0.1.3"
"GENIE3","GENIE3","1.20.0"
"GenomeInfoDb","GenomeInfoDb","1.34.9"
"GenomeInfoDbData","GenomeInfoDbData","1.2.9"
"GenomicAlignments","GenomicAlignments","1.34.1"
"GenomicFeatures","GenomicFeatures","1.50.4"
"GenomicRanges","GenomicRanges","1.50.2"
"GenSA","GenSA","1.1.10.1"
"geometry","geometry","0.4.7"
"gert","gert","2.0.0"
"getopt","getopt","1.20.4"
"GetoptLong","GetoptLong","1.0.5"
"ggbeeswarm","ggbeeswarm","0.7.2"
"ggdendro","ggdendro","0.1.23"
"ggforce","ggforce","0.4.1"
"ggfun","ggfun","0.1.3"
"ggnewscale","ggnewscale","0.4.9"
"ggplot2","ggplot2","3.4.4"
"ggplotify","ggplotify","0.1.2"
"ggprism","ggprism","1.0.5"
"ggpubr","ggpubr","0.6.0"
"ggraph","ggraph","2.1.0"
"ggrastr","ggrastr","1.0.2"
"ggrepel","ggrepel","0.9.3"
"ggridges","ggridges","0.5.4"
"ggsci","ggsci","3.0.0"
"ggsignif","ggsignif","0.6.4"
"ggthemes","ggthemes","5.1.0"
"ggtree","ggtree","3.6.2"
"ggvenn","ggvenn","0.1.10"
"gh","gh","1.4.0"
"gitcreds","gitcreds","0.1.2"
"gld","gld","2.6.6"
"glmnet","glmnet","4.1-8"
"GlobalOptions","GlobalOptions","0.1.2"
"globals","globals","0.16.2"
"glue","glue","1.6.2"
"GMD","GMD","0.3.3"
"gmp","gmp","0.7-2"
"gnm","gnm","1.1-5"
"GO.db","GO.db","3.16.0"
"goftest","goftest","1.2-3"
"googledrive","googledrive","2.1.1"
"googlesheets4","googlesheets4","1.1.1"
"GOSemSim","GOSemSim","2.24.0"
"GOstats","GOstats","2.64.0"
"gower","gower","1.0.1"
"gplots","gplots","3.1.3"
"graph","graph","1.76.0"
"graphlayouts","graphlayouts","1.0.1"
"gridBase","gridBase","0.4-7"
"gridExtra","gridExtra","2.3"
"gridGraphics","gridGraphics","0.5-1"
"grr","grr","0.9.5"
"GSEABase","GSEABase","1.60.0"
"gson","gson","0.1.0"
"gss","gss","2.2-7"
"GSVA","GSVA","1.46.0"
"gtable","gtable","0.3.4"
"gtools","gtools","3.9.4"
"GUniFrac","GUniFrac","1.8"
"hardhat","hardhat","1.3.0"
"haven","haven","2.5.3"
"HDF5Array","HDF5Array","1.26.0"
"hdf5r","hdf5r","1.3.8"
"HDO.db","HDO.db","0.99.1"
"heatmaply","heatmaply","1.4.2"
"here","here","1.0.1"
"highr","highr","0.10"
"hillR","hillR","0.5.2"
"Hmisc","Hmisc","5.1-1"
"hms","hms","1.1.3"
"homologene","homologene","1.4.68.19.3.27"
"hopach","hopach","2.58.0"
"HSMMSingleCell","HSMMSingleCell","1.18.0"
"htmlTable","htmlTable","2.4.2"
"htmltools","htmltools","0.5.7"
"htmlwidgets","htmlwidgets","1.6.4"
"httpuv","httpuv","1.6.11"
"httr","httr","1.4.7"
"httr2","httr2","0.2.3"
"ica","ica","1.0-3"
"ids","ids","1.0.1"
"igraph","igraph","1.5.1"
"ini","ini","0.3.1"
"inline","inline","0.3.19"
"interp","interp","1.1-4"
"intervals","intervals","0.15.4"
"ipred","ipred","0.9-14"
