"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nCount_RNA1","1","0",1,9654,7497.33602651751,3174.28742363924,6909,7158.695624029,2683.506,910,45842,44932,1.50149996824592,5.49248743216723,32.3067001767074
"so$nCount_RNA2","2","1",1,7450,7609.70617449664,2836.33303950663,7154.5,7368.79865771812,2635.3215,1219,23632,22413,0.931817821727735,1.32168704942903,32.8608722898616
"so$nCount_RNA3","3","10",1,2129,3714.82855800845,2515.46367947452,2992,3350.2275659824,1995.5796,520,21596,21076,1.57575901458357,3.45183628342969,54.516782971219
"so$nCount_RNA4","4","11",1,1522,4587.77595269382,1691.64464761563,4292.5,4443.11904761905,1497.426,603,16284,15681,1.09749907802081,2.85855949574935,43.3612519351868
"so$nCount_RNA5","5","12",1,884,1637.81900452489,758.373821291816,1474,1539.0197740113,586.3683,511,7253,6742,2.19137126250401,9.01275825098312,25.5068718631013
"so$nCount_RNA6","6","13",1,674,1974.06379821958,754.142489774724,1810,1896.26851851852,603.4182,567,5023,4456,1.13675231446278,1.69840470960926,29.0484833356292
"so$nCount_RNA7","7","14",1,341,1006.54838709677,417.727438759988,917,938.879120879121,232.7682,500,3980,3480,3.00549553248361,13.3216478668264,22.6212090742164
"so$nCount_RNA8","8","15",1,299,1109.61538461538,541.037335638185,979,1018.79253112033,358.7892,507,4417,3910,2.35868088402468,8.14344004858977,31.2889969950793
"so$nCount_RNA9","9","16",1,224,2994.8125,1415.34264359088,2671.5,2806.08888888889,902.1621,1022,14772,13750,3.54906984647245,22.3298923430208,94.566558164428
"so$nCount_RNA10","10","17",1,216,7643.97222222222,2758.04104716182,7214.5,7417.01724137931,2245.3977,871,21002,20131,1.02075813626544,2.24366080640077,187.660923755496
"so$nCount_RNA11","11","18",1,212,2044.42452830189,827.654201759014,1870.5,1927.02941176471,452.193,929,8643,7714,3.65526582608327,22.435626640536,56.8435239540601
"so$nCount_RNA12","12","19",1,41,3566.17073170732,895.619280231255,3368,3512.21212121212,720.5436,2250,5818,3568,0.652582863006852,-0.386719260110806,139.872232213681
"so$nCount_RNA13","13","2",1,6227,2283.23125100369,810.671662468842,2171,2219.79731085691,735.3696,500,8931,8431,1.20022945398641,4.04871820887311,10.273195654369
"so$nCount_RNA14","14","3",1,5975,1502.39682008368,698.985570626716,1347,1390.17464965488,422.541,501,8271,7770,2.95776815484313,13.7746674421734,9.04272358668361
"so$nCount_RNA15","15","4",1,5514,1101.1378309757,322.263728928422,1054,1071.1670444243,285.4005,506,4876,4370,1.53772031948621,6.62434155015658,4.3398832571072
"so$nCount_RNA16","16","5",1,4567,6002.20429165754,2231.06169207606,5657,5830.77838577291,1998.5448,530,17960,17430,0.84236838974457,1.25866071658209,33.013842382969
"so$nCount_RNA17","17","6",1,4343,5629.37531660143,2350.21277093923,5267,5432.21697841727,2054.8836,518,23918,23400,1.10926925563655,2.85351826004265,35.662539623121
"so$nCount_RNA18","18","7",1,2873,4758.37730595197,4367.58187747825,2842,4173.06263592866,3343.263,500,24503,24003,0.991981764335108,0.44745255926885,81.484169273196
"so$nCount_RNA19","19","8",1,2788,4377.92503586801,1799.6903614127,4054.5,4191.49910394265,1550.0583,530,16828,16298,1.39769385125453,3.95999274520972,34.0840666596289
"so$nCount_RNA20","20","9",1,2764,2388.85926193922,928.376151943797,2220.5,2290.08047016275,767.9868,541,8737,8196,1.39682786441006,3.57742370249939,17.6585466274401
