"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nFeature_RNA1","1","0",1,9654,3042.66811684276,738.494666317406,3001,3020.0216209218,710.1654,623,7088,6465,0.327990789005301,0.484230994311851,7.51612018153702
"so$nFeature_RNA2","2","1",1,7450,3113.32791946309,679.347141439034,3082.5,3102.93724832215,684.2199,810,5691,4881,0.14552498934073,0.044897214116892,7.87070465434264
"so$nFeature_RNA3","3","2",1,6227,1320.65537176811,339.209786445877,1291,1305.80614087899,323.2068,401,3596,3195,0.636069250104415,1.68396555982557,4.29861886799227
"so$nFeature_RNA4","4","3",1,5975,932.428451882845,278.418832085985,882,898.554904831625,216.4596,392,2972,2580,1.72788659733417,5.28914676934265,3.60188342317779
"so$nFeature_RNA5","5","4",1,5514,850.652158142909,200.779918118215,830,836.697416137806,191.2554,418,2661,2243,0.991381736144,2.74268718842248,2.70387675306188
"so$nFeature_RNA6","6","5",1,4567,2656.00065688636,616.337024216159,2632,2654.76306429549,587.1096,388,5082,4694,-0.032971774421176,0.506038419076881,9.12016617224348
"so$nFeature_RNA7","7","6",1,4343,2635.01404559061,701.690232208479,2602,2625.93007194245,649.3788,416,6371,5955,0.145978285575774,0.887886520848839,10.6475703045777
"so$nFeature_RNA8","8","7",1,2873,2019.15245388096,1414.10399735278,1523,1915.22444541105,1553.7648,359,6195,5836,0.393077160822706,-1.27455117825512,26.3823536049487
"so$nFeature_RNA9","9","8",1,2788,2223.45982783357,598.846245241463,2174,2195.19489247312,581.1792,400,5018,4618,0.529530555725553,0.660253518010079,11.3414594973195
"so$nFeature_RNA10","10","9",1,2764,1412.27785817656,367.324602979445,1379,1393.22920433996,348.411,436,3543,3107,0.708686836908861,1.59720641106115,6.98684322678632
"so$nFeature_RNA11","11","10",1,2129,1842.19398778769,841.455860221247,1664,1764.00293255132,827.2908,411,5825,5414,0.854115006522772,0.439575973672405,18.2365847242625
"so$nFeature_RNA12","12","11",1,1522,2335.63074901445,547.540465891718,2308.5,2323.30377668309,519.6513,479,5056,4577,0.249370577613843,0.808085702765218,14.0348861799697
"so$nFeature_RNA13","13","12",1,884,1098.60067873303,377.500805935544,1037.5,1061.9209039548,339.5154,405,3515,3110,1.40210379168536,4.01656420596809,12.6967260932261
"so$nFeature_RNA14","14","13",1,674,1257.01928783383,369.509865212337,1207,1232.03703703704,334.3263,427,2625,2198,0.709108823894964,0.620629252458752,14.2329882051567
"so$nFeature_RNA15","15","14",1,341,721.967741935484,236.772245027115,672,685.351648351648,149.7426,391,2034,1643,2.30662007859082,7.6004056469193,12.8219359341807
"so$nFeature_RNA16","16","15",1,299,816.919732441472,307.925926296949,753,773.572614107884,231.2856,409,2384,1975,1.77086610854325,4.60119441860576,17.8078161117062
"so$nFeature_RNA17","17","16",1,224,1717.85267857143,521.550018833534,1621.5,1665.98333333333,404.0085,763,4990,4227,2.06587631944242,8.43368325277624,34.8475264382246
"so$nFeature_RNA18","18","17",1,216,3064.25462962963,657.084812745857,3011.5,3058.02298850575,603.4182,604,5400,4796,0.007776995056007,0.835394611680922,44.7089585822106
"so$nFeature_RNA19","19","18",1,212,1339.44811320755,351.09080143106,1275,1299.6,249.0768,713,3501,2788,2.06683083475917,8.47663975205595,24.1130152408838
"so$nFeature_RNA20","20","19",1,41,1974.60975609756,344.125404325863,1895,1963.66666666667,284.6592,1365,2720,1355,0.41108548743338,-0.803479297463551,53.7433589550077
