"","N1","N2","N3","N4","N5"
"0",2244,2213,1910,1578,1709
"1",1682,1800,1392,1230,1346
"2",1008,1167,1422,1316,1314
"3",1288,810,1182,1179,1516
"4",1050,762,1392,996,1314
"5",1087,1087,851,672,870
"6",889,933,827,799,895
"7",515,780,631,468,479
"8",557,571,652,505,503
"9",509,502,667,516,570
"10",143,522,54,1112,298
"11",321,328,302,272,299
"12",112,167,259,215,131
"13",95,113,212,157,97
"14",53,72,96,66,54
"15",37,58,91,70,43
"16",30,108,31,26,29
"17",66,52,23,39,36
"18",29,63,34,41,45
"19",3,12,14,5,7
