"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nCount_RNA1","1","0",1,7247,7535.09493583552,2891.64108044231,7121,7316.77496120021,2686.4712,983,23632,22649,0.849732125882579,1.21985601290222,33.967630713129
"so$nCount_RNA2","2","1",1,6065,2303.19208573784,800.463031529255,2187,2239.36080774778,726.474,522,8931,8409,1.20485605905113,4.08150405835648,10.2784085625916
"so$nCount_RNA3","3","10",1,2764,2391.88820549928,931.002309061153,2223.5,2292.10352622061,766.5042,541,8737,8196,1.42960689976795,3.7593532950142,17.7084984899591
"so$nCount_RNA4","4","11",1,1523,4620.01772816809,1690.03515746178,4314,4467.6275635767,1527.078,1083,16284,15201,1.15050492001758,2.92701548690147,43.3057722520444
"so$nCount_RNA5","5","12",1,1407,8420.9381663113,3458.93219650026,8048,8133.12599822538,3066.0168,1190,24503,23313,0.947574754020995,1.47953565885832,92.2136048898682
"so$nCount_RNA6","6","13",1,881,1638.15550510783,759.35844160458,1474,1537.97163120567,584.1444,511,7253,6742,2.19900034537841,9.00600923930538,25.5834359285773
"so$nCount_RNA7","7","14",1,677,1973.7976366322,755.006678598364,1811,1897.37937384899,606.3834,567,5023,4456,1.12191958604468,1.67484503940528,29.0172638657957
"so$nCount_RNA8","8","15",1,345,2528.53913043478,1357.09116902718,2150,2311.98916967509,756.126,929,14772,13843,3.57782688016219,22.0840067776836,73.0633324847194
"so$nCount_RNA9","9","16",1,338,994.905325443787,403.382695859325,907,931.948529411765,230.5443,500,3980,3480,3.11511246752307,14.7948393139222,21.9411261273415
"so$nCount_RNA10","10","17",1,300,1105.31666666667,531.258633348435,979,1018.35,358.7892,507,4417,3910,2.40260407316686,8.72299639393046,30.6722314973031
"so$nCount_RNA11","11","18",1,217,7611.74193548387,2807.724508312,7187,7397.31428571429,2364.747,871,21002,20131,0.955823879702432,2.02498622280738,190.600759116866
"so$nCount_RNA12","12","19",1,95,2745.69473684211,1019.17052290539,2537,2638.12987012987,821.3604,1022,6865,5843,1.36062977390657,2.82170409375887,104.564689358423
"so$nCount_RNA13","13","2",1,5975,1501.86627615063,694.325765176492,1347,1390.3239907969,422.541,501,8271,7770,2.89727135281974,13.1550988586905,8.98244003517008
"so$nCount_RNA14","14","20",1,41,3566.17073170732,895.619280231255,3368,3512.21212121212,720.5436,2250,5818,3568,0.652582863006852,-0.386719260110806,139.872232213681
"so$nCount_RNA15","15","3",1,5728,7440.31057960894,3248.93481485846,6838.5,7092.68586387435,2695.3668,829,45842,45013,1.6930718455629,7.34787845858778,42.9278851387525
"so$nCount_RNA16","16","4",1,5510,1100.61306715064,320.365649536032,1054,1071.13362068966,284.6592,506,4876,4370,1.50549165068032,6.48532956301394,4.31588778455845
"so$nCount_RNA17","17","5",1,4567,6006.75410553974,2223.28612612313,5661,5833.35896032832,1995.5796,530,17960,17430,0.853661121889094,1.27440681407698,32.8987844669462
"so$nCount_RNA18","18","6",1,4332,7458.50877192982,3104.42676508114,6930.5,7164.10444316215,2703.5211,866,25182,24316,1.07564656133257,1.9333362273578,47.166884960502
"so$nCount_RNA19","19","7",1,4290,5687.05850815851,2305.61330488465,5298,5469.45658508159,2012.6295,628,23918,23290,1.21390609850408,3.06248918466398,35.2012287600122
"so$nCount_RNA20","20","8",1,3612,2621.80343300111,2347.62857010965,1775.5,2189.42179930796,1444.0524,500,20196,19696,1.99734944077908,5.18369086758767,39.0620935086538
"so$nCount_RNA21","21","9",1,2783,4386.38124326267,1802.74094874702,4059,4199.51998203862,1550.7996,530,16828,16298,1.39046564460628,3.91090289531048,34.1724975113346
