"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nFeature_RNA1","1","0",1,7247,3085.77797709397,711.737655050686,3071,3087.70236247629,693.8568,681,5691,5010,-0.046089444098486,0.232869254505933,8.36066481241581
"so$nFeature_RNA2","2","1",1,6065,1328.84468260511,333.454607919449,1297,1313.57325365753,320.2416,401,3596,3195,0.634579149272192,1.59300808324795,4.28175013994961
"so$nFeature_RNA3","3","2",1,5975,932.301087866109,276.942843726796,882,898.655929721815,216.4596,392,2846,2454,1.67834603604164,4.87942644458679,3.58278867314263
"so$nFeature_RNA4","4","3",1,5728,3019.32157821229,753.335740455444,2980,2999.54559336824,714.6132,601,7088,6487,0.307250431458428,0.698955132955579,9.953757763711
"so$nFeature_RNA5","5","4",1,5510,850.320508166969,199.669824566365,830,836.671733212341,191.2554,418,2661,2243,0.960618290827933,2.61541322826191,2.68990310927196
"so$nFeature_RNA6","6","5",1,4567,2658.47624261003,612.677643376919,2633,2656.00328317373,587.1096,388,5082,4694,-0.010399374946873,0.479629572473487,9.06601696486163
"so$nFeature_RNA7","7","6",1,4332,3039.5066943675,754.163528829488,3009.5,3027.2654356607,713.1306,623,5856,5233,0.142902961158198,0.308850285512293,11.4583293784922
"so$nFeature_RNA8","8","7",1,4290,2659.09813519814,671.510009676063,2612.5,2638.34994172494,642.7071,464,6371,5907,0.357884008736418,0.749562526599037,10.252359931809
"so$nFeature_RNA9","9","8",1,3612,1375.8419158361,863.962555205371,1120,1256.67612456747,763.539,359,5313,4954,1.17151554157221,1.01015151519863,14.3754367914476
"so$nFeature_RNA10","10","9",1,2783,2226.62917714696,599.758791471882,2178,2198.14503816794,581.1792,400,5018,4618,0.528980406698058,0.642119279878489,11.3689411799399
"so$nFeature_RNA11","11","10",1,2764,1413.87373371925,368.123481881828,1381,1394.23462929476,349.8936,436,3543,3107,0.731466233159263,1.64819299339252,7.00203861964284
"so$nFeature_RNA12","12","11",1,1523,2348.38017071569,539.939504131391,2315,2332.00820344545,517.4274,738,5056,4318,0.355384828893207,0.656111246066809,13.8355093339676
"so$nFeature_RNA13","13","12",1,1407,3311.34328358209,816.3401112503,3341,3320.13487133984,766.5042,726,6195,5469,-0.095225517710576,0.189571887268706,21.7632668691083
"so$nFeature_RNA14","14","13",1,881,1098.64245175936,377.487950398155,1037,1061.2609929078,338.0328,405,3515,3110,1.41741021369335,4.05089071838501,12.7178921885879
"so$nFeature_RNA15","15","14",1,677,1256.88921713442,370.500386673981,1207,1232.71454880295,335.0676,427,2625,2198,0.689132140056859,0.602599098050165,14.2394865995846
"so$nFeature_RNA16","16","15",1,345,1519.52753623188,508.749675699587,1400,1453.59205776173,349.8936,713,4990,4277,2.27743510816667,9.06418199417396,27.3901618074619
"so$nFeature_RNA17","17","16",1,338,715.127218934911,229.061869045031,670,680.988970588235,148.26,391,2034,1643,2.38650858857277,8.46888991947151,12.4593231471543
"so$nFeature_RNA18","18","17",1,300,815.43,303.979577788335,754.5,773.55,229.803,409,2384,1975,1.77911283710378,4.81557583729454,17.5502691064244
"so$nFeature_RNA19","19","18",1,217,3048.54377880184,678.999563062715,3002,3048.87428571429,606.3834,604,5400,4796,-0.077701805873081,0.787039076364077,46.0934937799791
"so$nFeature_RNA20","20","19",1,95,1665.27368421053,438.18560728049,1610,1638.36363636364,376.5804,763,3336,2573,0.822498666498597,1.31116363759381,44.9568947265069
"so$nFeature_RNA21","21","20",1,41,1974.60975609756,344.125404325863,1895,1963.66666666667,284.6592,1365,2720,1355,0.41108548743338,-0.803479297463551,53.7433589550077
