"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lingo2",0,1.83699995571812,0.99,0.465,0,"0","Lingo2"
"Tafa1",0,1.72316985397891,0.919,0.25,0,"0","Tafa1"
"Chrm3",0,1.70169078539195,0.964,0.396,0,"0","Chrm3"
"Slit3",0,1.69739766363482,0.952,0.309,0,"0","Slit3"
"Kcnip4",0,1.62961477845492,0.998,0.691,0,"0","Kcnip4"
"Kcnq5",0,1.55385134255267,0.991,0.519,0,"0","Kcnq5"
"Kctd16",0,1.53394636748616,0.99,0.51,0,"0","Kctd16"
"Fstl4",0,1.53054522391063,0.911,0.264,0,"0","Fstl4"
"Epha6",0,1.50595027266219,0.922,0.404,0,"0","Epha6"
"Rgs6",0,1.46510460714344,0.978,0.461,0,"0","Rgs6"
"Camk2a",0,1.44888581033543,0.986,0.478,0,"0","Camk2a"
"Lrfn5",0,1.43204212872066,0.987,0.552,0,"0","Lrfn5"
"Sorbs2",0,1.40758200990906,0.988,0.528,0,"0","Sorbs2"
"Lrrtm4",0,1.40183467622943,0.995,0.572,0,"0","Lrrtm4"
"Sorbs2os",0,1.38171768103362,0.937,0.378,0,"0","Sorbs2os"
"Cacng3",0,1.37910473340465,0.887,0.274,0,"0","Cacng3"
"Rasgrf2",0,1.33346933686689,0.848,0.212,0,"0","Rasgrf2"
"Prkg1",0,1.30131090084846,0.975,0.465,0,"0","Prkg1"
"Ntrk3",0,1.29545342387446,0.975,0.471,0,"0","Ntrk3"
"Unc5d",0,1.27412695241339,0.907,0.301,0,"0","Unc5d"
"Cnksr2",0,1.26041345845152,0.974,0.497,0,"0","Cnksr2"
"Nwd2",0,1.25764128325668,0.792,0.232,0,"0","Nwd2"
"Cux2",0,1.25679129707408,0.818,0.169,0,"0","Cux2"
"Car10",0,1.25650232496143,0.979,0.449,0,"0","Car10"
"B230303A05Rik",0,1.25610581128591,0.799,0.269,0,"0","B230303A05Rik"
"Grm1",0,1.22035263713588,0.827,0.257,0,"0","Grm1"
"Il1rapl1",0,1.21887852839444,0.991,0.747,0,"0","Il1rapl1"
"Celf2",0,1.2144405103591,0.997,0.831,0,"0","Celf2"
"Ccbe1",0,1.21420613917163,0.574,0.044,0,"0","Ccbe1"
"Gria3",0,1.21067769141097,0.994,0.587,0,"0","Gria3"
"Gm26871",0,1.2056417864927,0.961,0.407,0,"0","Gm26871"
"Pcsk2",0,1.20474960716947,0.986,0.547,0,"0","Pcsk2"
"Mlip",0,1.19893683148517,0.799,0.247,0,"0","Mlip"
"Nrg1",0,1.19789070540546,0.993,0.547,0,"0","Nrg1"
"Pdzrn3",0,1.19624111443689,0.804,0.241,0,"0","Pdzrn3"
"Cdh12",0,1.19572420243154,0.868,0.338,0,"0","Cdh12"
"Cacna2d1",0,1.1741496557533,0.982,0.529,0,"0","Cacna2d1"
"Erc2",0,1.15995565132951,0.986,0.577,0,"0","Erc2"
"Dab1",0,1.15571705834361,0.984,0.594,0,"0","Dab1"
"Ryr2",0,1.13976732814251,0.983,0.511,0,"0","Ryr2"
"Csmd1",0,1.133042757195,0.995,0.695,0,"0","Csmd1"
"Kcnb2",0,1.12950351079901,0.976,0.455,0,"0","Kcnb2"
