"","N1","N2","N3","N4","N5"
"0",1628,1743,1369,1198,1309
"1",1000,1130,1407,1250,1278
"2",1286,809,1185,1179,1516
"3",1326,1281,1165,939,1017
"4",1049,762,1389,998,1312
"5",1084,1090,848,675,870
"6",967,1051,839,731,744
"7",880,921,817,789,883
"8",335,892,421,1401,563
"9",558,568,652,501,504
"10",508,503,665,517,571
"11",326,329,300,271,297
"12",347,391,227,193,249
"13",112,168,257,214,130
"14",95,113,213,159,97
"15",44,137,49,52,63
"16",53,72,93,66,54
"17",37,58,93,68,44
"18",65,52,24,41,35
"19",15,38,15,15,12
"20",3,12,14,5,7
