,Exc-L2&L4/5IT,Astro1,Oligo1,Exc-neuron1,Micro,Exc-L6CT,Inh-PV&SST,Exc-neuron2,Inh-VIP&Lamp5,OPC1,Exc-neuron3,Exc-L5/6N,Exc-neuron4,Interneuron,"Astro(Slc1a3+,Dab2+)",Exc-L2/3IT,Glial cell(Egfr+),Endo(Igfbp7+),Endo,Astro2,Exc-Car3,Oligo2,OPC2
N1,1643,1008,1287,1319,1050,1087,883,962,557,509,172,321,351,58,112,86,95,53,37,30,66,29,3
N2,1762,1167,795,1178,761,1087,924,1070,571,502,398,328,396,319,167,217,113,72,58,108,52,63,12
N3,1338,1422,1180,1152,1392,851,818,810,652,667,416,302,226,43,259,13,212,96,91,31,23,34,14
N4,1191,1316,1155,909,995,672,787,703,505,516,297,272,188,820,215,317,157,66,70,26,39,41,5
N5,1306,1314,1514,1021,1314,870,884,727,503,570,246,299,247,119,131,179,97,54,43,29,36,45,7
,,,,,,,,,,,,,,,,,,,,,,,
,Exc-neuron,Inh-neuron,Glial cell,Endo,,Total,,,,,,,,,,,,,,,,,
N1,6007,1498,4123,90,,11718,,,,,,,,,,,,,,,,,
N2,6488,1814,3688,130,,12120,,,,,,,,,,,,,,,,,
N3,5131,1513,5211,187,,12042,,,,,,,,,,,,,,,,,
N4,4588,2112,4426,136,,11262,,,,,,,,,,,,,,,,,
N5,4931,1506,5021,97,,11555,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Exc-neuron,Inh-neuron,Glial cell,Endo,,Total,,,,,,,,,,,,,,,,,
N1,0.512630142,0.127837515,0.351851852,0.007680492,,,51.2630142,12.7837515,35.1851852,0.7680492,,,,,,,,,,,,,
N2,0.535313531,0.149669967,0.304290429,0.010726073,,,53.5313531,14.9669967,30.4290429,1.0726073,,,,,,,,,,,,,
N3,0.426092011,0.125643581,0.432735426,0.015528982,,,42.6092011,12.5643581,43.2735426,1.5528982,,,,,,,,,,,,,
N4,0.407387675,0.187533298,0.393003019,0.012076008,,,40.7387675,18.7533298,39.3003019,1.2076008,,,,,,,,,,,,,
N5,0.42674167,0.130333189,0.434530506,0.008394634,,,42.674167,13.0333189,43.4530506,0.8394634,,,,,,,,,,,,,
,Inh-PV&SST,Inh-VIP&Lamp5,Interneuron,,Total,,,,,Inh-PV&SST,Inh-VIP&Lamp5,Interneuron,,Inh Total,,,,,,,,,
N1,883,557,58,,11718,,,,N1,883,557,58,,1498,,,,,,,,,
N2,924,571,319,,12120,,,,N2,924,571,319,,1814,,,,,,,,,
N3,818,652,43,,12042,,,,N3,818,652,43,,1513,,,,,,,,,
N4,787,505,820,,11262,,,,N4,787,505,820,,2112,,,,,,,,,
N5,884,503,119,,11555,,,,N5,884,503,119,,1506,,,,,,,,,
,Inh-PV&SST,Inh-VIP&Lamp5,Inh-Adarb2+Lhx6-,,Total,,,,,Inh-PV&SST,Inh-VIP&Lamp5,Interneuron,,Inh Total,,,,,,,,,
N1,0.075354156,0.047533709,0.00494965,,,,,,N1,0.589452603,0.371829105,0.038718291,,,58.9452603,37.1829105,3.8718291,,,,,,
N2,0.076237624,0.047112211,0.026320132,,,,,,N2,0.509371555,0.31477398,0.175854465,,,50.9371555,31.477398,17.5854465,,,,,,
N3,0.067928915,0.05414383,0.003570835,,,,,,N3,0.54064772,0.430931923,0.028420357,,,54.064772,43.0931923,2.8420357,,,,,,
N4,0.069881016,0.044841058,0.072811224,,,,,,N4,0.372632576,0.239109848,0.388257576,,,37.2632576,23.9109848,38.8257576,,,,,,
N5,0.076503678,0.043530939,0.010298572,,,,,,N5,0.586985392,0.333997344,0.079017264,,,58.6985392,33.3997344,7.9017264,,,,,,
