"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nav3",3.95242768210559e-111,-0.484992011284673,0.996,0.995,1.37809295991976e-106
"Pde10a",3.7371475005649e-102,0.765591641944043,0.983,0.934,1.30303121902196e-97
"Calm1",8.78293469165206e-95,0.80353830757308,0.993,0.967,3.06234583893832e-90
"Nrg3",8.5455904151794e-94,-0.388224421945337,1,1,2.9795910100606e-89
"Calm2",7.81014811747771e-79,0.674283768548544,0.972,0.917,2.72316434412095e-74
"Hsp90ab1",2.152129831547e-78,0.824585831022348,0.932,0.81,7.50383108365491e-74
"Gapdh",2.14403094055756e-74,0.818748604942998,0.857,0.657,7.47559268044206e-70
"Nrgn",1.66803521591048e-73,0.701479914743984,0.976,0.912,5.81593838731508e-69
"Fth1",3.4312250396044e-72,0.757966147427749,0.905,0.735,1.19636523455887e-67
"Egr1",2.40656076392134e-71,0.798149627166836,0.545,0.22,8.39095541556452e-67
"Gm20752",1.88495271240366e-69,-0.901755545796066,0.195,0.516,6.57226462233784e-65
"Snhg11",8.19715904417533e-65,-0.305138564205159,1,1,2.85810344393261e-60
"Ppia",9.62152332406373e-65,0.69000800684319,0.853,0.664,3.3547365374013e-60
"Maml3",6.01249114213879e-62,0.849336423190327,0.519,0.224,2.09637528652953e-57
"Ptprd",1.58634931740865e-61,-0.291899377409242,1,1,5.53112416500872e-57
"Camk2n1",7.39961466312282e-61,0.68268753810572,0.862,0.745,2.58002364459103e-56
"Fgf1",2.27860737604332e-58,0.707663032962013,0.433,0.155,7.94482033805024e-54
"Tmem267",7.07724647755075e-58,0.905995338386327,0.228,0.022,2.46762352932762e-53
"Atp6v0c",5.25640833298445e-56,0.660088671868367,0.899,0.775,1.83275189346169e-51
"Aldoa",1.78701628091655e-51,0.700513500556753,0.81,0.605,6.23078966667173e-47
"Kcnma1",1.0674156176994e-49,-0.328264964995054,0.99,0.993,3.7217580342325e-45
"Hspa8",3.48110088735859e-49,0.651457322258563,0.808,0.622,1.21375544639532e-44
"Rtn1",1.40631747136047e-46,0.435310036517262,0.982,0.966,4.90340712739256e-42
"Csmd1",4.92218670077733e-46,-0.236131556542881,0.997,0.998,1.71621883696003e-41
"Gtdc1",6.31722339944158e-46,-0.560967966068379,0.53,0.76,2.2026262826833e-41
"Marchf1",9.69205222859909e-46,-0.582438968372946,0.843,0.916,3.37932785054565e-41
"Hsp90aa1",3.92608524005234e-45,0.619276542021026,0.802,0.632,1.36890814064905e-40
"Hspa5",7.08635663109209e-45,0.560079412322178,0.534,0.274,2.47079996656288e-40
"Xkr4",1.99930412669499e-44,-0.440684427277215,0.961,0.988,6.97097369854741e-40
"Stmn1",3.8242140807895e-44,0.573647489475634,0.862,0.716,1.33338872354888e-39
"Nrg3os",8.27877886001733e-44,-0.442053148514046,0.951,0.977,2.88656182512224e-39
"Tuba1a",4.52574698714403e-43,0.589768133406447,0.772,0.582,1.57799220200751e-38
"Nell1",6.14922174296532e-43,-0.685890859921964,0.651,0.807,2.14404914511972e-38
"Abi3bp",2.16661296477301e-42,-0.560733762011768,0.055,0.253,7.55432942427406e-38
"Grin2b",2.17161763626655e-41,0.294066964211241,0.998,0.99,7.57177921237059e-37
"Bex2",8.93850612029843e-39,0.542532681648355,0.708,0.501,3.11658892896445e-34
"Dynll1",1.51873731203404e-38,0.545540371753323,0.666,0.449,5.2953813858691e-34
"Rad51ap2",1.62845169249327e-38,-0.510178673603077,0.204,0.442,5.67792251621627e-34
"Mical2",1.82807429840576e-38,0.442656472610094,0.89,0.805,6.37394665625138e-34
"Ubb",4.90300259804785e-38,0.566043590540659,0.734,0.558,1.70952991586134e-33
"Arhgap26",5.57531933661833e-38,0.474124650292131,0.328,0.121,1.94394659309871e-33
"Atp1b1",2.37868646508328e-37,0.491633248412928,0.879,0.785,8.29376609780588e-33
"Actb",2.43119563139139e-37,0.569811772354273,0.789,0.646,8.47684980797235e-33
"Cck",2.49274157581147e-37,0.543380084169111,0.842,0.686,8.69144205238186e-33
"Gria4",2.64135796933148e-36,-0.359019599795193,0.992,0.995,9.20962283166808e-32
"C1ql3",3.6100166801407e-36,0.627151649020203,0.801,0.638,1.25870451586466e-31
"Cox4i1",1.31227361721524e-35,0.49267771045804,0.753,0.566,4.57550442114437e-31
"Tmsb4x",3.81404896612716e-35,0.485810080711791,0.76,0.585,1.32984445301956e-30
"Camta1",7.46667478639209e-34,-0.45869549385991,0.757,0.867,2.60340549777133e-29
"Arc",9.10618700154191e-34,0.453703961409227,0.344,0.14,3.17505422182762e-29
"Cpne4",1.78434562973507e-33,0.470901929036167,0.924,0.798,6.22147790719726e-29
"Homer1",7.04490688399297e-32,0.524975646266018,0.889,0.809,2.45634768324183e-27
"Hecw2",2.18588850871339e-30,-0.352023441380569,0.887,0.932,7.62153746333096e-26
"Cox8a",2.26678082067344e-30,0.48253140177824,0.691,0.51,7.90358468744209e-26
"Slc9a9",5.27904584941623e-30,-0.448817079445047,0.634,0.782,1.84064491631596e-25
"Tenm4",6.48064904617293e-30,0.30898780722699,0.987,0.97,2.25960790292911e-25
"Celf2",7.49277589715787e-30,-0.18390666716329,0.998,1,2.61250617206203e-25
"Baiap2",1.57617985064547e-29,0.447405906862747,0.649,0.479,5.49566628524558e-25
"St6galnac3",2.10659153672285e-29,-0.45419423610273,0.53,0.694,7.34505271109155e-25
"Ywhah",2.18279079365591e-29,0.489478734282217,0.757,0.611,7.61073666024005e-25
