"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Snhg11",5.18257507267887e-35,-0.350666408277071,0.998,1,1.80700845059094e-30
"Tmem267",6.80209839800031e-31,1.20526283181169,0.263,0.023,2.37168764843077e-26
"Hsp90ab1",9.04246826989475e-30,0.716979065718792,0.946,0.835,3.1528374116642e-25
"Nrgn",8.97978473558548e-29,0.701038058950687,0.839,0.616,3.13098154375659e-24
"Atp6v0c",5.62228495625082e-26,0.643017273407521,0.93,0.815,1.96032209569597e-21
"Calm1",8.50013955346315e-26,0.596238430826304,0.972,0.914,2.963743658106e-21
"Gapdh",2.14647658536987e-25,0.677463684996015,0.867,0.698,7.48411991020913e-21
"Calm2",8.41295081889545e-25,0.574421344090441,0.946,0.842,2.93334356202428e-20
"Ppia",8.5261911678549e-21,0.627265692049082,0.827,0.654,2.97282707449597e-16
"Aldoa",6.74550152326856e-18,0.67513000764074,0.755,0.571,2.35195401611805e-13
"Fth1",1.12108143915628e-17,0.592153673344181,0.86,0.697,3.90887465390621e-13
"Tmsb4x",2.24964260619306e-17,0.620425063561447,0.697,0.476,7.84382887501334e-13
"Rtn1",1.5059369122144e-15,0.420212965413747,0.961,0.89,5.25075023181796e-11
"Stmn1",1.80210143341468e-15,0.572152823284683,0.741,0.549,6.28338706788698e-11
"Olfm1",2.85320863838115e-15,0.563729516514928,0.75,0.591,9.94828255944357e-11
"Cox4i1",6.72328184465971e-15,0.543371867590763,0.713,0.533,2.3442066807775e-10
"Ubb",1.65244195763122e-14,0.561694696314923,0.73,0.542,5.76156937367276e-10
"Hspa8",2.46491757247875e-14,0.530962121289305,0.809,0.689,8.59442809996166e-10
"Tuba1a",2.98000037852802e-14,0.524479971696963,0.709,0.535,1.03903673198136e-09
"Bex2",5.00785076842287e-14,0.541228392824551,0.673,0.47,1.746087327426e-09
"Cck",8.85972261960689e-14,0.516116562118313,0.723,0.528,3.08911948577833e-09
"Actb",3.54924609086262e-13,0.577801216269793,0.769,0.621,1.23751563450107e-08
"Hspa5",5.8760840485068e-13,0.557336000219881,0.468,0.275,2.04881422519287e-08
"Arl6ip1",7.21093128842333e-13,0.55392552301585,0.578,0.386,2.51423541233456e-08
"Chchd10",8.30308285730259e-13,0.506614200397323,0.478,0.287,2.89503589985569e-08
"Rpl19",1.44564035632716e-12,0.583810396631334,0.531,0.346,5.04051423040591e-08
"Rab3a",1.73682244147134e-12,0.516103786722088,0.604,0.417,6.05577880667812e-08
"Rpl23",1.89110201984556e-12,0.500156062063833,0.506,0.3,6.59370541259551e-08
"Atp5b",1.93772542321624e-12,0.53904248362056,0.555,0.384,6.75626723312806e-08
"Atp1b1",2.59206208405979e-12,0.411910161971597,0.909,0.862,9.03774286849128e-08
"Tspyl4",3.22231519300972e-12,0.489177961202654,0.725,0.582,1.1235246383467e-07
"Atp5g1",9.38051760892196e-12,0.528305704935393,0.459,0.268,3.27070507470282e-07
"mt-Nd2",2.0114817907204e-11,0.505228680685303,0.729,0.582,7.01343355970482e-07
"Ndufb9",2.60478431250344e-11,0.558015529520323,0.394,0.224,9.08210146240573e-07
"Ndufa4",3.92393047065388e-11,0.507422327083416,0.511,0.327,1.36815683720289e-06
"Ldhb",6.48346038731961e-11,0.468588450652747,0.466,0.282,2.26058813324673e-06
"Morf4l1",9.26791988832198e-11,0.446282176025754,0.543,0.357,3.23144562746122e-06
"C130071C03Rik",1.32644515779523e-10,-0.414779933386609,0.767,0.847,4.62491633168463e-06
"Eif1",5.58013795839975e-10,0.422404173958975,0.762,0.619,1.94562670195524e-05
"Dynll1",6.13501361989482e-10,0.484193270069616,0.483,0.311,2.13909519884873e-05
"Cox6c",8.0605247989091e-10,0.456011398335563,0.504,0.343,2.81046318163563e-05
"Atxn7l3b",1.05697541569541e-09,0.479034451929732,0.552,0.402,3.68535618190518e-05
"Pcp4",1.13475476106415e-09,0.454726805447243,0.466,0.3,3.95654942540237e-05
