"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nrgn",4.03273332165145e-59,0.88253379174804,0.806,0.595,1.40609312726021e-54
"Calm1",7.2545368843464e-55,0.706328790615023,0.91,0.774,2.52943937546506e-50
"Fth1",6.11425188559542e-54,0.829729515690505,0.798,0.574,2.13185620495055e-49
"Calm2",1.65890120521936e-52,0.802806748716621,0.809,0.626,5.78409083223834e-48
"Gapdh",8.93560762973793e-49,0.815254604135268,0.721,0.494,3.11557831226072e-44
"Ppia",2.16975775999412e-48,0.825083526931033,0.738,0.521,7.5652943817715e-44
"Stmn1",2.65841363322961e-48,0.873792967493724,0.636,0.378,9.26909081498168e-44
"Malat1",3.46879352222503e-32,-0.167063564242003,1,1,1.2094642373942e-27
"Dynll1",3.52383740114302e-32,0.859188207573629,0.461,0.255,1.22865638665654e-27
"Rtn1",7.97476023035423e-32,0.634298594107022,0.786,0.635,2.78055964951761e-27
"Hsp90ab1",1.72790370469291e-31,0.618882610544646,0.725,0.551,6.02468184715276e-27
"Olfm1",2.3224759093014e-31,0.732723098680327,0.606,0.411,8.09777675296119e-27
"Tmem267",2.11973298099848e-29,0.897384183046926,0.122,0.008,7.39087298484739e-25
"Tmsb4x",7.36810366220202e-29,0.680166578397996,0.654,0.481,2.56903670389998e-24
"Gpc5",2.75693076186688e-28,-0.355385300547217,0.85,0.896,9.61259048740125e-24
"Atp6v0c",2.81940163515978e-28,0.596886805445447,0.744,0.592,9.83040768131162e-24
"Ntm",1.99081641303092e-27,-0.32197799999424,0.895,0.935,6.94137958731492e-23
"Cck",6.53617324896574e-27,0.704249651461735,0.605,0.431,2.27896752671688e-22
"Gm26512",5.26962935122064e-26,-0.655124739826286,0.198,0.388,1.8373616658901e-21
"Ank2",7.06815576495285e-26,-0.416187928813917,0.843,0.926,2.46445387056611e-21
"Aldoa",9.37076372750756e-26,0.67287314604527,0.56,0.382,3.26730418887006e-21
"Ubb",1.21960134031396e-24,0.716294594587778,0.546,0.382,4.25238399327267e-20
"Pde10a",2.5360991736714e-23,1.04152051186881,0.304,0.148,8.84261698884006e-19
"Cox4i1",3.19025598258145e-23,0.637111530921802,0.597,0.437,1.11234655344667e-18
"Acss2",4.70122699600625e-23,-0.683309251979378,0.234,0.41,1.6391768166975e-18
"Chchd2",5.01811528966277e-23,0.723479052231153,0.415,0.243,1.74966625804672e-18
"Fau",6.92956817399793e-23,0.672509996171563,0.395,0.223,2.41613253522786e-18
"Ywhah",9.18662821832078e-23,0.598675179994606,0.442,0.255,3.20310166088191e-18
"Stmn2",2.13671989098495e-22,0.671966357495174,0.457,0.287,7.45010124389721e-18
"Uchl1",2.9872195528138e-22,0.758307367880368,0.352,0.19,1.04155384147959e-17
"Gpr158",2.18627770776664e-20,-0.648259036909934,0.098,0.23,7.62289448366994e-16
"Cox8a",2.94679745234903e-20,0.593879259953922,0.538,0.379,1.02745986771054e-15
"Pcp4",3.59190193325698e-20,0.636034459998357,0.41,0.248,1.25238844706871e-15
"Hspa8",6.23097253854834e-20,0.584809215443353,0.577,0.416,2.17255319501565e-15
"Snap25",1.02131340723828e-18,0.555485556744991,0.583,0.437,3.56101345701772e-14
"Eif1",3.0397010880304e-18,0.575831270429671,0.535,0.389,1.05985257836356e-13
"Bex2",3.3852966601323e-18,0.584683108994613,0.406,0.249,1.18035138648833e-13
"Actb",4.17659214525403e-18,0.509156687120888,0.61,0.466,1.45625238328572e-13
"Rsrp1",4.9192154475221e-18,-0.442559769610669,0.549,0.688,1.71518285008753e-13
"Hsp90aa1",6.98585651849067e-18,0.580957465308626,0.566,0.427,2.43575859230214e-13
"Gm45846",2.28328941654322e-17,-0.512642248147389,0.056,0.157,7.96114520866125e-13
"Hspa5",2.5841322147683e-17,0.658717818233913,0.302,0.164,9.01009379323264e-13
"Pcyt2",4.91296379542816e-17,-0.566971280277449,0.28,0.424,1.71300308655194e-12
"Macf1",7.5497374735415e-17,-0.285977525721405,0.861,0.925,2.63236696489971e-12
"Ptgds",1.02910428239621e-16,0.48800236363997,0.571,0.417,3.58817790143087e-12
"Rplp1",1.39496908141959e-16,0.605886964820879,0.389,0.25,4.86383869618569e-12
"Rps8",1.80708054948426e-16,0.570300162275265,0.395,0.247,6.30074775188676e-12
"Egr1",3.32157804429342e-16,0.603343093865956,0.137,0.043,1.15813461670379e-11
"Kcnip4",4.07318811152282e-16,-0.483737912972767,0.368,0.534,1.42019849884466e-11
"Atp5g1",6.44047263422168e-16,0.582221516385176,0.307,0.175,2.24559959337407e-11
"Rgs7",7.02394038443135e-16,-0.397654936688565,0.638,0.751,2.44903729383968e-11
"Ddo",7.32973521737052e-16,-0.508160617670948,0.127,0.251,2.55565877824058e-11
"Rps14",9.31294387560075e-16,0.598299818458085,0.314,0.183,3.24714414110571e-11
"Fgf14",2.02515404467835e-15,-0.432800304495915,0.383,0.543,7.06110460758001e-11
"Atp5h",2.58257187099748e-15,0.596259433218197,0.349,0.215,9.00465334260692e-11
"Nat8f3",4.24153138471833e-15,-0.564523558056366,0.151,0.272,1.47889474790974e-10
"Ddhd1",4.43102955334117e-15,-0.439891799155276,0.476,0.611,1.54496707436347e-10
"Ptma",4.98652746766452e-15,0.591643793235272,0.336,0.205,1.73865253215059e-10
"Tpt1",5.02302968247384e-15,0.517998317740724,0.407,0.261,1.75137975938815e-10
"Snrpn",5.1603030619823e-15,0.550755766595838,0.318,0.187,1.79924286862137e-10
"Basp1",6.23479375044917e-15,0.536267165886883,0.47,0.347,2.17388553696911e-10
"Swap70",8.87897173821863e-15,-0.521642239978199,0.128,0.243,3.09583107596469e-10
"Chchd10",9.15482766911566e-15,0.567070329630454,0.342,0.21,3.19201376339056e-10
"Atp5k",1.30962953148757e-14,0.578349827290621,0.207,0.099,4.56628528743771e-10
"Atp5g3",3.12386273068308e-14,0.594131442173702,0.268,0.15,1.08919721830727e-09
"Gm26843",3.19973643599028e-14,-0.50503447463261,0.118,0.23,1.11565210313673e-09
"Sub1",3.32384717875638e-14,0.562617566507078,0.321,0.196,1.15892579581699e-09
"Ndufb9",3.47711495196688e-14,0.55168203509509,0.298,0.172,1.21236567030229e-09
"Cox7b",6.03761135046866e-14,0.54518280588752,0.298,0.177,2.10513394956791e-09
"Cox7a2",1.343380193532e-13,0.613412623286927,0.296,0.177,4.68396372078802e-09
"Slc25a4",1.69825975352346e-13,0.502318888842824,0.517,0.395,5.92132228261025e-09
"Tuba1a",1.84818688342626e-13,0.48605576055673,0.473,0.343,6.44407320644235e-09
"Rpl11",1.99156070796258e-13,0.49167870976762,0.286,0.166,6.94397472045312e-09
"Hint1",2.67800541883194e-13,0.583508251594532,0.298,0.182,9.33740149384131e-09
"Rab3a",2.84903910209022e-13,0.518421556178271,0.326,0.201,9.93374463725798e-09
"Mdh1",4.55755805620376e-13,0.536608679712481,0.442,0.321,1.58908376745657e-08
"Gm20646",4.65820522375906e-13,-0.479847741248274,0.089,0.186,1.62417641536807e-08
"Cycs",5.26385131588311e-13,0.545182625209887,0.196,0.096,1.83534703830897e-08
"Ttc9b",6.20275063868277e-13,0.522444957425464,0.208,0.104,2.16271306518952e-08
"Cox6b1",9.11967292977377e-13,0.546696571042636,0.268,0.157,3.17975636042422e-08
"Pdia6",9.21915835703291e-13,0.538731746368084,0.199,0.099,3.21444394434666e-08
"Vsnl1",9.97958013780809e-13,0.566482750823142,0.327,0.21,3.47958020664955e-08
"4930544I03Rik",1.53951904480335e-12,-0.503583656590325,0.114,0.215,5.36784105351583e-08
"Syne1",1.59488521571934e-12,-0.328658807196477,0.72,0.797,5.56088628164862e-08
"Adam23",1.82067405075079e-12,-0.449400450854037,0.283,0.408,6.34814421275278e-08
"Eef1a1",1.89249886008151e-12,0.469933587200837,0.428,0.303,6.59857577544622e-08
"D030055H07Rik",2.05338127763327e-12,-0.425123879741638,0.055,0.136,7.15952450072393e-08
"Atp6v1e1",2.18288503299632e-12,0.573952541468932,0.324,0.21,7.61106524454827e-08
"B3galt1",2.43289329971509e-12,-0.282160123662695,0.858,0.899,8.48276906811661e-08
"Atp5md",2.49142665669974e-12,0.499665920519506,0.284,0.174,8.68685732391497e-08
"Kcnma1",2.5338432666491e-12,-0.367541888006039,0.381,0.516,8.83475131782542e-08
"Stmn3",3.09591034459795e-12,0.537533329570716,0.462,0.352,1.07945105985097e-07
"Tubb5",3.73367283242245e-12,0.537471981164623,0.214,0.113,1.30181970648073e-07
"Camk2n1",3.98992243317614e-12,0.400640338653053,0.507,0.377,1.39116625477552e-07
"Grik1",4.03925059629632e-12,-0.496155018505452,0.09,0.182,1.40836550541064e-07
"Rpl12",6.09367142606723e-12,0.543568266544637,0.206,0.109,2.12468041612686e-07
"Rpl23",6.24813072841633e-12,0.479516513759072,0.304,0.187,2.17853574107692e-07
"Myl6",6.79394755382879e-12,0.511842226307063,0.295,0.185,2.36884569359349e-07
"Carmil1",7.77062916556213e-12,-0.402408281993484,0.219,0.339,2.70938527115655e-07
"Eid1",8.23394077970123e-12,0.515051650020433,0.3,0.19,2.87092813165843e-07
"Actg1",8.59199354874506e-12,0.49754322576337,0.375,0.26,2.99577039064094e-07
"Septin7",1.22250432390819e-11,0.413616481802454,0.553,0.446,4.2625058261707e-07
"Nrg3",1.29054093019939e-11,-0.3881701893372,0.23,0.351,4.4997290613262e-07
"Atp5o.1",1.42688510245403e-11,0.489142546285429,0.264,0.156,4.97512028672646e-07
"Cox6c",1.44325896288887e-11,0.523671763377938,0.328,0.218,5.03221102590462e-07
"Rpl19",2.05272764560414e-11,0.438276909427268,0.345,0.227,7.15724548192796e-07
"Elob",2.1086994238971e-11,0.516828935950355,0.236,0.134,7.35240228130202e-07
"4930488L21Rik",2.65403670557323e-11,-0.363590589308251,0.448,0.576,9.25382978132218e-07
"Gm3764",2.70388728769739e-11,-0.261516418541919,0.753,0.834,9.42764380601448e-07
"Gpm6a",2.74028785272004e-11,0.324595878459115,0.749,0.683,9.55456165607897e-07
"Rps29",4.23080051727273e-11,0.504798096379021,0.275,0.17,1.47515321635748e-06
"Chst9",4.55806587064314e-11,-0.334698229117058,0.028,0.087,1.58926082711714e-06
