"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm47283",5.00510087325008e-100,0.605836785327401,0.3,0.024,1.74512852147611e-95
"Rn18s-rs5",9.54854267287586e-94,-0.440274908958347,1,1,3.32929037375163e-89
"Kcnma1",3.698087669424e-83,-0.435142570709499,0.982,0.995,1.28941222769807e-78
"Abi3bp",5.79894538316829e-74,-0.702313212398814,0.106,0.391,2.02191828674929e-69
"Slit2",5.92463775950338e-69,-0.77726264038055,0.484,0.722,2.06574344760604e-64
"Hecw2",5.96194092846246e-67,-0.50456317280006,0.909,0.962,2.078749943527e-62
"Snhg11",4.85050591167915e-64,-0.265673697301334,1,1,1.69122589622517e-59
"Sgcz",3.01398939721432e-63,-0.597911813087688,0.903,0.968,1.05088768312672e-58
"Opcml",6.2461282643122e-59,0.29026771340051,0.997,0.999,2.17783754191773e-54
"Nav3",1.97781071545954e-56,-0.26798088161189,0.993,0.998,6.89603262159279e-52
"Myt1l",2.65975083138912e-51,0.43504435894058,0.96,0.923,9.27375322380446e-47
"Gria1",6.87989366206834e-51,0.522370658885828,0.974,0.929,2.39881252315337e-46
"Adgrb3",2.8047302630311e-50,0.318736431551827,0.993,0.997,9.77925300811052e-46
"Grm5",8.79642486908345e-47,0.320620004453501,0.996,0.997,3.06704945910333e-42
"Adam23",4.81582498263052e-45,-0.520445246029724,0.579,0.753,1.67913369669378e-40
"Pde1a",4.28672855134835e-44,0.521101784513466,0.904,0.784,1.49465364399863e-39
"Rad51ap2",5.84965197330781e-44,-0.519155309600881,0.391,0.614,2.03959815353323e-39
"A230057D06Rik",8.22787617314132e-44,0.461600324205238,0.935,0.875,2.86881358528919e-39
"Ryr2",8.99600297598042e-44,0.319407274975647,0.99,0.983,3.13663635763509e-39
"Slc9a9",2.91906069163374e-40,-0.431310446458611,0.886,0.954,1.01778889135194e-35
"Cst3",1.15038584344714e-39,0.483824806159001,0.723,0.506,4.01105032034714e-35
"Nkain2",8.60376979063965e-39,0.354447022539905,0.996,0.994,2.99987641290233e-34
"Itga8",1.90299854084033e-38,0.519167576100823,0.611,0.379,6.63518501234797e-34
"9630028H03Rik",1.29507095214664e-37,-0.475686129828251,0.756,0.879,4.51552388884969e-33
"Pdzrn3",4.40995329459938e-37,-0.433092016968588,0.786,0.886,1.53761841522797e-32
"Ptgds",2.01136775270262e-36,0.50335765667043,0.57,0.36,7.01303594334822e-32
"Ldb2",1.37722085725435e-35,0.423427110316442,0.829,0.696,4.80195596298873e-31
"Caln1",1.93250852528522e-35,0.505273642409296,0.807,0.677,6.73807747511196e-31
"Gm26871",3.51242905182693e-35,0.399332130054042,0.975,0.954,1.2246786375005e-30
"Cmss1",3.31447196132521e-34,-0.407612997005828,0.534,0.697,1.15565693875526e-29
"Cacnb2",7.87068871752848e-33,0.465332362360095,0.942,0.892,2.74427303514065e-28
"Grm1",1.27671596285755e-31,0.461921090404212,0.848,0.761,4.45152554769541e-27
"Trhde",4.22448435717062e-31,-0.448986059395278,0.276,0.479,1.47295096081468e-26
"Hs6st3",4.28464177627429e-31,-0.624154725379638,0.743,0.832,1.49392604813356e-26
"Gabrb1",6.21221905026061e-31,0.325366937059795,0.971,0.962,2.16601441625437e-26
"Khdrbs2",2.15213642953098e-30,0.409299215900993,0.904,0.83,7.50385408884565e-26
"Plcb1",2.17890067344149e-30,-0.280950434350812,0.978,0.99,7.59717297808843e-26
"Lrrtm4",7.02529552593147e-30,-0.267994991752607,0.996,0.997,2.44950979102653e-25
"Nalf1",1.69573034703394e-29,0.335258056643352,0.985,0.973,5.91250300100324e-25
"Ncam2",1.78771374083577e-29,0.506773717644779,0.895,0.819,6.23322150017209e-25
"Ctnnd2",3.99869971053229e-29,0.258148932119771,0.985,0.99,1.39422662807129e-24
"R3hdm1",8.42455757598081e-29,-0.307272466103404,0.976,0.991,2.93739049001723e-24
"Cdk14",1.58100455127289e-28,0.328124770801538,0.932,0.903,5.51248856892318e-24
"Cacna1a",7.50778268627658e-28,-0.283028512222051,0.971,0.982,2.61773858922406e-23
"Cdh13",1.8288880454773e-27,0.74408197823942,0.596,0.441,6.37678394816571e-23
"Scn1a",3.65546209023938e-27,-0.391228726120941,0.74,0.816,1.27454996700376e-22
"Gm43670",5.35229614029876e-26,-0.364702441272748,0.635,0.769,1.86618509523797e-21
"Prkg1",1.24700960118892e-25,0.311249327993163,0.976,0.973,4.34794837646541e-21
"Tmem132d",1.5433133696638e-25,-0.374358087852821,0.811,0.872,5.38107072600678e-21
"Matn2",1.8603895423821e-25,0.361700267777764,0.383,0.211,6.48662021742368e-21
"Cadps2",3.4372406710247e-25,-0.537791140487775,0.223,0.385,1.19846270476618e-20
"Cux1",4.99453363552786e-25,-0.418243989670574,0.629,0.733,1.7414440426995e-20
"Macrod2",3.17982939093302e-24,0.236703498681734,0.991,0.996,1.10871111373662e-19
"Gm34237",6.84986705516308e-24,-0.314603252170814,0.131,0.277,2.38834314612371e-19
"Lmo4",8.95441602601812e-24,0.357369754729296,0.86,0.787,3.12213623579174e-19
"Kalrn",9.22968616567284e-24,-0.192032796031568,0.993,0.998,3.21811467538515e-19
"Cntn5",1.28547847734188e-23,0.360239742709305,0.949,0.931,4.48207780694792e-19
"Meg3",1.63838652966606e-23,-0.130123601688219,1,0.999,5.71256231298666e-19
"Myo16",1.95864333483663e-23,-0.370339899455805,0.498,0.643,6.82920171557487e-19
"Myo1b",2.95130087274143e-23,-0.33857348076448,0.322,0.488,1.02903007529875e-18
"Mmp16",7.25404238550337e-23,0.313126937978381,0.924,0.885,2.52926695855346e-18
"Nrg1",7.61539567331376e-22,0.241866208769133,0.995,0.999,2.65526000941431e-17
"Tnr",5.27992454898458e-21,0.299650410185521,0.917,0.872,1.84095129249445e-16
"Arpp21",1.64594395429372e-20,-0.202252404078445,0.99,0.996,5.73891278543591e-16
"Cntnap5a",4.66213380892853e-20,-0.397586795363385,0.845,0.903,1.62554619515911e-15
"Ndst3",5.46155066096545e-20,0.348887737418906,0.679,0.549,1.90427886895882e-15
"Lrfn5",1.88882700582175e-19,0.206512980079723,0.994,0.993,6.58577312119871e-15
"Astn2",2.18600763189133e-19,-0.609738591251725,0.439,0.545,7.62195281011551e-15
"Gm42439",3.02577771411871e-19,0.34836094948124,0.741,0.626,1.05499791558177e-14
"Tmtc1",4.19847635411658e-19,-0.319875888026832,0.575,0.684,1.46388275038983e-14
"Malat1",4.69820531539509e-19,-0.128242712717718,1,1,1.63812324731881e-14
"Cttnbp2",4.86687935534161e-19,-0.228527137232382,0.93,0.953,1.69693482482696e-14
"Asap1",5.17520189735221e-19,-0.275740252524053,0.837,0.882,1.80443764554979e-14
"Gm10848",8.52827535092174e-19,0.338657926299833,0.37,0.225,2.97355376660588e-14
"Nlgn1",1.06900408590971e-18,0.142368856870832,0.998,0.999,3.7272965463414e-14
"Epha5",1.47352377887116e-18,0.270997876498541,0.972,0.958,5.13773535979007e-14
"Gm20752",1.53437161680939e-18,-0.257534739262596,0.048,0.144,5.34989351632929e-14
"Pdzrn4",1.7082668770957e-18,0.312764155173009,0.878,0.837,5.95621412036957e-14
"Cap2",3.24081461294725e-18,-0.270802933679908,0.839,0.895,1.12997483109632e-13
"Prmt8",3.60626114596528e-18,-0.313309482399704,0.475,0.601,1.25739507376371e-13
"Cdh9",3.80896734374924e-18,0.426224043399002,0.419,0.274,1.32807264374505e-13
"Smoc2",5.02540965483054e-18,0.321374143233032,0.51,0.352,1.75220958434976e-13
"Upp2",7.47849377287807e-18,0.281088281857138,0.854,0.764,2.6075264237894e-13
"Egfem1",8.05628115667508e-18,0.440757050656386,0.722,0.625,2.8089835508979e-13
"Fgf12",9.74177069178556e-18,-0.189235374104429,0.98,0.997,3.39666318710487e-13
"Nkain3",1.58044606021836e-17,0.3571219150958,0.298,0.17,5.51054127816336e-13
"Camk4",1.83312978709683e-17,-0.296480596577748,0.697,0.792,6.3915736286705e-13
"Sun1",1.83576026097934e-17,-0.312599415080688,0.536,0.649,6.40074530195666e-13
"Cadm1",1.94551521621594e-17,0.260956841773151,0.929,0.885,6.78342790438011e-13
"Sorbs2",2.06577136355142e-17,-0.186461016803954,0.989,0.996,7.20272501329473e-13
"Ccbe1",2.24562345158922e-17,0.337906438431343,0.62,0.489,7.82981528865612e-13
"Mast3",3.47711300172536e-17,-0.325562320438382,0.62,0.707,1.21236499031158e-12
"Gm47423",9.50028611894067e-17,-0.341112839495044,0.196,0.324,3.31246476109104e-12
"Hunk",1.42433714366019e-16,-0.2550881502131,0.109,0.22,4.9662363188e-12
"Prkd1",1.65853978408249e-16,0.347430191388394,0.533,0.4,5.78283066516043e-12
"Apoe",1.67327646742657e-16,0.299590683472451,0.46,0.321,5.83421305897621e-12
"Tacc1",3.11780426614343e-16,-0.292101219249288,0.679,0.772,1.08708481347623e-11
"Gm16599",3.19101276120814e-16,-0.371870235347232,0.594,0.703,1.11261041945044e-11
"Gapdh",3.97339681973114e-16,0.321159438077092,0.774,0.669,1.38540426913566e-11
"Cacna1e",4.40518329960725e-16,0.252847767444866,0.965,0.939,1.53595526107406e-11
"Ptprn2",6.38784819739839e-16,0.219877629538362,0.957,0.953,2.2272510309869e-11
"Grik2",6.95777077011715e-16,0.205448417357066,0.96,0.944,2.42596593441675e-11
"Diaph2",1.19162421500373e-15,-0.271056245629135,0.745,0.833,4.15483615045351e-11
"Nr4a1",1.22898918669633e-15,-0.276647216355173,0.158,0.273,4.28511659725409e-11
"Cadm2",1.38634057031392e-15,0.153674575822588,0.994,0.999,4.83375366651356e-11
"Gm15398",1.52814048467829e-15,0.322549423688577,0.652,0.51,5.3281674279278e-11
"Dgkb",2.61658460073379e-15,0.282761923334728,0.955,0.953,9.12324552737852e-11
"Nr3c2",2.73880192032909e-15,0.286521318739848,0.67,0.548,9.54938065561144e-11
"Nell1",3.1209063471553e-15,-0.433093726229935,0.247,0.373,1.08816641606264e-10
"Rassf8",3.23550683953316e-15,0.263978060086843,0.377,0.243,1.12812416974003e-10
"Adamts17",3.37718432707454e-15,0.287338594999782,0.401,0.273,1.17752285932108e-10
"Rit2",4.36580638404481e-15,0.269907971674139,0.733,0.624,1.5222257119249e-10
"Etl4",5.89209725547672e-15,-0.243840320203034,0.913,0.958,2.05439755006707e-10
"Mir6236",6.61040089088408e-15,-0.275892394463926,0.257,0.378,2.30484847862455e-10
"Sorcs3",8.08514013194349e-15,0.336725690749928,0.758,0.663,2.81904580980474e-10
"Prkar1b",1.01658847176094e-14,-0.266682814295929,0.586,0.682,3.54453902448887e-10
"Tafa1",1.12980433186867e-14,-0.235945367657937,0.894,0.937,3.93928876392648e-10
"Cacna1c",1.32101491179166e-14,0.185240281488432,0.974,0.966,4.60598269294397e-10
"Rfx3",1.39658720360361e-14,0.314505906202911,0.895,0.862,4.86948060280472e-10
"Rspo2",1.43792521738729e-14,0.337700749647324,0.291,0.177,5.01361385546426e-10
"Gm13269",1.5702434047859e-14,0.275464785303569,0.563,0.439,5.47496767946699e-10
"Cdh4",1.97132078696527e-14,0.273437121014742,0.447,0.316,6.87340418791179e-10
"Dtna",2.34676026567793e-14,-0.262190797117013,0.686,0.753,8.18244901833922e-10
"Cit",2.35405573708968e-14,-0.249042382130788,0.675,0.748,8.20788613851058e-10
"Dgki",3.50156988584772e-14,-0.17120428414766,0.965,0.983,1.22089237209852e-09
"Nrn1",3.92329230670465e-14,-0.287703393962466,0.485,0.59,1.36793432857871e-09
"4930567K20Rik",4.0923931397931e-14,0.308350878563241,0.396,0.274,1.42689471605166e-09
"Pde8b",4.2611867334072e-14,-0.303931502235279,0.705,0.761,1.48574797833709e-09
"Spred1",4.48966785462585e-14,-0.254913270884481,0.597,0.682,1.5654124908724e-09
"6530403H02Rik",5.09210809043198e-14,0.442210274875646,0.383,0.264,1.77546532789092e-09
"Rasl10a",5.62456966382983e-14,0.281377974648002,0.42,0.291,1.96111870468755e-09
"Map2k6",7.20584575081718e-14,0.282557398277752,0.51,0.375,2.51246223793743e-09
"Arhgap10",7.66605243129754e-14,-0.265189426051004,0.669,0.747,2.67292250122051e-09
"Gpm6a",7.68072230715707e-14,0.205833398921236,0.951,0.927,2.67803744683646e-09
"Fat3",8.60030914464651e-14,-0.276784354004136,0.774,0.855,2.9986697894639e-09
"Ccser1",8.65503578079047e-14,0.239897371881626,0.963,0.966,3.01775132568821e-09
"Col25a1",9.77886626017237e-14,0.289131694062345,0.342,0.222,3.4095972989343e-09
"Sema6d",9.98801818707053e-14,-0.353819866109263,0.489,0.59,3.48252230128588e-09
"Frmd5",1.05592938257135e-13,-0.301193447786467,0.743,0.813,3.68170897821153e-09
"Ddx17",1.12260730376232e-13,-0.272736274373946,0.649,0.735,3.91419488602807e-09
"Pdp1",1.20053246157457e-13,-0.255456456438363,0.361,0.472,4.18589653377204e-09
"Gramd1b",1.22444504827301e-13,-0.243960197384798,0.597,0.701,4.2692725498135e-09
"Mkln1os",1.43132225020652e-13,0.223342536680753,0.351,0.229,4.99059128979509e-09
"Cacna2d3",1.58484641759138e-13,0.265060507746098,0.901,0.876,5.52588400421587e-09
"Grid2",1.83349389257108e-13,0.288629217285611,0.876,0.853,6.39284315522758e-09
"Cntnap5c",1.84140950701819e-13,-0.357742604695224,0.332,0.459,6.42044252812032e-09
"Cpne4",1.86664250390629e-13,0.311384213945972,0.57,0.447,6.50842241837008e-09
"Macrod2os1",2.860290858109e-13,0.278713281191328,0.563,0.439,9.97297613496865e-09
"Mir99ahg",3.49530624835906e-13,0.231167057525778,0.824,0.745,1.21870842961535e-08
"B3galt1",3.66349447452667e-13,0.201333299836632,0.945,0.923,1.27735061843321e-08
"Plcb4",3.7227671428192e-13,-0.283907165305412,0.59,0.673,1.29801721968677e-08
"Ptprk",3.84561842604304e-13,0.324424239903902,0.905,0.873,1.34085177660843e-08
"Gm26911",4.08212013983358e-13,-0.23865892893547,0.248,0.363,1.42331282915577e-08
"Rpl3",4.86969853656613e-13,0.251423636531754,0.411,0.293,1.69791778874451e-08
"9330162G02Rik",5.05402393746548e-13,0.191598945840935,0.948,0.925,1.76218652627609e-08
"Calm1",7.0520020376418e-13,0.24364792366418,0.972,0.962,2.45882155046457e-08
"4930587E11Rik",1.00118339843061e-12,0.32272059130878,0.585,0.466,3.49082615530799e-08
"Brinp1",1.01042329561771e-12,-0.252931001089073,0.903,0.938,3.52304290483026e-08
"Gm1604a",1.1250059350704e-12,0.159510964292177,0.114,0.044,3.92255819380997e-08
"Epha6",1.41055447160837e-12,-0.404288459211865,0.933,0.945,4.91818027615691e-08
