"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",8.14025423982846e-29,-0.4945124999163,1,1,2.83826244580099e-24
"Gm47283",3.72602968495649e-18,0.737215602163477,0.235,0.009,1.29915477025378e-13
"Snhg11",1.79424900518608e-11,-0.22270705358232,1,1,6.25600800638229e-07
"Ptgds",1.30995213191016e-10,0.602314490225684,0.589,0.33,4.56741009833114e-06
"Meg3",8.88006675423351e-08,-0.154676443506296,1,0.994,0.0030962128751986
"Ptprd",9.50098131826225e-08,0.136525905533516,0.997,1,0.0033127071562385
"Cmss1",4.51225110858978e-07,-0.421045385964011,0.546,0.67,0.01573286594032
"Grm5",9.64999674301956e-07,0.286629650374386,0.997,0.988,0.0336466436438863
"Lrfn5",1.22486586466408e-06,0.341914378420028,0.954,0.888,0.0427073981032424
"Dmd",2.705432844551e-06,0.256355206017362,0.98,0.978,0.0943303269909598
"Syt1",3.88202022512039e-06,0.236967421584858,1,0.997,0.135354399189273
"Rit2",8.78356297800187e-06,0.353348834950846,0.772,0.645,0.306256490353991
"Fgf14",9.38049108875651e-06,0.188486436666974,0.993,1,0.327069582791673
"Camk1d",9.9182769661415e-06,-0.396777129391546,0.689,0.745,0.345820562978456
"Khdrbs2",1.32069395179301e-05,0.431564646289704,0.586,0.421,0.46048636017167
"Dapk3",1.47856666527692e-05,0.262652949026296,0.136,0.037,0.515531839182103
"Gm37602",1.98904668430969e-05,0.226313146991075,0.123,0.031,0.693520907418258
"Nalf1",2.5055060725842e-05,0.20635150385189,0.99,0.984,0.873594802327934
"Macrod2",5.51024288798905e-05,0.217340469641149,0.974,0.966,1
"Cst3",5.57181787340412e-05,0.333304148771147,0.738,0.558,1
"Sntg1",6.23088231116606e-05,0.275781027225264,0.921,0.903,1
"Sncb",7.21757528059975e-05,0.365262293820902,0.424,0.265,1
"Pcp4",7.63990824026951e-05,0.394762727414625,0.626,0.458,1
"Gpc6",7.99392393047494e-05,0.298957076166489,0.934,0.903,1
"Osbpl7",0.000112364433112794,-0.196707057853658,0.01,0.072,1
"Ccser1",0.00012090675449892,0.220137529363604,0.95,0.919,1
"Esd",0.000126530819199952,0.340416989873391,0.225,0.109,1
"Stk3",0.000128505536689932,0.310663697874729,0.278,0.143,1
"Gm16185",0.000175666004099949,0.165895876514019,0.073,0.012,1
"Mllt3",0.000184639274870324,0.263280277084036,0.536,0.364,1
"Kcnj3",0.000199539785020806,0.27633129415072,0.821,0.769,1
"Lims1",0.000204543023617694,0.293590366182706,0.417,0.262,1
"Nrg2",0.00020991744030237,-0.386717968667033,0.454,0.564,1
"Hip1",0.000233857420673666,-0.340110892938422,0.45,0.555,1
"Gm43857",0.000247809381883522,0.126244692172785,0.05,0.003,1
"Npm1",0.00025644443916405,0.367901216573647,0.387,0.252,1
"Rpl28",0.000294853310452205,0.275377296970588,0.381,0.227,1
"Gm44847",0.000300405364306031,0.271925564118554,0.152,0.062,1
"Malat1",0.000315918607658539,-0.103562145976612,1,1,1
"Cacng3",0.000318289977005081,0.323366424668495,0.238,0.128,1
"Il1rapl1",0.000341176747724012,0.183265040428508,0.987,0.991,1
"Fam131a",0.000357782986142064,-0.330224871019844,0.255,0.371,1
"Rtl8a",0.000413453255436992,0.350282019938889,0.228,0.121,1
"Dbp",0.000477183563322764,0.210259720413387,0.106,0.034,1
"Tspyl4",0.000501569213233638,0.327539044369633,0.599,0.467,1
"Mical2",0.000515770731356612,-0.246678746154129,0.613,0.685,1
"Etv1",0.00055115749152746,0.276898997493729,0.891,0.807,1
"Sema5a",0.000574646403168437,-0.376098862564054,0.242,0.355,1
"Cntnap2",0.000577925967948999,0.177184187078274,0.99,0.991,1
"ENSMUSG00000120795",0.000688671517806852,0.217799766833601,0.139,0.056,1
"Ndufs7",0.00070598838232885,0.206039725257335,0.291,0.165,1
"Nap1l5",0.000707676011811996,0.328911279148521,0.649,0.477,1
"Ppia",0.000723145227022104,0.221087011413519,0.765,0.614,1
"Adgrb3",0.000734093346674627,0.174535149606307,0.983,0.994,1
"Bicral",0.000743376282054095,-0.33679147287177,0.374,0.467,1
"Akirin1",0.000756450768976319,-0.27678730557725,0.079,0.165,1
"Tmeff2",0.000757272994200216,0.26207094762803,0.894,0.798,1
