"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",1.26012465414606e-52,-0.53809333899854,0.997,1,4.39367663161106e-48
"Ptgds",3.97771425822448e-16,0.75599227711024,0.589,0.371,1.38690963041513e-11
"Gm47283",1.02351765267213e-14,0.657177561116699,0.124,0.006,3.5686989995719e-10
"Cmss1",8.64819750411216e-12,-0.565416290454724,0.465,0.627,3.01536702375879e-07
"Mir6236",6.02109323398083e-11,-0.634030458564265,0.225,0.381,2.0993745778921e-06
"Nlgn1",8.48933388811119e-11,0.26695806816615,0.984,0.974,2.95997604676773e-06
"Cst3",2.76159099672333e-10,0.479947430089171,0.697,0.517,9.62883932827523e-06
"Lsamp",1.15946752248712e-08,0.156000290799153,0.991,0.994,0.000404271541065586
"Nrxn1",7.13419158145282e-08,0.225522128595283,0.967,0.971,0.00248747857870516
"Apoe",6.71800453720859e-07,0.355735525092518,0.811,0.703,0.0234236664198852
"Dscam",1.1362250380334e-06,0.237534938507955,0.952,0.961,0.0396167584011106
"Pcdh9",1.60829793475457e-06,0.233685831061117,0.982,0.976,0.0560765240910878
"Csmd1",3.29674370190615e-06,0.17529069463353,0.966,0.978,0.114947562654362
"Ptprd",5.80193985731489e-06,-0.17485047661448,0.72,0.845,0.202296237004998
"Kctd16",9.37993780767012e-06,-0.295168002805249,0.136,0.242,0.327050291540034
"Grik2",1.18079382817937e-05,0.317428281417246,0.832,0.78,0.411707384071299
"Atp5j",1.28750622572817e-05,0.373134332520055,0.232,0.132,0.448914795724643
"Hdac9",2.0147735618194e-05,-0.424574774144008,0.261,0.371,0.702491097799569
"Cntn6",2.15803067991844e-05,0.387118740956384,0.49,0.379,0.752440557167163
"Ndufb8",2.46161700960339e-05,0.35022582775458,0.189,0.098,0.858292002738414
"Ctnna2",2.87082016648776e-05,0.201075475880873,0.925,0.892,1
"Camkk2",3.00594917453667e-05,-0.383006998435562,0.075,0.149,1
"9630028H03Rik",3.00840725080701e-05,0.399244476689566,0.286,0.181,1
"Grid2",3.29726236471916e-05,0.188368191613273,0.963,0.953,1
"Erbb4",4.04410350630482e-05,0.170002401681446,0.964,0.949,1
"Il1rapl1",9.43123529657255e-05,0.186892218732358,0.97,0.969,1
"E230020A03Rik",0.00018564470441856,-0.208342882656266,0.01,0.045,1
"Tuba1a",0.000230223248923437,0.225060798953066,0.552,0.458,1
"Lrp1b",0.000268837963032773,0.15496890828113,0.979,0.961,1
"Traf4",0.000272247970514852,0.277366372270637,0.16,0.086,1
"Selenok",0.000281436502085105,0.376193324804172,0.235,0.153,1
"Pcsk1n",0.000378373960428445,0.36543418112709,0.438,0.338,1
"Baz2a",0.000391057830939028,-0.299528827492594,0.064,0.124,1
"Chka",0.00039314071480581,0.265477045498264,0.223,0.138,1
"Nrg3os",0.000450862050452702,0.405035793408443,0.27,0.183,1
"Gapdh",0.000465208783960356,0.349658236345244,0.517,0.417,1
"Cul1",0.000466331130713655,-0.314118191939636,0.214,0.301,1
"Psmb3",0.000469393005373076,0.358210675310544,0.129,0.067,1
"Agap1",0.000475091749225636,-0.269654761834813,0.52,0.595,1
"Csmd3",0.000489917520505329,0.159105081753825,0.94,0.945,1
"Lrrc4c",0.000503392106622527,0.158174881831552,0.985,0.988,1
"Tmem9b",0.000569103209323242,0.300090621357791,0.096,0.043,1
"Gm3294",0.000570339363463541,-0.100545966709669,0,0.018,1
"Deaf1",0.000586654803652555,-0.256748255241839,0.034,0.081,1
"Opcml",0.000635374454731796,0.174463412181517,0.978,0.986,1
"ENSMUSG00000121315",0.00066624064730213,0.111226716816146,0.022,0,1
"Galk2",0.000680391690523317,0.247028877508895,0.096,0.043,1
"Fam126b",0.000761469544976936,0.306798861322435,0.151,0.086,1
"Gm49614",0.00082468142751347,0.232921165235547,0.075,0.029,1
"Adam12",0.000845566756390649,0.262933576993634,0.438,0.346,1
"Pde4b",0.000855696185905078,0.219759256685092,0.894,0.859,1
"Luc7l3",0.000871458040786193,-0.322018919398024,0.28,0.369,1
"Setd5",0.000918964609381535,0.243314327307417,0.448,0.344,1
"Nsd1",0.00101404874265793,-0.269606824102752,0.399,0.487,1
"Fundc2",0.00101814110834998,0.195596228760977,0.055,0.018,1
