"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm47283",0,0.645052842883288,0.286,0.023,0
"Rn18s-rs5",6.52638112692199e-238,-0.232789847788315,0.999,1,2.27555330752389e-233
"Snhg11",9.44614553710395e-183,-0.258365979847586,0.986,0.996,3.29358756442203e-178
"Kcnma1",4.05741677696063e-163,-0.335290458698173,0.931,0.976,1.41469950762286e-158
"Ptgds",2.4793612150939e-126,0.770724109252504,0.568,0.356,8.6447887486679e-122
"Cst3",1.12061736013846e-117,0.662233788849025,0.711,0.522,3.90725654959477e-113
"Nav3",4.00561137626006e-107,-0.240023935879805,0.947,0.983,1.39663651856059e-102
"Abi3bp",5.06206432397257e-95,-0.404010917786581,0.117,0.276,1.76498996783951e-90
"Hecw2",1.53542164715097e-93,-0.328742783416476,0.841,0.913,5.35355465712128e-89
"Cmss1",5.79344278207275e-89,-0.252830533143809,0.539,0.689,2.01999969482531e-84
"Tmem132d",3.16250270274507e-70,-0.350618541004504,0.712,0.805,1.10266981736612e-65
"Slit2",3.43122796635169e-70,-0.422933366295241,0.431,0.562,1.19636625502784e-65
"Meg3",1.05831175807304e-68,-0.165421740157622,0.989,0.997,3.69001560687326e-64
"Rad51ap2",1.34523267485968e-68,-0.370015502429767,0.294,0.436,4.69042276743325e-64
"Apoe",4.81563926930516e-64,0.580996629833807,0.458,0.309,1.67906894402863e-59
"Klf10",3.96150133075222e-59,-0.276870618559019,0.137,0.255,1.38125666899338e-54
"Cacna1a",3.90186330280457e-58,-0.212049428314886,0.907,0.95,1.36046267778887e-53
"Gapdh",5.07706072312704e-58,0.491355450592852,0.764,0.664,1.77021876233271e-53
"Fgf1",1.01987854018925e-55,0.345276212702863,0.236,0.125,3.55601050607785e-51
"Adam23",1.97316000750894e-55,-0.261924700374222,0.63,0.73,6.87981699818142e-51
"Gm47423",1.38162960520791e-54,-0.348331921997439,0.202,0.322,4.81732794447842e-50
"Sgcz",4.52918634196508e-53,-0.241483459091544,0.895,0.951,1.57919140185296e-48
"Arc",4.90077062888228e-52,-0.219119657125856,0.048,0.13,1.70875169517239e-47
"Tacc1",2.74018309301974e-48,-0.258062019069587,0.631,0.723,9.55419639043194e-44
"Cadps2",6.12062813320413e-48,-0.360245729488577,0.443,0.57,2.13407941120428e-43
"Arhgap26",1.40121621549027e-47,0.267506163995115,0.185,0.092,4.88562057854993e-43
"Mir6236",1.7824366917311e-46,-0.157972798315119,0.258,0.379,6.21482201305881e-42
"Slc9a9",5.63839739430693e-46,-0.339860263666243,0.617,0.694,1.965940019473e-41
"Cap2",2.24572137048187e-45,-0.240376650549199,0.724,0.803,7.83015670245914e-41
"Plcb1",2.65936588739023e-45,-0.187461491950339,0.925,0.969,9.27241103956353e-41
"Nrgn",4.07666770913792e-44,0.358518148146379,0.916,0.877,1.42141173014512e-39
"Adgrb3",8.15873558939918e-44,0.172806541555034,0.948,0.984,2.84470633795581e-39
"1700016P03Rik",2.08665171878868e-43,-0.297537237514647,0.142,0.24,7.27552854790049e-39
"Gm20752",2.42405374237909e-41,-0.289790619395873,0.093,0.18,8.45194818355317e-37
"A230057D06Rik",4.02008717391676e-41,0.286879890212927,0.87,0.866,1.40168379492956e-36
"Gm43670",1.27157340610565e-40,-0.284267064025495,0.445,0.547,4.43359499506857e-36
"Nr4a1",3.61894620550701e-40,-0.225545880451225,0.206,0.311,1.26181797347413e-35
"Kalrn",5.4497069936384e-40,-0.152970837413262,0.937,0.979,1.9001493374719e-35
