"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",1.168223201665e-105,-0.63764291911273,0.999,0.999,4.07324383724537e-101
"Ptprd",7.25525074589375e-64,0.319563416583574,1,0.999,2.52968827757078e-59
"Egr1",5.83641026315376e-59,-0.966426484867764,0.121,0.442,2.03498116645382e-54
"Homer1",1.27774079267084e-50,-1.01380992483882,0.685,0.828,4.4550988218054e-46
"Hsp90ab1",2.30144577572913e-46,-0.660372557991135,0.844,0.947,8.02445098623477e-42
"Calm2",4.98616117248181e-45,-0.520947061289924,0.92,0.968,1.73852481600923e-40
"Calm1",2.26146640050934e-43,-0.555369106749021,0.962,0.983,7.8850548986559e-39
"1700016P03Rik",7.57541633155311e-40,-0.833022287687337,0.075,0.311,2.64132041232262e-35
"Nrxn3",3.62806838305383e-37,0.27730736682507,0.995,0.995,1.26499860311938e-32
"Arc",4.88944103575039e-36,-0.697254632818282,0.051,0.26,1.70480140593509e-31
"Pcdh9",5.51781862773952e-34,0.269679566565314,0.991,0.998,1.92389782093394e-29
"Kcnh7",2.55550271497841e-32,0.363107257360339,0.981,0.99,8.91027131631524e-28
"Tmem267",2.97236811320753e-31,-0.956902684228915,0.038,0.215,1.03637559003207e-26
"Hspa5",1.07016353755318e-30,-0.603253105996654,0.356,0.572,3.73133920638668e-26
"mt-Rnr1",1.56217248828116e-30,-0.770616315269008,0.726,0.829,5.44682681488992e-26
"Bc1",2.18335718760084e-28,-0.57527743860907,0.374,0.59,7.61271150600783e-24
"Egr3",1.57605618707115e-27,-0.458553546245875,0.029,0.19,5.495235107461e-23
"Actb",1.98386324072453e-27,-0.521752893535549,0.667,0.794,6.91713596143423e-23
"Fth1",2.70015444198901e-27,-0.475226472983015,0.807,0.903,9.41462849288308e-23
"Dmd",1.17431484425361e-26,0.370291974423743,0.969,0.979,4.09448356745905e-22
"Mgat4c",1.6875819946083e-26,0.486972332898291,0.965,0.96,5.88409214060076e-22
"Rtn1",2.83918592821392e-26,-0.38603261250942,0.934,0.965,9.89938957590348e-22
"Hspa8",3.58205649815751e-26,-0.510363747167494,0.672,0.796,1.24895563921258e-21
"Nrg3",4.16940261758309e-26,0.208269589050441,0.995,0.998,1.4537456106727e-21
"Nrg1",8.27842482360697e-26,0.385860725667994,0.987,0.988,2.88643838324704e-21
"Mdga2",3.08635646313453e-25,0.292541682747137,0.987,0.99,1.07611990800112e-20
"Atp6v0c",8.12355256060881e-25,-0.426198492808148,0.812,0.91,2.83243907130747e-20
"Tmsb4x",2.77505764743362e-24,-0.441873378009944,0.615,0.788,9.67579349930682e-20
"Luc7l2",3.16633252455727e-24,0.382968095819672,0.928,0.865,1.10400516133738e-19
"Aldoa",7.29766538322448e-23,-0.468676774650875,0.691,0.8,2.54447698916888e-18
"mt-Rnr2",9.59205628519817e-23,-0.717643681748649,0.84,0.888,3.34446226496004e-18
"Lrp1b",3.10423308872764e-22,0.302541475274972,0.993,0.994,1.08235295104667e-17
"Olfm1",5.47495955050172e-22,-0.41514273823072,0.798,0.884,1.90895414647343e-17
"Basp1",2.33967813291252e-21,-0.398221182453014,0.854,0.909,8.15775574602608e-17
"Gapdh",4.67588171663314e-21,-0.43393488680293,0.767,0.86,1.63033967813848e-16
"A330102I10Rik",5.92657382053698e-21,0.476693056312943,0.69,0.489,2.06641849400663e-16
"Pde10a",6.13182398124857e-21,-0.415983179486703,0.89,0.935,2.13798306754194e-16
"Celf2",6.36663959907175e-21,0.213457410769083,0.993,0.996,2.21985622900835e-16
"Dynll1",1.67964183282341e-20,-0.437803422437891,0.53,0.692,5.85640717850538e-16
"Nav3",1.73029030422791e-20,0.256390213356829,0.987,0.993,6.03300320375146e-16
"Ppia",2.30758712583367e-20,-0.403046289765732,0.719,0.831,8.04586403164427e-16
"Junb",3.04919291896762e-20,-0.569916216530873,0.089,0.245,1.06316209505644e-15
"1700085D07Rik",4.30456388964189e-20,-0.460232039074623,0.421,0.601,1.50087229140144e-15
"Ptk2",5.15748692942537e-20,-0.295249597861559,0.937,0.964,1.79826096768274e-15
"Cdh18",9.66875378764161e-20,0.423207748910009,0.967,0.966,3.371204383137e-15
"Gtdc1",9.68694338041212e-20,0.455383699581267,0.767,0.624,3.37754654844829e-15
"Cadm2",1.11445826193597e-19,0.276989893284242,0.982,0.988,3.88578162189214e-15
"Hsp90aa1",1.93400626386449e-19,-0.438292194489996,0.69,0.793,6.74329964021632e-15
"Ncam2",2.0234904705023e-19,0.436261195893923,0.942,0.937,7.05530422350037e-15
"Marchf1",4.84502107391869e-19,0.431567433588147,0.91,0.879,1.68931349784323e-14
"Magi2",3.68961560022485e-18,0.222235316461292,0.985,0.994,1.2864582713304e-13
"Arpp21",5.84476598670544e-18,0.215765088535643,0.984,0.993,2.03789455658459e-13
"2210408I21Rik",1.11409396977595e-17,0.459098198613411,0.691,0.53,3.88451144441782e-13
"Atp1a1",1.2959978430398e-17,-0.407317614532064,0.569,0.701,4.51875567932688e-13
"Atp1b1",5.73035902873287e-17,-0.354964651075698,0.851,0.902,1.99800428254829e-12
"Eif1",8.44073169539008e-17,-0.410104405942957,0.624,0.746,2.94302992023166e-12
"Chchd2",3.06077610082623e-16,-0.419678594900589,0.396,0.553,1.06720080307508e-11
"Spred1",5.5547327346084e-16,-0.4423767007757,0.471,0.606,1.93676866257591e-11
"Foxp2",6.2441568509882e-16,0.359531342598543,0.905,0.853,2.17715016923406e-11
"Gm47283",6.307104724893e-16,0.35156839346973,0.294,0.142,2.19909820442844e-11
"Syt1",8.74151482067711e-16,0.187562220062611,0.988,0.998,3.04790397252549e-11
"Rbfox1",9.02922543221562e-16,0.318389206157874,0.993,0.996,3.14822003145062e-11
"Nr4a2",1.01484385155749e-15,-0.314955786443066,0.02,0.115,3.53845605722549e-11
"Lsamp",1.48819256037112e-15,0.349706838347223,0.981,0.994,5.18888100024599e-11
"Kmt2a",1.49515345605355e-15,-0.399356968426586,0.623,0.739,5.2131515552219e-11
"Pak5",4.15096428560902e-15,0.309925288464512,0.926,0.906,1.4473167174633e-10
"Prpf4b",5.14806644061892e-15,-0.325174984848216,0.848,0.894,1.7949763258506e-10
