"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","2610035D17Rik",1.14e-07,0.296085273,0.268,0.175,0.003961416,NA,"Ssrp1","Ssrp1",-0.0207043,1,0.296085273,0.204236640993577,-0.0623710647301732,0.247,0.268,1,-0.0623710647301732,"non-sig","#00AFBB"
"2","9330159F19Rik",8.33e-07,0.264180389,0.22,0.139,0.029034423,NA,"Ncor1","Ncor1",-0.047744122,1,0.264180389,0.0014508640610321,-0.200781633658572,0.174,0.22,1,-0.200781633658572,"non-sig","#00AFBB"
"3","Acss2",3.73e-25,-0.767162699,0.254,0.41,1.3e-20,NA,"Irf3","Irf3",-0.059559285,1,-0.767162699,1.88060221242124e-08,0.387166992028472,0.334,0.254,0.000655709573404912,0.387166992028472,"sig","#E7B800"
"4","Adamts20",1.06e-11,0.305391869,0.079,0.019,3.71e-07,NA,"Nanog","Nanog",0,1,0.305391869,0.00169452445377807,-0.138068899740751,0.051,0.079,1,-0.138068899740751,"non-sig","#00AFBB"
"5","Agmo",5.38e-10,0.417693187,0.427,0.31,1.88e-05,NA,"Ets1","Ets1",0.018192123,1,0.417693187,0.0704346854173701,-0.141494330037182,0.404,0.427,1,-0.141494330037182,"non-sig","#00AFBB"
"6","Akt2",1.76e-12,-0.528267924,0.153,0.246,6.14e-08,NA,"Stat2","Stat2",0.036492987,1,-0.528267924,3.67858072908034e-06,0.283473978261118,0.211,0.153,0.128261074280844,0.283473978261118,"non-sig","#00AFBB"
"7","Apba2",4e-08,-0.384582084,0.374,0.441,0.001395283,NA,"Klf4","Klf4",0.017184191,1,-0.384582084,1.82188136304872e-05,0.269241656371294,0.432,0.374,0.635235374854196,0.269241656371294,"non-sig","#00AFBB"
"8","Apod",1.24e-06,0.586212269,0.22,0.149,0.04329461,NA,"Bhlhe40","Bhlhe40",0.035322466,1,0.586212269,0.0138693422971719,-0.249480087179135,0.187,0.22,1,-0.249480087179135,"non-sig","#00AFBB"
"9","Apoe",1.86e-30,0.489946783,0.942,0.844,6.5e-26,NA,"Hoxb4","Hoxb4",0,1,0.489946783,2.04941477911716e-10,-0.234171054318931,0.906,0.942,7.14569451034781e-06,-0.234171054318931,"sig","#E7B800"
"10","Arglu1",3.49e-07,0.222708145,0.632,0.507,0.012162627,NA,"Med23","Med23",-0.01031333,1,0.222708145,0.880857772694616,0.019923801594858,0.607,0.632,1,0.019923801594858,"non-sig","#00AFBB"
"11","Asic2",7.94e-35,0.660060622,0.532,0.307,2.77e-30,NA,"Rara","Rara",0.001802945,1,0.660060622,5.74236854246422e-06,-0.289147034971052,0.469,0.532,0.2002191639701,-0.289147034971052,"non-sig","#00AFBB"
"12","Atp1a2",7.56e-11,0.302392378,0.92,0.877,2.64e-06,NA,"Onecut1","Onecut1",0,1,0.302392378,8.76722261415924e-08,-0.273018267265583,0.906,0.92,0.0030568675088789,-0.273018267265583,"sig","#E7B800"
