"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","1110032A03Rik",1.71e-11,0.08737061,0.242,0.183,5.95e-07,NA,"","",NA,NA,0.08737061,0.252168821127634,-0.0185908214762512,0.232,0.242,1,-0.0185908214762512,"non-sig","#00AFBB"
"2","1700008O03Rik",7.86e-07,0.034211938,0.1,0.072,0.027402772,NA,"","",NA,NA,0.034211938,0.0102577718910456,-0.0182776828872111,0.084,0.1,1,-0.0182776828872111,"non-sig","#00AFBB"
"3","1700016P03Rik",1.24e-43,-0.316645616,0.14,0.24,4.34e-39,NA,"Nanog","Nanog",-0.000204628,1,-0.316645616,4.1176315113512e-08,-0.108030337057048,0.105,0.14,0.00143569457906282,-0.108030337057048,"sig","#E7B800"
"4","1700037C18Rik",1.75e-07,0.062040418,0.194,0.152,0.006086808,NA,"","",NA,NA,0.062040418,0.00354337933813839,-0.0499203508738794,0.171,0.194,1,-0.0499203508738794,"non-sig","#00AFBB"
"5","1700087I21Rik",4.43e-20,0.12744784,0.248,0.171,1.55e-15,NA,"Atf2","Atf2",-0.016385346,1,0.12744784,0.00027906053626087,-0.0645017575150791,0.216,0.248,1,-0.0645017575150791,"non-sig","#00AFBB"
"6","1700111E14Rik",8.59e-08,0.119837702,0.605,0.548,0.00299641,NA,"","",NA,NA,0.119837702,8.81297215303844e-10,0.154574251765252,0.645,0.605,3.07281900059991e-05,0.154574251765252,"sig","#E7B800"
"7","1700126G02Rik",1.92e-09,0.08047197,0.122,0.085,6.69e-05,NA,"","",NA,NA,0.08047197,0.721024031116741,-0.0166116042585353,0.124,0.122,1,-0.0166116042585353,"non-sig","#00AFBB"
"8","1810034E14Rik",6.01e-10,0.094274665,0.28,0.221,2.1e-05,NA,"","",NA,NA,0.094274665,5.79165691315036e-19,-0.172423729180279,0.204,0.28,2.01937701590813e-14,-0.172423729180279,"sig","#E7B800"
"9","2210408F21Rik",9.41e-07,0.109754294,0.714,0.681,0.032802297,NA,"","",NA,NA,0.109754294,0.0173360001276827,-0.0599778310750787,0.701,0.714,1,-0.0599778310750787,"non-sig","#00AFBB"
"10","2210408I21Rik",2.6e-18,-0.140033541,0.695,0.734,9.07e-14,NA,"Ep400","Ep400",-0.011169342,1,-0.140033541,2.11904371074173e-15,0.157134986538993,0.728,0.695,7.38846970624319e-11,0.157134986538993,"sig","#E7B800"
"11","2610044O15Rik8",3.24e-07,0.058750341,0.173,0.134,0.011303704,NA,"","",NA,NA,0.058750341,0.0389889895783589,-0.0238100623959296,0.157,0.173,1,-0.0238100623959296,"non-sig","#00AFBB"
"12","2610316D01Rik",6.07e-07,0.065476778,0.313,0.261,0.021172906,NA,"","",NA,NA,0.065476778,0.567882831308686,-0.00941812584426516,0.306,0.313,1,-0.00941812584426516,"non-sig","#00AFBB"
"13","2700069I18Rik",8.07e-07,0.06594362,0.11,0.081,0.028124315,NA,"","",NA,NA,0.06594362,0.80377432521525,-0.00380953562908976,0.108,0.11,1,-0.00380953562908976,"non-sig","#00AFBB"
"14","2900022M07Rik",4.36e-07,0.070053972,0.312,0.258,0.015214646,NA,"","",NA,NA,0.070053972,0.912565979524386,0.0164910225933413,0.31,0.312,1,0.0164910225933413,"non-sig","#00AFBB"
"15","2900027M19Rik",1.23e-07,0.085398982,0.416,0.353,0.00429935,NA,"","",NA,NA,0.085398982,0.100217816863574,0.0335635831201934,0.429,0.416,1,0.0335635831201934,"non-sig","#00AFBB"
"16","2900076A07Rik",5.76e-08,0.063919174,0.152,0.113,0.002007143,NA,"","",NA,NA,0.063919174,2.97065486595564e-05,-0.0608060671927146,0.122,0.152,1,-0.0608060671927146,"non-sig","#00AFBB"
"17","2900092N22Rik",1.79e-07,0.027159485,0.03,0.015,0.006255038,NA,"","",NA,NA,0.027159485,0.602549903640876,-0.00146084020102062,0.028,0.03,1,-0.00146084020102062,"non-sig","#00AFBB"
"18","3110039M20Rik",6.37e-15,0.105755774,0.217,0.154,2.22e-10,NA,"Hdac1","Hdac1",0.006796192,1,0.105755774,0.00156150853960836,0.0653242113985857,0.24,0.217,1,0.0653242113985857,"non-sig","#00AFBB"
"19","3110067C02Rik",1.11e-06,0.016588758,0.019,0.008,0.038592684,NA,"","",NA,NA,0.016588758,0.0555258928025745,-0.0116199146922203,0.014,0.019,1,-0.0116199146922203,"non-sig","#00AFBB"
"20","3300002I08Rik",2.02e-07,0.051073598,0.14,0.105,0.007040424,NA,"","",NA,NA,0.051073598,0.366331139354041,0.00522028008564668,0.133,0.14,1,0.00522028008564668,"non-sig","#00AFBB"
"21","4732471J01Rik",8.61e-09,0.102111936,0.54,0.47,0.000300359,NA,"","",NA,NA,0.102111936,0.168026814256153,-0.0351277740788913,0.524,0.54,1,-0.0351277740788913,"non-sig","#00AFBB"
"22","4833422C13Rik",3.41e-10,0.07938341,0.282,0.222,1.19e-05,NA,"","",NA,NA,0.07938341,0.42599499960009,-0.0034953810738938,0.272,0.282,1,-0.0034953810738938,"non-sig","#00AFBB"
"23","4930474M22Rik",1.85e-10,0.04423854,0.049,0.026,6.45e-06,NA,"","",NA,NA,0.04423854,0.0585716712047615,-0.0154862598758481,0.041,0.049,1,-0.0154862598758481,"non-sig","#00AFBB"
"24","4930547E14Rik",8.65e-13,0.151744005,0.223,0.168,3.02e-08,NA,"Bcl11b","Bcl11b",-0.00955671,1,0.151744005,1.41236163408314e-07,0.138069666692276,0.265,0.223,0.0049244813095577,0.138069666692276,"sig","#E7B800"
