"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","1700111E14Rik",1.1e-07,0.371703668,0.376,0.304,0.003819256,NA,"","",NA,NA,0.371703668,0.0789177445897719,-0.247235349420765,0.371,0.376,1,-0.247235349420765,"non-sig","#00AFBB"
"2","2210408F21Rik",5.93e-07,-0.172481054,0.439,0.509,0.020664699,NA,"","",NA,NA,-0.172481054,3.07333672120513e-08,0.20101975117083,0.531,0.439,0.00107158031458259,0.20101975117083,"sig","#E7B800"
"3","2900079G21Rik",4.58e-20,0.446934104,0.095,0.02,1.6e-15,NA,"Elf5","Elf5",0,1,0.446934104,1.28446246148088e-16,-0.386678730746834,0.026,0.095,4.4785352644454e-12,-0.386678730746834,"sig","#E7B800"
"4","4930428E07Rik",4.15e-07,0.228166751,0.097,0.052,0.014477772,NA,"","",NA,NA,0.228166751,1.0143026176382e-07,-0.249663346818211,0.05,0.097,0.0035365689369191,-0.249663346818211,"sig","#E7B800"
"5","4930445B16Rik",2.84e-10,-0.286116277,0.245,0.336,9.9e-06,NA,"Tead4","Tead4",0.002898017,1,-0.286116277,4.86981771100167e-08,0.165771653450094,0.331,0.245,0.00169795934129495,0.165771653450094,"sig","#E7B800"
"6","4930555F03Rik",1.66e-11,0.612102145,0.218,0.136,5.79e-07,NA,"Fos","Fos",0.021526985,1,0.612102145,1.62500142425777e-09,-0.548939967790779,0.145,0.218,5.66589246595957e-05,-0.548939967790779,"sig","#E7B800"
"7","6330411D24Rik",1.86e-10,-0.429696114,0.256,0.344,6.48e-06,NA,"Sin3a","Sin3a",0.006239257,1,-0.429696114,8.59867394005557e-09,0.464301187766944,0.331,0.256,0.000299809964267918,0.464301187766944,"sig","#E7B800"
"8","9330158H04Rik",1.9e-08,0.190429981,0.059,0.021,0.00066314,NA,"","",NA,NA,0.190429981,0.000242248435206719,-0.168965408147886,0.033,0.059,1,-0.168965408147886,"non-sig","#00AFBB"
"9","9330162G02Rik",4.21e-07,-0.148863822,0.806,0.905,0.014689612,NA,"","",NA,NA,-0.148863822,4.4724099746618e-11,0.209893044788499,0.887,0.806,1.55939518586533e-06,0.209893044788499,"sig","#E7B800"
"10","A230006K03Rik",1.87e-09,-0.267357413,0.485,0.581,6.51e-05,NA,"","",NA,NA,-0.267357413,4.90104242816189e-13,0.294440451290692,0.603,0.485,1.70884646342721e-08,0.294440451290692,"sig","#E7B800"
"11","A330008L17Rik",1.43e-06,-0.249183317,0.186,0.247,0.049952581,NA,"","",NA,NA,-0.249183317,9.79293690860386e-07,0.205252220652113,0.25,0.186,0.0341450331192291,0.205252220652113,"sig","#E7B800"
"12","A330015K06Rik",5.57e-13,-0.232210389,0.43,0.567,1.94e-08,NA,"Kdm6a","Kdm6a",0.085546277,1,-0.232210389,7.29686201408931e-31,0.472203881435395,0.631,0.43,2.54419687845252e-26,0.472203881435395,"sig","#E7B800"
"13","A330023F24Rik",1.42e-06,-0.126934529,0.616,0.713,0.049505097,NA,"","",NA,NA,-0.126934529,0.020620673379722,0.0284966333631613,0.702,0.616,1,0.0284966333631613,"non-sig","#00AFBB"
"14","A330102I10Rik",5.47e-08,-0.241215625,0.345,0.42,0.001905761,NA,"","",NA,NA,-0.241215625,0.00315648925360924,0.0930229471585799,0.396,0.345,1,0.0930229471585799,"non-sig","#00AFBB"
"15","A430010J10Rik",2.79e-07,-0.194977172,0.076,0.125,0.009717224,NA,"","",NA,NA,-0.194977172,0.000248436145601981,0.106156087909458,0.111,0.076,1,0.106156087909458,"non-sig","#00AFBB"
"16","A530058N18Rik",6.98e-08,-0.17595915,0.111,0.171,0.002433402,NA,"","",NA,NA,-0.17595915,4.293443492634e-06,0.111662634817588,0.164,0.111,0.14969949425767,0.111662634817588,"non-sig","#00AFBB"
"17","A830018L16Rik",2.82e-11,-0.278805138,0.569,0.684,9.84e-07,NA,"Sox2","Sox2",-0.057810129,1,-0.278805138,9.88878627106495e-08,0.209462726254611,0.669,0.569,0.00344792310913222,0.209462726254611,"sig","#E7B800"
"18","A930009A15Rik",1.14e-22,0.507611596,0.09,0.013,3.99e-18,NA,"Pou3f1","Pou3f1",-0.004911632,1,0.507611596,1.61145876882891e-21,-0.504690366176897,0.015,0.09,5.61867328927577e-17,-0.504690366176897,"sig","#E7B800"
