"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","9630028H03Rik",8.90217331943956e-07,0.443609136800112,0.322,0.182,0.0310392077128899,0.443609136800112,0.995503156553195,-0.0553936545247842,0.319,0.322,1,-0.0553936545247842,"non-sig","#00AFBB"
"2","Adarb2",1.15852659630159e-06,0.364284202092791,0.883,0.814,0.0403943468332475,0.364284202092791,0.0531216787769363,-0.17483648435792,0.88,0.883,1,-0.17483648435792,"non-sig","#00AFBB"
"3","Calm1",1.72453471015151e-09,-0.462956666399149,0.712,0.799,6.01293517388526e-05,-0.462956666399149,0.31460316983734,0.0469402512805965,0.709,0.712,1,0.0469402512805965,"non-sig","#00AFBB"
"4","Cmss1",2.37730688984677e-07,-0.483703814400273,0.541,0.627,0.00828895593282873,-0.483703814400273,0.432578659009224,-0.0399660237065671,0.501,0.541,1,-0.0399660237065671,"non-sig","#00AFBB"
"5","Csmd1",2.41965600763559e-08,0.222251922696425,0.985,0.979,0.0008436614601823,0.222251922696425,0.794236056938921,0.00852750306260663,0.984,0.985,1,0.00852750306260663,"non-sig","#00AFBB"
"6","Dscam",8.34055858097011e-07,0.271024890060868,0.969,0.961,0.0290810256042685,0.271024890060868,0.0421427910756502,0.0854852007536904,0.984,0.969,1,0.0854852007536904,"non-sig","#00AFBB"
"7","Echdc2",1.07695400933249e-10,0.541062787836198,0.173,0.045,3.75501554433958e-06,0.541062787836198,1.26972100575091e-11,-0.588396675542999,0.047,0.173,4.42713623075169e-07,-0.588396675542999,"sig","#E7B800"
"8","Fry",1.04824850700573e-08,0.389098974926088,0.762,0.572,0.000365492806937688,0.389098974926088,0.0628708884691152,-0.107265245646169,0.698,0.762,1,-0.107265245646169,"non-sig","#00AFBB"
"9","Gm11149",8.55287380445312e-07,0.546937028606562,0.38,0.236,0.0298213050939867,0.546937028606562,0.897486498049276,-0.0400399947801782,0.367,0.38,1,-0.0400399947801782,"non-sig","#00AFBB"
"10","Gm47283",6.06825960379064e-12,0.509961942523392,0.104,0.006,2.11582007605368e-07,0.509961942523392,1.08356596609613e-14,-0.534701832551248,0.002,0.104,3.77806945398736e-10,-0.534701832551248,"sig","#E7B800"
"11","Grik2",7.82687913141711e-08,0.372010817179225,0.893,0.779,0.0027289979467512,0.372010817179225,0.556174171826796,0.00572640405982794,0.872,0.893,1,0.00572640405982794,"non-sig","#00AFBB"
"12","Kazn",5.63179151067056e-13,0.486400872434471,0.779,0.57,1.9636367460255e-08,0.486400872434471,0.000606269844585036,-0.191212452803672,0.711,0.779,1,-0.191212452803672,"non-sig","#00AFBB"
"13","Kcnip1",1.25696286510224e-07,0.441284218465694,0.48,0.309,0.00438265242175198,0.441284218465694,4.04459214691428e-07,-0.441192116022565,0.336,0.48,0.014102279438646,-0.441192116022565,"sig","#E7B800"
"14","Lhfpl3",6.21878424050194e-07,-0.253012668319054,0.944,0.943,0.0216830350113581,-0.253012668319054,0.0281730497118677,0.111255966259832,0.962,0.944,1,0.111255966259832,"non-sig","#00AFBB"
"15","Mir6236",5.98319696713422e-07,-0.558090658134797,0.278,0.383,0.0208616128653069,-0.558090658134797,0.138978535288891,-0.139533884902938,0.232,0.278,1,-0.139533884902938,"non-sig","#00AFBB"
"16","Nkain3",4.6942560401734e-08,0.539639590733186,0.532,0.365,0.00163674625352726,0.539639590733186,0.0522212974855154,-0.18899701099196,0.478,0.532,1,-0.18899701099196,"non-sig","#00AFBB"
"17","Nlgn1",1.53460069589541e-07,0.2238697413117,0.985,0.975,0.00535069224637852,0.2238697413117,0.0255632878560126,0.0993040317897282,0.988,0.985,1,0.0993040317897282,"non-sig","#00AFBB"
"18","Nrgn",5.69229970818715e-08,-0.523658325119361,0.488,0.59,0.00198473413925361,-0.523658325119361,0.000476621649449816,0.239765681091723,0.574,0.488,1,0.239765681091723,"non-sig","#00AFBB"
"19","Rn18s-rs5",2.62751558557557e-57,-0.584199910132715,0.998,1,9.16135859222633e-53,-0.584199910132715,0.268457180696357,-0.0688133467710239,1,0.998,1,-0.0688133467710239,"non-sig","#00AFBB"
"20","Rtn1",3.62828237369659e-07,-0.412943264679146,0.708,0.754,0.0126507321523679,-0.412943264679146,0.000493694723098802,0.266921688710499,0.745,0.708,1,0.266921688710499,"non-sig","#00AFBB"
"21","Tes",5.94331308039967e-08,0.479344954910861,0.39,0.223,0.00207225497174295,0.479344954910861,0.0636405349968032,-0.168819117138676,0.326,0.39,1,-0.168819117138676,"non-sig","#00AFBB"
