"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","1110032A03Rik",1.70737787336956e-11,0.0873706097988249,0.242,0.183,5.95311443107765e-07,0.0873706097988249,0.252168821127634,-0.0185908214762512,0.232,0.242,1,-0.0185908214762512,"non-sig","#00AFBB"
"2","1700008O03Rik",7.85922844761906e-07,0.0342119375944336,0.1,0.072,0.0274027718283134,0.0342119375944336,0.0102577718910456,-0.0182776828872111,0.084,0.1,1,-0.0182776828872111,"non-sig","#00AFBB"
"3","1700016P03Rik",1.24339593393112e-43,-0.316645616195364,0.14,0.24,4.33534860283765e-39,-0.316645616195364,4.1176315113512e-08,-0.108030337057048,0.105,0.14,0.00143569457906282,-0.108030337057048,"sig","#E7B800"
"4","1700037C18Rik",1.74572170197018e-07,0.0620404175836781,0.194,0.152,0.00608680785825943,0.0620404175836781,0.00354337933813839,-0.0499203508738794,0.171,0.194,1,-0.0499203508738794,"non-sig","#00AFBB"
"5","1700087I21Rik",4.43146684222781e-20,0.127447840172016,0.248,0.171,1.54511954387957e-15,0.127447840172016,0.00027906053626087,-0.0645017575150791,0.216,0.248,1,-0.0645017575150791,"non-sig","#00AFBB"
"6","1700111E14Rik",8.59382918488169e-08,0.119837702204463,0.605,0.548,0.0029964104218927,0.119837702204463,8.81297215303844e-10,0.154574251765252,0.645,0.605,3.07281900059991e-05,0.154574251765252,"sig","#E7B800"
"7","1700126G02Rik",1.9187667627406e-09,0.0804719695323021,0.122,0.085,6.69016407164767e-05,0.0804719695323021,0.721024031116741,-0.0166116042585353,0.124,0.122,1,-0.0166116042585353,"non-sig","#00AFBB"
"8","1810034E14Rik",6.01354315502139e-10,0.0942746648211999,0.28,0.221,2.09674209186131e-05,0.0942746648211999,5.79165691315036e-19,-0.172423729180279,0.204,0.28,2.01937701590813e-14,-0.172423729180279,"sig","#E7B800"
"9","2210408F21Rik",9.40783475001086e-07,0.109754294338826,0.714,0.681,0.0328022974228628,0.109754294338826,0.0173360001276827,-0.0599778310750787,0.701,0.714,1,-0.0599778310750787,"non-sig","#00AFBB"
"10","2210408I21Rik",2.6016543013544e-18,-0.140033541495391,0.695,0.734,9.0711880525324e-14,-0.140033541495391,2.11904371074173e-15,0.157134986538993,0.728,0.695,7.38846970624319e-11,0.157134986538993,"sig","#E7B800"
"11","2610044O15Rik8",3.24194906285038e-07,0.0587503408344568,0.173,0.134,0.0113037037974404,0.0587503408344568,0.0389889895783589,-0.0238100623959296,0.157,0.173,1,-0.0238100623959296,"non-sig","#00AFBB"
"12","2610316D01Rik",6.07247724686803e-07,0.0654767775163005,0.313,0.261,0.0211729064166548,0.0654767775163005,0.567882831308686,-0.00941812584426516,0.306,0.313,1,-0.00941812584426516,"non-sig","#00AFBB"
"13","2700069I18Rik",8.06617013889241e-07,0.0659436201419143,0.11,0.081,0.0281243154232762,0.0659436201419143,0.80377432521525,-0.00380953562908976,0.108,0.11,1,-0.00380953562908976,"non-sig","#00AFBB"
"14","2900022M07Rik",4.3636235524879e-07,0.0700539715078979,0.312,0.258,0.0152146462404596,0.0700539715078979,0.912565979524386,0.0164910225933413,0.31,0.312,1,0.0164910225933413,"non-sig","#00AFBB"
"15","2900027M19Rik",1.23307152728978e-07,0.08539898213522,0.416,0.353,0.00429935049420126,0.08539898213522,0.100217816863574,0.0335635831201934,0.429,0.416,1,0.0335635831201934,"non-sig","#00AFBB"
