"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","1700019D03Rik",1.09844072690447e-06,0.108879362853664,0.052,0.031,0.0382993328249782,0.108879362853664,0.000246978158050917,-0.10948057475363,0.037,0.052,1,-0.10948057475363,"non-sig","#00AFBB"
"2","1700087I21Rik",5.35923674222231e-07,0.0906917740540576,0.034,0.016,0.0186860507491065,0.0906917740540576,0.000511736407035326,-0.057395910910112,0.022,0.034,1,-0.057395910910112,"non-sig","#00AFBB"
"3","2610307P16Rik",2.9076242540055e-08,0.198432352875125,0.05,0.027,0.0010138013486441,0.198432352875125,5.69951588662649e-08,-0.22118307919893,0.028,0.05,0.00198725020419006,-0.22118307919893,"sig","#E7B800"
"4","4930428E07Rik",1.28364757347665e-07,0.0822474575250331,0.061,0.036,0.00447569399444104,0.0822474575250331,0.0287737220363076,-0.0165938875527023,0.05,0.061,1,-0.0165938875527023,"non-sig","#00AFBB"
"5","4930505G20Rik",3.420691356408e-11,0.176408235116879,0.093,0.055,1.19269245523878e-06,0.176408235116879,0.00127775955635719,-0.102399365168616,0.075,0.093,1,-0.102399365168616,"non-sig","#00AFBB"
"6","5330438D12Rik",3.43407918018572e-07,0.115216662373508,0.421,0.35,0.0119736038775536,0.115216662373508,0.0344210055927521,-0.0615006936410314,0.393,0.421,1,-0.0615006936410314,"non-sig","#00AFBB"
"7","5930430L01Rik",8.92535032676833e-07,0.106434602143322,0.051,0.03,0.0311200189843431,0.106434602143322,0.0454058630440943,-0.0509179060103184,0.042,0.051,1,-0.0509179060103184,"non-sig","#00AFBB"
"8","6720427I07Rik",8.76645187287298e-07,0.127569094049031,0.164,0.124,0.0305659877451462,0.127569094049031,0.00184672842782432,-0.0740510534583445,0.14,0.164,1,-0.0740510534583445,"non-sig","#00AFBB"
"9","9330159F19Rik",9.21237481260953e-15,0.227905570413052,0.14,0.085,3.21207872591256e-10,0.227905570413052,5.9669806982504e-09,-0.17083315959849,0.1,0.14,0.000208050716005897,-0.17083315959849,"sig","#E7B800"
"10","9430041J12Rik",1.15454470787978e-07,0.150521880350788,0.104,0.07,0.00402555103296444,0.150521880350788,0.00318012693047258,-0.0932539325410913,0.086,0.104,1,-0.0932539325410913,"non-sig","#00AFBB"
"11","9530026P05Rik",4.87737260376782e-11,0.448236787258184,0.104,0.065,1.70059350575573e-06,0.448236787258184,1.0979068409604e-11,-0.396836410171796,0.066,0.104,3.82807178237663e-07,-0.396836410171796,"sig","#E7B800"
"12","9630028H03Rik",9.5590833377936e-15,0.265875731632108,0.139,0.085,3.33296558738849e-10,0.265875731632108,0.0757118244827426,0.105182617444797,0.15,0.139,1,0.105182617444797,"non-sig","#00AFBB"
