"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",1.53432560424036e-08,-0.383895667011886,1,1,0.000534973308430487
"Lrrk1",5.03782252749868e-06,0.765117261412442,0.735,0.473,0.175653758066297
"Fkbp5",1.52409784273464e-05,0.947720887964792,0.326,0.107,0.531407194826288
"4930578G10Rik",1.578110294875e-05,0.949056608381165,0.372,0.143,0.550239716514066
"Plekhh2",2.60885249031428e-05,0.765489408865926,0.451,0.196,0.90962859779788
"Kcnip4",0.000178366856726047,-0.726478129402475,0.484,0.696,1
"Rcan2",0.000199975285828039,1.02669037560241,0.298,0.116,1
"Phf14",0.000210318280470928,0.796554038520364,0.363,0.161,1
"Sorbs1",0.000244549573852584,0.678220998796333,0.502,0.295,1
"Nrgn",0.00027081139095663,-0.620125441204634,0.419,0.607,1
"Fam234b",0.000299513111518726,-0.55397801150696,0.009,0.089,1
"Nrxn1",0.000389040254777641,-0.670703713662739,0.321,0.5,1
"Maml3",0.000410196593425624,-0.667113449482851,0.312,0.473,1
"Fbxo3",0.000557943978831098,0.740899513785443,0.195,0.054,1
"Cct4",0.000619835780747197,-0.735640190108371,0.06,0.179,1
"Cmss1",0.000819661142070401,-0.576692813356204,0.474,0.607,1
"Glul",0.000870189546973445,0.678202474811273,0.474,0.286,1
"Zfp330",0.00091512894335234,-0.523289287538292,0.014,0.089,1
"Alcam",0.000922542555932539,0.381287050780523,0.865,0.795,1
"Stim1",0.000958159682702552,0.700773032720043,0.358,0.179,1
"Fmn1",0.00105917985818574,0.82234026545285,0.2,0.062,1
"Smyd3",0.00109544668087905,0.635854380538398,0.535,0.366,1
"Cdh2",0.00110772513173286,-0.592783213089039,0.047,0.152,1
"Calb1",0.0011262819471588,-0.674079552053593,0.023,0.107,1
"Gm9993",0.00113906138248957,-0.513159299274485,0.023,0.107,1
"Srsf5",0.00117844755608303,0.500064687395859,0.479,0.268,1
"Gm10974",0.00124376113249661,0.652231207766028,0.191,0.054,1
"Chic2",0.00125489279549477,0.74731592940739,0.158,0.036,1
"Fbxo41",0.00127336416291976,-0.415305867404486,0.005,0.062,1
"Mrpl36",0.00129642843422231,-0.452535353264004,0.019,0.098,1
"Fgf12",0.00148449267426709,-0.638060125919648,0.144,0.286,1
"Pcgf5",0.00150985448534644,0.702940925099599,0.181,0.054,1
"Nr6a1",0.00152219911865166,0.564624820775544,0.321,0.143,1
"Rngtt",0.00157597460734369,0.665868949724245,0.195,0.062,1
"Tpm1",0.00164631050293044,0.684690740601392,0.447,0.268,1
"Ccser1",0.00164927565089046,-0.673632180692827,0.056,0.161,1
"Faf1",0.00171010210433579,0.60703070296844,0.353,0.179,1
"Slc7a11",0.00173079720786913,-0.367319560187182,0.856,0.902,1
"Lrmda",0.00182042394400704,0.576466610318695,0.693,0.536,1
"Hsp90ab1",0.00182468200095713,-0.452609107846012,0.493,0.652,1
"Hddc2",0.00184400809279924,-0.399087797816948,0,0.045,1
"Snapc4",0.00195291328254386,-0.429156952286668,0.009,0.071,1
"Dlg2",0.00217006167827454,-0.463978082819854,0.335,0.473,1
"Elavl2",0.00218222825124261,-0.453221028247841,0.009,0.071,1
"Tfrc",0.00245216006407893,-0.459633525735662,0.014,0.08,1
"Rora",0.00249223975047922,0.300446861714635,0.967,0.955,1
"Slc13a4",0.00251833048399212,0.546370181522381,0.535,0.366,1
"B3gat1",0.00255281052070817,-0.532409344966541,0.019,0.089,1
"Hunk",0.00255281052070817,-0.700360671154444,0.019,0.089,1
"Tef",0.0025765337145471,0.570254934965198,0.451,0.268,1
"Alkbh3",0.00262111300171834,-0.549086713564675,0.023,0.098,1
"Inka2",0.00264292805384442,-0.475820111552544,0.014,0.08,1
"Smarcd3",0.00285316352893905,0.564284448972207,0.13,0.027,1
"Ebag9",0.00314763714120276,0.564160922142456,0.074,0,1
"Epn2",0.00315312849625417,0.606232602676525,0.293,0.134,1
"Rtn1",0.00323028223836963,-0.419198379582144,0.581,0.688,1
"Hlf",0.00329313157041028,0.585891085650499,0.633,0.482,1
"Rbm4b",0.00339194339744072,-0.740000378179055,0.051,0.143,1
"Mpzl2",0.00343643196728863,0.478481055818295,0.112,0.018,1
"Fjx1",0.00350482000217476,-0.488427936786636,0.056,0.152,1
"Zfp266",0.00352818791646747,0.659977250764281,0.209,0.08,1
"Ppan",0.00363641713393857,-0.374958868603131,0.005,0.054,1
"Mapk8ip2",0.0036939990894559,-0.449933760635428,0.005,0.054,1
"Nr2c1",0.00372096237345966,0.569386846423081,0.126,0.027,1
"Atp2b1",0.0037905270435126,-0.632391966147155,0.414,0.527,1
"Bpnt2",0.00386008120037422,-0.675506640423113,0.047,0.134,1
"Lama4",0.00386635649399951,0.602412253541893,0.33,0.179,1
"Sap130",0.00400238883379858,0.628561324604867,0.214,0.089,1
"Dkk3",0.00409829768763362,-0.515046181498144,0.186,0.33,1
"Cacna2d1",0.00410768766614699,-0.507151819412785,0.247,0.402,1
"C1qtnf7",0.00411858092843177,0.479003552597155,0.395,0.214,1
"Ogn",0.00412336999847397,0.418760994548659,0.27,0.125,1
"Foxp2",0.00414256737502871,-0.54077551748729,0.312,0.464,1
"Znrf3",0.00418234776606461,-0.527855524625958,0.256,0.402,1
"Lrrcc1",0.00420255696671516,-0.59137686438965,0.042,0.125,1
"Cnn2",0.00427513932165516,0.614527379599862,0.167,0.054,1
"Snx16",0.00430873139395962,0.441553411778306,0.07,0,1
"Agap1",0.00430899608350209,0.666911860484702,0.191,0.071,1
"Yipf4",0.00444659210804007,0.69669787786734,0.121,0.027,1
"9530026P05Rik",0.00449780661474365,0.387866726092944,0.814,0.714,1
"Slc6a20a",0.00462472259274254,-0.332553398272625,0.795,0.929,1
"Rps29",0.00475260323055212,0.573489022891222,0.242,0.107,1
"Sorcs1",0.00478859261377725,0.493499296304783,0.088,0.009,1
"Rap1gap2",0.00499106863044993,-0.688827018076992,0.033,0.107,1
"Hnrnpul2",0.00506919822325748,0.622277642908273,0.135,0.036,1
"Rbpj",0.00512275670546799,-0.663995780660008,0.102,0.205,1
"Edn3",0.00514976542777602,-0.824869069572041,0.06,0.152,1
"Pcdh9",0.00515968237467554,-0.787631581206073,0.316,0.446,1
"Stag1",0.00522677205963548,0.38905269133376,0.549,0.348,1
"Palmd",0.00523420770731884,-0.351325163365269,0.009,0.062,1
"Sv2b",0.00536824895718557,-0.546434031421896,0.07,0.17,1
"Cacng3",0.00537665039015675,-0.425986493151903,0.009,0.062,1
"Ggnbp2",0.00538629197873061,0.602317287421642,0.279,0.143,1
"0610012G03Rik",0.00539479764362357,-0.76602032039514,0.056,0.143,1
"Gm17308",0.00542653212384718,-0.314027253937833,0,0.036,1
"Zdhhc4",0.00542653212384718,-0.256880044272713,0,0.036,1
"ENSMUSG00000120563",0.00542653212384718,-0.17483465459533,0,0.036,1
"Gm44695",0.00542653212384718,-0.228210576083982,0,0.036,1
"Gm15500",0.00542653212384718,-0.343449329610866,0,0.036,1
"ENSMUSG00000120008",0.00542653212384718,-0.36908104318771,0,0.036,1
"Myo5c",0.00542653212384718,-0.20331817132805,0,0.036,1
"Gm47603",0.00542653212384718,-0.331495202155132,0,0.036,1
"Grin2b",0.00548953449807649,-0.521171720011499,0.167,0.295,1
"Agmo",0.00551692425442528,0.637470103441636,0.372,0.214,1
"Ppm1l",0.00552416663468262,-0.660428360328538,0.074,0.17,1
"Rassf2",0.00555349878257699,-0.695334547055178,0.107,0.214,1
"Adam12",0.00557912883831275,0.473266989811923,0.777,0.643,1
"Tro",0.00563482902803697,-0.68775220002074,0.014,0.071,1
"Prpf39",0.00565868472042827,0.606614345003578,0.223,0.098,1
"Cyp26b1",0.00567886213612722,0.724297969314995,0.102,0.018,1
"Gm42439",0.00572682630276598,0.69676270055466,0.219,0.098,1
"Per2",0.00574231426038688,0.649121886875728,0.116,0.027,1
"Itpr2",0.00574446733437511,0.659237590006752,0.288,0.152,1
"Ppp1r10",0.00591413606489633,0.4381146613766,0.298,0.143,1
"Fmo5",0.00593472505153279,0.564790078322825,0.084,0.009,1
"1700024B18Rik",0.00597380893289366,-0.593433390007821,0.023,0.089,1
"Naaladl2",0.00597944989172036,0.413206040132066,0.665,0.536,1
"Npr3",0.00601606302250025,0.788523889655499,0.116,0.027,1
"Eif1a",0.00605792057175618,-0.460388351881372,0.014,0.071,1
"Nek1",0.00611981332483124,0.471200116801298,0.135,0.036,1
"Trpm3",0.00621295877507694,0.695013452625799,0.563,0.438,1
"Eif2ak2",0.00622324112874194,0.597633633919428,0.102,0.018,1
"Alpk1",0.00637637224368509,0.673079904440822,0.158,0.054,1
"Ubap2l",0.00638859874460085,0.421850519477966,0.335,0.179,1
"Nfib",0.00647383688100801,0.475897444989974,0.619,0.482,1
"6720427I07Rik",0.0064826920659144,0.514546633953416,0.284,0.152,1
"Herc6",0.00650917696813061,0.442344012441207,0.084,0.009,1
"Vti1a",0.00657590853048489,0.478603873375012,0.405,0.241,1
"Zfp60",0.00658754435805768,-0.375532899858269,0.014,0.071,1
"Smim4",0.00671928624695986,0.597584124946829,0.158,0.054,1
"Ankrd16",0.00675125457525077,0.518595060029194,0.13,0.036,1
"Mtmr10",0.0068299406182413,-0.576810912681539,0.051,0.134,1
"Rbm27",0.00684387513323573,0.724174063459117,0.181,0.071,1
"Cep164",0.0069622096051143,0.472266567917107,0.116,0.027,1
"Gm36975",0.00706448428081372,0.615959233956414,0.144,0.045,1
"Lnpk",0.00711270884821372,0.540569387729605,0.144,0.045,1
"Sf3a1",0.00733565781858524,-0.411518904317687,0.023,0.089,1
"Gclc",0.0074451378080311,0.507087039535194,0.098,0.018,1
"Il17ra",0.00763795516070809,0.622810989109222,0.112,0.027,1
"Thap3",0.00790509072468695,0.458768815125578,0.293,0.152,1
"Ctsb",0.00799226179862357,-0.641599752253925,0.177,0.295,1
"Pml",0.00799230962785355,0.607124233942505,0.079,0.009,1
"Brcc3",0.00806644527062564,0.539690868842564,0.079,0.009,1
"Hars2",0.00807205772254589,0.456048832465003,0.06,0,1
"Map2",0.00817620384772315,0.367058706186779,0.265,0.125,1
"Cep83os",0.00836918219563306,0.52056727703946,0.079,0.009,1
"AU023762",0.00856539464015996,0.539933643907317,0.153,0.054,1
"Plpp5",0.00860286266504819,0.46255002763935,0.079,0.009,1
"Ankfn1",0.00860286266504819,0.651229997368426,0.079,0.009,1
"Hmcn1",0.00869024388271513,-0.749236752811778,0.047,0.125,1
"Hs3st3a1",0.00895935629799495,0.577750977326048,0.153,0.054,1
"Hsph1",0.00897249609012801,-0.511813595068184,0.047,0.125,1
"Nudt4",0.0091077975475676,0.462145231033618,0.209,0.089,1
"Dvl3",0.00916894391937286,0.456978841016585,0.112,0.027,1
"Ncdn",0.00925494161062437,0.573200429450453,0.14,0.045,1
"Col26a1",0.00925506727520814,-0.654269771336282,0.326,0.438,1
"Gab2",0.0093609505186036,0.483979832983548,0.642,0.545,1
"Cacna1e",0.0094960396747462,-0.809697664775692,0.2,0.312,1
"Zbtb16",0.0096929940844767,0.491441668549819,0.126,0.036,1
"Cirbp",0.00970395517332689,0.701812575315403,0.181,0.08,1
"Zrsr2",0.00985431729486349,0.545481332701761,0.121,0.036,1
"Gm29237",0.00999509618178036,0.573790850511943,0.093,0.018,1
"Rcor3",0.0101600947829209,0.437015691782863,0.14,0.045,1
"Api5",0.0101604091872104,-0.486850257449872,0.042,0.116,1
"Fez2",0.0101604091872104,0.495252890756482,0.093,0.018,1
"Echdc2",0.0102171078226221,0.628886872686406,0.107,0.027,1
"Ptchd4",0.0102948232468718,0.777241561835131,0.107,0.027,1
"Lgi3",0.010358493656097,-0.427861381220424,0.005,0.045,1
"ENSMUSG00000120436",0.010358493656097,-0.461814746196399,0.005,0.045,1
"Dcaf12l1",0.010358493656097,-0.317176958316456,0.005,0.045,1
"Ttc19",0.0103751263488974,0.441907315965324,0.195,0.08,1
"Ubtd1",0.010385566766471,-0.533901880696979,0.037,0.107,1
"Slc16a12",0.0104221963522838,0.531011164509992,0.4,0.259,1
"Mospd1",0.0104983552383774,-0.590012743584455,0.042,0.116,1
"Dipk2a",0.0106792726185464,-0.225377748651064,0.005,0.045,1
"Ntn3",0.0106792726185464,-0.338014648456007,0.005,0.045,1
"Zfp593",0.0108429506337389,-0.286411464093684,0.005,0.045,1
"Rbm41",0.0108462643090033,0.471153134046166,0.093,0.018,1
"Panx1",0.0110088547041392,-0.252610289600551,0.005,0.045,1
"Nisch",0.0110200204615591,0.518429073229582,0.377,0.241,1
"Cdan1",0.0110525667761104,0.412632944319431,0.056,0,1
"Spcs3",0.0110525667761104,0.392145784990208,0.056,0,1
"Mtmr9",0.0110525667761104,0.464947121267683,0.056,0,1
"Klhl18",0.0111612277783239,0.461561860576547,0.074,0.009,1
"Ttc7b",0.0112432885269902,-0.585064061502215,0.158,0.268,1
"4930431P19Rik",0.0113672389001555,0.424727535620193,0.074,0.009,1
"Fam3c",0.0114715048676329,0.47195392755886,0.074,0.009,1
"Ngly1",0.0115251631655137,0.502417867126236,0.223,0.107,1
"Washc3",0.0115253486091532,0.503820959281904,0.107,0.027,1
"Gm12743",0.0115766188015272,0.578595009421391,0.074,0.009,1
"Gm49969",0.0116088420618622,0.450826429852863,0.153,0.054,1
"Sf1",0.0116502271554415,0.42053564209532,0.214,0.098,1
"Hlcs",0.0116655093011187,0.494833408331537,0.163,0.062,1
"Svep1",0.0116941359186119,0.546566784113914,0.367,0.232,1
"AU041133",0.0117894138317959,0.503469338368298,0.074,0.009,1
"Strn3",0.0118470264601755,0.365557535046535,0.591,0.429,1
"Mir22hg",0.0121151122981614,0.44740466931604,0.074,0.009,1
"Ppfia2",0.0121369171691751,-0.682083257625881,0.051,0.125,1
"Kdm5d",0.0121702239407715,-0.551886194305965,0.074,0.161,1
"Pak1",0.0122366638698546,-0.581090699759436,0.102,0.196,1
"Inpp5k",0.0123366510393459,0.354918846617179,0.074,0.009,1
"Ttc4",0.0124487602993551,0.364329378239662,0.074,0.009,1
"Bcr",0.0128786605236811,-0.487205611341107,0.033,0.098,1
"Gm7240",0.0130762569287411,0.321888794789575,0.107,0.027,1
"Maip1",0.0131255056879908,-0.358288116696744,0.009,0.054,1
"Fstl5",0.0131255056879908,-0.467328907010313,0.009,0.054,1
"Arf4",0.0131694203466605,0.656416511792349,0.172,0.071,1
"Senp3",0.0131917773336058,0.395774403735416,0.149,0.054,1
"Rangap1",0.0131969535382747,-0.527948884782061,0.06,0.143,1
"Rock1",0.0134354782024945,0.506667989965259,0.391,0.241,1
"Hltf",0.0135359999632893,0.549771882746892,0.102,0.027,1
"4930599N23Rik",0.0136412886647215,0.606458411555755,0.13,0.045,1
"Arhgef5",0.0137298656975592,0.478646220220728,0.088,0.018,1
"Zbed4",0.0138194873119644,-0.356546633675879,0.009,0.054,1
"Pcdhb16",0.0138194873119644,-0.292110186627203,0.009,0.054,1
"Pde1a",0.0138432726921711,0.336505822307005,0.721,0.562,1
"Pclo",0.0139520894502347,-0.597716801719616,0.098,0.188,1
"Gpr146",0.0139979665599185,-0.383697367470476,0.009,0.054,1
"Mrps12",0.0139979665599185,-0.341196612792965,0.009,0.054,1
"Il1rapl2",0.0139979665599185,-0.357648745889665,0.009,0.054,1
"Ptms",0.0141007126360556,-0.609199529244043,0.177,0.286,1
"Camk2n1",0.0141374845127344,-0.444064507887438,0.298,0.42,1
"Gabrb3",0.0143334279940944,-0.371131260087422,0.079,0.17,1
"Syde1",0.0144111066684176,0.428701668687421,0.088,0.018,1
"Grid2",0.0144239734497736,-0.427484344465323,0.079,0.17,1
"Cpsf2",0.0147323925521931,-0.275505821370444,0.009,0.054,1
"Syne1",0.0148152913684905,-0.46463460307735,0.126,0.232,1
"Zfyve26",0.0148546317838785,-0.625206263306571,0.051,0.125,1
"Ap1ar",0.0148824503686768,-0.447356504090184,0.028,0.089,1
"Calm1",0.0149189455294048,-0.322587157378089,0.753,0.804,1
"Cpeb3",0.0149491736145465,-0.61915139102661,0.163,0.259,1
"Eef2",0.0150849786818453,-0.57164338533644,0.07,0.152,1
"Lrrc57",0.0151435289056513,0.331289809124773,0.051,0,1
"Cse1l",0.0151435289056513,0.333606497156879,0.051,0,1
"Ifi30",0.0151435289056513,0.448055803352997,0.051,0,1
"Larp6",0.0151435289056513,0.402110458100228,0.051,0,1
"Tent5d",0.0151435289056513,0.423379252712057,0.051,0,1
"Nell1",0.0153052929083353,-0.262444183148968,0.009,0.054,1
"Glis3",0.0153708399140997,0.571609076028825,0.205,0.098,1
"Tbc1d23",0.0154547137098385,0.532032083289714,0.191,0.089,1
"Baz2b",0.0155497146207809,0.464477438282699,0.563,0.42,1
"Rbm39",0.0156831353534477,0.360620395416466,0.772,0.625,1
"Ak6",0.0156891173371017,-0.424483627844299,0.023,0.08,1
"Hsf1",0.015716133760686,0.44895626678283,0.07,0.009,1
"Gm14211",0.0158590047212066,-0.315275257287426,0.028,0.089,1
"Gm27151",0.015877198071021,0.552219299485723,0.167,0.071,1
"Fam3a",0.0158954238332543,-0.385584467117432,0.014,0.062,1
"Phldb2",0.0159682516187497,0.45237325183406,0.595,0.464,1
"Syt5",0.0159945555609883,-0.362540044121963,0.023,0.08,1
"Tstd2",0.0160764469666521,-0.307955978655183,0.014,0.062,1
"Slu7",0.0160764469666521,-0.327383928684989,0.014,0.062,1
"Pamr1",0.0161225508075204,-0.409844454980489,0.093,0.188,1
"Fkbp7",0.0161481770058513,0.396397510575443,0.07,0.009,1
"Zfp141",0.0161481770058513,0.441527416112071,0.07,0.009,1
"Coa7",0.0161811270042162,-0.372711737384461,0.019,0.071,1
"Dusp28",0.0162429734790627,-0.188447806635388,0,0.027,1
"2900060B14Rik",0.0162429734790627,-0.218269104757048,0,0.027,1
"Map3k19",0.0162429734790627,-0.192813778958289,0,0.027,1
"Tnnt2",0.0162429734790627,-0.274023167395497,0,0.027,1
"Gm55759",0.0162429734790627,-0.328169620510015,0,0.027,1
"Psd4",0.0162429734790627,-0.173234676536451,0,0.027,1
"Ltk",0.0162429734790627,-0.362329708531201,0,0.027,1
"Mecom",0.0162429734790627,-0.283371286771024,0,0.027,1
"Gm43625",0.0162429734790627,-0.182713677364313,0,0.027,1
"Zfp775",0.0162429734790627,-0.133169539711399,0,0.027,1
"A430010J10Rik",0.0162429734790627,-0.227197749441105,0,0.027,1
"Nova2",0.0162429734790627,-0.164922889321303,0,0.027,1
"Gm20457",0.0162429734790627,-0.165303505028474,0,0.027,1
"Gm15501",0.0162429734790627,-0.282144359697522,0,0.027,1
"ENSMUSG00000120076",0.0162429734790627,-0.209553798911538,0,0.027,1
"Gm37474",0.0162429734790627,-0.178271144485901,0,0.027,1
"Gm32926",0.0162429734790627,-0.278973749821071,0,0.027,1
"Gm49353",0.0162429734790627,-0.235270747508427,0,0.027,1
"Ifi47",0.0162429734790627,-0.202750550906963,0,0.027,1
"ENSMUSG00000120045",0.0162429734790627,-0.251688450583982,0,0.027,1
