"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nav3",1.47441918287471e-07,-0.507175125471382,1,1,0.00514085736492924
"Rn18s-rs5",1.42137470387474e-05,-0.406540220842492,1,1,0.495590718000007
"Rims2",2.12098992631583e-05,0.735056228518555,0.949,0.758,0.739525557608541
"Car10",4.82453975106225e-05,0.700481357819316,0.974,0.758,1
"Ptprn2",6.6238415154305e-05,0.614453211557917,1,0.909,1
"Ntng2",0.000105967248904402,-0.571052953711558,0.923,0.97,1
"Mypop",0.000115570285085852,0.600661812134863,0.256,0.015,1
"Gm47271",0.000130536327481286,0.695227481486177,0.487,0.152,1
"Fbxo22",0.000149812860344248,0.361673845550239,0.333,0.045,1
"Pabpn1",0.000152578853282802,0.770185372207272,0.667,0.288,1
"Gfra1",0.000174840702108331,-0.825706380786089,0.692,0.818,1
"4930567K12Rik",0.000203350001597636,0.642154849550886,0.359,0.076,1
"Echdc2",0.000215800307282728,0.667673070375429,0.564,0.197,1
"Rora",0.000322701502354199,0.687940335450513,0.949,0.803,1
"Ccdc138",0.000397089202215029,0.287416655757922,0.308,0.045,1
"Zfp239",0.000400288879391951,-0.547208336323539,0,0.273,1
"Nalf1",0.000516688231198241,0.62158004784883,0.974,0.939,1
"Hmgb1",0.000559783689924971,0.617076146787014,0.641,0.288,1
"Cyria",0.000603434261504227,-0.607820662223911,0.333,0.636,1
"Scamp5",0.000766489610277488,-0.528459642138859,0.179,0.47,1
"R3hdm1",0.000840422328813558,-0.309961926082056,1,1,1
"Gemin6",0.00104505957128395,0.268970196515199,0.205,0.015,1
"Slc2a13",0.00111192860884018,-0.53397957894343,0.897,0.924,1
"Atxn1",0.00111405187601971,0.370118410785924,0.949,0.924,1
"D730003I15Rik",0.001130286642255,0.183678305371429,0.154,0,1
"ENSMUSG00000120970",0.001130286642255,0.255233603057943,0.154,0,1
"Gm51425",0.001130286642255,0.215098695894581,0.154,0,1
"Calhm2",0.001130286642255,0.196022055093118,0.154,0,1
"Zfp24",0.00125016303818546,0.226355057699463,0.282,0.045,1
"5830417I10Rik",0.0012617446225502,0.295856402435058,0.513,0.167,1
"Klf12",0.00140088779423206,0.645496016807798,0.769,0.439,1
"Hspbap1",0.00143816533756998,0.297531919881177,0.308,0.061,1
"Gm20616",0.00146485277730969,0.588507311674331,0.462,0.167,1
"Gm20172",0.00149655652097329,0.349228944964077,0.231,0.03,1
"Anapc7",0.00149655652097329,0.347972480225789,0.231,0.03,1
"Aktip",0.00155607450623792,0.477605597369364,0.436,0.136,1
"Tfcp2",0.00159272369498991,0.378484532849383,0.462,0.152,1
"Dcbld2",0.00163048854682754,0.307284186533635,0.231,0.03,1
"Gm42439",0.00165695482690166,0.70337958472034,0.718,0.409,1
"Mmaa",0.00169137048224232,0.545836312311548,0.513,0.212,1
"Gm27032",0.00176945516624723,-0.525967276786968,0.385,0.682,1
"Mettl8",0.00182762854108004,0.388619725900818,0.41,0.136,1
"Ankrd6",0.00183743671722693,0.415884327995038,0.41,0.121,1
"Tcta",0.0020842697444445,0.332264471567318,0.179,0.015,1
