"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hs6st3",4.46349339545185e-12,-0.92713477332418,0.77,0.953,1.5562862421922e-07
"Cntnap5b",8.22133033749519e-09,-1.27312068715329,0.505,0.709,0.000286653124877445
"Flrt2",2.59585178058244e-08,-0.796325340643781,0.328,0.616,0.00090509564033568
"Epha6",2.80996009196377e-08,-1.01381987741447,0.751,0.907,0.000979748785265007
"Slc4a4",5.47381487859254e-08,-0.553731133802275,0.492,0.826,0.00190855503371886
"Rn18s-rs5",7.50052557368189e-08,-0.453969455878378,1,1,0.00261520825177566
"Nrxn3",1.50065326203022e-07,-0.537435109021235,0.931,0.977,0.00523232772872078
"Dscaml1",3.99915894344143e-07,0.741722126265657,0.757,0.558,0.0139438674880972
"Sema3a",5.40015931075415e-07,1.00456979079198,0.401,0.116,0.0188287354688065
"Kcnq5",1.43902395302788e-06,-0.534898015621221,0.634,0.907,0.0501744481702233
"Nppc",2.10033396667726e-06,-0.240295886410254,0.019,0.14,0.073232344416136
"E130114P18Rik",3.51502592182472e-06,1.43537285594445,0.297,0.058,0.122558408816263
"Arc",4.07543321859522e-06,-0.369750628302542,0.032,0.163,0.142098130032759
"Grm1",4.45033430861886e-06,1.20852217326267,0.789,0.558,0.155169806338614
"Pde4b",7.39748934797314e-06,-0.489689482480156,0.779,0.953,0.257928261095779
"Csmd3",7.56898428420627e-06,-0.472459328436048,0.858,0.965,0.26390777503742
"Prdx2-ps1",8.79146507407973e-06,-0.317149929321564,0.028,0.151,0.306532012737938
"Syt1",9.04607681980744e-06,-0.318920111916507,0.984,1,0.315409560476226
"Srrm4",9.64263259331087e-06,0.664805283878818,0.562,0.314,0.33620967063097
"Ctnnd2",2.01655486186504e-05,0.368437058253958,0.959,0.965,0.703112183686482
"Rassf8",2.02201450756731e-05,0.552980473577725,0.42,0.163,0.705015798353495
"Rbfox3",2.25441509972735e-05,-0.51219743534408,0.672,0.86,0.786046912821937
"Kcnc2",2.35969125998691e-05,-0.681374101476701,0.259,0.477,0.822753551619636
"Map1a",2.41304267255425e-05,-0.483338830384217,0.284,0.523,0.841355588639491
"Ntm",2.53842169867788e-05,0.669296603611807,0.975,0.919,0.885071493678016
"Gm35823",2.78282778707863e-05,-0.198734586936244,0.003,0.07,0.970288564520706
"Chsy3",2.79761779266339e-05,-0.645659733186449,0.502,0.709,0.975445395767944
"Cfap206",2.9670738484767e-05,-0.153361340840793,0.006,0.081,1
"Ttyh1",3.18675543464894e-05,-0.435701631214579,0.391,0.605,1
"Ppp1r1a",3.25727371946693e-05,-0.562156698857588,0.278,0.477,1
"Bmpr1b",3.55485622420113e-05,1.0456885766861,0.442,0.221,1
"Cpne5",3.75916687317004e-05,-0.605314008266946,0.353,0.535,1
"6330576A10Rik",3.84078954837132e-05,-0.204239754565107,0.038,0.163,1
"U2surp",3.86584448977983e-05,0.544017179222609,0.593,0.326,1
"ENSMUSG00000120164",4.06049139250145e-05,-0.278536929524718,0.06,0.209,1
"Rasgef1c",4.21604394673239e-05,-0.472032199321973,0.155,0.337,1
"Atp2b2",4.27475637737318e-05,-0.422071821176945,0.823,0.907,1
