,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,hit in circadian DEG
Rn18s-rs5,7.35E-26,-1.046249606,1,1,2.56E-21,,Rn18s-rs5
Kcnd2,2.83E-15,2.434736016,0.83,0.448,9.86E-11,,Kcnd2
Dlg2,9.44E-15,1.508977677,0.933,0.586,3.29E-10,,#N/A
Tenm3,1.84E-14,2.674770009,0.662,0.086,6.42E-10,,#N/A
Dlgap1,3.15E-14,1.605441779,0.927,0.586,1.10E-09,,#N/A
Kcnb2,7.29E-14,2.44208793,0.702,0.19,2.54E-09,,Kcnb2
Epha5,1.07E-13,2.450500535,0.685,0.155,3.74E-09,,#N/A
2610307P16Rik,4.10E-13,-1.878009625,0.087,0.379,1.43E-08,,#N/A
Celf2,1.14E-12,1.136166548,0.977,0.845,3.98E-08,,Celf2
Prkg1,1.30E-12,2.293165745,0.676,0.172,4.52E-08,,#N/A
Prkca,2.97E-12,2.18827444,0.629,0.103,1.03E-07,,#N/A
Nav2,3.68E-12,1.56939128,0.755,0.241,1.28E-07,,Nav2
Grin2b,4.89E-12,1.229972926,0.874,0.466,1.71E-07,,Grin2b
Chsy3,5.86E-12,2.137784444,0.611,0.103,2.04E-07,,Chsy3
Ahi1,5.89E-12,1.30028765,0.85,0.397,2.06E-07,,#N/A
Myo16,7.15E-12,2.217059443,0.605,0.121,2.49E-07,,Myo16
Dlgap2,9.67E-12,1.465534233,0.798,0.31,3.37E-07,,#N/A
Gabrb3,2.08E-11,1.77045237,0.805,0.379,7.26E-07,,#N/A
Mctp1,2.19E-11,2.368874822,0.526,0.034,7.65E-07,,Mctp1
Cpne4,1.10E-10,1.772986607,0.634,0.138,3.82E-06,,#N/A
Dgki,1.12E-10,1.595488011,0.689,0.207,3.90E-06,,#N/A
Ptpro,1.34E-10,1.711151,0.628,0.155,4.67E-06,,#N/A
Grm5,2.95E-10,1.601638898,0.7,0.224,1.03E-05,,#N/A
Cacna1e,4.53E-10,2.038399351,0.494,0.052,1.58E-05,,Cacna1e
Il1rapl1,5.34E-10,1.035534658,0.918,0.741,1.86E-05,,Il1rapl1
Cpa6,5.72E-10,3.080215591,0.432,0,1.99E-05,,Cpa6
Epha6,6.00E-10,1.670512359,0.645,0.19,2.09E-05,,Epha6
Nalf1,6.05E-10,0.957361377,0.935,0.603,2.11E-05,,#N/A
Dab1,1.21E-09,0.852278912,0.739,0.293,4.22E-05,,#N/A
Dpp6,1.65E-09,1.550321398,0.866,0.517,5.77E-05,,#N/A
Cadps,1.99E-09,1.05047948,0.852,0.466,6.96E-05,,Cadps
Pcbp3,2.12E-09,0.902415406,0.849,0.362,7.38E-05,,#N/A
Gria4,2.63E-09,1.064640674,0.891,0.534,9.16E-05,,Gria4
Ppfia2,4.59E-09,1.030827718,0.854,0.431,0.000160155,,Ppfia2
Cacna2d1,5.18E-09,1.200224342,0.791,0.397,0.000180634,,Cacna2d1
Nkain2,5.21E-09,1.142005755,0.813,0.431,0.00018162,,#N/A
E130114P18Rik,7.07E-09,-0.853180864,0.009,0.103,0.000246606,,#N/A
Prickle1,8.93E-09,1.453480336,0.56,0.121,0.000311396,,Prickle1
Lrrc7,9.45E-09,0.925107674,0.844,0.466,0.000329344,,#N/A
Mir100hg,1.01E-08,-1.470231457,0.172,0.431,0.000350919,,#N/A
Sybu,1.03E-08,1.486804356,0.577,0.155,0.000359622,,Sybu
Dync1i1,1.46E-08,1.491647192,0.671,0.276,0.000510487,,Dync1i1
Sox6,2.61E-08,-1.126050284,0.023,0.155,0.000911286,,#N/A
Nfia,2.98E-08,-1.329747657,0.151,0.414,0.001039852,,#N/A
Samd12,3.02E-08,1.193875036,0.633,0.19,0.001053737,,Samd12
Glipr2,3.37E-08,-0.531314108,0.001,0.052,0.001174563,,#N/A
Neil3,3.37E-08,-0.543897908,0.001,0.052,0.001174563,,#N/A
Gm30373,3.37E-08,-0.581364048,0.001,0.052,0.001174563,,#N/A
Tnik,3.41E-08,0.952268545,0.787,0.362,0.00118827,,Tnik
Rap1gds1,3.68E-08,1.473964992,0.535,0.121,0.001281582,,#N/A
Kalrn,4.43E-08,0.932061831,0.723,0.328,0.001543964,,#N/A
Mef2a,5.08E-08,1.165512139,0.521,0.103,0.001770884,,#N/A
Zfp385b,5.18E-08,1.028453994,0.771,0.328,0.001805286,,#N/A
Grin1,5.27E-08,1.04201627,0.649,0.207,0.001839145,,Grin1
Foxo6,6.17E-08,-0.591054416,0.004,0.069,0.002152359,,#N/A
Mrtfb,7.10E-08,1.228825162,0.499,0.086,0.002475041,,#N/A
Kcnj3,7.27E-08,1.151891412,0.705,0.293,0.002535937,,Kcnj3
Nfib,1.05E-07,-1.178808351,0.387,0.655,0.003649633,,#N/A
Gm20878,1.05E-07,-0.310503671,0,0.034,0.0036723,,#N/A
Stk32b,1.05E-07,-0.162707318,0,0.034,0.0036723,,#N/A
Plekhg2,1.05E-07,-0.308022447,0,0.034,0.0036723,,#N/A
Slc25a10,1.05E-07,-0.447611539,0,0.034,0.0036723,,#N/A
Negr1,1.15E-07,0.818697992,0.951,0.621,0.003997985,,#N/A
Snhg14,1.21E-07,0.942907403,0.734,0.293,0.004222753,,Snhg14
Ryr2,1.30E-07,1.175309529,0.649,0.224,0.004530705,,#N/A
Ano4,1.30E-07,1.21726133,0.591,0.19,0.004545787,,#N/A
Cacna1c,1.31E-07,1.048582371,0.779,0.379,0.00455593,,#N/A
Fgf12,1.33E-07,1.001266482,0.841,0.552,0.004622877,,Fgf12
Limch1,1.34E-07,1.461026485,0.452,0.086,0.004659525,,Limch1
Adgrl3,1.38E-07,1.144192169,0.661,0.276,0.004804191,,#N/A
Grm8,1.72E-07,1.588011483,0.49,0.103,0.006011208,,#N/A
Robo2,2.70E-07,-1.110904923,0.694,0.793,0.009399172,,Robo2
Tmtc1,3.01E-07,1.468414438,0.349,0.017,0.010488989,,#N/A
Fam184a,3.19E-07,1.238463415,0.507,0.121,0.011119973,,#N/A
Slc4a4,3.22E-07,1.252407109,0.491,0.121,0.011228957,,Slc4a4
Pantr1,3.25E-07,-1.143556918,0.034,0.172,0.011339463,,#N/A
Ccnd2,3.98E-07,-1.718608972,0.076,0.259,0.013886015,,Ccnd2
Pla2g3,5.22E-07,1.435256916,0.318,0,0.018195003,,#N/A
Cntnap4,5.23E-07,1.519174438,0.423,0.069,0.018218256,,Cntnap4
Plxna4,5.83E-07,-1.215819061,0.21,0.466,0.020327084,,#N/A
Dscam,6.27E-07,1.12254836,0.609,0.207,0.02186891,,Dscam
Syne1,6.63E-07,0.85496511,0.756,0.345,0.023123088,,#N/A
Lgr5,6.67E-07,1.110702968,0.382,0.034,0.023242734,,Lgr5
Adgrb3,6.94E-07,0.785800638,0.879,0.5,0.024202598,,Adgrb3
Nebl,7.42E-07,1.327468034,0.427,0.069,0.025876766,,Nebl
Camk2a,7.71E-07,1.033800413,0.484,0.103,0.026875022,,#N/A
Stxbp6,8.43E-07,1.560068468,0.421,0.086,0.029382553,,#N/A
Zbtb20,9.26E-07,-1.414349944,0.671,0.741,0.032277284,,#N/A
Etl4,9.47E-07,1.952727801,0.467,0.121,0.03303272,,Etl4
Arpp21,9.49E-07,0.964129593,0.734,0.414,0.033095465,,#N/A
Lrfn5,1.05E-06,1.139929345,0.515,0.155,0.036637832,,#N/A
Prokr2,1.18E-06,-0.759010474,0.013,0.103,0.041215347,,#N/A
Epha3,1.35E-06,0.819847415,0.451,0.086,0.046898153,,#N/A
Msi2,1.35E-06,-1.215060095,0.435,0.638,0.046971956,,#N/A
Brip1,1.38E-06,-0.55968585,0.002,0.052,0.048084821,,#N/A
Ank3,1.39E-06,0.663931855,0.843,0.466,0.048618332,,#N/A
Clspn,1.44E-06,-0.248145658,0.002,0.052,0.050109352,,
Kif11,1.47E-06,-0.448113619,0.002,0.052,0.05115211,,
Ildr2,1.55E-06,1.159281397,0.429,0.086,0.054066966,,
Neto1,1.71E-06,1.272459459,0.433,0.086,0.059702239,,
Lrrtm4,1.72E-06,0.999817835,0.746,0.414,0.060124206,,
Tmeff2,1.84E-06,1.257291336,0.584,0.224,0.064320333,,
Sema6a,1.91E-06,1.391299451,0.294,0,0.066704754,,
Syn2,2.19E-06,0.743793269,0.693,0.31,0.076530659,,
Plekha1,2.54E-06,0.921467334,0.413,0.069,0.088590717,,
Dpp10,2.93E-06,0.951322413,0.857,0.638,0.102188902,,
Plcb1,2.96E-06,0.89011474,0.85,0.603,0.103094715,,
Olfm1,3.17E-06,-1.017164069,0.402,0.603,0.110467747,,
Ppm1e,3.28E-06,0.883516102,0.838,0.534,0.114344033,,
Mir99ahg,3.52E-06,-1.996771106,0.145,0.345,0.122622736,,
Ube2e2,3.52E-06,0.915751713,0.62,0.241,0.122745517,,
Hmgb2,3.89E-06,-0.5768227,0.006,0.069,0.135651571,,
Slc9a9,3.93E-06,0.827560814,0.518,0.155,0.13690518,,
Tln2,4.01E-06,1.064246439,0.368,0.052,0.139975608,,
Grik2,4.44E-06,0.825184161,0.807,0.466,0.154880211,,
4930555F03Rik,4.56E-06,1.819626421,0.302,0.017,0.159099233,,
Adamts19,5.26E-06,1.504898346,0.307,0.017,0.183359192,,
Gm44829,5.90E-06,1.104241222,0.362,0.052,0.205666288,,
Csgalnact1,5.91E-06,1.224734814,0.354,0.052,0.206189738,,
Kcnq5,5.95E-06,1.22360436,0.578,0.259,0.207385361,,
1700111E14Rik,6.12E-06,1.055492425,0.338,0.034,0.213322941,,
Eml5,6.21E-06,0.828271447,0.633,0.259,0.216677774,,
Rbfox3,6.34E-06,0.65663267,0.476,0.121,0.220950734,,
Thoc2l,6.65E-06,1.009848377,0.355,0.052,0.231964088,,
Tanc2,6.66E-06,0.640873815,0.783,0.414,0.232379502,,
Rasa2,6.91E-06,1.015211133,0.491,0.138,0.24085215,,
Fbxl17,7.00E-06,0.952965231,0.509,0.155,0.244240256,,
Peg3,7.04E-06,0.923734095,0.461,0.121,0.245320963,,
Ano3,7.31E-06,1.577573532,0.445,0.138,0.254780224,,
Ppp1r12b,9.21E-06,0.74240438,0.638,0.259,0.320965452,,
Gm3764,9.68E-06,-1.422441839,0.228,0.431,0.337552235,,
Nol4,9.93E-06,-0.923190327,0.688,0.724,0.346139082,,
Lrp1b,9.94E-06,1.241296938,0.783,0.552,0.346695967,,
Foxn3,1.00E-05,-0.959317253,0.417,0.586,0.349422229,,
Oxr1,1.04E-05,1.134657339,0.724,0.414,0.362804375,,
Prkce,1.04E-05,0.823359857,0.549,0.19,0.363072952,,
Kcnh5,1.13E-05,1.142258459,0.322,0.034,0.393980993,,
Slc4a10,1.16E-05,0.74948579,0.606,0.224,0.405924376,,
C130073E24Rik,1.28E-05,1.478221716,0.359,0.069,0.446884547,,
Ctnna3,1.33E-05,0.988046575,0.484,0.155,0.46455786,,
Dlc1,1.33E-05,0.943565826,0.399,0.086,0.465302963,,
Ablim3,1.36E-05,0.889863015,0.451,0.121,0.473061252,,
Lix1,1.43E-05,1.2217762,0.3,0.034,0.498315957,,
Gm42439,1.64E-05,0.713715582,0.688,0.328,0.571354354,,
Prom1,1.66E-05,-0.404548101,0.004,0.052,0.578020707,,
Gm17057,1.69E-05,-0.556403721,0.004,0.052,0.587907226,,
Rbfox1,1.69E-05,1.217104873,0.738,0.517,0.588806377,,
Rad54b,1.70E-05,-0.546525321,0.007,0.069,0.592591935,,
Cnmd,1.71E-05,-0.549468973,0.004,0.052,0.597954766,,
Syt6,1.72E-05,1.123794221,0.363,0.069,0.598220574,,
Ahcyl2,1.73E-05,0.851702368,0.373,0.069,0.602851594,,
Apc,1.83E-05,0.844686503,0.82,0.534,0.63741154,,
Nrcam,1.85E-05,0.97068821,0.615,0.276,0.645233137,,
Frmd3,1.85E-05,0.955767969,0.362,0.069,0.64612328,,
Gng4,1.96E-05,1.042325206,0.311,0.034,0.681743684,,
Chrm2,2.05E-05,1.045599541,0.33,0.052,0.714666395,,
Prox1,2.09E-05,-0.920647797,0.023,0.121,0.729974656,,
Me3,2.13E-05,0.819588527,0.44,0.121,0.743125936,,
Asic2,2.13E-05,0.391854665,0.662,0.328,0.743437806,,
Kcnma1,2.28E-05,0.885347468,0.688,0.328,0.795362326,,
