"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",3.42999021841524e-98,-0.528027103919185,0.998,0.998,1.19593468945484e-93
"Sgk1",2.13726403606414e-40,1.07109158618194,0.277,0.073,7.45199851454485e-36
"Mast4",3.16027731946595e-38,0.487081176737234,0.95,0.854,1.10189389297819e-33
"Plcl1",4.25557151305671e-38,0.515090284416795,0.969,0.924,1.48379011945748e-33
"Ptgds",1.20323892894652e-34,0.721741338092933,0.861,0.73,4.19533317355785e-30
"A330015K06Rik",1.20944014245841e-32,0.822596104440191,0.527,0.293,4.21695494470973e-28
"Elmo1",3.22606662684492e-32,0.665081178497268,0.73,0.523,1.12483265078202e-27
"Pcdh9",1.0888139098885e-28,0.322863892410844,0.998,0.996,3.79636745960822e-24
"Hecw2",2.0287116998997e-28,0.638821617637956,0.704,0.49,7.07350908404028e-24
"Echdc2",6.02831408637145e-28,0.759817412095287,0.096,0.002,2.10189227249513e-23
"Map7",1.55098252259813e-25,0.465667362234269,0.867,0.717,5.40781076154289e-21
"Tmod2",2.39931496779379e-25,0.685367287940856,0.579,0.365,8.3656914982066e-21
"Ptprk",2.57536469468577e-23,0.574118829390428,0.689,0.51,8.97952408096087e-19
"Slc8a1",2.22261030662619e-22,0.574244376390836,0.742,0.578,7.74957535611354e-18
"Rnf220",4.02678488122693e-22,-0.513075575809267,0.681,0.779,1.40401908453739e-17
"Cdc42bpa",8.63474035056325e-21,0.478124336174112,0.76,0.607,3.01067491803089e-16
"Otud7a",9.63612178964161e-21,0.71603433348714,0.435,0.259,3.35982658439434e-16
"Kcnab1",1.47957679571172e-20,0.673118350540084,0.467,0.278,5.15884041360804e-16
"Gm9895",1.77016283300205e-16,0.634873424984525,0.194,0.078,6.17202674982825e-12
"Tbc1d5",5.84612692633542e-16,0.397698313432635,0.748,0.598,2.03836907540537e-11
"Cdc37l1",7.37888878505208e-16,0.397397160550287,0.751,0.604,2.57279715268411e-11
"Apoe",1.58747571844257e-15,0.564578258718524,0.625,0.464,5.53505158749372e-11
"Cdh19",5.15154796213212e-15,0.554833983763073,0.444,0.288,1.79619022795661e-10
"Tef",5.36722140045621e-15,0.507445361196594,0.256,0.126,1.87138908569707e-10
"Plin4",1.13372310460067e-14,0.451502599232189,0.058,0.005,3.95295234881115e-10
"Edil3",1.37525980523431e-14,0.306168285549589,0.943,0.885,4.79511836291046e-10
