,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Rn18s-rs5,1.57E-81,-0.425452553,0.999,1,5.48E-77,,Rfx1,Rfx1,-0.03735445,1
Hif3a,4.43E-39,0.849884689,0.336,0.117,1.54E-34,,Stat3,Stat3,0.094231119,1
Rora,1.85E-37,0.398755447,0.983,0.97,6.45E-33,,Nucks1,Nucks1,0.020976305,1
Grm3,2.65E-35,-0.562340386,0.761,0.85,9.26E-31,,Kdm5a,Kdm5a,0.005164489,1
Asic2,7.94E-35,0.660060622,0.532,0.307,2.77E-30,,Rara,Rara,0.001802945,1
Etnppl,7.28E-33,0.878710681,0.238,0.066,2.54E-28,,Ep300,Ep300,0.078370872,1
Apoe,1.86E-30,0.489946783,0.942,0.844,6.50E-26,,Hoxb4,Hoxb4,0,1
Cdh19,6.97E-27,0.730004231,0.514,0.326,2.43E-22,,Prdm1,Prdm1,0.055079353,1
Acss2,3.73E-25,-0.767162699,0.254,0.41,1.30E-20,,Irf3,Irf3,-0.059559285,1
Echdc2,5.56E-20,0.548978567,0.173,0.055,1.94E-15,,Esrrg,Esrrg,-0.127946808,1
Mdga2,7.73E-20,0.475154973,0.833,0.829,2.70E-15,,Rcor2,Rcor2,0.04801283,1
Gm47283,4.74E-19,0.408133355,0.075,0.003,1.65E-14,,Cbx7,Cbx7,-0.049704333,1
Rgs7,2.12E-18,-0.455711315,0.654,0.751,7.41E-14,,Supt16h,#N/A,,
Galnt18,8.70E-18,0.548377602,0.272,0.131,3.03E-13,,Pou2f1,Pou2f1,-0.106168551,1
Plce1,2.61E-17,0.807141981,0.215,0.096,9.09E-13,,Erf,Erf,0.046948004,1
Cst3,8.77E-17,0.417352458,0.853,0.747,3.06E-12,,Yap1,Yap1,0.046916783,1
Ccnd3,2.73E-16,0.532336988,0.245,0.117,9.50E-12,,Brd2,Brd2,0.082257692,1
Pcyt2,3.55E-15,-0.547529454,0.304,0.424,1.24E-10,,Satb1,Satb1,-0.075307353,1
Npas3,3.60E-15,-0.298336286,0.823,0.891,1.26E-10,,Nfya,Nfya,0.040807984,1
Gm11417,1.75E-13,0.347978285,0.1,0.027,6.10E-09,,Setdb1,Setdb1,-0.032051246,1
Gphn,1.84E-13,0.329669745,0.843,0.77,6.41E-09,,Rai1,Rai1,-0.008088155,1
Zbtb20,2.16E-13,0.190671216,0.985,0.98,7.54E-09,,Irf7,Irf7,0.005084778,1
Fkbp5,9.63E-13,0.458452028,0.08,0.017,3.36E-08,,Foxa2,#N/A,,
Akt2,1.76E-12,-0.528267924,0.153,0.246,6.14E-08,,Stat2,Stat2,0.036492987,1
Phka1,2.18E-12,0.421322378,0.552,0.411,7.61E-08,,Hoxc9,#N/A,,
Lsamp,3.02E-12,0.168882547,0.908,0.938,1.05E-07,,Foxp3,Foxp3,0.004228049,1
Adamts20,1.06E-11,0.305391869,0.079,0.019,3.71E-07,,Nanog,Nanog,0,1
Hmgcs1,1.20E-11,-0.50287462,0.167,0.263,4.19E-07,,Ctcf,Ctcf,0.04307546,1
Qki,2.44E-11,0.265446332,0.888,0.865,8.51E-07,,Cdk9,Cdk9,0.069179437,1
