,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Echdc2,1.71E-276,0.692900813,0.408,0.114,5.95E-272,,Rfx1,Rfx1,0.007445705,1
Gm47283,2.93E-233,0.484969275,0.222,0.023,1.02E-228,,Stat3,Stat3,-0.001337259,1
Nav3,5.31E-172,-0.323561757,0.954,0.983,1.85E-167,,Nucks1,Nucks1,0.064832294,1
Kcnma1,5.72E-137,-0.304997747,0.946,0.976,1.99E-132,,Kdm5a,Kdm5a,0.013439683,1
Rn18s-rs5,2.53E-126,-0.167622976,1,1,8.82E-122,,Rara,Rara,-0.014760687,1
Nrg3,1.65E-101,-0.197331322,0.976,0.99,5.75E-97,,Ep300,Ep300,-0.00875776,1
Slit2,2.07E-98,-0.568030843,0.401,0.562,7.20E-94,,Hoxb4,Hoxb4,0,1
Sgcz,3.95E-85,-0.362150614,0.891,0.951,1.38E-80,,Prdm1,Prdm1,-0.00022586,1
R3hdm1,2.53E-70,-0.281952869,0.946,0.967,8.83E-66,,Irf3,Irf3,0.033734393,1
Asap1,6.11E-66,-0.298203503,0.813,0.87,2.13E-61,,Esrrg,Esrrg,-0.009723565,1
Gm20752,1.03E-64,-0.417395771,0.071,0.18,3.59E-60,,Rcor2,Rcor2,-0.009268966,1
Etl4,1.17E-63,-0.299410801,0.879,0.946,4.09E-59,,Cbx7,Cbx7,-0.003511807,1
Rad51ap2,6.52E-61,-0.385692798,0.31,0.436,2.27E-56,,Supt16h,#N/A,,
Gria1,2.11E-59,0.356417213,0.913,0.896,7.36E-55,,Pou2f1,Pou2f1,-0.02859664,1
Hecw2,2.66E-57,-0.254710284,0.869,0.913,9.28E-53,,Erf,Erf,-0.056481861,1
Itga8,4.58E-56,0.348271073,0.357,0.219,1.60E-51,,Yap1,Yap1,-0.016707887,1
Fgf12,2.45E-55,-0.210805982,0.946,0.978,8.54E-51,,Brd2,Brd2,-0.004147045,1
Cap2,5.42E-55,-0.28785284,0.736,0.803,1.89E-50,,Satb1,Satb1,-0.039981831,1
Homer1,2.76E-54,-0.365802483,0.671,0.738,9.62E-50,,Nfya,Nfya,-0.029087964,1
Abi3bp,2.27E-50,-0.013472641,0.15,0.276,7.93E-46,,Setdb1,Setdb1,0.032610369,0.581228704
Etv5,2.36E-49,-0.340766427,0.274,0.394,8.21E-45,,Rai1,Rai1,-0.119830371,0.00078411
Apoe,3.11E-49,0.498235304,0.453,0.309,1.08E-44,,Irf7,Irf7,0.000998455,1
Klf10,1.63E-48,-0.271434444,0.145,0.255,5.67E-44,,Foxa2,#N/A,,
Ptgds,1.09E-47,0.438714369,0.502,0.356,3.79E-43,,Stat2,Stat2,-0.004013842,1
Cacnb2,1.14E-43,0.481834238,0.771,0.701,3.98E-39,,Hoxc9,#N/A,,
Nrxn3,1.18E-43,-0.200658427,0.968,0.985,4.11E-39,,Foxp3,Foxp3,0.004360436,1
1700016P03Rik,1.24E-43,-0.316645616,0.14,0.24,4.34E-39,,Nanog,Nanog,-0.000204628,1
Arhgap26,2.46E-43,0.244174244,0.184,0.092,8.57E-39,,Ctcf,Ctcf,0.037996827,1
Arc,3.85E-43,-0.225052416,0.052,0.13,1.34E-38,,Cdk9,Cdk9,-0.059401511,1
Gm10848,1.45E-42,0.261924048,0.174,0.087,5.06E-38,,Rbbp4,Rbbp4,0.055747769,1
Gm15414,5.90E-42,0.252594467,0.367,0.242,2.06E-37,,Etv6,Etv6,-0.094654571,1
Asic2,1.11E-41,-0.173560735,0.927,0.975,3.88E-37,,Twist2,Twist2,-0.010056632,1
Arpp21,2.24E-41,-0.159938131,0.958,0.983,7.80E-37,,Kmt2b,Kmt2b,0.02951816,1
Plcb1,2.00E-40,-0.173414221,0.933,0.969,6.96E-36,,Pias2,Pias2,0.005395462,1
Cacna1a,2.81E-40,-0.189800179,0.915,0.95,9.80E-36,,Onecut1,Onecut1,0.000108137,1
Grm1,3.51E-40,0.4964309,0.599,0.498,1.22E-35,,Mafg,Mafg,-0.069100731,1
Adam23,5.15E-40,-0.215584433,0.672,0.73,1.80E-35,,Stat4,Stat4,-0.021313564,1
Gfod1,9.54E-40,-0.278101105,0.439,0.53,3.33E-35,,Pcgf6,Pcgf6,-0.029676344,1
Nrg3os,1.62E-39,-0.199527216,0.906,0.954,5.65E-35,,Hdac2,Hdac2,-0.005696063,1
Grm5,6.40E-39,0.237612562,0.94,0.955,2.23E-34,,Rxra,Rxra,0.00254834,1
Matn2,3.63E-38,0.217026866,0.252,0.15,1.26E-33,,Ets1,Ets1,-0.007141745,1
Gm34237,4.08E-38,-0.216427265,0.1,0.185,1.42E-33,,Rela,Rela,-0.041714706,1
Dbp,6.45E-38,0.174418252,0.212,0.117,2.25E-33,,Foxo1,Foxo1,0.06154464,0.333468441
4930567K20Rik,5.42E-36,0.232825107,0.229,0.135,1.89E-31,,Kdm4c,Kdm4c,0.061539436,1
Rassf8,6.49E-36,0.212785492,0.307,0.197,2.26E-31,,Znf143,#N/A,,
Zfp804b,3.73E-35,-0.433287863,0.39,0.497,1.30E-30,,PcgF3,Pcgf3,0.004165027,1
Cadps2,4.36E-35,-0.303630898,0.462,0.57,1.52E-30,,Mfsd11,Mfsd11,0.06803988,0.012517021
Myt1l,5.97E-35,0.204834079,0.928,0.928,2.08E-30,,Sox9,Sox9,0.013181082,1
Map2k6,7.39E-35,0.232331145,0.394,0.276,2.58E-30,,Dnmt3a,Dnmt3a,-0.110400759,7.46755E-05
Pdzrn3,1.25E-34,-0.378015813,0.531,0.596,4.36E-30,,Arid4b,Arid4b,0.017149948,1
9630028H03Rik,3.91E-34,-0.275825396,0.679,0.741,1.36E-29,,Lmnb1,Lmnb1,-0.036318595,1
Tnr,1.60E-33,0.267238676,0.851,0.814,5.57E-29,,Cdk8,Cdk8,-0.019978771,1
Fgf1,4.59E-33,0.237981333,0.211,0.125,1.60E-28,,Rad51,Rad51,0.006353098,1
Prkn,9.33E-33,0.222357883,0.874,0.845,3.25E-28,,Insm1,Insm1,-0.004532152,1
Rbm39,1.08E-32,0.197446566,0.918,0.9,3.77E-28,,Hes1,Hes1,-0.008416185,1
Ntrk2,2.19E-32,-0.18598217,0.862,0.895,7.63E-28,,Tead1,Tead1,-0.047035359,1
Tmem132d,4.00E-32,-0.163296739,0.742,0.805,1.39E-27,,Rbpj,Rbpj,-0.044892712,1
Tenm4,3.65E-31,0.243176193,0.88,0.867,1.27E-26,,Srebf1,Srebf1,0.001814035,1
