,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Meis2,8.22E-115,2.465143157,0.434,0.097,2.86E-110,,Rfx1,Rfx1,0.04528572,1
Pbx3,4.33E-88,2.040352759,0.413,0.126,1.51E-83,,Stat3,Stat3,0.019311787,1
Pcbp3,1.04E-66,1.537668896,0.515,0.279,3.61E-62,,Nucks1,Nucks1,0.096885593,1
Cpa6,4.00E-59,1.943656723,0.185,0.013,1.39E-54,,Kdm5a,Kdm5a,0.010501176,1
Auts2,1.02E-58,0.906432428,0.976,0.956,3.56E-54,,Rara,Rara,0.00944197,1
Snhg11,2.86E-58,-0.396253089,0.968,0.987,9.97E-54,,Ep300,Ep300,0.055402197,1
Rims1,1.49E-55,-0.540906578,0.682,0.935,5.20E-51,,Hoxb4,Hoxb4,0,1
Thrb,9.99E-55,-0.553196709,0.584,0.846,3.48E-50,,Prdm1,Prdm1,0.032851448,1
Xkr4,3.45E-52,-0.487569162,0.725,0.952,1.20E-47,,Irf3,Irf3,-0.043586871,1
Kctd16,2.30E-51,-0.527178416,0.611,0.858,8.02E-47,,Esrrg,Esrrg,-0.066640503,1
Celf2,3.57E-49,0.953269091,0.972,0.96,1.24E-44,,Rcor2,Rcor2,8.80549E-05,1
Pbx1,2.64E-48,1.254842616,0.768,0.653,9.20E-44,,Cbx7,Cbx7,0.027681053,1
Frmd5,2.65E-47,-0.468202392,0.657,0.881,9.25E-43,,Supt16h,#N/A,,
Meg3,6.92E-47,-0.365235529,0.985,0.992,2.41E-42,,Pou2f1,Pou2f1,0.036946905,1
Nrg3,1.18E-46,-0.497296643,0.803,0.974,4.10E-42,,Erf,Erf,-0.012232,1
Tmem132b,2.80E-43,-0.522607243,0.502,0.732,9.77E-39,,Yap1,Yap1,0.026586722,1
Adamts19,1.00E-42,0.998099936,0.122,0.002,3.49E-38,,Brd2,Brd2,0.065312967,1
Echdc2,1.31E-42,0.433508811,0.158,0.019,4.58E-38,,Satb1,Satb1,-0.231897902,0.000126113
Meis1,8.03E-41,0.783199203,0.147,0.017,2.80E-36,,Nfya,Nfya,-0.006082902,1
C79798,8.88E-41,0.755513005,0.16,0.023,3.09E-36,,Setdb1,Setdb1,0.062232808,1
Dock10,1.27E-40,0.976331205,0.374,0.184,4.43E-36,,Rai1,Rai1,-0.126418061,0.461363507
Sh3rf3,1.55E-40,-0.474272541,0.488,0.712,5.40E-36,,Irf7,Irf7,-0.001502833,1
Elavl2,2.29E-40,-0.49044078,0.536,0.757,7.98E-36,,Foxa2,#N/A,,
Ptpro,5.40E-40,1.249604299,0.455,0.267,1.88E-35,,Stat2,Stat2,0.015018401,1
Gm47283,9.19E-40,0.382228368,0.143,0.015,3.20E-35,,Hoxc9,#N/A,,
Ptchd4,1.97E-39,-0.5534455,0.495,0.708,6.85E-35,,Foxp3,Foxp3,0.00438132,1
Lgr5,5.17E-39,1.107274409,0.177,0.038,1.80E-34,,Nanog,Nanog,0,1
Gm42439,1.71E-38,0.774616472,0.584,0.392,5.97E-34,,Ctcf,Ctcf,0.088397191,1
Kcnip4,1.78E-38,-0.562449352,0.75,0.905,6.21E-34,,Cdk9,Cdk9,-0.005105406,1
Ppm1e,3.98E-38,0.893959595,0.778,0.67,1.39E-33,,Rbbp4,Rbbp4,0.074370732,1
Kcnmb2,1.93E-36,-0.410793169,0.584,0.833,6.74E-32,,Etv6,Etv6,-0.09198415,1
Cacna1a,2.34E-36,-0.434289968,0.731,0.882,8.17E-32,,Twist2,Twist2,0.006982203,1
Syt6,8.28E-35,0.80118282,0.175,0.043,2.89E-30,,Kmt2b,Kmt2b,-0.022066457,1
Rbfox1,1.42E-34,-0.394659124,0.873,0.958,4.95E-30,,Pias2,Pias2,-0.039749142,1
Cdk14,4.00E-34,0.705930968,0.657,0.511,1.39E-29,,Onecut1,Onecut1,0,1
Dst,3.08E-33,-0.379546081,0.69,0.868,1.08E-28,,Mafg,Mafg,-0.121058568,1
Robo1,1.71E-32,-0.35168131,0.721,0.917,5.95E-28,,Stat4,Stat4,0.010921032,1
Iqsec1,2.49E-32,-0.459728358,0.518,0.696,8.67E-28,,Pcgf6,Pcgf6,0.039879342,1
Cntnap5a,4.15E-32,-0.499141225,0.505,0.709,1.45E-27,,Hdac2,Hdac2,0.110515552,1
Col19a1,1.11E-31,-0.550318558,0.372,0.558,3.87E-27,,Rxra,Rxra,-0.028520928,1
Rn18s-rs5,1.12E-31,-0.245955503,1,0.999,3.90E-27,,Ets1,Ets1,-0.10113446,1
Cacna2d1,5.63E-31,0.823919602,0.558,0.411,1.96E-26,,Rela,Rela,0.025277715,1
Frmd7,1.16E-30,0.50583441,0.114,0.013,4.05E-26,,Foxo1,Foxo1,-0.01440885,1
Npas3,1.74E-30,-0.486757223,0.565,0.768,6.08E-26,,Kdm4c,Kdm4c,0.02160083,1
Mapk10,2.27E-30,-0.402596674,0.657,0.838,7.91E-26,,Znf143,#N/A,,
Pclo,3.08E-30,-0.363784307,0.703,0.87,1.07E-25,,PcgF3,Pcgf3,0.066457072,1
Lgr6,5.47E-30,0.507220881,0.089,0.003,1.91E-25,,Mfsd11,Mfsd11,-0.031761296,1
St6galnac3,1.68E-29,0.955977994,0.338,0.19,5.87E-25,,Sox9,Sox9,0.025436377,1
Arpp21,1.71E-29,1.026777285,0.539,0.411,5.96E-25,,Dnmt3a,Dnmt3a,-0.002272639,1
Nalf1,1.94E-29,0.499528895,0.955,0.931,6.75E-25,,Arid4b,Arid4b,0.088947134,1
Cpne4,1.95E-29,1.16474686,0.42,0.274,6.79E-25,,Lmnb1,Lmnb1,-0.025745123,1
Gabra2,4.09E-29,0.702281125,0.448,0.288,1.42E-24,,Cdk8,Cdk8,-0.159821398,0.698185413
Vipr2,1.35E-28,0.457820871,0.091,0.005,4.72E-24,,Rad51,Rad51,0.011952989,1
Spock1,1.46E-28,-0.43536479,0.511,0.69,5.09E-24,,Insm1,Insm1,0.016259694,1
Gabrg3,1.60E-28,-0.353544989,0.693,0.868,5.59E-24,,Hes1,Hes1,-0.046839326,1
Kif5c,2.07E-28,-0.417604387,0.489,0.666,7.22E-24,,Tead1,Tead1,0.198406687,1
Lsamp,2.11E-28,-0.328212567,0.896,0.985,7.34E-24,,Rbpj,Rbpj,0.098980941,1
Lrrc7,2.20E-28,0.560989331,0.882,0.858,7.66E-24,,Srebf1,Srebf1,0.002597287,1
Tshz1,2.41E-28,0.875963324,0.264,0.126,8.41E-24,,Tfap4,Tfap4,0.008449116,1
Agbl4,2.77E-28,-0.363246432,0.61,0.814,9.65E-24,,Jun,Jun,0.017332122,1
Slc24a2,3.33E-28,-0.341235918,0.572,0.782,1.16E-23,,Mafk,Mafk,-0.007982225,1
Grik1,3.86E-28,-0.37498105,0.572,0.769,1.35E-23,,Srsf2,Srsf2,0.085516626,1
Xkr6,6.22E-28,-0.40972579,0.412,0.591,2.17E-23,,Klf4,Klf4,0.00376333,1
Btbd11,8.19E-28,-0.45686838,0.422,0.601,2.86E-23,,Bach2,Bach2,-0.181360785,0.003755415
Cntn4,9.10E-28,-0.566586447,0.572,0.742,3.17E-23,,Setd1a,Setd1a,0.004074305,1
Zfp536,1.01E-27,-0.423343512,0.547,0.749,3.51E-23,,Pknox1,Pknox1,0.10692506,1
Dgkb,1.46E-27,1.206913456,0.601,0.501,5.07E-23,,Maz,Maz,0.037121709,1
Negr1,2.21E-27,0.470966312,0.947,0.911,7.69E-23,,Wdr43,Wdr43,-0.035838404,1
Sox6,4.04E-27,-0.474375978,0.35,0.547,1.41E-22,,Rfx2,Rfx2,0.060443783,1
Mir99ahg,6.39E-27,-0.406845163,0.571,0.763,2.23E-22,,Dr1,Dr1,0.009206643,1
Slc2a13,6.77E-27,-0.386822677,0.607,0.79,2.36E-22,,Hey1,Hey1,-0.023302436,1
Kcnb2,8.48E-27,1.347965111,0.688,0.613,2.96E-22,,Chd4,Chd4,0.051298654,1
Ppp1r12b,8.59E-27,0.665198654,0.576,0.434,2.99E-22,,Chd2,Chd2,-0.04994082,1
Dcx,9.59E-27,0.710253823,0.496,0.343,3.34E-22,,Hoxb5,#N/A,,
Tenm3,1.05E-26,1.224552811,0.561,0.431,3.66E-22,,Foxp1,Foxp1,0.039786855,1
Alk,1.44E-26,-0.448013398,0.385,0.569,5.02E-22,,Ssrp1,Ssrp1,-0.013233105,1
Maf,1.53E-26,-0.417307411,0.453,0.634,5.34E-22,,Kmt2c,Kmt2c,0.125910975,1
Galntl6,1.63E-26,-0.33493856,0.805,0.951,5.67E-22,,Zfp217,Zfp217,0.014370134,1
Astn2,2.31E-26,-0.395616799,0.641,0.796,8.07E-22,,Dnmt3b,Dnmt3b,0.011119862,1
Ptprd,7.95E-26,-0.361039851,0.787,0.916,2.77E-21,,Ncoa2,Ncoa2,-0.023174294,1
Csmd1,1.87E-25,-0.348007402,0.869,0.963,6.54E-21,,Six2,Six2,0,1
Kcnd2,2.66E-25,0.922069678,0.872,0.865,9.27E-21,,Bhlha15,Bhlha15,-0.00205596,1
Gm20658,4.36E-25,0.464643939,0.086,0.007,1.52E-20,,Taf2,Taf2,-0.002475847,1
Gabbr2,5.49E-25,-0.375540304,0.583,0.756,1.91E-20,,Irf8,Irf8,0.000500797,1
Prkg1,6.43E-25,1.324443442,0.546,0.435,2.24E-20,,Pou5f1,Pou5f1,-0.001351157,1
Rbms3,1.24E-24,-0.321768554,0.67,0.864,4.31E-20,,Gabpa,Gabpa,-0.027742952,1
Kcnq3,1.41E-24,-0.363169738,0.571,0.745,4.91E-20,,Ebf1,Ebf1,0.020628305,1
Fmn1,1.50E-24,-0.444903201,0.347,0.498,5.24E-20,,Tfap2c,Tfap2c,0.001385203,1
Ddx5,1.73E-24,0.476028815,0.762,0.661,6.03E-20,,Smad3,Smad3,0.103675733,1
Garnl3,3.73E-24,-0.3610289,0.435,0.6,1.30E-19,,Zbtb2,Zbtb2,0.008298672,1
Kcnab1,5.34E-24,-0.392062498,0.52,0.695,1.86E-19,,Kdm5b,Kdm5b,0.119525892,1
Nrg3os,5.70E-24,-0.329408176,0.584,0.792,1.99E-19,,Msl1,Msl1,-0.001319889,1
Cacna1c,8.47E-24,0.808230655,0.826,0.793,2.95E-19,,Med23,Med23,0.068464958,1
Plxna4,9.45E-24,-0.336541947,0.554,0.724,3.30E-19,,Rorc,Rorc,-0.001080063,1
Fam184a,1.58E-23,0.698539039,0.394,0.256,5.52E-19,,Gfi1,#N/A,,
Il1rapl1,3.17E-23,0.471900984,0.937,0.936,1.10E-18,,Ehf,Ehf,0,1
Slco5a1,3.80E-23,0.383217701,0.107,0.021,1.33E-18,,Cat,Cat,-0.000289803,1
Apoe,4.74E-23,0.545075545,0.461,0.314,1.65E-18,,Myt1l,Myt1l,0.020225569,1
Grip1,7.14E-23,-0.229628843,0.873,0.979,2.49E-18,,Wt1,Wt1,0.000558934,1
Sorbs1,9.18E-23,-0.343774019,0.632,0.775,3.20E-18,,Men1,Men1,-0.039669488,1
Gm20642,1.07E-22,-0.302824443,0.573,0.765,3.71E-18,,Arntl,Arntl,-0.110052254,1
Ppfia2,1.13E-22,0.478602132,0.869,0.814,3.93E-18,,Zeb1,Zeb1,0.36555426,0.023809435
A930009A15Rik,1.14E-22,0.507611596,0.09,0.013,3.99E-18,,Pou3f1,Pou3f1,-0.004911632,1
Syt10,1.16E-22,0.539937203,0.094,0.015,4.03E-18,,Jund,Jund,0.054309283,1
Hcn1,1.23E-22,-0.333260445,0.661,0.818,4.27E-18,,Ncor1,Ncor1,0.076637581,1
Arnt2,1.80E-22,-0.347917203,0.494,0.658,6.26E-18,,Vdr,Vdr,-0.004111824,1
Dpp6,2.64E-22,0.864542613,0.92,0.919,9.21E-18,,Fbxl19,Fbxl19,-0.043708131,1
Chl1,3.22E-22,-0.372174944,0.458,0.619,1.12E-17,,Ubtf,Ubtf,-0.005568709,1
Mical2,4.38E-22,-0.378688772,0.36,0.504,1.53E-17,,Kdm2a,Kdm2a,0.064901717,1
Ankrd6,5.28E-22,0.635100502,0.209,0.095,1.84E-17,,Zmiz1,Zmiz1,0.286728699,0.205207584
Grid2,7.28E-22,-0.347374934,0.502,0.676,2.54E-17,,Atoh1,Atoh1,0.00127744,1
Trpm3,1.15E-21,1.121783662,0.366,0.236,3.99E-17,,Bhlhe40,Bhlhe40,0.067071849,1
Slc35f1,3.94E-21,-0.341769041,0.511,0.671,1.38E-16,,Ascl1,Ascl1,-0.029080054,1
Frmd4a,4.22E-21,-0.273688043,0.822,0.942,1.47E-16,,Rad21,Rad21,0.061782192,1
Unc5c,5.06E-21,-0.518185174,0.451,0.599,1.76E-16,,Smarcad1,Smarcad1,0.132482965,1
Csgalnact1,6.83E-21,0.712114806,0.216,0.105,2.38E-16,,Nr5a2,Nr5a2,0,1
Zfp385b,7.07E-21,0.606871251,0.776,0.708,2.47E-16,,Lhx2,Lhx2,-0.005453175,1
Kif21a,8.10E-21,-0.323163477,0.609,0.788,2.82E-16,,Cdk6,Cdk6,-0.076779739,1
Kcnc1,9.63E-21,-0.341500413,0.51,0.662,3.36E-16,,Tbx21,Tbx21,0.00092586,1
Gabrb2,9.95E-21,-0.334524152,0.529,0.68,3.47E-16,,Esr1,Esr1,-0.011929135,1
Ntrk2,1.40E-20,-0.299227226,0.77,0.9,4.88E-16,,Morc3,Morc3,-0.02919688,1
Sipa1l1,1.50E-20,0.529410793,0.662,0.555,5.23E-16,,Creb1,Creb1,0.108569213,1
Utrn,1.68E-20,-0.348151735,0.401,0.554,5.86E-16,,Hdac3,Hdac3,-0.027949182,1
Kazn,1.80E-20,-0.374170378,0.524,0.676,6.29E-16,,Atf2,Atf2,-0.009040425,1
G630016G05Rik,3.88E-20,0.372002735,0.08,0.011,1.35E-15,,Atf4,Atf4,-0.005392609,1
2900079G21Rik,4.58E-20,0.446934104,0.095,0.02,1.60E-15,,Elf5,Elf5,0,1
Lingo2,8.62E-20,-0.364781327,0.534,0.697,3.00E-15,,Klf5,Klf5,-0.158997606,1
Adamts17,9.60E-20,-0.443690924,0.292,0.424,3.35E-15,,Nr4a1,Nr4a1,-0.111681864,0.62801869
Zfp804a,9.71E-20,-0.448584879,0.473,0.624,3.38E-15,,E2f4,E2f4,0.013969179,1
Ptgds,1.21E-19,0.488579747,0.493,0.354,4.21E-15,,Nr1h3,Nr1h3,0.010444128,1
Tmem178b,2.14E-19,-0.284575332,0.677,0.823,7.44E-15,,Fli1,Fli1,0.038546035,1
Rasa2,2.42E-19,0.750255029,0.398,0.281,8.44E-15,,Nr1d1,Nr1d1,0.058906405,1
C130073E24Rik,3.33E-19,0.709308679,0.263,0.146,1.16E-14,,Klf1,Klf1,-0.001376039,1
Oprm1,3.79E-19,0.609775686,0.273,0.156,1.32E-14,,Runx1,Runx1,0.041316533,1
Etl4,5.64E-19,-0.260330974,0.733,0.866,1.97E-14,,Hcfc1,Hcfc1,-0.00562452,1
Maml3,7.38E-19,0.66113682,0.433,0.314,2.57E-14,,Brd9,Brd9,-0.093439577,1
Lix1,8.11E-19,0.566446685,0.175,0.079,2.83E-14,,Nfe2l2,Nfe2l2,0.019100885,1
Nrxn3,8.63E-19,0.314677166,0.991,0.993,3.01E-14,,Cxxc1,Cxxc1,0.039070979,1
ENSMUSG00000120491,9.34E-19,0.340289395,0.054,0.001,3.26E-14,,Jarid2,Jarid2,0.263749568,1
Lrba,1.29E-18,0.628290031,0.632,0.54,4.50E-14,,Utp6,Utp6,-0.017705769,1
Caln1,1.50E-18,-0.423579814,0.254,0.389,5.24E-14,,Kat5,Kat5,-0.046386385,1
Adcy1,3.21E-18,-0.365625654,0.305,0.426,1.12E-13,,Zfx,Zfx,0.007684521,1
Arhgap26.1,3.42E-18,-0.315962889,0.376,0.511,1.19E-13,,Crebbp,Crebbp,0.120023349,1
Kcnc2,3.90E-18,-0.362376894,0.707,0.808,1.36E-13,,E2f1,E2f1,-0.006801225,1
Npffr2,4.34E-18,0.287252872,0.049,0,1.51E-13,,Tbpl1,Tbpl1,-0.024599194,1
Lrrc4c,1.03E-17,-0.317998871,0.77,0.896,3.59E-13,,Yy1,Yy1,-0.053812006,1
Pam,1.30E-17,-0.276614031,0.696,0.834,4.53E-13,,Nkx2-1,Nkx2-1,0.009654139,1
Dync1i1,1.42E-17,0.786980838,0.698,0.648,4.95E-13,,Mtf2,Mtf2,0.05651709,1
Osbpl3,1.53E-17,-0.351528715,0.421,0.547,5.35E-13,,Irf5,Irf5,-0.003032003,1
Rnf144b,1.70E-17,-0.377141584,0.267,0.393,5.94E-13,,Taf12,Taf12,-0.059795381,1
Wwox,2.13E-17,-0.299885123,0.563,0.713,7.44E-13,,Ep400,Ep400,0.005319502,1
Inpp4b,2.36E-17,0.770149633,0.41,0.284,8.24E-13,,Stat5a,Stat5a,0.0341572,1
Cntnap2,2.95E-17,-0.224114647,0.922,0.973,1.03E-12,,Irf4,Irf4,0.002420862,1
Kcns3,4.99E-17,-0.399123018,0.22,0.333,1.74E-12,,Znf24,#N/A,,
Egfem1,5.65E-17,-0.39438771,0.376,0.522,1.97E-12,,Rest,Rest,0.037981264,1
Tenm1,6.13E-17,-0.286861183,0.609,0.766,2.14E-12,,Smarca5,Smarca5,-0.033474187,1
Cpne6,6.52E-17,0.705868837,0.253,0.148,2.27E-12,,Dppa4,#N/A,,
Tenm4,7.84E-17,0.48519643,0.718,0.66,2.73E-12,,Stat6,Stat6,0.003690242,1
Clstn3,9.66E-17,-0.306122629,0.431,0.547,3.37E-12,,Tox,Tox,-0.279139913,1
Flrt2,9.69E-17,-0.353741518,0.376,0.505,3.38E-12,,Tet2,Tet2,-0.147594953,0.617521683
Adam23,1.06E-16,-0.301210732,0.415,0.543,3.69E-12,,Batf,Batf,0.005265468,1
Snap25,1.35E-16,0.342740138,0.931,0.934,4.70E-12,,Esr2,Esr2,-0.001884194,1
Zbtb16,2.14E-16,-0.347457336,0.323,0.452,7.45E-12,,Foxo3,Foxo3,-0.059243502,1
Aff2,2.43E-16,-0.36275423,0.41,0.536,8.48E-12,,Trim33,Trim33,0.038004911,1
Ncald,2.64E-16,-0.31259595,0.455,0.583,9.20E-12,,Isl1,Isl1,0,1
Hap1,2.68E-16,0.400376308,0.164,0.075,9.36E-12,,Egr2,Egr2,-0.006295094,1
Baiap2,2.79E-16,0.438575661,0.166,0.077,9.73E-12,,Kdm1a,Kdm1a,0.031939731,1
