"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",1.70546267965424e-276,0.692900813054309,0.408,0.114,5.94643672515042e-272
"Gm47283",2.92698384729809e-233,0.484969274575533,0.222,0.023,1.02055145803743e-228
"Nav3",5.31072802880326e-172,-0.323561757256928,0.954,0.983,1.85169154180283e-167
"Kcnma1",5.71586240559793e-137,-0.304997747420808,0.946,0.976,1.99294974495983e-132
"Rn18s-rs5",2.52859884203332e-126,-0.167622975997243,1,1,8.81646558251759e-122
"Nrg3",1.64908206362774e-101,-0.197331322049918,0.976,0.99,5.74985443125085e-97
"Slit2",2.0650565174573e-98,-0.568030842900646,0.401,0.562,7.20023255941836e-94
"Sgcz",3.95216805864953e-85,-0.362150614196197,0.891,0.951,1.37800243700933e-80
"R3hdm1",2.53185348850491e-70,-0.281952869202385,0.946,0.967,8.82781355837009e-66
"Asap1",6.11163681119092e-66,-0.298203502894707,0.813,0.87,2.13094440695794e-61
"Gm20752",1.03025350015521e-64,-0.417395770968876,0.071,0.18,3.59218487899116e-60
"Etl4",1.17440698274009e-63,-0.29941080127844,0.879,0.946,4.09480482671987e-59
"Rad51ap2",6.51753913119192e-61,-0.385692798296016,0.31,0.436,2.27247036887269e-56
"Gria1",2.11163810426547e-59,0.356417213208847,0.913,0.896,7.36264857814242e-55
"Hecw2",2.66054555431001e-57,-0.254710283692996,0.869,0.913,9.27652418421272e-53
"Itga8",4.58369539851765e-56,0.348271072672177,0.357,0.219,1.59819707460115e-51
"Fgf12",2.44869823180236e-55,-0.210805981738084,0.946,0.978,8.53787612482529e-51
"Cap2",5.42213269129619e-55,-0.287852839853104,0.736,0.803,1.89053500547424e-50
"Homer1",2.75967740171145e-54,-0.365802483411082,0.671,0.738,9.62216719654733e-50
"Abi3bp",2.27404718621616e-50,-0.013472640649387,0.15,0.276,7.92892032417989e-46
"Etv5",2.35606897993397e-49,-0.340766426831052,0.274,0.394,8.21490571233576e-45
"Apoe",3.10522942249022e-49,0.498235304183221,0.453,0.309,1.08270034273966e-44
"Klf10",1.62510352292588e-48,-0.271434444142223,0.145,0.255,5.66624845338567e-44
"Ptgds",1.08621474058832e-47,0.438714368532636,0.502,0.356,3.78730493600928e-43
"Cacnb2",1.14214166863674e-43,0.481834238203911,0.771,0.701,3.98230535603571e-39
"Nrxn3",1.18017824017614e-43,-0.200658427010433,0.968,0.985,4.11492747002213e-39
"1700016P03Rik",1.24339593393112e-43,-0.316645616195364,0.14,0.24,4.33534860283765e-39
"Arhgap26",2.45698648007588e-43,0.244174243927839,0.184,0.092,8.56677476008056e-39
"Arc",3.84958450759541e-43,-0.22505241599808,0.052,0.13,1.34223463026329e-38
"Gm10848",1.45120551600937e-42,0.261924048481742,0.174,0.087,5.05991827266988e-38
"Gm15414",5.90359678610566e-42,0.252594467065766,0.367,0.242,2.05840709141146e-37
"Asic2",1.11218153649159e-41,-0.17356073476766,0.927,0.975,3.87784336328523e-37
"Arpp21",2.23841027139173e-41,-0.159938130817705,0.958,0.983,7.80466509326156e-37
"Plcb1",1.99653770147193e-40,-0.173414221455398,0.933,0.969,6.96132800372219e-36
"Cacna1a",2.81148969358872e-40,-0.189800179001399,0.915,0.95,9.80282111463578e-36
"Grm1",3.51107789934867e-40,0.496430899857671,0.599,0.498,1.2242075311659e-35
"Adam23",5.14921639720644e-40,-0.21558443345394,0.672,0.73,1.79537728121397e-35
"Gfod1",9.54077345174802e-40,-0.278101104861253,0.439,0.53,3.32658147942098e-35
"Nrg3os",1.62166349929147e-39,-0.19952721631853,0.906,0.954,5.65425412297958e-35
"Grm5",6.40167239687816e-39,0.237612561558727,0.94,0.955,2.23207111461951e-34
"Matn2",3.62675526523607e-38,0.217026865590261,0.252,0.15,1.26454075832986e-33
"Gm34237",4.07633504610288e-38,-0.216427265383109,0.1,0.185,1.42129574052469e-33
"Dbp",6.44838116723729e-38,0.174418252277786,0.212,0.117,2.24835706158062e-33
"4930567K20Rik",5.42309214614799e-36,0.232825106585155,0.229,0.135,1.89086953859742e-31
"Rassf8",6.490953346104e-36,0.212785492113057,0.307,0.197,2.26320070318608e-31
"Zfp804b",3.73473445827462e-35,-0.433287863162847,0.39,0.497,1.30218986356661e-30
"Cadps2",4.36457546160567e-35,-0.303630897986831,0.462,0.57,1.52179652619805e-30
"Myt1l",5.96663866808693e-35,0.204834079235083,0.928,0.928,2.08038790440187e-30
"Map2k6",7.38584095276573e-35,0.232331145111707,0.394,0.276,2.57522116500083e-30
"Pdzrn3",1.25086194197357e-34,-0.378015812886454,0.531,0.596,4.36138033307923e-30
"9630028H03Rik",3.91142166865342e-34,-0.275825396183059,0.679,0.741,1.36379539320939e-29
"Tnr",1.59794092459842e-33,0.267238675694759,0.851,0.814,5.5715406217973e-29
"Fgf1",4.58917866858877e-33,0.237981332947712,0.211,0.125,1.60010892637685e-28
"Prkn",9.32743023163017e-33,0.222357883263462,0.874,0.845,3.25219509886249e-28
"Rbm39",1.08044471072959e-32,0.197446565551915,0.918,0.9,3.76718657290085e-28
"Ntrk2",2.18793531013298e-32,-0.185982169550496,0.862,0.895,7.62867404584065e-28
"Tmem132d",3.99932907346692e-32,-0.163296738856507,0.742,0.805,1.39444606804571e-27
"Tenm4",3.64570120335477e-31,0.243176193320747,0.88,0.867,1.27114663857371e-26
"Dtna",1.11984781394541e-30,-0.218713274914973,0.659,0.717,3.90457337288348e-26
"Slc9a9",4.87402846403635e-30,-0.301203330379808,0.644,0.694,1.69942750455555e-25
"Spred2",6.44220678693308e-30,-0.228543078745825,0.57,0.635,2.24620424039996e-25
"Arntl",8.3815056383002e-30,-0.258436959067019,0.322,0.405,2.92237957090613e-25
"Kcnd2",1.51736654947904e-29,-0.0935130138318012,0.943,0.975,5.29060194806855e-25
"Pak5",4.06975964965324e-29,-0.183226699613991,0.839,0.881,1.41900309704459e-24
"Tacc1",7.16179348420888e-29,-0.205603097845346,0.668,0.723,2.49710253413911e-24
"Mlip",9.11106166701501e-29,-0.232828887964106,0.598,0.661,3.17675387143812e-24
"Prickle1",1.07582044561443e-28,-0.179984988181801,0.886,0.937,3.75106314772383e-24
"Trhde",1.20626360455044e-28,-0.232762709651359,0.406,0.508,4.20587930998603e-24
"Sema6d",1.2401540351954e-28,-0.218272329570016,0.587,0.664,4.32404507451581e-24
"Cdh4",1.03302092063441e-27,0.263215307780329,0.347,0.248,3.60183404397599e-23
"Adamts17",1.88374962367261e-27,0.195302130352822,0.328,0.229,6.5680698128593e-23
"Slc1a2",2.79193203161539e-27,-0.171943919954773,0.763,0.832,9.73462941463338e-23
"Diaph2",9.8228049616037e-27,-0.210154104540041,0.675,0.727,3.42491740596236e-22
"Gm42439",1.54327327281732e-26,0.258119024732808,0.521,0.425,5.38093092033216e-22
"Mir6236",2.80303408598173e-26,-0.154042222091592,0.297,0.379,9.77333894759249e-22
"B230303A05Rik",4.40272908641688e-26,0.363868215834608,0.618,0.556,1.53509955056097e-21
"Csmd1",7.59897853134248e-26,-0.105537465244295,0.969,0.991,2.64953584452318e-21
"Pou6f2",9.04599557652026e-26,-0.258827173592912,0.246,0.331,3.15406727766532e-21
"Nell1",3.8906201295654e-25,-0.313756705464205,0.39,0.469,1.35654252057557e-20
"Ndst4",4.60838819603064e-25,0.563094459249902,0.058,0.02,1.60680671231e-20
"Zbtb20",4.84765664897932e-25,0.521325510453274,0.273,0.189,1.69023244379962e-20
"Gm6994",9.00550036131297e-25,0.19277118684211,0.3,0.208,3.13994781097899e-20
"Thap3",9.47633840757062e-25,0.174076494481607,0.371,0.268,3.30411491256765e-20
"Gm13269",1.26654920661733e-24,0.206436876741518,0.34,0.245,4.41607711871263e-20
"Tef",1.4208502742854e-24,0.181049909087552,0.513,0.402,4.95407865135092e-20
"A230057D06Rik",2.16823262294245e-24,0.208373634838974,0.876,0.866,7.55997668641345e-20
"Unc13a",3.54906270484045e-24,-0.191445256348239,0.489,0.551,1.23745169329672e-19
"Atp2b2",3.61017689380242e-24,-0.144371072788671,0.893,0.919,1.25876037756209e-19
"Khdrbs3",4.15864304663607e-24,-0.173105071380018,0.764,0.838,1.4499940710706e-19
"Ptprd",7.6796515463721e-24,-0.088295409779084,0.984,0.995,2.67766410467356e-19
"Mkln1os",8.02924300148306e-24,0.136773463983939,0.298,0.206,2.7995561573271e-19
"Lhfp",1.39572572369121e-23,-0.195216152421227,0.349,0.427,4.86647688079414e-19
"Dtnbos",3.9871864559082e-23,0.17370021561298,0.433,0.329,1.39021230158151e-18
"Nrn1",4.47881828346073e-23,-0.239467435689804,0.442,0.5,1.56162957089425e-18
"Upp2",6.6735658323883e-23,0.200290256871439,0.754,0.684,2.32687219877883e-18
"Chsy3",9.43335263258479e-23,-0.179909612937434,0.765,0.845,3.28912706240334e-18
"Iqsec1",2.07651476940352e-22,-0.171491856031621,0.703,0.751,7.24018404647926e-18
"Mthfd1l",2.70326798166633e-22,0.13585611391898,0.253,0.17,9.42548447167598e-18
"Nol4",4.88103003775595e-22,-0.178790084720555,0.814,0.844,1.70186874326437e-17
"Camk4",5.4045923295596e-22,-0.186061857923802,0.707,0.765,1.88441920754755e-17
"Nr4a1",5.60446147559633e-22,-0.213867480106866,0.241,0.311,1.95410758269617e-17
"Prmt8",6.56277961857854e-22,-0.202193031916252,0.367,0.436,2.28824436960978e-17
"Ube3a",7.66835487976253e-22,0.153628204535806,0.916,0.927,2.6737252959268e-17
"Gm47423",8.13070003953232e-22,-0.246866692840148,0.252,0.322,2.83493118278373e-17
"Spred1",1.08224788439755e-21,-0.206103329829176,0.538,0.583,3.77347369852893e-17
"Hmgcr",1.0896411595336e-21,-0.215561614205091,0.367,0.434,3.7992518309458e-17
"Arhgap10",1.24570862433654e-21,-0.201701917702184,0.468,0.531,4.3434122604742e-17
"Map1b",1.9080282659024e-21,-0.135641282780129,0.876,0.912,6.6527221547219e-17
"4930555F03Rik",2.53137761257915e-21,0.227377549168587,0.069,0.03,8.82615432177973e-17
"Mast3",2.65033295445329e-21,-0.219657952074308,0.507,0.564,9.24091591229229e-17
"Trim9",2.78233206964867e-21,-0.154427143414249,0.778,0.807,9.70115722724402e-17
"Numb",3.76896315427325e-21,-0.174869497698201,0.711,0.75,1.31412438300045e-16
"Ptprn2",4.97734062109612e-21,0.160988845069561,0.897,0.912,1.73544935435759e-16
"Hivep2",5.14126545242398e-21,-0.123910258059517,0.927,0.949,1.79260502529667e-16
"Gm26871",6.24685771780278e-21,0.221090386344612,0.887,0.874,2.17809188046629e-16
"Egr1",7.09485914090827e-21,-0.13767407524554,0.123,0.187,2.47376453666049e-16
"Btbd9",1.36928441839137e-20,0.185206605267846,0.578,0.486,4.77428398160519e-16
"Rph3a",1.47386355687485e-20,-0.193013098895217,0.426,0.491,5.13892006375555e-16
"Otud7a",1.8169106120169e-20,-0.135122353584141,0.86,0.903,6.33502223091933e-16
"Cdk14",2.25444672477624e-20,0.191478143298295,0.835,0.824,7.86057939527731e-16
"Nell1os",2.72257937255757e-20,-0.191438777064721,0.134,0.198,9.49281749829648e-16
"Cacnb4",2.75135163094123e-20,-0.128939196241393,0.901,0.937,9.5931377316028e-16
"Pcdh11x",3.35603663520044e-20,-0.24193320270896,0.359,0.43,1.17014929359534e-15
