"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",2.8112338911607e-94,-0.61082523003558,1,1,9.80192920831002e-90
"Cmss1",2.92267383038289e-15,-0.406982094519284,0.61,0.72,1.0190486844396e-10
"mt-Rnr1",4.35491263490348e-14,-0.631289572394357,0.689,0.762,1.5184273884118e-09
"Syt1",3.72438158825571e-11,0.168387769125962,0.993,0.994,1.29858012837712e-06
"Gm55122",8.57665736137975e-11,0.434765177101143,0.785,0.716,2.99042312219228e-06
"mt-Nd2",1.43817039421961e-10,-0.479190499886704,0.561,0.651,5.0144687135255e-06
"Sox6",4.9589060648249e-10,0.271761546984333,0.938,0.904,1.7290217776225e-05
"Mir6236",8.8413878835828e-10,-0.342027672327934,0.278,0.392,3.08272671336882e-05
"Mdga2",1.90291984202438e-09,0.204680395862636,0.985,0.983,6.63491061318639e-05
"mt-Cytb",2.05493633680221e-09,-0.494375762274081,0.684,0.74,7.16494652552826e-05
"Sbf2",3.52357872677631e-09,0.264117012480224,0.828,0.725,0.00012285661946651
"mt-Rnr2",3.82647054056705e-09,-0.536150793873395,0.8,0.862,0.000133417548337951
"mt-Nd4",7.02121071762894e-09,-0.485547076249228,0.469,0.553,0.000244808554091568
"Ptgds",8.92112453968161e-09,0.239124509600325,0.498,0.35,0.000311052849325079
"Brd1",3.58059556229382e-08,0.199427323005001,0.344,0.217,0.00124844625470499
"Cst3",8.10224365207743e-08,0.240894563619058,0.661,0.546,0.00282500929416984
"A330015K06Rik",9.96531111015769e-08,0.305582591346488,0.775,0.689,0.00347460502477868
"Snhg11",1.05764322412261e-07,-0.101223278061999,1,1,0.00368768462954831
"Pcmtd1",2.07524937035996e-07,0.22609072350195,0.584,0.442,0.00723577197963407
"Dlgap1",2.33231325634357e-07,0.15144260282779,0.998,0.995,0.00813207663089311
"Nkain2",5.27747283127319e-07,0.254612962755523,0.94,0.914,0.0184009645208002
"Nrg3os",5.36882267287268e-07,0.235753390463779,0.916,0.856,0.0187194740135052
"1700016P03Rik",7.02623558224594e-07,-0.222508990153475,0.046,0.108,0.0244983756046169
"mt-Nd1",8.57347464208251e-07,-0.48886978561602,0.597,0.641,0.0298931340345491
"Syngr3",9.23107557517753e-07,-0.267149445326003,0.299,0.394,0.0321859912079715
"Tcf4",9.55915616186071e-07,0.13390521163308,0.991,0.992,0.0333299097895597
"Ctnnd2",1.00566584895142e-06,0.146250201550621,0.991,0.989,0.0350645511553891
"Gm44562",1.02324596060501e-06,0.201602713628946,0.548,0.424,0.0356775169084147
"Nell1os",1.06002852947858e-06,-0.259764898409356,0.067,0.134,0.0369600147373297
"Gm37735",1.4645048339374e-06,0.241281414508875,0.231,0.143,0.0510628900448955
"Gm37899",1.87815260092538e-06,0.227240200108413,0.433,0.316,0.0654855467364654
"Sntg1",2.15177281127122e-06,0.238882640979041,0.979,0.954,0.0750258626105937
"Adgrl3",3.35295782766877e-06,0.158765067745605,0.983,0.969,0.116907580577327
"Snhg9",3.77067701791526e-06,0.158487897092383,0.188,0.108,0.131472195583651
"Npcd",3.80947747765709e-06,0.0898738771273401,0.055,0.015,0.13282505121347
"Nrgn",4.58012693432078e-06,-0.25457406104096,0.583,0.649,0.159695285818963
"Ube3a",6.3891045256264e-06,0.146937161522316,0.971,0.964,0.222768907495016
"Cdh7",6.55210890357834e-06,0.346526374077637,0.476,0.366,0.228452381141066
"Dnaja2",7.09401075359549e-06,-0.228455028754197,0.532,0.604,0.247346872945614
"Nrg3",7.24416268670162e-06,0.148370869836532,0.991,0.991,0.252582220397225
"Rasgrf2",8.13737780450128e-06,0.214844093632431,0.738,0.635,0.283725951909546
"Ywhag",8.83456792582411e-06,-0.23173815467065,0.55,0.615,0.308034879869709
"Lsamp",1.04662888533928e-05,0.163273412474434,0.997,0.999,0.364928093451245
"9630028H03Rik",1.1902771205867e-05,0.21070958936874,0.655,0.549,0.415013923634965
"Cacna1d",1.19444242351238e-05,0.188348845103178,0.887,0.836,0.416466239806061
"Bc1",1.31750773016031e-05,-0.268311202810178,0.312,0.403,0.459375420274995
"Qki",1.55043484407374e-05,0.20196434862968,0.787,0.699,0.54059011708319
"Ppp1r9b",1.59841094660508e-05,-0.177504505238101,0.069,0.128,0.557317944752793
"Snhg14",1.63903624581137e-05,0.125239839432471,0.967,0.961,0.571482767827049
"Nalf1",1.65278505178203e-05,0.158399274682219,0.979,0.978,0.576276564004839
"Gm32014",1.80586461197491e-05,0.161265193558358,0.154,0.087,0.629650814257292
"Ppm1g",1.83582366642683e-05,-0.189031101436174,0.119,0.191,0.640096637773042
"4930444A19Rik",1.89599960670353e-05,0.201146049934171,0.273,0.187,0.661078182869319
"Mef2c",2.13086184209337e-05,0.201976663492315,0.929,0.921,0.742967598482696
"Grik2",2.13134315213168e-05,0.170055201205807,0.981,0.98,0.743135416853754
"Gm15577",2.29076770426486e-05,0.202575224753295,0.311,0.219,0.798721975446028
"Tenm1",2.51063914769125e-05,0.276420897372188,0.874,0.814,0.875384551625508
"Zfp74",2.76398839047876e-05,0.153818522951827,0.225,0.145,0.963719832108229
"Adgrb3",3.1627712301222e-05,0.182107662686867,0.974,0.967,1
"Magi2",3.35415243338933e-05,0.112565761216751,0.993,0.997,1
"Gab2",3.45751462921914e-05,0.197802244783261,0.688,0.582,1
"1700048O20Rik",3.47285211539005e-05,0.0605688481313893,0.033,0.006,1
"Gm49003",3.65052563882054e-05,0.215715034968658,0.391,0.296,1
"Cntn5",3.86023914852316e-05,0.360544617240389,0.785,0.726,1
"Cacna1a",4.28465982044146e-05,-0.15516183209589,0.962,0.967,1
"A230004M16Rik",4.320208736469e-05,0.184760481849425,0.415,0.315,1
"Srgap2",4.40943014565851e-05,0.145553676180755,0.81,0.733,1
"Stag1",5.17466626367178e-05,0.172479339659374,0.773,0.7,1
"4933413L06Rik",5.56349722952655e-05,0.229056150133596,0.451,0.358,1
"Csrnp3",5.6252039355886e-05,0.133377475495442,0.819,0.74,1
"Evi5l",5.74706521118333e-05,-0.204983301271713,0.248,0.322,1
"Gm37180",6.01708285942228e-05,0.153558339065033,0.244,0.165,1
"Sipa1l1",6.27425271433284e-05,0.174604030649473,0.66,0.558,1
"Rims4",6.73967328707146e-05,-0.251985712896612,0.282,0.353,1
"P2ry12",6.78936108882287e-05,0.186428422334899,0.233,0.155,1
"Gm44680",6.96585958151187e-05,0.101556791300482,0.072,0.031,1
"Anks1b",7.02795358056901e-05,0.102498072499642,0.988,0.989,1
"Ahi1",7.30745902842425e-05,0.172015094918699,0.983,0.964,1
"Hcn1",7.48369678993727e-05,0.180530500471262,0.917,0.89,1
"Gm38085",7.52733816239903e-05,0.101101135976877,0.097,0.048,1
"4930447N08Rik",7.5589514725772e-05,0.196486226379013,0.324,0.236,1
"Gm42439",8.26307040896326e-05,0.0860503359966716,0.518,0.386,1
"Dlg2",0.000103227351105732,0.107860350591031,0.995,0.998,1
"mt-Nd3",0.000103977643550524,-0.14037376796519,0.057,0.106,1
"Gm28501",0.000110270155063703,0.203829122836262,0.295,0.216,1
"Gm42616",0.000115494537409061,0.138392541352219,0.255,0.173,1
"Gm46102",0.000116777790841935,0.224220528262961,0.295,0.214,1
"Pls3",0.000117693895826837,-0.208172451450821,0.187,0.256,1
"Vstm2a",0.000127343251061616,0.182724453734556,0.637,0.542,1
"B230209E15Rik",0.000132072188370677,0.149876475074975,0.491,0.385,1
"Rbm6",0.000135190721258778,0.160569386736353,0.756,0.672,1
"C130071C03Rik",0.000141849733367907,0.201347481565512,0.873,0.819,1
"Rdh10",0.00014437200367034,-0.129064928345452,0.053,0.101,1
"Lrrc58",0.000149945702148896,-0.242538111873099,0.204,0.266,1
"Zfp568",0.000156236205630561,-0.104107854062623,0.029,0.068,1
"Ints6l",0.000156728102808331,0.185243734521165,0.463,0.37,1
"mt-Nd5",0.000159372308063069,-0.254624472592506,0.193,0.259,1
"Dst",0.000161144427695929,-0.146401384787725,0.88,0.918,1
"Ccdc85a",0.000165266387563081,0.166808063912391,0.693,0.614,1
"Fam227b",0.000176182788061251,-0.109676594066348,0.04,0.083,1
"Gria3",0.0001798266002162,0.180648834477023,0.949,0.901,1
"Gm19335",0.000213308594739377,0.0581225254600626,0.049,0.017,1
"Far2os1",0.000225234169816883,0.137591196642284,0.166,0.104,1
"Gm28379",0.000231572768659055,0.151883830767525,0.294,0.215,1
"Pla2g3",0.000240351895927387,-0.23516933462776,0.26,0.32,1
"Pabpc4",0.000248127069775487,0.162621888780866,0.331,0.247,1
"Pam",0.00025026865735045,0.156680694764361,0.939,0.915,1
"Itfg1",0.000251278150286607,0.161904808335515,0.585,0.478,1
"Il1rap",0.000252091896568358,0.176020681229639,0.336,0.253,1
"Nr4a1",0.000254621197205,-0.161984676511156,0.063,0.111,1
"Dpy19l1",0.000269270564166762,-0.168272729197769,0.086,0.139,1
"Pard3",0.000274207486163212,0.170318739425407,0.447,0.354,1
"Ammecr1",0.000279427583149976,0.212622399487848,0.354,0.274,1
"Rims2",0.000290769662845869,0.114937622362421,0.977,0.956,1
"Slc16a4",0.000301653998021115,0.136863421150872,0.212,0.143,1
"Cx3cl1",0.000307457665482482,-0.220740334998704,0.317,0.385,1
"Gria2",0.000308866221060038,0.105313980649187,0.993,0.994,1
"Gm28807",0.000309251059925541,0.17227644916254,0.147,0.091,1
"Slc38a2",0.000321698922366118,-0.213417034204717,0.456,0.516,1
"Gm10130",0.000324938885088039,0.101242126967025,0.084,0.042,1
"Xkr4",0.000325938469819878,0.136875561565919,0.991,0.992,1
"Gm42869",0.000327248538938589,0.055481778151916,0.042,0.014,1
"Erc1",0.000335310206665319,0.139136186855562,0.564,0.471,1
"Ntrk2",0.000347865737215982,0.125522032684672,0.958,0.925,1
"Pde4d",0.000348969166650507,0.178420737738187,0.967,0.94,1
"Fbxl18",0.000355656360638236,-0.124400242636661,0.059,0.104,1
"Edc4",0.000368379599062715,0.118509038330676,0.174,0.112,1
"Dazap1",0.000379047272141504,-0.215388831150094,0.233,0.293,1
"Smim8",0.000383287390770532,0.0789859513762366,0.122,0.07,1
"Tpk1",0.000398697406683873,0.142935249399137,0.269,0.193,1
"Oxa1l",0.000417699986371829,0.13932898519629,0.252,0.18,1
"Trp53inp2",0.000423112352292806,-0.153633779356321,0.096,0.148,1
"Macrod2",0.000425843114589324,0.160833254094237,0.956,0.932,1
"Pknox1",0.000430808585275636,0.107819050798823,0.087,0.045,1
"Kcnd2",0.000430861260005809,0.173157567700278,0.939,0.914,1
"Gm45844",0.000432135431156938,0.118928047541178,0.225,0.155,1
"Cntnap2",0.000439425190429454,0.173715236943193,0.995,0.991,1
"Spred2",0.000450184851207703,-0.240054472030655,0.452,0.487,1
"Cnot1",0.000474736149949184,0.103379208524557,0.416,0.314,1
"Fcor",0.000478303469747893,0.0551116907013327,0.046,0.017,1
"Orc6",0.000488908095860266,0.116517147713665,0.313,0.234,1
"Sh3kbp1",0.000494299321139371,0.138070245684493,0.581,0.498,1
"Sorbs2os",0.000504411107670129,0.175313741060401,0.667,0.591,1
"Sesn1",0.00051794286414028,-0.209461405619331,0.328,0.392,1
"Gm11659",0.000545197718109661,-0.165736993486943,0.1,0.152,1
"Erbb4",0.000595623898303509,0.223459358985848,0.854,0.865,1
"Gm26749",0.000613194463735108,0.132563917592352,0.42,0.326,1
"Ypel5",0.000613543173387945,0.121997449957642,0.158,0.103,1
"2310011J03Rik",0.000623971507117314,-0.116775312002422,0.037,0.074,1
"Arhgap1",0.000632493048777369,-0.148436186659262,0.076,0.122,1
"Gm12940",0.000647301558248951,-0.133197030575646,0.069,0.114,1
"Lrp8os2",0.000654624338587872,-0.125527635152993,0.07,0.117,1
"Gm14296",0.000659449845465502,0.123774626180143,0.265,0.193,1
"Stk3",0.000659453225312869,0.144253083724294,0.334,0.255,1
"Ppp2r2b",0.000662409547615401,0.123663920600008,0.963,0.937,1
"Dock4",0.000671324711158994,0.29380758218004,0.824,0.801,1
"Pten",0.000682468344359365,-0.176309269227291,0.55,0.576,1
"Trim44",0.000689291314379999,0.134347248192211,0.607,0.511,1
"Robo2",0.000704728113996709,0.131180117538235,0.923,0.905,1
"Srcin1",0.000713790501832986,-0.190634744956326,0.554,0.596,1
"Rab6b",0.0007186365193625,-0.197557977789941,0.663,0.696,1
"Laptm5",0.000754014501496156,0.0735270036940027,0.037,0.012,1
"Basp1",0.000764529220643836,-0.15557313498447,0.612,0.657,1
"Chrna1os",0.000765190899656458,0.0395083744405748,0.016,0.001,1
"Lypla2",0.000775975437133101,-0.119265207864193,0.059,0.102,1
"Nol4",0.000779582589887519,0.133394717670626,0.778,0.727,1
"Hsp90ab1",0.000781908750729273,-0.152230391337369,0.851,0.877,1
"Gm37331",0.000784459770604483,0.0881175679059666,0.158,0.102,1
"Rab24",0.000787439001383466,0.124222500533649,0.244,0.173,1
"Gm44560",0.000790491858281827,0.146094711324122,0.742,0.663,1
"Gm11149",0.000811023546560266,0.191139257938675,0.4,0.319,1
"Bicd1",0.000821037075074142,0.154469590739899,0.794,0.733,1
"9330162G02Rik",0.000844487199223637,0.124003213435021,0.963,0.963,1
"Wscd1",0.000867484805447318,-0.142512211975682,0.076,0.121,1
"4933439K11Rik",0.000884543852040689,-0.0429031465932878,0.002,0.018,1
"Nrcam",0.000909953240407673,0.14450751042782,0.803,0.767,1
"Gm17276",0.000921338913386025,-0.177477527243816,0.205,0.262,1
"Fgf23",0.000931590283642012,0.0327029404876132,0.018,0.002,1
"Skp1",0.000932371594434812,0.122585325400579,0.172,0.116,1
"Fgf14",0.0009324766361486,0.118726403212309,0.992,0.992,1
"Il1rapl1",0.000933783910791325,0.168013706666078,0.959,0.969,1
