"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",7.7393802338506e-11,-0.557184524849927,1,1,2.69848970613669e-06
"Egfr",7.39565845142538e-07,-0.914286299826563,0.639,0.842,0.0257864423225849
"Pawr",1.88422545271084e-06,-1.21999964656023,0.175,0.495,0.0656972888596689
"Cald1",2.17827844738354e-06,-0.895717021135111,0.515,0.768,0.0759500346249218
"Nudt4",2.58650281769534e-05,-1.23243922910897,0.124,0.379,0.901835937445836
"Fat4",9.44376911835336e-05,-1.13197885570011,0.196,0.432,1
"Alpl",0.00012110710962013,0.961056679941386,0.309,0.084,1
"Srgap2",0.000185774229757763,-0.767644771516655,0.557,0.747,1
"Vcl",0.000221260198567334,-0.889862987508393,0.34,0.547,1
"Vps54",0.000228967069127778,0.907305094837726,0.309,0.095,1
"Vdac1",0.000235744721634277,1.01773578568665,0.237,0.053,1
"Adamts6",0.000256070906634384,-0.872868802451941,0.052,0.242,1
"Slc9b2",0.000258194849053392,-1.02758882077284,0.268,0.484,1
"Ank2",0.000297783778737252,0.381053850902318,0.948,0.968,1
"Wnt9a",0.000362678962279178,0.804982995405704,0.155,0.011,1
"Prkag2",0.000372453921609194,0.805395093501658,0.753,0.505,1
"Myo1e",0.000388511025543822,-0.926517280353193,0.031,0.189,1
"Kcne4",0.000401659881942241,-0.800888062118873,0.01,0.147,1
"Nr4a2",0.000410275081828132,-0.855945257676793,0.031,0.189,1
"Cst3",0.000414678878092276,0.85829043871099,0.722,0.453,1
"Atg16l2",0.00044633830557573,0.914346758532691,0.278,0.084,1
"Carmn",0.00046855980657506,-0.884683099857605,0.062,0.242,1
"Npr3",0.000470379449904621,1.02282391195622,0.433,0.211,1
"Fam120a",0.000541167981411292,0.827990042502848,0.227,0.053,1
"Ift20",0.000566664808327836,-0.809972390879718,0.031,0.189,1
"Ulk2",0.000597588494639215,0.871426982192521,0.526,0.316,1
"Irag1",0.000658557053858312,-1.06950251404283,0.124,0.316,1
"Cep89",0.000761168832508678,0.75459465873519,0.113,0,1
"Cmss1",0.000765292374454012,-0.579175846002692,0.443,0.674,1
"Tshz2",0.000796825498020282,-0.752010596779966,0.515,0.695,1
"Hes1",0.000821066172950317,0.787479562183881,0.258,0.074,1
"Mbnl1",0.000831203804616645,-0.657729821904317,0.454,0.653,1
"Tpm1",0.000941445164322321,-0.891503240504921,0.268,0.474,1
"Prdm6",0.000964778959688517,-0.698085907039532,0.515,0.684,1
"Ubash3b",0.000993903387898266,-0.748149114669151,0.289,0.505,1
"Rbfox2",0.001080573506723,-0.516677041573432,0.608,0.747,1
"Gm48678",0.00109251053067808,0.55204127303237,0.381,0.147,1
"Shc1",0.00114382998643785,0.726484785538313,0.155,0.021,1
"Setx",0.00120384707268084,0.768672501646376,0.196,0.042,1
"Id1",0.00124440356019235,0.923609337089575,0.258,0.084,1
"Psmd9",0.00130159361208269,0.703419202213877,0.155,0.021,1
"Rad52",0.00136920398809873,0.61214610377756,0.103,0,1
"Sap18",0.00136920398809873,0.682305531103183,0.103,0,1
"Abhd18",0.00140456811015014,0.817178997633055,0.206,0.053,1
"Bche",0.00141770914486627,-1.04417488474112,0.247,0.442,1
"Hspb8",0.001418741188318,-0.628374691843382,0.01,0.126,1
"Itgb8",0.00142769297833194,-0.922916988993497,0.134,0.316,1
"Egfros",0.00147804940662421,-1.02723184946573,0.082,0.242,1
"Mettl15",0.00150914895037118,-0.753781089094453,0.01,0.126,1
"Fcf1",0.00181317415808759,0.660927350283097,0.124,0.011,1
"Gm47271",0.00187517784925252,0.91454121334358,0.351,0.158,1
"Gm43751",0.00188796376578409,0.590037228790946,0.124,0.011,1
"Stk39",0.00195915902235599,-0.559013152335229,0.763,0.895,1
"Arl3",0.00204173711766369,0.57242945053286,0.402,0.189,1
"Mbnl2",0.00213856557992324,-0.644345342864304,0.567,0.705,1
"Crebbp",0.00232247559447114,-0.61121044604114,0.381,0.579,1
"Dvl1",0.00245840488087699,0.472629293314319,0.093,0,1
"Zc2hc1c",0.00245840488087699,0.579941857769032,0.093,0,1
"Stx19",0.00245840488087699,0.4665068429078,0.093,0,1
"Stx3",0.00245840488087699,0.528462561956434,0.093,0,1
"Adamts5",0.00252427693292291,-0.753950877907415,0.031,0.158,1
"Agtr1b",0.00256433642787713,-0.806773886761039,0.103,0.274,1
"Homer1",0.00258759088806607,-0.779407691406375,0.072,0.221,1
"Slc5a6",0.00260862838931117,0.752406504363459,0.392,0.189,1
"Ppil2",0.00267228480686429,-0.686946665988847,0.021,0.137,1
"Erc2",0.00284057621528317,-0.527699663747307,0.732,0.874,1
"Xpr1",0.00289537131902656,0.717802153159794,0.258,0.095,1
"Csmd1",0.00290191874614781,-0.649443816195891,0.155,0.337,1
"Smad6",0.00297000451538208,0.796420721430615,0.258,0.095,1
