"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",0,-0.613149919263853,0.999,1,0
"Qki",5.81510554575374e-76,0.406516161588788,0.91,0.845,2.02755285063796e-71
"Cmss1",2.24151872341758e-70,-0.59511531710704,0.448,0.598,7.81550333294008e-66
"Cst3",1.2652882232608e-41,0.574065620396508,0.785,0.67,4.41168044804344e-37
"Calm1",8.69816627941409e-39,-0.3661954984219,0.698,0.774,3.03278963664331e-34
"Mir6236",6.67361125257325e-38,-0.559675127177243,0.238,0.347,2.32688803543472e-33
"mt-Rnr1",2.19327835113183e-35,-0.515148761748764,0.404,0.504,7.64730362689135e-31
"Hif3a",1.92406941283334e-29,0.375919674472396,0.093,0.034,6.70865282172602e-25
"mt-Rnr2",5.56796068984705e-28,-0.409048329575961,0.583,0.662,1.94138085372897e-23
"Apoe",1.42615771165333e-25,0.329365693920931,0.668,0.568,4.97258409322166e-21
"Ccnd3",3.97787246522403e-22,0.426155797097124,0.182,0.109,1.38696479244966e-17
"Dpp10",6.50746673535852e-22,-0.348632284408401,0.364,0.448,2.26895842661745e-17
"Etnppl",1.34729635748476e-21,0.272062593534914,0.058,0.018,4.6976182096421e-17
"9630028H03Rik",1.69385553136616e-21,0.371058349076905,0.15,0.085,5.90596608121438e-17
"Nrgn",1.46453767027906e-19,-0.318121036736873,0.539,0.607,5.10640349496198e-15
"Cdh19",4.94589947311616e-19,0.371090548006402,0.279,0.199,1.72448676929141e-14
"C1qb",4.89699897422023e-17,0.421853995684226,0.225,0.154,1.70743663234137e-12
"mt-Nd2",7.28205643862466e-17,-0.428964613585803,0.259,0.328,2.53903461845526e-12
"Brd1",2.68854572360592e-16,0.270013999174725,0.148,0.09,9.37415237449677e-12
"Tbc1d5",3.04451170696654e-16,0.276938519629795,0.547,0.456,1.06152989686803e-11
"Ptgds",4.98919990143932e-16,0.40108167431417,0.582,0.493,1.73958432963485e-11
"P2ry12",6.22706608179445e-16,0.532340360994848,0.279,0.211,2.17119113073927e-11
"Kcnip4",2.5359140946122e-15,-0.300084318936051,0.422,0.487,8.84197167368437e-11
"Gm49708",2.84620715587301e-15,0.263105974860982,0.104,0.058,9.92387049038242e-11
"Hsp90ab1",3.17633634881503e-15,-0.298184215905023,0.528,0.579,1.10749319474134e-10
"mt-Cytb",3.54465075321021e-15,-0.383836354074737,0.36,0.426,1.2359133781218e-10
"Agmo",2.28480394826457e-14,0.332669473973561,0.309,0.236,7.96642592641406e-10
"C1qa",5.88075118732339e-14,0.405637394904316,0.252,0.186,2.05044151648405e-09
"Sgcz",9.64464693176834e-14,-0.243801963145212,0.194,0.261,3.36279904569967e-09
"Nr6a1os",3.12869831867171e-13,0.269308052367232,0.11,0.065,1.09088324277127e-08
"Arglu1",7.30623295543791e-13,0.197040578549849,0.478,0.398,2.54746424457254e-08
"Tef",4.3616517732533e-12,0.238232333686443,0.235,0.173,1.52077712378023e-07
"Cd9",5.07127455845785e-12,0.281406599733659,0.205,0.148,1.7682013002975e-07
"Plcl1",9.98403024685143e-12,0.332234101912058,0.675,0.615,3.48113182616969e-07
"Stag1",1.40001602041285e-11,0.21259463690725,0.413,0.338,4.88143585837348e-07
"Hexb",2.75780260490391e-11,0.368527871812311,0.353,0.291,9.61563034251846e-07
"Ctss",3.08895152376673e-11,0.412999504716833,0.218,0.164,1.07702472779174e-06
"Nr6a1",3.87885760744485e-11,0.280517018713848,0.247,0.188,1.3524412819878e-06
"Cd180",4.13161377190801e-11,0.311354305414695,0.094,0.057,1.44056977385117e-06
"Snap25",5.07587977711370e-11,-0.256319250329279,0.415,0.466,1.76980700188624e-06
"Neurl3",7.60532861753609e-11,0.182170423987962,0.027,0.008,2.65174992907631e-06
"Zbtb16",8.61059388759045e-11,0.213753043455032,0.087,0.051,3.00225577078616e-06
"ENSMUSG00000120012",1.10693567381635e-10,0.194452001282387,0.13,0.086,3.85955261389546e-06
"mt-Nd4",1.20715284170107e-10,-0.303812384595024,0.243,0.296,4.20897981315911e-06
"Dusp16",1.31280413207559e-10,0.229778638435973,0.172,0.123,4.57735416730797e-06
"C1qc",1.46866847851784e-10,0.435877558127781,0.206,0.156,5.12080638404814e-06
"Rbm39",1.50564533601594e-10,0.174249720187171,0.692,0.626,5.24973359308676e-06
"Hsp90aa1",2.64810964523138e-10,-0.266149653811337,0.402,0.448,9.23316390002825e-06
"2900052L18Rik",3.03990756193944e-10,0.237439122312875,0.182,0.132,1.05992456962143e-05
"Snhg9",3.61678770487861e-10,0.209368979022656,0.092,0.056,1.26106536906002e-05
"Fan1",4.33241841932725e-10,0.193936576515212,0.078,0.046,1.51058433026683e-05
"Serpine2",5.07007333098446e-10,0.245120684171928,0.25,0.194,1.76778246831435e-05
"Elmo1",6.889154577242e-10,0.294167196700068,0.52,0.466,2.40204152644697e-05
"Dock4",8.09263576372129e-10,0.184966098661365,0.599,0.532,2.8216593117367e-05
"Creb1",8.85989312690847e-10,0.191948564560376,0.21,0.157,3.08917893655918e-05
"Cd84",1.05596441845288e-09,0.275612234420278,0.105,0.067,3.68183113781966e-05
"Acss1",1.54769464192689e-09,0.224190014180458,0.213,0.162,5.39634690800647e-05
"Ccdc50",1.65978250139656e-09,0.174403037123038,0.323,0.258,5.78716364761939e-05
"Trem2",1.67571082911633e-09,0.265280523254328,0.127,0.087,5.84270094787991e-05
"Hspa8",1.82069989303537e-09,-0.262087050334464,0.378,0.418,6.34823431704641e-05
"Lysmd4",2.00106809100334e-09,0.279694577103227,0.264,0.21,6.97712411290136e-05
"Slc1a3",2.14953853307052e-09,0.348257224091845,0.43,0.381,7.49479600325699e-05
"Otud7a",2.18829717972564e-09,0.308042639499158,0.273,0.223,7.6299357765494e-05
"Cck",2.54850342245599e-09,-0.254594754030642,0.389,0.436,8.8858668830773e-05
"Thap3",2.86523846179388e-09,0.156466839568324,0.2,0.148,9.99022694473674e-05
"Zc3h6",3.08207841917338e-09,0.218519055173321,0.111,0.074,0.000107462828241318
"Arc",3.12964454474461e-09,-0.117003363153941,0.005,0.018,0.00010912131634161
"4632427E13Rik",3.19701517072081e-09,0.186879295705214,0.277,0.219,0.000111470327957523
"4933411O13Rik",3.74371099387958e-09,0.126400305151003,0.048,0.024,0.000130531971223599
"Mertk",3.79544472958459e-09,0.231280587557126,0.481,0.429,0.000132335771386426
"Dbp",5.20319713259203e-09,0.198819850298032,0.104,0.069,0.000181419874422086
"ENSMUSG00000120023",5.22207299527438e-09,0.182942923172659,0.081,0.05,0.000182078019126232
"Syt1",6.04875145746984e-09,-0.190565799827055,0.492,0.529,0.000210901817067601
"Eya4",6.3281495348891e-09,0.231160712204503,0.063,0.036,0.000220643589832978
"Pmepa1",6.92234697413492e-09,0.240515692440446,0.138,0.098,0.000241361471947162
"Laptm5",8.31521161757438e-09,0.263306522914786,0.127,0.088,0.000289926483469966
"Epm2a",9.0959028791771e-09,0.203680320235801,0.104,0.069,0.000317146845688268
"Siglech",9.86207972925452e-09,0.377009936237882,0.195,0.151,0.000343861133919917
"A330015K06Rik",1.12968649122219e-08,0.279242219187467,0.157,0.116,0.00039388778889444
"Purb",1.22867659182363e-08,0.171013511667006,0.184,0.138,0.000428402667271145
"A330093E20Rik",1.3326310026902e-08,0.11407115169326,0.05,0.026,0.000464648451707992
"Slc8a1",1.38211708741011e-08,0.215117332833435,0.556,0.504,0.000481902764867284
"Mef2a",1.39405403904822e-08,0.369366564765014,0.451,0.399,0.000486064821794943
"Nrg3",1.45599262637201e-08,-0.19068941158038,0.352,0.399,0.000507660949037129
"Rtn1",1.48497889177591e-08,-0.183808789993142,0.622,0.653,0.000517767590195506
"Fam102b",1.57957647175727e-08,0.342592111009495,0.143,0.105,0.000550750928407608
"Srsf2",2.39984661294685e-08,0.183339007150522,0.245,0.193,0.000836754518536178
"Ctso",2.51453203436343e-08,0.160635186541132,0.157,0.114,0.000876741884421499
"Hecw2",3.23359446032219e-08,0.293648949816557,0.295,0.245,0.00112745738048054
"Cd2ap",5.14105224486902e-08,0.182823022820231,0.237,0.187,0.00179253068621848
"Mt1",5.33586883576117e-08,0.175482863166638,0.189,0.144,0.00186045738696485
"ENSMUSG00000120942",6.01620414530255e-08,0.34642159883277,0.097,0.066,0.00209766989934264
"Apod",6.19378025200768e-08,0.291270191777182,0.232,0.186,0.00215958536046752
"Phf14",7.06331717180192e-08,0.175194080145125,0.372,0.311,0.00246276679829217
"Mbnl1",7.43197325637184e-08,0.25873391901776,0.414,0.36,0.00259130611529917
"Phka1",7.54731747733e-08,0.249534151167036,0.224,0.179,0.00263152318482065
"Tasor",7.96923410994191e-08,0.178636928763664,0.265,0.212,0.00277863285711345
"Gm42439",8.8432972546609e-08,0.179229715386594,0.153,0.113,0.00308339245378262
"Tnni1",1.00809887024607e-07,0.164121421677419,0.07,0.043,0.00351493833088698
"Gm13266",1.01951958090283e-07,0.105543547886211,0.034,0.016,0.00355475892273391
"Arhgap5",1.08572018418498e-07,0.17246240515316,0.539,0.482,0.00378558056619778
"Ctsl",1.08668016915105e-07,0.147536637163084,0.176,0.132,0.00378892774577896
"Itm2b",1.26122101791394e-07,0.184917634487672,0.559,0.495,0.00439749932316054
