"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Akap8l",0.000302502223636794,1.54014535792215,0.333,0.076,1
"Pde4d",0.000405744502338728,0.671667503012776,0.833,0.652,1
"Tia1",0.00114508588152442,-1.17136527933711,0.056,0.303,1
"Plac9",0.00127505310130325,-1.24126271357791,0.093,0.333,1
"Arpc5l",0.00130642320345922,1.46159902526885,0.148,0,1
"Rif1",0.001486866149795,1.52316797094933,0.185,0.015,1
"Gm19522",0.00178080692439258,-1.36399710902198,0,0.167,1
"Smarca5",0.00236414852887234,1.18708219837673,0.241,0.045,1
"Rptor",0.0028757005019087,-1.21016627852032,0.019,0.197,1
"Kdm6a",0.00301809586424923,-1.4826081984606,0,0.152,1
"Slc25a4",0.00343992663651012,0.898670278197496,0.556,0.303,1
"Itch",0.0037600775315866,-1.11962547696357,0.111,0.348,1
"Zfp644",0.00410881400875142,-1.26588609281583,0.019,0.182,1
"Tcf7l2",0.00450637455250778,-1.25553430950546,0.019,0.182,1
"Bbln",0.00470350109494611,1.25628657562314,0.259,0.076,1
"Bcas3",0.00487311094738863,1.14337358743822,0.407,0.197,1
"Sclt1",0.00509280023752224,-1.28679293255025,0,0.136,1
"Scg2",0.00580497264698824,1.16937792318187,0.111,0,1
"Gm19688",0.00580497264698824,1.2033563927149,0.111,0,1
"Cnp",0.00580497264698824,1.1570572275248,0.111,0,1
"Gpx8",0.00580497264698824,1.05001385068851,0.111,0,1
"Mocs2",0.00580497264698824,1.15428802227786,0.111,0,1
"Arnt",0.00585840107304504,-1.09020739699739,0.074,0.273,1
"Mrpl42",0.00629895645455789,1.37815514400332,0.148,0.015,1
"Ndst3",0.00665207924177473,-0.880054552722876,0.167,0.409,1
"Col8a1",0.00673168622866577,-1.10063141773933,0.037,0.212,1
"Pcdh10",0.00675479843453839,1.21458659487776,0.148,0.015,1
"Pias1",0.0076667153900632,-1.29191751346983,0.056,0.227,1
"Abi2",0.0081559194926764,-1.23495875018865,0.093,0.273,1
"Arhgap12",0.008176481181537,-1.03307312062928,0.019,0.167,1
