"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ncor1",0.000411880189714526,1.20776393381392,0.535,0.243,1
"Csnk1g2",0.000505313483024871,1.42057428611937,0.233,0.029,1
"Zfp277",0.000571591820149682,1.49915396994012,0.233,0.029,1
"Mcf2l",0.000697443004576454,-1.79540636544349,0.093,0.371,1
"Dhx30",0.00110507646802555,1.36454779043787,0.186,0.014,1
"Sptan1",0.00164844985861315,1.24891093974346,0.535,0.271,1
"Dctn3",0.00178879317425416,1.21764562279447,0.349,0.114,1
"Wdr33",0.00192605884077374,-1.40353648245976,0.047,0.286,1
"Tcaf1",0.00200121209955901,1.36216780110698,0.279,0.071,1
"Caprin1",0.00210074586668056,1.21591995334977,0.209,0.029,1
"Ankrd46",0.00259263728174394,1.14725252060245,0.163,0.014,1
"Plec",0.00259263728174394,1.39846849434675,0.163,0.014,1
"Ubxn6",0.00270853770509286,1.20564382024359,0.163,0.014,1
"Gpbp1",0.00295465642122955,1.20831561048658,0.163,0.014,1
"Ube3c",0.00315530258697439,-1.43658961616518,0.023,0.229,1
"Rae1",0.00377844354797198,0.910457710099756,0.116,0,1
"Sec61b",0.00377844354797198,0.841603862082681,0.116,0,1
"Calu",0.00377844354797198,0.94270677635546,0.116,0,1
"Tfdp1",0.00377844354797198,1.13762610921967,0.116,0,1
"Fbxo22",0.00377844354797198,1.17800248464884,0.116,0,1
"Txnl4a",0.00377844354797198,1.10599277135387,0.116,0,1
"Reps2",0.00377844354797198,1.05398309488178,0.116,0,1
"Svil",0.00395990832508756,1.0820130992439,0.419,0.186,1
"Fam76a",0.00419710831676135,1.14158748099344,0.186,0.029,1
"Eif4g3",0.00443008074515027,-1.36160281471801,0.07,0.286,1
"Itgb1",0.00453251708707218,-1.29172155481932,0.14,0.371,1
"Stk39",0.00517505780849027,-1.43897119608041,0.047,0.243,1
"Fam13b",0.00603147467361971,1.19599148279262,0.256,0.071,1
"Gm20631",0.0060816518931863,1.30689151183096,0.233,0.057,1
"Eloc",0.00665901016616724,-1.29073379557043,0,0.157,1
"Zgpat",0.00686508141587909,1.20077567306133,0.14,0.014,1
"Fkbp2",0.00686508141587909,1.10603965647072,0.14,0.014,1
"Sf3b3",0.00689206028132022,1.05672590822914,0.233,0.057,1
"Abhd12",0.00716308845926743,1.17415583149848,0.14,0.014,1
"Cep290",0.00747265640407448,1.46746428215493,0.14,0.014,1
"Lgmn",0.00747265640407448,1.13894086062409,0.14,0.014,1
"Tnk2",0.00779416933316261,0.895962879946793,0.14,0.014,1
"Serinc3",0.00812716589357435,-1.19478271751505,0.163,0.371,1
"Ano6",0.00826549766777834,-1.51574984718054,0.047,0.229,1
"Frs2",0.0084760816872737,-1.10896192469436,0.023,0.2,1
"Zfp318",0.00863380499391082,1.37751767445332,0.163,0.029,1
"Ifngr1",0.00883436884144079,0.698134727141273,0.14,0.014,1
"Rictor",0.00953148049666291,-0.903877389675015,0.023,0.2,1
"Paxbp1",0.00957280682269785,1.22205586056559,0.256,0.086,1
"Zfp142",0.00996890324890106,0.822375304495862,0.093,0,1
"Tyro3",0.00996890324890106,1.15656369664743,0.093,0,1
"Rbm12",0.00996890324890106,0.687550304576,0.093,0,1
"Commd2",0.00996890324890106,0.871843459738426,0.093,0,1
"Armc10",0.00996890324890106,0.915804181437549,0.093,0,1
"Pom121",0.00996890324890106,0.760166745271624,0.093,0,1
"Pop7",0.00996890324890106,0.744043180552299,0.093,0,1
"Map6",0.00996890324890106,1.16407797917126,0.093,0,1
"Coro1a",0.00996890324890106,1.11401025497609,0.093,0,1
"Bcl9l",0.00996890324890106,1.19946583657222,0.093,0,1
"Dis3l",0.00996890324890106,0.913028305000486,0.093,0,1
"Pygo1",0.00996890324890106,0.988207504596049,0.093,0,1
"Gk5",0.00996890324890106,0.886191148678514,0.093,0,1
"Gm2a",0.00996890324890106,0.967392894792818,0.093,0,1
"Usp43",0.00996890324890106,0.826345234889488,0.093,0,1
"Dus4l",0.00996890324890106,1.18511515864704,0.093,0,1
"Sox7",0.00996890324890106,0.828156980923953,0.093,0,1
"Hdgfl2",0.00996890324890106,0.986698049279243,0.093,0,1
"Mrpl49",0.00996890324890106,0.704243434722183,0.093,0,1
"Ppp1r14b",0.00996890324890106,0.767316090843553,0.093,0,1
"Slc25a28",0.00996890324890106,0.949390934694476,0.093,0,1
"Tent5d",0.00996890324890106,0.878568263953725,0.093,0,1
"Lin7c",0.010028751353509,-1.22855723939799,0,0.143,1
"Srgap3",0.010028751353509,-1.26044754389567,0,0.143,1
"Cradd",0.010028751353509,-1.19212121674683,0,0.143,1
"Cpeb3",0.010028751353509,-0.906290469093599,0,0.143,1
"Tom1l2",0.0102652676054471,-1.33853084446914,0.047,0.229,1
"Cst3",0.0102725831220817,0.449709411926099,0.791,0.686,1
"Wdfy3",0.0103400160985342,-1.05927578989396,0.093,0.3,1
"Cept1",0.0105471009141709,-1.20872714095941,0.023,0.186,1
"Sumo1",0.0107912113948172,-1.21720382386537,0.07,0.257,1
"Wars2",0.0115547808026328,0.798516615385795,0.163,0.029,1
"Nfic",0.0115547808026328,1.06183627757885,0.163,0.029,1
"Nckap1",0.0115611741078315,-0.855452660551926,0.14,0.386,1
"Psmd13",0.0118032193200704,1.08195336526429,0.186,0.043,1
"Cramp1",0.0121941360673564,1.14089043817617,0.186,0.043,1
"Ints9",0.0125964822001123,0.977250252992666,0.186,0.043,1
"Rfx3",0.0128720950781767,0.945689683293311,0.279,0.1,1
"Pard3",0.0129204753903788,-0.890927728302934,0.209,0.429,1
"Ndrg1",0.0132549562585932,-0.945912779168799,0.07,0.271,1
"Exoc6",0.0132567716824152,1.0204726746059,0.256,0.086,1
"St6galnac3",0.0135672155730096,0.808745330651846,0.651,0.443,1
"Asb3",0.0138741683846731,1.0571162657945,0.186,0.043,1
"Jarid2",0.0141468133381073,-1.21738105121771,0.07,0.257,1
"Pura",0.0142154050208805,-1.12211578361599,0.093,0.286,1
"Stam2",0.0147313979585357,-1.25629968601115,0.023,0.171,1
"Hexb",0.0149816485715281,1.02271690604375,0.279,0.1,1
"Cpeb2",0.015057677339838,-1.26583498017082,0,0.129,1
"Uso1",0.015057677339838,-1.00120452440909,0,0.129,1
"Isca2",0.015057677339838,-1.08659328081272,0,0.129,1
"Cdk7",0.015057677339838,-0.981712876825418,0,0.129,1
"Fzd3",0.015057677339838,-1.07274701025448,0,0.129,1
"Osmr",0.015057677339838,-1.11618673757193,0,0.129,1
