"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mcf2l",0.000369722251079115,-1.46314638949982,0.041,0.199,1
"Rptor",0.000523105438762791,-0.981777912466575,0.052,0.221,1
"Tia1",0.000571057057452603,-0.925764630775099,0.062,0.235,1
"Cst3",0.000676878563667318,0.561414103806704,0.763,0.625,1
"Sec61b",0.000681300379454725,0.801143383876548,0.082,0,1
"Ubxn6",0.00124078865499754,0.895074795036795,0.113,0.015,1
"Gpm6a",0.00150674694231657,-0.671100084701101,0.216,0.412,1
"Tfdp1",0.00152283085783975,0.756257010863599,0.072,0,1
"Pde4d",0.00164636165248192,0.724968142046353,0.608,0.478,1
"Slc25a4",0.00200444623201801,0.681558823865497,0.485,0.316,1
"Sdf4",0.00212543881312773,-0.826913639646272,0.021,0.14,1
"Psma1",0.0022275872946513,-0.850341323682613,0.052,0.191,1
"Pard3",0.00242012426176722,-0.713714664109948,0.227,0.404,1
"Rbm17",0.00320993676652359,0.974752959436696,0.082,0.007,1
"Zfp142",0.00340863410286563,0.683746736389191,0.062,0,1
"Scn4b",0.00340863410286563,0.706270874870101,0.062,0,1
"Zfp952",0.00340863410286563,0.702679206775607,0.062,0,1
"Tent5d",0.00340863410286563,0.693748894308395,0.062,0,1
"Spice1",0.00346385359324846,0.892001731684993,0.082,0.007,1
"Akap8l",0.00378194511565363,0.936908527663038,0.247,0.11,1
"Ano6",0.00386881905973282,-0.838234648058018,0.072,0.213,1
"Sf3b3",0.00402707253493474,0.833950136286684,0.206,0.081,1
"Kdm6a",0.00428432549762989,-0.954837026270776,0.072,0.206,1
"Eloc",0.00485177543608166,-0.698998554395521,0.021,0.125,1
"Jarid2",0.00522849940342677,-0.895466376442273,0.062,0.191,1
"Fkbp2",0.00540819647901876,0.75961053009604,0.124,0.029,1
"Arpc2",0.00541186076103491,-0.805663638771247,0.082,0.221,1
"Dip2a",0.00558715272397653,0.626450953517372,0.093,0.015,1
"Rapgef6",0.00596918811608652,-0.376008897643778,0.093,0.25,1
"N4bp2l2",0.0061309519700412,0.908764421859885,0.216,0.096,1
"Erbin",0.00616863445491549,-0.623463251434589,0.103,0.25,1
"Ric1",0.00621267341201728,0.733855753765778,0.134,0.037,1
"Ndrg1",0.0062544048884999,-0.757763808237657,0.031,0.14,1
"Ncor1",0.00627800439142222,0.721383663589472,0.423,0.279,1
"Abce1",0.00652161093237643,-0.610067580387769,0,0.074,1
"Asb3",0.00661849866418957,0.886714367945337,0.196,0.081,1
"Ppp1r10",0.00668259698837268,-0.811951031562319,0.041,0.154,1
"Robo2",0.00695150539513914,-0.588070318108854,0.031,0.14,1
"Zgpat",0.00712978786256781,0.756486094357293,0.072,0.007,1
"Fbl",0.00712978786256781,0.76679151462376,0.072,0.007,1
"Erg28",0.00719125072267587,-0.788749099675213,0.01,0.096,1
"Msi2",0.00727900664739648,-0.606914849394166,0.247,0.404,1
"Rangap1",0.00740009594832625,-0.744030381426901,0.01,0.096,1
"Dus4l",0.0074014550918215,0.852170472105745,0.072,0.007,1
"Eif4e",0.00754685999661016,0.966754764966586,0.103,0.022,1
"Commd2",0.00766011886599018,0.573328879190226,0.052,0,1
"Armc10",0.00766011886599018,0.588357426240498,0.052,0,1
"Etfbkmt",0.00766011886599018,0.538435123459889,0.052,0,1
"Pgghg",0.00766011886599018,0.627036104618599,0.052,0,1
"Coa6",0.00766011886599018,0.608833681790809,0.052,0,1
"Mobp",0.00766011886599018,0.61333472821034,0.052,0,1
"Usp43",0.00766011886599018,0.491517474140513,0.052,0,1
"Ifngr2",0.00766011886599018,0.80739848557577,0.052,0,1
"Ppp1r14b",0.00766011886599018,0.513589686479757,0.052,0,1
"Stambpl1",0.00766011886599018,0.744181829488815,0.052,0,1
"Elovl7",0.00767920270986052,-1.06204097454691,0.052,0.162,1
"Gm49417",0.00795452515592218,-0.760136057339831,0.072,0.199,1
"Wdfy3",0.00797003596415225,-0.721076261002782,0.175,0.331,1
"Ube3c",0.00842049254450754,-0.595518059149272,0.072,0.199,1
"Cldn5",0.00847791107793306,-0.550857641464096,0.196,0.368,1
"Rps7",0.0088776737433979,0.484628699616585,0.299,0.147,1
"Rfx3",0.00899486241305739,0.734741695745336,0.216,0.096,1
"Trrap",0.00904033734119387,-0.855455998661634,0.021,0.11,1
"Fam13b",0.00915506196293816,0.775335397644068,0.186,0.074,1
"Diaph1",0.00951041350658948,0.77769297913115,0.113,0.029,1
"Gm17106",0.00975801232358606,-0.745697639082029,0.021,0.11,1
"Ckmt1",0.010028865737322,-0.742525386675452,0,0.066,1
"Vcam1",0.010028865737322,-0.762642232016302,0,0.066,1
"Acacb",0.0101673865641241,-0.745105691014518,0.01,0.088,1
"Gcc2",0.0102193094508538,-0.661441772444326,0.113,0.25,1
"Rif1",0.0103452799364385,0.984485101545405,0.144,0.051,1
"Uri1",0.0106998964587171,-0.835298683691562,0.041,0.14,1
"Fam131a",0.0112323288253717,-0.721234272471009,0.01,0.088,1
"Itih5",0.0113418732950717,-0.623156445654062,0.165,0.316,1
"Dcaf1",0.0114247021552569,0.793617408009613,0.082,0.015,1
"Rpl12",0.0114468860918692,1.04492638121594,0.165,0.066,1
"Rictor",0.0116040112313713,-0.556873642918106,0.052,0.162,1
"Ppm1d",0.0116087958893548,0.655515056011254,0.082,0.015,1
"Rsbn1l",0.0116604924609008,-0.543359423724374,0.093,0.228,1
"Slc17a5",0.0117182811088135,-0.643193642533838,0.01,0.088,1
"Nf2",0.0117182811088135,-0.648871136494842,0.01,0.088,1
"Tmem158",0.011884360468865,-0.626007470234001,0.01,0.088,1
"Gm16794",0.012176967100788,0.595636902638751,0.082,0.015,1
"Zfp24",0.012176967100788,0.793212040289743,0.082,0.015,1
"Zfp277",0.012399599792505,0.874708124685166,0.144,0.051,1
"Crim1",0.0124208620653717,-0.652270958673253,0.082,0.206,1
