"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","14/79","146/28943",3.4326288961523e-18,6.66959794522392e-15,4.4479643906984e-15,"Rpl28/Rps3a1/Rps2/Rpl32/Rplp1/Rps10/Rpl23/Rpl21/Rps24/Rps27a/Rpl11/Rps14/Rpl3/Rps4x",14
"GO:0061000","negative regulation of dendritic spine development","4/79","17/28943",1.19070754786084e-07,9.72514747701039e-05,6.48571473532508e-05,"Apoe/Ube3a/Nlgn1/Dnm3",4
"GO:0031396","regulation of protein ubiquitination","8/79","218/28943",1.50156677462847e-07,9.72514747701039e-05,6.48571473532508e-05,"Ube3a/Ppia/Ubb/Rps2/Hsp90ab1/Rpl23/Npm1/Rpl11",8
"GO:0099558","maintenance of synapse structure","4/79","21/28943",2.96954471952749e-07,0.000127463608324689,8.50056623494282e-05,"Hspa8/Nlgn1/Chchd10/Rab3a",4
"GO:0009205","purine ribonucleoside triphosphate metabolic process","8/79","251/28943",4.39002677377495e-07,0.000127463608324689,8.50056623494282e-05,"Gapdh/Hspa8/Atp5h/Ndufb9/Ndufa13/Aldoa/Atp5d/Nme7",8
"GO:1903320","regulation of protein modification by small protein conjugation or removal","8/79","252/28943",4.52406755088971e-07,0.000127463608324689,8.50056623494282e-05,"Ube3a/Ppia/Ubb/Rps2/Hsp90ab1/Rpl23/Npm1/Rpl11",8
"GO:0009144","purine nucleoside triphosphate metabolic process","8/79","257/28943",5.24811562839687e-07,0.000127463608324689,8.50056623494282e-05,"Gapdh/Hspa8/Atp5h/Ndufb9/Ndufa13/Aldoa/Atp5d/Nme7",8
"GO:0009199","ribonucleoside triphosphate metabolic process","8/79","257/28943",5.24811562839687e-07,0.000127463608324689,8.50056623494282e-05,"Gapdh/Hspa8/Atp5h/Ndufb9/Ndufa13/Aldoa/Atp5d/Nme7",8
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","6/79","117/28943",8.37977315819854e-07,0.00014098472107629,9.40229117452193e-05,"Atp5h/Ndufb9/Ndufa13/Aldoa/Atp5d/Nme7",6
"GO:0009141","nucleoside triphosphate metabolic process","8/79","275/28943",8.73530335377152e-07,0.00014098472107629,9.40229117452193e-05,"Gapdh/Hspa8/Atp5h/Ndufb9/Ndufa13/Aldoa/Atp5d/Nme7",8
"GO:0009145","purine nucleoside triphosphate biosynthetic process","6/79","118/28943",8.80963342380702e-07,0.00014098472107629,9.40229117452193e-05,"Atp5h/Ndufb9/Ndufa13/Aldoa/Atp5d/Nme7",6
"GO:0010656","negative regulation of muscle cell apoptotic process","5/79","65/28943",9.68185234233726e-07,0.00014098472107629,9.40229117452193e-05,"Gapdh/Hspa8/Slc25a4/Npm1/Naca",5
"GO:0050821","protein stabilization","7/79","193/28943",1.01588567073444e-06,0.00014098472107629,9.40229117452193e-05,"Gapdh/Hsp90ab1/Hip1/Rpl23/Npm1/Rpl11/Bag1",7
"GO:0009201","ribonucleoside triphosphate biosynthetic process","6/79","122/28943",1.0713679472295e-06,0.00014098472107629,9.40229117452193e-05,"Atp5h/Ndufb9/Ndufa13/Aldoa/Atp5d/Nme7",6
"GO:0043524","negative regulation of neuron apoptotic process","7/79","195/28943",1.08840494912216e-06,0.00014098472107629,9.40229117452193e-05,"Apoe/Cacna1a/Grik2/Hsp90ab1/Pla2g3/Npm1/Bag1",7
"GO:0009142","nucleoside triphosphate biosynthetic process","6/79","132/28943",1.69827040464581e-06,0.000206233712264175,0.000137537557113091,"Atp5h/Ndufb9/Ndufa13/Aldoa/Atp5d/Nme7",6
"GO:0043954","cellular component maintenance","5/79","75/28943",1.98045289688126e-06,0.000226354116390605,0.00015095588334742,"Apoe/Hspa8/Nlgn1/Chchd10/Rab3a",5
"GO:0031647","regulation of protein stability","8/79","312/28943",2.23914628732721e-06,0.000230859909041988,0.000153960802898766,"Gapdh/Hspa8/Hsp90ab1/Hip1/Rpl23/Npm1/Rpl11/Bag1",8
"GO:0043113","receptor clustering","5/79","77/28943",2.25750811724024e-06,0.000230859909041988,0.000153960802898766,"Apoe/Cacna1a/Grik2/Nlgn1/Nme7",5
"GO:0006119","oxidative phosphorylation","6/79","140/28943",2.39180205932949e-06,0.00023236357006386,0.000154963596580769,"Atp5h/Ndufb9/Ndufa13/Chchd10/Cox4i1/Atp5d",6
