"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097090","presynaptic membrane organization","5/36","12/28943",1.75370181007001e-12,1.98869785261939e-09,1.16851920607823e-09,"Ptprd/Apoe/Nrxn1/Nlgn1/Il1rapl1",5
"GO:0050808","synapse organization","11/36","496/28943",1.36900063828894e-11,7.76223361909830e-09,4.56093370545737e-09,"Malat1/Ptprd/C1qa/Apoe/C1qb/C1qc/Nrxn1/Nlgn1/Lrrc4c/Il1rapl1/Grin2b",11
"GO:0099175","regulation of postsynapse organization","6/36","111/28943",4.92263030864945e-09,1.86075425666949e-06,1.09334210013161e-06,"Ptprd/Apoe/Nrxn1/Nlgn1/Il1rapl1/Grin2b",6
"GO:0050807","regulation of synapse organization","7/36","264/28943",3.23103572318529e-08,7.80217420996113e-06,4.58440200028348e-06,"Malat1/Ptprd/Apoe/Nrxn1/Nlgn1/Il1rapl1/Grin2b",7
"GO:0050803","regulation of synapse structure or activity","7/36","272/28943",3.96340279643789e-08,7.80217420996113e-06,4.58440200028348e-06,"Malat1/Ptprd/Apoe/Nrxn1/Nlgn1/Il1rapl1/Grin2b",7
"GO:0043113","receptor clustering","5/36","77/28943",4.12813450262494e-08,7.80217420996113e-06,4.58440200028348e-06,"Apoe/Dlg2/Nrxn1/Nlgn1/Grin2b",5
"GO:0099560","synaptic membrane adhesion","4/36","34/28943",9.10003907615982e-08,1.47420633033789e-05,8.66214245896115e-06,"Ptprd/Nrxn1/Nlgn1/Lrrc4c",4
"GO:1905606","regulation of presynapse assembly","4/36","38/28943",1.44330319514665e-07,2.04588227912037e-05,1.20211963490504e-05,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0099173","postsynapse organization","6/36","208/28943",2.08547929064906e-07,2.24824094677116e-05,1.32102155324064e-05,"Ptprd/Apoe/Nrxn1/Nlgn1/Il1rapl1/Grin2b",6
"GO:0098883","synapse pruning","3/36","10/28943",2.10787228897972e-07,2.24824094677116e-05,1.32102155324064e-05,"C1qa/C1qb/C1qc",3
"GO:0099174","regulation of presynapse organization","4/36","42/28943",2.18083336988384e-07,2.24824094677116e-05,1.32102155324064e-05,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0099545","trans-synaptic signaling by trans-synaptic complex","3/36","11/28943",2.89584621052082e-07,2.73657466894218e-05,1.6079567116313e-05,"Ptprd/Nlgn1/Il1rapl1",3
"GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","4/36","50/28943",4.45549681495209e-07,3.88656414473513e-05,2.28366759827099e-05,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0099054","presynapse assembly","4/36","53/28943",5.65012086567482e-07,4.57659790119661e-05,2.68911767516704e-05,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0071709","membrane assembly","4/36","54/28943",6.0967346834094e-07,4.60913142065751e-05,2.70823372252502e-05,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0099172","presynapse organization","4/36","60/28943",9.35093721317926e-07,6.6274767498408e-05,3.89417319469899e-05,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0044091","membrane biogenesis","4/36","61/28943",9.99829498398856e-07,6.66945088931942e-05,3.91883636214536e-05,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0043954","cellular component maintenance","4/36","75/28943",2.30003849887106e-06,0.00013813008030922,8.11624810505304e-05,"Apoe/Nrxn1/Nlgn1/Grin2b",4
"GO:0150146","cell junction disassembly","3/36","21/28943",2.31434878824972e-06,0.00013813008030922,8.11624810505304e-05,"C1qa/C1qb/C1qc",3
"GO:0072578","neurotransmitter-gated ion channel clustering","3/36","22/28943",2.67748171240816e-06,0.000151813213093543,8.92024170502298e-05,"Apoe/Nrxn1/Nlgn1",3
"GO:0051965","positive regulation of synapse assembly","4/36","80/28943",2.97967287180167e-06,0.00016090233507729,9.45430039022785e-05,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0050905","neuromuscular process","5/36","194/28943",4.09146062151087e-06,0.000210896197490606,0.000123918400641932,"Rbfox1/Csmd1/Fgf12/Nrxn1/Grin2b",5
"GO:0098698","postsynaptic specialization assembly","3/36","28/28943",5.66658820995053e-06,0.000279387436090604,0.000164162486814585,"Ptprd/Nrxn1/Nlgn1",3
"GO:1904861","excitatory synapse assembly","3/36","30/28943",7.01069713106583e-06,0.000320127031749207,0.000188100260927549,"Ptprd/Nrxn1/Nlgn1",3
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","5/36","217/28943",7.05747424491198e-06,0.000320127031749207,0.000188100260927549,"Ptprd/Nrxn1/Nlgn1/Lrrc4c/Il1rapl1",5
"GO:0050795","regulation of behavior","4/36","103/28943",8.16190193683231e-06,0.000355984492167994,0.000209169389717201,"Ptgds/Apoe/Nrxn1/Nlgn1",4
"GO:0099068","postsynapse assembly","3/36","33/28943",9.39714079994763e-06,0.000394679913597801,0.000231906047811573,"Ptprd/Nrxn1/Nlgn1",3
"GO:0001964","startle response","3/36","36/28943",1.22660825946604e-05,0.000496776345083746,0.000291895875278948,"Csmd1/Nrxn1/Grin2b",3
"GO:0097106","postsynaptic density organization","3/36","38/28943",1.44677779091163e-05,0.000565740005135788,0.000332417546877336,"Ptprd/Nrxn1/Nlgn1",3
"GO:0051963","regulation of synapse assembly","4/36","122/28943",1.59444708722844e-05,0.000585057931434151,0.000343768375195227,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
"GO:0031346","positive regulation of cell projection organization","6/36","441/28943",1.59936471556073e-05,0.000585057931434151,0.000343768375195227,"Ptprd/Apoe/P2ry12/Nrxn1/Nlgn1/Il1rapl1",6
"GO:1901890","positive regulation of cell junction assembly","4/36","125/28943",1.75461354456476e-05,0.000608195317698243,0.000357363442033777,"Ptprd/Nrxn1/Nlgn1/Il1rapl1",4
