"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097090","presynaptic membrane organization","3/8","12/28943",3.04557846557481e-09,1.82430150087931e-06,4.93704298630022e-07,"Nlgn1/Nrxn1/Apoe",3
"GO:0050795","regulation of behavior","4/8","103/28943",1.04715860975542e-08,3.13624003621749e-06,8.48749610012291e-07,"Ptgds/Nlgn1/Nrxn1/Apoe",4
"GO:0072578","neurotransmitter-gated ion channel clustering","3/8","22/28943",2.12914333913742e-08,4.25118953381105e-06,1.1504844709725e-06,"Nlgn1/Nrxn1/Apoe",3
"GO:0001941","postsynaptic membrane organization","3/8","48/28943",2.38322875286557e-07,3.5688850574162e-05,9.65834810371838e-06,"Nlgn1/Nrxn1/Apoe",3
"GO:0043954","cellular component maintenance","3/8","75/28943",9.27178691177526e-07,0.000100248074265629,2.71297837394022e-05,"Nlgn1/Nrxn1/Apoe",3
"GO:0043113","receptor clustering","3/8","77/28943",1.00415433321164e-06,0.000100248074265629,2.71297837394022e-05,"Nlgn1/Nrxn1/Apoe",3
"GO:0007158","neuron cell-cell adhesion","2/8","10/28943",3.00502584008362e-06,0.000181587979837987,4.91425162903963e-05,"Nlgn1/Nrxn1",2
"GO:0097104","postsynaptic membrane assembly","2/8","10/28943",3.00502584008362e-06,0.000181587979837987,4.91425162903963e-05,"Nlgn1/Nrxn1",2
"GO:0097119","postsynaptic density protein 95 clustering","2/8","10/28943",3.00502584008362e-06,0.000181587979837987,4.91425162903963e-05,"Nlgn1/Nrxn1",2
"GO:0099175","regulation of postsynapse organization","3/8","111/28943",3.0315188620699e-06,0.000181587979837987,4.91425162903963e-05,"Nlgn1/Nrxn1/Apoe",3
"GO:0097113","AMPA glutamate receptor clustering","2/8","14/28943",6.07347088449512e-06,0.000303167421651048,8.20451330010744e-05,"Nlgn1/Apoe",2
"GO:0097688","glutamate receptor clustering","2/8","14/28943",6.07347088449512e-06,0.000303167421651048,8.20451330010744e-05,"Nlgn1/Apoe",2
"GO:0061000","negative regulation of dendritic spine development","2/8","17/28943",9.07307211680319e-06,0.000418059245997316,0.000113137903318841,"Nlgn1/Apoe",2
"GO:0097091","synaptic vesicle clustering","2/8","18/28943",1.02057951881832e-05,0.000436662236980123,0.000118172365336858,"Nlgn1/Nrxn1",2
"GO:0035641","locomotory exploration behavior","2/8","19/28943",1.1404900242883e-05,0.000455435683032463,0.000123252957010806,"Lsamp/Apoe",2
"GO:0032230","positive regulation of synaptic transmission, GABAergic","2/8","20/28943",1.2670359683456e-05,0.000474346590649385,0.000128370749424489,"Nlgn1/Nrxn1",2
"GO:0099558","maintenance of synapse structure","2/8","21/28943",1.40021459196166e-05,0.000493369729755903,0.000133518914651453,"Nlgn1/Nrxn1",2
"GO:0099173","postsynapse organization","3/8","208/28943",1.9950040011847e-05,0.000630274334301585,0.000170568926249792,"Nlgn1/Nrxn1/Apoe",3
"GO:2000311","regulation of AMPA receptor activity","2/8","25/28943",1.99920072649919e-05,0.000630274334301585,0.000170568926249792,"Nlgn1/Nrxn1",2
"GO:0031345","negative regulation of cell projection organization","3/8","213/28943",2.14169827968195e-05,0.000641438634764744,0.000173590281616327,"Nlgn1/Nrxn1/Apoe",3
"GO:0098698","postsynaptic specialization assembly","2/8","28/28943",2.51794837684477e-05,0.000667386885249792,0.000180612565378206,"Nlgn1/Nrxn1",2
"GO:2000310","regulation of NMDA receptor activity","2/8","28/28943",2.51794837684477e-05,0.000667386885249792,0.000180612565378206,"Nlgn1/Nrxn1",2
"GO:0010976","positive regulation of neuron projection development","3/8","227/28943",2.589918121011e-05,0.000667386885249792,0.000180612565378206,"Nlgn1/Nrxn1/Apoe",3
"GO:0007274","neuromuscular synaptic transmission","2/8","29/28943",2.70408919779365e-05,0.000667386885249792,0.000180612565378206,"Nlgn1/Nrxn1",2
"GO:0042749","regulation of circadian sleep/wake cycle","2/8","30/28943",2.89683789924784e-05,0.000667386885249792,0.000180612565378206,"Ptgds/Nlgn1",2
"GO:1904861","excitatory synapse assembly","2/8","30/28943",2.89683789924784e-05,0.000667386885249792,0.000180612565378206,"Nlgn1/Nrxn1",2
"GO:0022410","circadian sleep/wake cycle process","2/8","32/28943",3.30214793688839e-05,0.000721477430168838,0.000195250899298833,"Ptgds/Nlgn1",2
"GO:0060074","synapse maturation","2/8","33/28943",3.51470377146934e-05,0.000721477430168838,0.000195250899298833,"Nlgn1/Nrxn1",2
"GO:0099068","postsynapse assembly","2/8","33/28943",3.51470377146934e-05,0.000721477430168838,0.000195250899298833,"Nlgn1/Nrxn1",2
"GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","2/8","34/28943",3.73385648334457e-05,0.000721477430168838,0.000195250899298833,"Nlgn1/Nrxn1",2
"GO:0099560","synaptic membrane adhesion","2/8","34/28943",3.73385648334457e-05,0.000721477430168838,0.000195250899298833,"Nlgn1/Nrxn1",2
"GO:0050807","regulation of synapse organization","3/8","264/28943",4.06198470407806e-05,0.000757068189017453,0.000204882701183882,"Nlgn1/Nrxn1/Apoe",3
"GO:0035640","exploration behavior","2/8","37/28943",4.43086839613899e-05,0.000757068189017453,0.000204882701183882,"Lsamp/Apoe",2
"GO:0050803","regulation of synapse structure or activity","3/8","272/28943",4.43942557755832e-05,0.000757068189017453,0.000204882701183882,"Nlgn1/Nrxn1/Apoe",3
"GO:0042745","circadian sleep/wake cycle","2/8","38/28943",4.67638113416457e-05,0.000757068189017453,0.000204882701183882,"Ptgds/Nlgn1",2
"GO:0097106","postsynaptic density organization","2/8","38/28943",4.67638113416457e-05,0.000757068189017453,0.000204882701183882,"Nlgn1/Nrxn1",2
"GO:1905606","regulation of presynapse assembly","2/8","38/28943",4.67638113416457e-05,0.000757068189017453,0.000204882701183882,"Nlgn1/Nrxn1",2
"GO:0051968","positive regulation of synaptic transmission, glutamatergic","2/8","41/28943",5.45240720326871e-05,0.000837433824296913,0.000226631770392276,"Nlgn1/Nrxn1",2
"GO:2000463","positive regulation of excitatory postsynaptic potential","2/8","41/28943",5.45240720326871e-05,0.000837433824296913,0.000226631770392276,"Nlgn1/Nrxn1",2
"GO:0099174","regulation of presynapse organization","2/8","42/28943",5.72423602886613e-05,0.000857204345322703,0.000231982196959312,"Nlgn1/Nrxn1",2
"GO:0032228","regulation of synaptic transmission, GABAergic","2/8","43/28943",6.00263701630496e-05,0.000876970627504067,0.000237331476382789,"Nlgn1/Nrxn1",2
"GO:0099084","postsynaptic specialization organization","2/8","44/28943",6.28760742299098e-05,0.000896732582469427,0.00024267958474702,"Nlgn1/Nrxn1",2
"GO:0034331","cell junction maintenance","2/8","45/28943",6.57914450704288e-05,0.000916490130167137,0.000248026500387908,"Nlgn1/Nrxn1",2
"GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","2/8","50/28943",8.13523417183537e-05,0.00109725819300845,0.000296947125425361,"Nlgn1/Nrxn1",2
"GO:0050806","positive regulation of synaptic transmission","3/8","335/28943",8.24317507268454e-05,0.00109725819300845,0.000296947125425361,"Nlgn1/Nrxn1/Apoe",3
"GO:0099054","presynapse assembly","2/8","53/28943",9.14751277404455e-05,0.00119116525035928,0.000322360862060151,"Nlgn1/Nrxn1",2
"GO:0071709","membrane assembly","2/8","54/28943",9.49802668730315e-05,0.00121049318844566,0.000327591513962975,"Nlgn1/Nrxn1",2
"GO:0051489","regulation of filopodium assembly","2/8","57/28943",0.000105887932780187,0.00130981188893214,0.000354469784545381,"Nlgn1/Nrxn1",2
"GO:0051962","positive regulation of nervous system development","3/8","366/28943",0.000107146548510308,0.00130981188893214,0.000354469784545381,"Nlgn1/Nrxn1/Apoe",3
"GO:0097479","synaptic vesicle localization","2/8","59/28943",0.000113486310493617,0.00133290784285641,0.000360720161321301,"Nlgn1/Nrxn1",2
"GO:0098815","modulation of excitatory postsynaptic potential","2/8","59/28943",0.000113486310493617,0.00133290784285641,0.000360720161321301,"Nlgn1/Nrxn1",2
"GO:0099172","presynapse organization","2/8","60/28943",0.000117383397525516,0.00135216644457277,0.000365932048966184,"Nlgn1/Nrxn1",2
"GO:0044091","membrane biogenesis","2/8","61/28943",0.000121345713598608,0.00137143551784088,0.000371146770490282,"Nlgn1/Nrxn1",2
"GO:0048512","circadian behavior","2/8","63/28943",0.000129465923684231,0.00143611274605286,0.0003886501412743,"Ptgds/Nlgn1",2
"GO:0060999","positive regulation of dendritic spine development","2/8","64/28943",0.000133623763122453,0.0014552842565518,0.000393838459729334,"Nlgn1/Apoe",2
"GO:0051932","synaptic transmission, GABAergic","2/8","65/28943",0.000137846722453248,0.00147446762052671,0.000399029986048877,"Nlgn1/Nrxn1",2
"GO:0007622","rhythmic behavior","2/8","66/28943",0.000142134774407222,0.00149366192754256,0.0004042244738451,"Ptgds/Nlgn1",2
"GO:0099601","regulation of neurotransmitter receptor activity","2/8","70/28943",0.000159937363315449,0.00165176690734403,0.000447011868431563,"Nlgn1/Nrxn1",2
"GO:0097120","receptor localization to synapse","2/8","75/28943",0.000183651914099261,0.00185188601678315,0.000501169399147009,"Nlgn1/Nrxn1",2
"GO:0031346","positive regulation of cell projection organization","3/8","441/28943",0.000185868413394315,0.00185188601678315,0.000501169399147009,"Nlgn1/Nrxn1/Apoe",3
"GO:0046847","filopodium assembly","2/8","76/28943",0.00018858939402967,0.00185188601678315,0.000501169399147009,"Nlgn1/Nrxn1",2
"GO:0071277","cellular response to calcium ion","2/8","78/28943",0.000198658706090702,0.00191929943465049,0.000519413255313551,"Nlgn1/Nrxn1",2
"GO:0051965","positive regulation of synapse assembly","2/8","80/28943",0.000208986973225603,0.00198703487241486,0.000537744258592194,"Nlgn1/Nrxn1",2
"GO:0060998","regulation of dendritic spine development","2/8","84/28943",0.000230419503500158,0.00215658254057179,0.000583628347681322,"Nlgn1/Apoe",2
"GO:0051966","regulation of synaptic transmission, glutamatergic","2/8","85/28943",0.000235939143545059,0.00217426995359216,0.000588415030055694,"Nlgn1/Nrxn1",2
"GO:0035418","protein localization to synapse","2/8","89/28943",0.000258662919800655,0.00234756195394837,0.000635312434598099,"Nlgn1/Nrxn1",2
"GO:0050808","synapse organization","3/8","496/28943",0.000262748892455932,0.00234905353106124,0.000635716094865885,"Nlgn1/Nrxn1/Apoe",3
"GO:0060079","excitatory postsynaptic potential","2/8","91/28943",0.000270411558059475,0.0023820076952592,0.000644634364414229,"Nlgn1/Nrxn1",2
"GO:0097061","dendritic spine organization","2/8","102/28943",0.000339626870431199,0.00290623564840412,0.000786504331524881,"Nlgn1/Apoe",2
"GO:0099565","chemical synaptic transmission, postsynaptic","2/8","102/28943",0.000339626870431199,0.00290623564840412,0.000786504331524881,"Nlgn1/Nrxn1",2
"GO:0106027","neuron projection organization","2/8","111/28943",0.000402027183444211,0.003391750463142,0.000917897498152831,"Nlgn1/Apoe",2
"GO:0035249","synaptic transmission, glutamatergic","2/8","117/28943",0.000446501670927497,0.00366376028610371,0.00099151055981016,"Nlgn1/Nrxn1",2
"GO:0060078","regulation of postsynaptic membrane potential","2/8","117/28943",0.000446501670927497,0.00366376028610371,0.00099151055981016,"Nlgn1/Nrxn1",2
"GO:0051963","regulation of synapse assembly","2/8","122/28943",0.000485315311014903,0.00392843069321523,0.00106313738117063,"Nlgn1/Nrxn1",2
"GO:1902414","protein localization to cell junction","2/8","123/28943",0.000493268796413695,0.00393957345402405,0.00106615290733627,"Nlgn1/Nrxn1",2
"GO:1901890","positive regulation of cell junction assembly","2/8","125/28943",0.000509366309672608,0.00401461078281437,0.00108645999570058,"Nlgn1/Nrxn1",2
"GO:0045807","positive regulation of endocytosis","2/8","127/28943",0.000525717700563724,0.00408967406022949,0.00110677410644994,"Nlgn1/Apoe",2
"GO:0042752","regulation of circadian rhythm","2/8","129/28943",0.000542322754405864,0.0041120421504951,0.00111282750404401,"Ptgds/Nlgn1",2
"GO:0060996","dendritic spine development","2/8","129/28943",0.000542322754405864,0.0041120421504951,0.00111282750404401,"Nlgn1/Apoe",2
"GO:0051592","response to calcium ion","2/8","130/28943",0.000550720337876412,0.00412351852984964,0.00111593331622326,"Nlgn1/Nrxn1",2
"GO:0010469","regulation of signaling receptor activity","2/8","147/28943",0.000703147704948556,0.00519982068227389,0.00140720918209328,"Nlgn1/Nrxn1",2
"GO:0010977","negative regulation of neuron projection development","2/8","160/28943",0.00083197848713653,0.00607750138774124,0.00164473282437774,"Nlgn1/Apoe",2
