"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048017","inositol lipid-mediated signaling","8/104","171/28943",2.00360383266977e-07,0.000230964207185441,0.000177824309213829,"Plce1/Plcl1/Pitpnm2/Plcb4/Pdgfd/Car8/Pld1/Prr5",8
"GO:0006813","potassium ion transport","9/104","244/28943",2.54225874722555e-07,0.000230964207185441,0.000177824309213829,"Rgs7/Atp1a2/Calm1/Nalcn/Calm2/Plcb4/Kcnd3/Kcnip4/Slc24a3",9
"GO:1903522","regulation of blood circulation","9/104","268/28943",5.58408978015227e-07,0.000338209704351223,0.000260394923432364,"Asic2/Gnao1/Atp1a2/Calm1/Fgf13/Calm2/Kcnd3/Hmgcr/Per2",9
"GO:0071805","potassium ion transmembrane transport","8/104","207/28943",8.55466336665826e-07,0.000388595583430452,0.000299188095112864,"Rgs7/Atp1a2/Calm1/Nalcn/Calm2/Kcnd3/Kcnip4/Slc24a3",8
"GO:0006695","cholesterol biosynthetic process","5/104","57/28943",1.96223274645873e-06,0.000594229483385919,0.000457510056148009,"Apoe/Hmgcs1/Cyp51/Hmgcr/Msmo1",5
"GO:1902653","secondary alcohol biosynthetic process","5/104","57/28943",1.96223274645873e-06,0.000594229483385919,0.000457510056148009,"Apoe/Hmgcs1/Cyp51/Hmgcr/Msmo1",5
"GO:0048015","phosphatidylinositol-mediated signaling","7/104","168/28943",2.59293835346031e-06,0.000673052712605341,0.000518197755150189,"Plce1/Plcl1/Pitpnm2/Plcb4/Pdgfd/Car8/Prr5",7
"GO:0016126","sterol biosynthetic process","5/104","63/28943",3.23819490231237e-06,0.000735475017187698,0.000566258029628045,"Apoe/Hmgcs1/Cyp51/Hmgcr/Msmo1",5
"GO:0007626","locomotory behavior","8/104","266/28943",5.51160739782877e-06,0.00111273229353943,0.000856716518329174,"Apoe/Npas3/Lsamp/Gnao1/Atp1a2/Zfhx3/Apba2/Atxn1",8
"GO:0030258","lipid modification","7/104","221/28943",1.56070175594711e-05,0.00283579509055589,0.00218333961437232,"Apoe/Echdc2/Akt2/Stard4/Eci2/Apod/B3galt1",7
"GO:1901617","organic hydroxy compound biosynthetic process","7/104","234/28943",2.25376412230323e-05,0.00372280855474996,0.0028662703526708,"Apoe/Hmgcs1/Cyp51/Stard4/Hmgcr/Per2/Msmo1",7
"GO:0060047","heart contraction","7/104","242/28943",2.79420018244696e-05,0.00422845142188398,0.0032555756682118,"Gnao1/Atp1a2/Calm1/Sgcd/Fgf13/Calm2/Kcnd3",7
"GO:0034329","cell junction assembly","9/104","445/28943",3.35142242698692e-05,0.00422845142188398,0.0032555756682118,"Asic2/Cdh19/Mdga2/Fgf13/Magi2/Ptprd/Macf1/Phldb2/Apod",9
"GO:0006694","steroid biosynthetic process","6/104","169/28943",3.42894222434332e-05,0.00422845142188398,0.0032555756682118,"Apoe/Hmgcs1/Cyp51/Stard4/Hmgcr/Msmo1",6
"GO:1900221","regulation of amyloid-beta clearance","3/104","18/28943",3.53605680882335e-05,0.00422845142188398,0.0032555756682118,"Apoe/Cyp51/Hmgcr",3
"GO:0003015","heart process","7/104","254/28943",3.80156096437029e-05,0.00422845142188398,0.0032555756682118,"Gnao1/Atp1a2/Calm1/Sgcd/Fgf13/Calm2/Kcnd3",7
"GO:0035641","locomotory exploration behavior","3/104","19/28943",4.18810090118638e-05,0.00422845142188398,0.0032555756682118,"Apoe/Lsamp/Atp1a2",3
"GO:0010959","regulation of metal ion transport","9/104","458/28943",4.18888968596101e-05,0.00422845142188398,0.0032555756682118,"Rgs7/Akt2/Gnao1/Atp1a2/Calm1/Fgf13/Calm2/Plcb4/Kcnip4",9
"GO:0043666","regulation of phosphoprotein phosphatase activity","4/104","58/28943",5.74885265866784e-05,0.00549771856884182,0.00423281173593881,"Calm1/Magi2/Calm2/Mgat5",4
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/104","22/28943",6.60401352853142e-05,0.00599974629067079,0.00461933367337803,"Calm1/Magi2/Calm2",3
"GO:0050808","synapse organization","9/104","496/28943",7.71820443917796e-05,0.00667808450761255,0.00514160085196366,"Asic2/Apoe/Mdga2/Gphn/Fgf13/Magi2/Nrcam/Ptprd/Erc1",9
"GO:0008016","regulation of heart contraction","6/104","199/28943",8.49655614182983e-05,0.00701738295895673,0.00540283402511572,"Gnao1/Atp1a2/Calm1/Fgf13/Calm2/Kcnd3",6
"GO:0060048","cardiac muscle contraction","5/104","132/28943",0.000117139904466349,0.00923233556464837,0.00710817366127954,"Atp1a2/Calm1/Sgcd/Fgf13/Calm2",5
"GO:0048511","rhythmic process","7/104","306/28943",0.000122012028403126,0.00923233556464837,0.00710817366127954,"Rora/Tef/Ptgds/Zfhx3/Id3/Per2/Mat2a",7
"GO:0055117","regulation of cardiac muscle contraction","4/104","71/28943",0.000127027181682008,0.00923233556464837,0.00710817366127954,"Atp1a2/Calm1/Fgf13/Calm2",4
"GO:0032922","circadian regulation of gene expression","4/104","72/28943",0.000134129784327569,0.00937360838935354,0.0072169426466129,"Rora/Zfhx3/Id3/Per2",4
"GO:0007623","circadian rhythm","6/104","222/28943",0.000154476455796646,0.00999902943050517,0.00769846775375337,"Rora/Ptgds/Zfhx3/Id3/Per2/Mat2a",6
"GO:1901888","regulation of cell junction assembly","6/104","222/28943",0.000154476455796646,0.00999902943050517,0.00769846775375337,"Asic2/Mdga2/Ptprd/Macf1/Phldb2/Apod",6
"GO:0046165","alcohol biosynthetic process","5/104","141/28943",0.000159588251780215,0.00999902943050517,0.00769846775375337,"Apoe/Hmgcs1/Cyp51/Hmgcr/Msmo1",5
