"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","synapse organization","77/915","496/28943",2.9304434808874e-31,1.44939734564691e-27,1.14719150583371e-27,"Homer1/Etv5/Apoe/Cacnb2/Nrxn3/Arc/Asic2/Cacna1a/Grm5/Pdzrn3/Tnr/Ntrk2/Unc13a/Atp2b2/Ptprd/Ube3a/Numb/Rph3a/Cacnb4/Bdnf/Camkv/Ctnnd2/Rock2/Sorbs2/Gpm6a/Dgkz/Il1rapl1/Ppfibp1/Efnb2/Efna5/Dlgap3/Filip1/Malat1/Clstn3/Adgrb3/Srcin1/Zfp365/Rims4/Chrd/Cntn5/Kif1a/Dnm3/Npas4/Dock10/Syndig1/Camk1/Sptbn2/Clstn1/Nrcam/Arhgap44/Ptpro/Lrrn3/Epha5/Grid2/Septin11/Bsn/Dab2ip/Ppp1r9a/Slc6a1/Igf1r/Slitrk5/Frmpd4/Kalrn/Sncb/Lgi2/Lingo2/Lrrc4/Mecp2/Ntng1/Kirrel3/Adgrb1/Pcdh17/Bcan/Unc13c/Synpo/Cask/Magi2",77
"GO:0050890","cognition","53/915","358/28943",7.27141970510762e-21,1.6344449509688e-17,1.29365585643965e-17,"Gria1/Itga8/Apoe/Nrxn3/Arc/Plcb1/Grm5/Tnr/Prkn/Ntrk2/Pak5/Csmd1/Camk4/Ube3a/Hmgcr/Egr1/Btbd9/Cacna1c/Bdnf/Shc3/Ctnnd2/Pde8b/Prkar1b/Btg2/Meis2/Specc1/Cacna1e/Nptx2/Gpr155/Adcy8/Epm2a/Ddhd2/Adgrb3/Brinp1/Hrh3/Chrd/Cyp7b1/Sorcs3/Npas4/Gpr88/Magt1/Grm7/Slc6a1/Pak6/Pde5a/Kalrn/Mecp2/Slc17a7/Dop1b/Mme/Trpm7/Bche/Synpo",53
"GO:0007611","learning or memory","50/915","321/28943",9.91373807704491e-21,1.6344449509688e-17,1.29365585643965e-17,"Gria1/Itga8/Apoe/Nrxn3/Arc/Plcb1/Grm5/Tnr/Prkn/Ntrk2/Pak5/Csmd1/Camk4/Ube3a/Hmgcr/Egr1/Btbd9/Cacna1c/Bdnf/Shc3/Ctnnd2/Pde8b/Prkar1b/Btg2/Meis2/Specc1/Cacna1e/Nptx2/Adcy8/Epm2a/Ddhd2/Adgrb3/Brinp1/Hrh3/Chrd/Cyp7b1/Sorcs3/Npas4/Gpr88/Grm7/Slc6a1/Pak6/Pde5a/Kalrn/Mecp2/Slc17a7/Mme/Trpm7/Bche/Synpo",50
"GO:0001505","regulation of neurotransmitter levels","39/915","255/28943",3.52153507948491e-16,4.3543781257831e-13,3.44647077910642e-13,"Nrxn3/Cacna1a/Cadps2/Prkn/Ntrk2/Slc1a2/Unc13a/Nrn1/Nr4a1/Trim9/Ptprn2/Rph3a/Cacnb4/Syt7/Cadps/Hnmt/Gpm6b/Atp2a2/Kcnh1/Slc18a2/Nr3c2/Rims4/Hrh3/Stx1a/Htr2c/Grm7/Prkce/Sptbn2/Otof/Slc1a6/Rims1/Ppp1r9a/Slc6a1/Stxbp1/Slc17a7/Unc13c/Abat/Bche/Cask",39
"GO:0034329","cell junction assembly","52/915","445/28943",5.42652661335321e-16,4.58985518759466e-13,3.63284981860186e-13,"Nrxn3/Asic2/Cacna1a/Ntrk2/Ptprd/Numb/Bdnf/Ctnnd2/Rock2/Cdh7/Gpm6b/Pkp2/Gpm6a/Ptprj/Smad7/Il1rapl1/Efnb2/Efna5/Nedd4l/Clstn3/Ctnna1/Adgrb3/Actn4/Cdh11/Cntn5/Ptprk/Dnm3/Npas4/Syndig1/Dusp3/Sptbn2/Prkch/Clstn1/Vmp1/Ptpro/Lrrn3/Grid2/Bcas3/Bsn/Ppp1r9a/Slitrk5/Lgi2/Lingo2/Lrrc4/Mecp2/Dmtn/Kirrel3/Adgrb1/Pcdh17/Macf1/Fmn1/Magi2",52
"GO:0050803","regulation of synapse structure or activity","40/915","272/28943",5.83921985459012e-16,4.58985518759466e-13,3.63284981860186e-13,"Homer1/Etv5/Apoe/Arc/Asic2/Ntrk2/Ptprd/Ube3a/Bdnf/Camkv/Gpm6a/Il1rapl1/Efna5/Malat1/Clstn3/Adgrb3/Srcin1/Rims4/Kif1a/Dnm3/Syndig1/Camk1/Clstn1/Nrcam/Arhgap44/Ptpro/Lrrn3/Grid2/Septin11/Dab2ip/Ppp1r9a/Slitrk5/Frmpd4/Kalrn/Lingo2/Mecp2/Slc17a7/Adgrb1/Cask/Magi2",40
"GO:0099003","vesicle-mediated transport in synapse","39/915","260/28943",6.87592037728596e-16,4.58985518759466e-13,3.63284981860186e-13,"Nrxn3/Arc/Cacna1a/Cadps2/Unc13a/Nrn1/Iqsec1/Trim9/Numb/Btbd9/Cacnb4/Syt7/Prkar1b/Cadps/Pacsin1/Hap1/Atp2a2/Efnb2/Kcnh1/Slc18a2/Nr3c2/Rims4/Stx1a/Dnm3/Syndig1/Grm7/Prkce/Sptbn2/Clstn1/Otof/Rims1/Bsn/Stxbp1/Sncb/Slc17a7/Pcdh17/Unc13c/Cask/Magi2",39
"GO:0016358","dendrite development","43/915","315/28943",7.42394692696265e-16,4.58985518759466e-13,3.63284981860186e-13,"Asap1/Hecw2/Apoe/Arc/Cacna1a/Matn2/Ntrk2/Ptprd/Iqsec1/Ube3a/Map1b/Numb/Bdnf/Dclk1/Ctnnd2/Rock2/Pacsin1/Mark1/Il1rapl1/Map6/Dcx/Nedd4l/Adgrb3/Srcin1/Dgkg/Zfp365/Dab1/Kif1a/Dnm3/Dock10/Camk1/Arhgap44/Epha5/Fat3/Dab2ip/Ppp1r9a/Slitrk5/Kalrn/Mecp2/Cobl/Arid1b/Cit/Cask",43
"GO:0007612","learning","33/915","187/28943",9.270441420379e-16,5.09462258502161e-13,4.03237095232626e-13,"Nrxn3/Grm5/Tnr/Prkn/Ntrk2/Pak5/Csmd1/Ube3a/Hmgcr/Cacna1c/Bdnf/Ctnnd2/Pde8b/Btg2/Meis2/Specc1/Cacna1e/Nptx2/Epm2a/Ddhd2/Adgrb3/Hrh3/Chrd/Sorcs3/Npas4/Gpr88/Grm7/Slc6a1/Pak6/Kalrn/Mecp2/Bche/Synpo",33
"GO:0050807","regulation of synapse organization","39/915","264/28943",1.16013614696297e-15,5.73803338287883e-13,4.54162771637397e-13,"Homer1/Etv5/Apoe/Arc/Asic2/Ntrk2/Ptprd/Ube3a/Bdnf/Camkv/Gpm6a/Il1rapl1/Efna5/Malat1/Clstn3/Adgrb3/Srcin1/Rims4/Kif1a/Dnm3/Syndig1/Camk1/Clstn1/Nrcam/Arhgap44/Ptpro/Lrrn3/Grid2/Septin11/Dab2ip/Ppp1r9a/Slitrk5/Frmpd4/Kalrn/Lingo2/Mecp2/Adgrb1/Cask/Magi2",39
"GO:0006836","neurotransmitter transport","37/915","243/28943",2.34601346047233e-15,1.05485296140874e-12,8.34911393253263e-13,"Nrxn3/Cacna1a/Cadps2/Prkn/Ntrk2/Slc1a2/Unc13a/Nrn1/Nr4a1/Trim9/Ptprn2/Rph3a/Cacnb4/Syt7/Cadps/Gpm6b/Atp2a2/Kcnh1/Slc18a2/Slc6a15/Nr3c2/Rims4/Stx1a/Htr2c/Grm7/Prkce/Sptbn2/Otof/Slc1a6/Rims1/Ppp1r9a/Slc6a1/Stxbp1/Slc17a7/Unc13c/Sv2b/Cask",37
"GO:0042391","regulation of membrane potential","52/915","469/28943",4.7847210675216e-15,1.97210253333015e-12,1.56091032018534e-12,"Kcnma1/Gria1/Fgf12/Cacnb2/Asic2/Cacna1a/Prkn/Ntrk2/Kcnd2/Cacnb4/Cacna1c/Scn1a/Dpp6/Bdnf/Prkar1b/Rgs7/Pkp2/Rnf207/Smad7/Atp1a1/Atp2a2/Ntsr2/Ryr2/Kcnh1/Nedd4l/Nr3c2/Atp1a4/Rims4/Stx1a/Sod2/Cx3cl1/Npas4/Gpr88/Rgs7bp/Cacna1d/Kcnmb4/Prkce/Nrcam/Dmd/Slc1a6/Rims1/Grid2/Scn3a/Slc25a27/Ppp1r9a/Akap6/Ank2/Mecp2/Slc17a7/Adcyap1/Abat/Kcnd3",52
"GO:0007626","locomotory behavior","38/915","266/28943",8.19394698254311e-15,3.11748167505063e-12,2.46747277960144e-12,"Kcnma1/Fgf12/Etv5/Apoe/Cacna1a/Grm1/Grm5/Tnr/Prkn/Kcnd2/Pak5/Atp2b2/Ube3a/Egr1/Btbd9/Cacnb4/Cacna1c/Scn1a/Vps13a/Ciart/Cacna1e/Fign/Bc1/Adcy8/Slc18a2/Ddhd2/Sod2/Dab1/Npas2/Gpr88/Htr2c/Prkce/Pak6/Npc1/Kalrn/Mecp2/Lepr/Abat",38
"GO:0007416","synapse assembly","32/915","194/28943",1.8338993156256e-14,6.47890429648872e-12,5.12802372542226e-12,"Nrxn3/Asic2/Cacna1a/Ntrk2/Ptprd/Numb/Bdnf/Gpm6a/Il1rapl1/Efnb2/Efna5/Clstn3/Adgrb3/Cntn5/Dnm3/Npas4/Syndig1/Sptbn2/Clstn1/Lrrn3/Grid2/Bsn/Ppp1r9a/Slitrk5/Lgi2/Lingo2/Lrrc4/Mecp2/Kirrel3/Adgrb1/Pcdh17/Magi2",32
"GO:0099504","synaptic vesicle cycle","33/915","230/28943",4.24992987268783e-13,1.40134354335427e-10,1.10915713659832e-10,"Nrxn3/Cacna1a/Cadps2/Unc13a/Nrn1/Trim9/Btbd9/Cacnb4/Syt7/Prkar1b/Cadps/Pacsin1/Atp2a2/Kcnh1/Slc18a2/Nr3c2/Rims4/Stx1a/Dnm3/Syndig1/Grm7/Prkce/Sptbn2/Otof/Rims1/Bsn/Stxbp1/Sncb/Slc17a7/Pcdh17/Unc13c/Cask/Magi2",33
"GO:0099173","postsynapse organization","31/915","208/28943",7.78843703961545e-13,2.40760059987112e-10,1.90560508883749e-10,"Homer1/Etv5/Apoe/Arc/Ptprd/Ube3a/Numb/Rph3a/Ctnnd2/Rock2/Sorbs2/Dgkz/Il1rapl1/Srcin1/Zfp365/Kif1a/Dnm3/Dock10/Sptbn2/Nrcam/Arhgap44/Epha5/Grid2/Ppp1r9a/Igf1r/Frmpd4/Kalrn/Lrrc4/Adgrb1/Cask/Magi2",31
"GO:0007269","neurotransmitter secretion","29/915","186/28943",1.34017010024226e-12,3.68248961988789e-10,2.91467403672571e-10,"Nrxn3/Cacna1a/Cadps2/Prkn/Ntrk2/Unc13a/Nrn1/Nr4a1/Trim9/Ptprn2/Rph3a/Cacnb4/Syt7/Cadps/Atp2a2/Kcnh1/Nr3c2/Rims4/Stx1a/Htr2c/Grm7/Prkce/Sptbn2/Otof/Rims1/Ppp1r9a/Stxbp1/Unc13c/Cask",29
"GO:0099643","signal release from synapse","29/915","186/28943",1.34017010024226e-12,3.68248961988789e-10,2.91467403672571e-10,"Nrxn3/Cacna1a/Cadps2/Prkn/Ntrk2/Unc13a/Nrn1/Nr4a1/Trim9/Ptprn2/Rph3a/Cacnb4/Syt7/Cadps/Atp2a2/Kcnh1/Nr3c2/Rims4/Stx1a/Htr2c/Grm7/Prkce/Sptbn2/Otof/Rims1/Ppp1r9a/Stxbp1/Unc13c/Cask",29
"GO:0007409","axonogenesis","49/915","493/28943",1.83512378537435e-12,4.77711696971659e-10,3.7810666802256e-10,"Slit2/Apoe/Cacna1a/Matn2/Tnr/Ntrk2/Sema6d/Cdh4/Nrn1/Map1b/Numb/Bdnf/Dclk1/Ext1/Olfm1/Kif5c/Arhgef28/Map6/Nr4a3/Efnb2/Col25a1/Efna5/Ece1/Dcx/Dab1/Cdh11/Cntn5/Skil/Nexn/Dip2b/Prtg/Nrcam/Ptpro/Raph1/Nin/Ust/Epha5/Igf1r/Pitpna/Stxbp1/Slitrk5/Kalrn/Ntng1/Golga4/Cobl/Lmtk2/Apbb2/Macf1/Tenm2",49
"GO:0035249","synaptic transmission, glutamatergic","23/915","117/28943",2.02451113411888e-12,5.00661603467599e-10,3.96271416199374e-10,"Homer1/Cacna1a/Grm1/Grm5/Tnr/Prkn/Ntrk2/Unc13a/Cacnb4/Shc3/Ext1/Dgkz/Grm3/Clstn3/Grm7/Grid1/Gria4/Grid2/Stxbp1/Slc17a7/Cacng8/Unc13c/Adcyap1",23
"GO:0007613","memory","26/915","160/28943",7.36202030250103e-12,1.73393106743667e-09,1.37239867192989e-09,"Gria1/Itga8/Apoe/Arc/Plcb1/Ntrk2/Pak5/Csmd1/Camk4/Egr1/Btbd9/Bdnf/Adcy8/Brinp1/Hrh3/Cyp7b1/Sorcs3/Npas4/Grm7/Slc6a1/Pak6/Pde5a/Kalrn/Mecp2/Slc17a7/Trpm7",26
"GO:0048588","developmental cell growth","34/915","273/28943",1.10069526693539e-11,2.47456308648292e-09,1.9586055970013e-09,"Slit2/Apoe/Tnr/Prkn/Sema6d/Cdh4/Unc13a/Nrn1/Map1b/Bdnf/Dclk1/Ext1/Olfm1/Sorbs2/Smad7/Syt17/Smurf1/Efna5/Cpne6/Cpne9/Dcx/Nedd4l/Dip2b/Raph1/Nin/Rims1/Pak6/Akap6/Mecp2/Golga4/Cobl/Bcan/Macf1/Fubp1",34
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","29/915","217/28943",6.51833356333576e-11,1.40172512192429e-08,1.10945915432703e-08,"Tenm4/Cdh4/Ptprd/Cdh7/Cdhr1/Il1rapl1/Pcdh10/Cdh13/Efna5/Clstn3/Dab1/Cx3cl1/Cdh11/Cntn5/Nexn/Prtg/Clstn1/Nrcam/Fat3/Grid2/Ceacam2/Atp2c1/Lrrc4/Ntng1/Kirrel3/Pcdh17/Tenm2/Tenm3/Magi2",29
"GO:0019932","second-messenger-mediated signaling","35/915","309/28943",8.05054225956589e-11,1.59585235106048e-08,1.26310998650561e-08,"Cap2/Apoe/Grm1/Grm5/Ntrk2/Chrm3/Ptprj/Atp2a2/Ryr2/Cdh13/Ece1/Adcy8/Camkk2/Hdac4/Gucy1a1/Camta1/Mt1/Htr2c/Cacna1d/Dmd/Kiss1r/Epha5/Calm2/Ndnf/Ppp1r9a/Pde10a/Pde5a/Akap6/Ank2/Dmtn/Adcyap1r1/Pdk2/Adcyap1/Tenm2/Cabyr",35
"GO:0060560","developmental growth involved in morphogenesis","33/915","278/28943",8.06637864466479e-11,1.59585235106048e-08,1.26310998650561e-08,"Slit2/Apoe/Tnr/Fgf1/Prkn/Sema6d/Cdh4/Unc13a/Nrn1/Map1b/Bdnf/Dclk1/Ext1/Olfm1/Syt17/Smurf1/Efna5/Cpne6/Cpne9/Dcx/Nedd4l/Esr1/Dip2b/Raph1/Nin/Rims1/Pak6/Mecp2/Golga4/Cobl/Bcan/Macf1/Fmn1",33
"GO:0051962","positive regulation of nervous system development","38/915","366/28943",1.64305015466019e-10,3.12558694805742e-08,2.473888066875e-08,"Etv5/Apoe/Asic2/Grm5/Ntrk2/Tenm4/Cdh4/Ptprd/Map1b/Numb/Bdnf/Snw1/Il1rapl1/Map6/Hap1/Efna5/Dcx/Clstn3/Adgrb3/Zfp365/Cx3cl1/Skil/Syndig1/Prkch/Clstn1/Xrcc4/Lrrn3/Nin/Grid2/Slitrk5/Kalrn/Lingo2/Mecp2/Golga4/Mme/Adgrb1/Macf1/Cask",38
"GO:0048813","dendrite morphogenesis","26/915","186/28943",2.3213743471202e-10,4.25241389661353e-08,3.36576654851464e-08,"Hecw2/Arc/Cacna1a/Ptprd/Ube3a/Numb/Dclk1/Ctnnd2/Rock2/Il1rapl1/Map6/Dcx/Nedd4l/Adgrb3/Srcin1/Zfp365/Kif1a/Dnm3/Dock10/Arhgap44/Epha5/Ppp1r9a/Slitrk5/Kalrn/Cit/Cask",26
"GO:0016079","synaptic vesicle exocytosis","22/915","137/28943",3.79126618545035e-10,6.56869966228842e-08,5.19909635517284e-08,"Nrxn3/Cacna1a/Cadps2/Unc13a/Nrn1/Trim9/Cacnb4/Syt7/Cadps/Atp2a2/Kcnh1/Nr3c2/Rims4/Stx1a/Grm7/Prkce/Sptbn2/Otof/Rims1/Stxbp1/Unc13c/Cask",22
"GO:0035637","multicellular organismal signaling","24/915","163/28943",3.85144137093336e-10,6.56869966228842e-08,5.19909635517284e-08,"Kcnma1/Gria1/Fgf12/Cacnb2/Cacna1a/Tnr/Ntrk2/Kcnd2/Cacnb4/Cacna1c/Scn1a/Dpp6/Pkp2/Cacna1e/Ryr2/Gpr88/Cacna1d/Grm7/Kcnmb4/Nrcam/Scn3a/Ank2/Cacng8/Kcnd3",24
"GO:0045055","regulated exocytosis","32/915","291/28943",1.09516114551212e-09,1.80555567523432e-07,1.42908922812617e-07,"Ptgds/Nrxn3/Cacna1a/Cadps2/Unc13a/Nrn1/Trim9/Rph3a/Cacnb4/Cacna1c/Syt7/Cadps/Syt17/Atp2a2/Nr4a3/Rab27a/Kcnh1/Nr3c2/Rims4/Stx1a/Steap2/Grm7/Prkce/Sptbn2/Otof/Rims1/Stxbp1/Dmtn/Il4/Unc13c/Rasgrp1/Cask",32
