"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006937","regulation of muscle contraction","2/4","167/28943",0.000197059246973387,0.0182295202178337,0.00188982267011035,"Ank2/Cald1",2
"GO:0090257","regulation of muscle system process","2/4","258/28943",0.000469349717111887,0.0182295202178337,0.00188982267011035,"Ank2/Cald1",2
"GO:0006936","muscle contraction","2/4","317/28943",0.000707135674198666,0.0182295202178337,0.00188982267011035,"Ank2/Cald1",2
"GO:0003012","muscle system process","2/4","432/28943",0.00130737162764219,0.0182295202178337,0.00188982267011035,"Ank2/Cald1",2
"GO:0086016","AV node cell action potential","1/4","11/28943",0.00151944167841134,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0086027","AV node cell to bundle of His cell signaling","1/4","11/28943",0.00151944167841134,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:1903779","regulation of cardiac conduction","1/4","12/28943",0.001657486826804,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0086015","SA node cell action potential","1/4","13/28943",0.0017955176606046,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0086018","SA node cell to atrial cardiac muscle cell signaling","1/4","13/28943",0.0017955176606046,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0086067","AV node cell to bundle of His cell communication","1/4","13/28943",0.0017955176606046,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0086070","SA node cell to atrial cardiac muscle cell communication","1/4","13/28943",0.0017955176606046,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling","1/4","14/28943",0.00193353418080366,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0086014","atrial cardiac muscle cell action potential","1/4","15/28943",0.00207153638839019,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0086026","atrial cardiac muscle cell to AV node cell signaling","1/4","15/28943",0.00207153638839019,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0086066","atrial cardiac muscle cell to AV node cell communication","1/4","15/28943",0.00207153638839019,0.0182295202178337,0.00188982267011035,"Ank2",1
"GO:0099558","maintenance of synapse structure","1/4","21/28943",0.00289924912446449,0.0188009943911715,0.00194906640418843,"Erc2",1
"GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","1/4","22/28943",0.0030371511714703,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/4","23/28943",0.00317503891377902,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0003283","atrial septum development","1/4","24/28943",0.00331291235238007,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0099625","ventricular cardiac muscle cell membrane repolarization","1/4","24/28943",0.00331291235238007,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/4","25/28943",0.00345077148826278,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0016082","synaptic vesicle priming","1/4","26/28943",0.00358861632241603,0.0188009943911715,0.00194906640418843,"Erc2",1
"GO:0099623","regulation of cardiac muscle cell membrane repolarization","1/4","26/28943",0.00358861632241603,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","1/4","26/28943",0.00358861632241603,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0098901","regulation of cardiac muscle cell action potential","1/4","27/28943",0.00372644685582957,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:1901018","positive regulation of potassium ion transmembrane transporter activity","1/4","27/28943",0.00372644685582957,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0086005","ventricular cardiac muscle cell action potential","1/4","28/28943",0.00386426308949173,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0007274","neuromuscular synaptic transmission","1/4","29/28943",0.00400206502439182,0.0188009943911715,0.00194906640418843,"Erc2",1
"GO:0086019","cell-cell signaling involved in cardiac conduction","1/4","30/28943",0.00413985266151928,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0099622","cardiac muscle cell membrane repolarization","1/4","31/28943",0.00427762600186299,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0070296","sarcoplasmic reticulum calcium ion transport","1/4","32/28943",0.00441538504641148,0.0188009943911715,0.00194906640418843,"Ank2",1
"GO:0060306","regulation of membrane repolarization","1/4","34/28943",0.00469086025208043,0.0193497985398318,0.00200595997621861,"Ank2",1
"GO:0086004","regulation of cardiac muscle cell contraction","1/4","38/28943",0.00524163915739084,0.0204197920446519,0.00211688434274701,"Ank2",1
"GO:0086091","regulation of heart rate by cardiac conduction","1/4","39/28943",0.00537929815906435,0.0204197920446519,0.00211688434274701,"Ank2",1
"GO:0003230","cardiac atrium development","1/4","41/28943",0.00565457329974717,0.0204197920446519,0.00211688434274701,"Ank2",1
"GO:0086002","cardiac muscle cell action potential involved in contraction","1/4","42/28943",0.00579218944073412,0.0204197920446519,0.00211688434274701,"Ank2",1
"GO:1901381","positive regulation of potassium ion transmembrane transport","1/4","42/28943",0.00579218944073412,0.0204197920446519,0.00211688434274701,"Ank2",1
"GO:0086065","cell communication involved in cardiac conduction","1/4","43/28943",0.0059297912968026,0.0204197920446519,0.00211688434274701,"Ank2",1
"GO:0034331","cell junction maintenance","1/4","45/28943",0.00620495215813899,0.0204197920446519,0.00211688434274701,"Erc2",1
"GO:0086009","membrane repolarization","1/4","45/28943",0.00620495215813899,0.0204197920446519,0.00211688434274701,"Ank2",1
"GO:1903115","regulation of actin filament-based movement","1/4","46/28943",0.00634251116538431,0.0204197920446519,0.00211688434274701,"Ank2",1
"GO:1901021","positive regulation of calcium ion transmembrane transporter activity","1/4","50/28943",0.00689260439460671,0.0216624709544782,0.0022457107050097,"Ank2",1
"GO:0043268","positive regulation of potassium ion transport","1/4","52/28943",0.00716756534320073,0.022002758727965,0.00228098774691823,"Ank2",1
"GO:0086001","cardiac muscle cell action potential","1/4","59/28943",0.00812947905158756,0.0243884371547627,0.00252830688207269,"Ank2",1
"GO:1901016","regulation of potassium ion transmembrane transporter activity","1/4","67/28943",0.0092279529367516,0.0257163749094771,0.00266597188056781,"Ank2",1
"GO:0098900","regulation of action potential","1/4","68/28943",0.00936519799106161,0.0257163749094771,0.00266597188056781,"Ank2",1
"GO:0006940","regulation of smooth muscle contraction","1/4","69/28943",0.00950242878614493,0.0257163749094771,0.00266597188056781,"Cald1",1
"GO:0086003","cardiac muscle cell contraction","1/4","69/28943",0.00950242878614493,0.0257163749094771,0.00266597188056781,"Ank2",1
"GO:0061337","cardiac conduction","1/4","70/28943",0.00963964532298989,0.0257163749094771,0.00266597188056781,"Ank2",1
"GO:0055117","regulation of cardiac muscle contraction","1/4","71/28943",0.00977684760258335,0.0257163749094771,0.00266597188056781,"Ank2",1
"GO:0034394","protein localization to cell surface","1/4","73/28943",0.0100512093939678,0.0257163749094771,0.00266597188056781,"Ank2",1
"GO:0043954","cellular component maintenance","1/4","75/28943",0.0103255141681992,0.0257163749094771,0.00266597188056781,"Erc2",1
"GO:0070972","protein localization to endoplasmic reticulum","1/4","75/28943",0.0103255141681992,0.0257163749094771,0.00266597188056781,"Ank2",1
"GO:0051279","regulation of release of sequestered calcium ion into cytosol","1/4","82/28943",0.0112851319819764,0.0275858781781647,0.00285978003441898,"Ank2",1
"GO:0006942","regulation of striated muscle contraction","1/4","87/28943",0.0119701458957262,0.0287283501497429,0.00297821811759695,"Ank2",1
"GO:2001259","positive regulation of cation channel activity","1/4","92/28943",0.0126548037978186,0.0296228672304518,0.00307095114829245,"Ank2",1
"GO:1901379","regulation of potassium ion transmembrane transport","1/4","93/28943",0.0127916926676951,0.0296228672304518,0.00307095114829245,"Ank2",1
"GO:0070252","actin-mediated cell contraction","1/4","97/28943",0.0133391058116241,0.0299479993913258,0.00310465703418848,"Ank2",1
"GO:0140029","exocytic process","1/4","99/28943",0.0136127269960572,0.0299479993913258,0.00310465703418848,"Erc2",1
"GO:1901019","regulation of calcium ion transmembrane transporter activity","1/4","99/28943",0.0136127269960572,0.0299479993913258,0.00310465703418848,"Ank2",1
"GO:1904427","positive regulation of calcium ion transmembrane transport","1/4","107/28943",0.0147066426677529,0.0318242103630063,0.00329916056394802,"Ank2",1
"GO:0002027","regulation of heart rate","1/4","113/28943",0.0155264821231559,0.0328178657186005,0.00340217108725523,"Ank2",1
"GO:0043266","regulation of potassium ion transport","1/4","114/28943",0.0156630722747866,0.0328178657186005,0.00340217108725523,"Ank2",1
"GO:0006939","smooth muscle contraction","1/4","117/28943",0.0160727574506528,0.0331392456577869,0.00343548798685191,"Cald1",1
"GO:0051209","release of sequestered calcium ion into cytosol","1/4","120/28943",0.0164823147286889,0.0331392456577869,0.00343548798685191,"Ank2",1
"GO:0051283","negative regulation of sequestering of calcium ion","1/4","121/28943",0.0166188054042286,0.0331392456577869,0.00343548798685191,"Ank2",1
"GO:0051282","regulation of sequestering of calcium ion","1/4","123/28943",0.0168917441355155,0.0331392456577869,0.00343548798685191,"Ank2",1
"GO:0051208","sequestering of calcium ion","1/4","125/28943",0.017164626046985,0.0331392456577869,0.00343548798685191,"Ank2",1
"GO:0003279","cardiac septum development","1/4","128/28943",0.0175738423942809,0.0331392456577869,0.00343548798685191,"Ank2",1
"GO:0030048","actin filament-based movement","1/4","128/28943",0.0175738423942809,0.0331392456577869,0.00343548798685191,"Ank2",1
"GO:0060048","cardiac muscle contraction","1/4","132/28943",0.0181192653949137,0.0336865215792762,0.00349222313022799,"Ank2",1
"GO:0032414","positive regulation of ion transmembrane transporter activity","1/4","135/28943",0.0185281835830625,0.0339683365689479,0.00352143840028966,"Ank2",1
"GO:0016079","synaptic vesicle exocytosis","1/4","137/28943",0.0188007247412171,0.0339958310389131,0.00352428870419354,"Erc2",1
"GO:0032411","positive regulation of transporter activity","1/4","143/28943",0.0196180076594582,0.0349942839330876,0.00362779657998516,"Ank2",1
"GO:0001508","action potential","1/4","148/28943",0.0202986866547256,0.035725688512317,0.00370362002121309,"Ank2",1
"GO:0051928","positive regulation of calcium ion transport","1/4","151/28943",0.0207069238801704,0.0359646572655591,0.00372839349642957,"Ank2",1
"GO:0007009","plasma membrane organization","1/4","161/28943",0.0220667932522922,0.0378037796822977,0.0039190521201744,"Ank2",1
"GO:0035637","multicellular organismal signaling","1/4","163/28943",0.0223385970849941,0.0378037796822977,0.0039190521201744,"Ank2",1
"GO:0051017","actin filament bundle assembly","1/4","171/28943",0.0234252458725918,0.0388381571750672,0.00402628423664971,"Cald1",1
"GO:0006941","striated muscle contraction","1/4","173/28943",0.0236967664730621,0.0388381571750672,0.00402628423664971,"Ank2",1
"GO:0061572","actin filament bundle organization","1/4","174/28943",0.0238325055392458,0.0388381571750672,0.00402628423664971,"Cald1",1
"GO:0097553","calcium ion transmembrane import into cytosol","1/4","185/28943",0.0253247012720889,0.0398786694999441,0.00413415234050457,"Ank2",1
"GO:0007269","neurotransmitter secretion","1/4","186/28943",0.0254602705465484,0.0398786694999441,0.00413415234050457,"Erc2",1
"GO:0099643","signal release from synapse","1/4","186/28943",0.0254602705465484,0.0398786694999441,0.00413415234050457,"Erc2",1
"GO:1904064","positive regulation of cation transmembrane transport","1/4","191/28943",0.0261379047947856,0.0398786694999441,0.00413415234050457,"Ank2",1
"GO:0050821","protein stabilization","1/4","193/28943",0.026408859521212,0.0398786694999441,0.00413415234050457,"Ank2",1
"GO:0019722","calcium-mediated signaling","1/4","196/28943",0.0268151855930792,0.0398786694999441,0.00413415234050457,"Ank2",1
"GO:2001257","regulation of cation channel activity","1/4","196/28943",0.0268151855930792,0.0398786694999441,0.00413415234050457,"Ank2",1
"GO:0003205","cardiac chamber development","1/4","199/28943",0.0272213844672208,0.0398786694999441,0.00413415234050457,"Ank2",1
"GO:0008016","regulation of heart contraction","1/4","199/28943",0.0272213844672208,0.0398786694999441,0.00413415234050457,"Ank2",1
"GO:1903169","regulation of calcium ion transmembrane transport","1/4","201/28943",0.0274921130643554,0.0398786694999441,0.00413415234050457,"Ank2",1
"GO:0071805","potassium ion transmembrane transport","1/4","207/28943",0.0283039598112728,0.0406100292944348,0.0042099711389765,"Ank2",1
"GO:0034767","positive regulation of ion transmembrane transport","1/4","213/28943",0.0291152981566063,0.0413249393190541,0.00428408461840274,"Ank2",1
"GO:0055001","muscle cell development","1/4","229/28943",0.0312763831729879,0.0435616288576274,0.00451595833452278,"Ank2",1
"GO:0099504","synaptic vesicle cycle","1/4","230/28943",0.0314113310892413,0.0435616288576274,0.00451595833452278,"Erc2",1
"GO:0051651","maintenance of location in cell","1/4","232/28943",0.031681184623729,0.0435616288576274,0.00451595833452278,"Ank2",1
"GO:0060047","heart contraction","1/4","242/28943",0.0330296065911008,0.0443988291980665,0.00460274943839605,"Ank2",1
"GO:0006836","neurotransmitter transport","1/4","243/28943",0.0331643712882765,0.0443988291980665,0.00460274943839605,"Erc2",1
"GO:0006813","potassium ion transport","1/4","244/28943",0.0332991218985499,0.0443988291980665,0.00460274943839605,"Ank2",1
"GO:0003015","heart process","1/4","254/28943",0.0346458534376231,0.045455636521703,0.00471230681644449,"Ank2",1
"GO:0001505","regulation of neurotransmitter levels","1/4","255/28943",0.0347804491567576,0.045455636521703,0.00471230681644449,"Erc2",1
"GO:0099003","vesicle-mediated transport in synapse","1/4","260/28943",0.0354532166451953,0.0458806333055469,0.00475636549419545,"Erc2",1
"GO:1903522","regulation of blood circulation","1/4","268/28943",0.0365289130263768,0.0468137526163276,0.00485310035097495,"Ank2",1
"GO:0034764","positive regulation of transmembrane transport","1/4","273/28943",0.0372007662057109,0.0472163571072484,0.00489483765864617,"Ank2",1
"GO:0045055","regulated exocytosis","1/4","291/28943",0.0396165286353724,0.0492035129275393,0.00510084264799051,"Erc2",1
"GO:0006874","cellular calcium ion homeostasis","1/4","292/28943",0.0397506042281917,0.0492035129275393,0.00510084264799051,"Ank2",1
"GO:0032412","regulation of ion transmembrane transporter activity","1/4","293/28943",0.039884665782172,0.0492035129275393,0.00510084264799051,"Ank2",1
"GO:0051924","regulation of calcium ion transport","1/4","296/28943",0.0402867662208781,0.0492393809366288,0.00510456102213855,"Ank2",1
"GO:0022898","regulation of transmembrane transporter activity","1/4","303/28943",0.0412245094014131,0.0499232590916195,0.00517545748158735,"Ank2",1
"GO:0072659","protein localization to plasma membrane","1/4","308/28943",0.0418939050975203,0.0499789366266688,0.00518122947485403,"Ank2",1
"GO:0019932","second-messenger-mediated signaling","1/4","309/28943",0.0420277421633352,0.0499789366266688,0.00518122947485403,"Ank2",1
