"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","synapse organization","70/580","496/28943",2.48770876799204e-38,1.00503434226878e-34,7.20649950475168e-35,"Dock10/Ptpro/Cacna1a/Pclo/Gabra2/Dgkb/Negr1/Ptprd/Il1rapl1/Apoe/Sorbs1/Ppfia2/Grid2/Gabrb2/Ntrk2/Sipa1l1/Utrn/Lingo2/Zfp804a/Nrxn3/Lrrc4c/Cntnap2/Clstn3/Flrt2/Baiap2/Erbb4/Epha5/Rock2/Rph3a/Shisa6/Slc6a1/Cux2/Gabrb3/Magi2/Gabra1/Prkca/Mdga1/Cdh9/Ctnnd2/Arhgap44/Reln/Cacna2d2/Gpc6/Rims4/Sdk2/Tanc2/Cntn5/Mycbp2/Cabp1/Lgi2/Nrcam/Srcin1/Adgrl2/Shank1/Epha7/Kalrn/Srgap2/Stau2/Erc2/Cacng2/Fyn/Etv5/Epha3/Cadm1/Erc1/Adgrl3/Amigo2/Myo5a/Nos1ap/Grin2a",70
"GO:0042391","regulation of membrane potential","55/580","469/28943",3.9772314067073e-26,8.03400744154874e-23,5.76070570066236e-23,"Rims1/Kcnmb2/Cacna1a/Cacna2d1/Pclo/Gabra2/Gabrg3/Grik1/Kcnd2/Kcnq3/Cacna1c/Hcn1/Dpp6/Grid2/Gabrb2/Ntrk2/Oprm1/Kcnc2/Cntnap2/Baiap2/Rgs7bp/Ptk2b/Atxn1/Celf4/Scn8a/Cux2/Scn1a/Kcnh5/Gabrb3/Scn3a/Gabra1/Kcnk2/Slc8a1/Dgki/Reln/Rims4/Kcnd3/Scn9a/Slc4a4/Nrcam/Shtn1/Dlg1/Shank1/Scn2a/Cacna1d/Prkn/Tacr1/Ryr2/Cacng2/Rgs7/Akap7/Chrna10/Nos1ap/Kcnk10/Grin2a",55
"GO:0016358","dendrite development","45/580","315/28943",3.98440218525614e-25,5.36566160947826e-22,3.84739467151751e-22,"Dock10/Cacna1a/Robo1/Iqsec1/Dcx/Alk/Ptprd/Prkg1/Il1rapl1/Apoe/Grip1/Ppfia2/Ntrk2/Sipa1l1/Cntnap2/Baiap2/Sgk1/Map2/Hecw2/Epha5/Rock2/Asap1/Cux2/Grin3a/Phactr1/Cit/Elavl4/Ctnnd2/Tnik/Arhgap44/Reln/Tanc2/Map1b/Srcin1/Shank1/Kalrn/Kidins220/Srgap2/Stau2/Hecw1/Fyn/Lzts1/Fstl4/Klhl1/Dscam",45
"GO:0034329","cell junction assembly","52/580","445/28943",1.1235030174067e-24,1.13473804758076e-21,8.13652711553481e-22,"Ptpro/Cacna1a/Dst/Pclo/Gabra2/Negr1/Ptprd/Fmn1/Il1rapl1/Sorbs1/Grid2/Gabrb2/Ntrk2/Sipa1l1/Lingo2/Nrxn3/Cntnap2/Clstn3/Flrt2/Erbb4/Rock2/Ptk2b/Ptprk/Cux2/Gabrb3/Magi2/Gabra1/Prkca/Mdga1/Cdh9/Ctnnd2/Reln/Gpc6/Sdk2/Cdh11/Cntn5/Mycbp2/Lgi2/Adgrl2/Dlg1/Epha7/Ptprj/Tjp1/Srgap2/Stau2/Epb41l3/Epha3/Limch1/Cadm1/Adgrl3/Amigo2/Itgav",52
"GO:0007416","synapse assembly","36/580","194/28943",2.57471206995485e-24,1.87215347502384e-21,1.34240916187222e-21,"Cacna1a/Pclo/Gabra2/Negr1/Ptprd/Il1rapl1/Grid2/Gabrb2/Ntrk2/Sipa1l1/Lingo2/Nrxn3/Cntnap2/Clstn3/Flrt2/Erbb4/Cux2/Gabrb3/Magi2/Gabra1/Prkca/Mdga1/Cdh9/Reln/Gpc6/Sdk2/Cntn5/Mycbp2/Lgi2/Adgrl2/Epha7/Srgap2/Stau2/Cadm1/Adgrl3/Amigo2",36
"GO:0007626","locomotory behavior","41/580","266/28943",2.7804259530057e-24,1.87215347502384e-21,1.34240916187222e-21,"Pbx3/Meis1/Cacna1a/Npas3/Mapk10/Lsamp/Negr1/Alk/Kcnd2/Cacna1c/Apoe/Chl1/Oprm1/Cntnap2/Snap25/Atxn1/Scn8a/Zic1/Scn1a/Elavl4/Reln/Cacna1e/Bc1/Apba1/Rcan2/Crhr1/Apba2/Gprc5b/Kalrn/Cacna1b/Prkn/Gad1/Slc4a10/Tmod1/Etv5/Ankfn1/Klhl1/Adgrl3/Myo5a/Dscam/Grin2a",41
"GO:0048813","dendrite morphogenesis","33/580","186/28943",9.49703994903092e-22,5.48114877058356e-19,3.93020359995987e-19,"Dock10/Cacna1a/Robo1/Dcx/Ptprd/Il1rapl1/Grip1/Ppfia2/Sipa1l1/Cntnap2/Baiap2/Sgk1/Hecw2/Epha5/Rock2/Cux2/Phactr1/Cit/Elavl4/Ctnnd2/Tnik/Arhgap44/Reln/Tanc2/Srcin1/Shank1/Kalrn/Kidins220/Stau2/Hecw1/Fyn/Lzts1/Dscam",33
"GO:0007409","axonogenesis","50/580","493/28943",4.99265565926035e-21,2.52129110792648e-18,1.80786689135322e-18,"Auts2/Ptpro/Cacna1a/Dst/Robo1/Kif5c/Cntn4/Dcx/Plxna4/Apoe/Chl1/Unc5c/Ntrk2/Sipa1l1/Adcy1/Lrrc4c/Cntnap2/Flrt2/Apc/Map2/Epha5/Zeb2/Unc5d/Cntn6/Atp8a2/Etv1/Plxna2/Prkca/Reln/Slit2/Mgll/Dock7/Pax6/Apbb2/Cdh11/Sema6d/Tiam2/Cntn5/Mycbp2/Ablim1/Nrcam/Map1b/Shtn1/Epha7/Kalrn/Map2k1/Rtn4/Fstl4/Epha3/Dscam",50
"GO:0099173","postsynapse organization","33/580","208/28943",3.54030338309011e-20,1.5892028519649e-17,1.13952221172678e-17,"Dock10/Dgkb/Ptprd/Il1rapl1/Apoe/Sorbs1/Ppfia2/Grid2/Sipa1l1/Zfp804a/Cntnap2/Baiap2/Epha5/Rock2/Rph3a/Shisa6/Cux2/Magi2/Ctnnd2/Arhgap44/Reln/Tanc2/Nrcam/Srcin1/Shank1/Epha7/Kalrn/Stau2/Fyn/Etv5/Cadm1/Nos1ap/Grin2a",33
"GO:0007611","learning or memory","39/580","321/28943",2.25734437076166e-19,9.11967125787711e-17,6.53917021930115e-17,"Meis2/Slc24a2/Csmd1/Kcnab1/Cacna1c/Apoe/Ntrk2/Nrxn3/Adcy1/Cntnap2/Snap25/Aff2/Sgk1/Shc3/Atxn1/Pde8b/Slc6a1/Cux2/Dnah11/Gabrb3/Prkca/Dgki/Elavl4/Ctnnd2/Reln/Cacna1e/Pax6/Rcan2/Crhr1/Pde4d/Shank1/Kit/Kalrn/Scn2a/Prkn/Tacr1/Tafa2/Sorcs3/Grin2a",39
