"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010922","positive regulation of phosphatase activity","4/35","36/28943",1.02651511284515e-07,0.000134576131293999,8.23373174724213e-05,"Calm1/Mef2c/Cd33/Hsp90ab1",4
"GO:0035306","positive regulation of dephosphorylation","4/35","65/28943",1.15088850302502e-06,0.000754407413732903,0.000461566862792141,"Calm1/Mef2c/Cd33/Hsp90ab1",4
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/35","22/28943",2.45556714764467e-06,0.00096409179962119,0.000589857442138462,"Calm1/Cd33/Hsp90ab1",3
"GO:0010921","regulation of phosphatase activity","4/35","86/28943",3.54541742789716e-06,0.00096409179962119,0.000589857442138462,"Calm1/Mef2c/Cd33/Hsp90ab1",4
"GO:0016311","dephosphorylation","6/35","351/28943",3.67693287422269e-06,0.00096409179962119,0.000589857442138462,"Ptprd/Calm1/Inpp5d/Mef2c/Cd33/Hsp90ab1",6
"GO:0035303","regulation of dephosphorylation","4/35","136/28943",2.18081916625235e-05,0.00476508987826139,0.00291541088541104,"Calm1/Mef2c/Cd33/Hsp90ab1",4
"GO:0035307","positive regulation of protein dephosphorylation","3/35","49/28943",2.87273349743141e-05,0.00538021945018939,0.00329176379705674,"Calm1/Cd33/Hsp90ab1",3
"GO:0043666","regulation of phosphoprotein phosphatase activity","3/35","58/28943",4.7754334870623e-05,0.00782574162692335,0.00478800041729141,"Calm1/Cd33/Hsp90ab1",3
"GO:0030853","negative regulation of granulocyte differentiation","2/35","10/28943",6.35398135398682e-05,0.00833006955507672,0.00509656188603995,"C1qc/Inpp5d",2
"GO:0098883","synapse pruning","2/35","10/28943",6.35398135398682e-05,0.00833006955507672,0.00509656188603995,"C1qc/C1qa",2
"GO:0097090","presynaptic membrane organization","2/35","12/28943",9.30501811536463e-05,0.0101657322910359,0.00621967000342794,"Ptprd/Apoe",2
"GO:1902947","regulation of tau-protein kinase activity","2/35","12/28943",9.30501811536463e-05,0.0101657322910359,0.00621967000342794,"Apoe/Hsp90aa1",2
"GO:2000822","regulation of behavioral fear response","2/35","14/28943",0.00012810162433101,0.0129185561152272,0.00790392208422909,"Apoe/Mef2c",2
"GO:1903365","regulation of fear response","2/35","15/28943",0.000147697300017023,0.0138307971658798,0.00846205583556174,"Apoe/Mef2c",2
"GO:0035304","regulation of protein dephosphorylation","3/35","96/28943",0.000214279834664446,0.0174658543936191,0.0106860821774762,"Calm1/Cd33/Hsp90ab1",3
"GO:0055012","ventricular cardiac muscle cell differentiation","2/35","18/28943",0.000214726113920133,0.0174658543936191,0.0106860821774762,"Mef2a/Mef2c",2
"GO:0006470","protein dephosphorylation","4/35","252/28943",0.000237617242208464,0.0174658543936191,0.0106860821774762,"Ptprd/Calm1/Cd33/Hsp90ab1",4
"GO:0051131","chaperone-mediated protein complex assembly","2/35","19/28943",0.000239805781148088,0.0174658543936191,0.0106860821774762,"Hsp90aa1/Hsp90ab1",2
"GO:0050795","regulation of behavior","3/35","103/28943",0.000263695126322982,0.0181949637162857,0.0111321709838289,"Ptgds/Apoe/Mef2c",3
"GO:0150146","cell junction disassembly","2/35","21/28943",0.000294051305246881,0.0192025903722686,0.0117486642287275,"C1qc/C1qa",2
"GO:0050808","synapse organization","5/35","496/28943",0.000307592980791488,0.0192025903722686,0.0117486642287275,"Ptprd/C1qc/Apoe/Mef2c/C1qa",5
"GO:0030852","regulation of granulocyte differentiation","2/35","22/28943",0.000323210879056804,0.0192604301110668,0.011784052145516,"C1qc/Inpp5d",2
"GO:0051897","positive regulation of protein kinase B signaling","3/35","118/28943",0.000393080099000847,0.0224055656430483,0.0137083311413568,"P2ry12/Hsp90aa1/Hsp90ab1",3
"GO:0010038","response to metal ion","4/35","296/28943",0.00043716660056219,0.0232181209077441,0.0142054744322943,"Mef2a/Calm1/Mef2c/Dlg2",4
"GO:0001818","negative regulation of cytokine production","4/35","297/28943",0.000442755928828071,0.0232181209077441,0.0142054744322943,"Nav3/Inpp5d/Cd33/Hsp90ab1",4
"GO:1904031","positive regulation of cyclin-dependent protein kinase activity","2/35","27/28943",0.000489251674857181,0.0246695748360679,0.0150935132081446,"Ccnd3/Hsp90ab1",2
"GO:0051592","response to calcium ion","3/35","130/28943",0.000521662296642719,0.0253296026258742,0.0154973360640059,"Mef2a/Calm1/Mef2c",3
"GO:0016358","dendrite development","4/35","315/28943",0.000552333176504196,0.0258610283713214,0.0158224767103834,"Mef2a/Ptprd/Apoe/Mef2c",4
"GO:0048675","axon extension","3/35","138/28943",0.000620745122040952,0.0280619605170927,0.0171690665334013,"Apoe/Hsp90aa1/Hsp90ab1",3
"GO:0030224","monocyte differentiation","2/35","32/28943",0.000688745336959152,0.0300981712251149,0.0184148753250131,"Inpp5d/Mef2c",2
"GO:2001014","regulation of skeletal muscle cell differentiation","2/35","33/28943",0.000732624343029969,0.0309829197971706,0.0189561884342559,"Mef2c/Rbfox1",2
"GO:0051973","positive regulation of telomerase activity","2/35","34/28943",0.000777822916106036,0.0318664325942192,0.019496745462921,"Hsp90aa1/Hsp90ab1",2
"GO:0043537","negative regulation of blood vessel endothelial cell migration","2/35","36/28943",0.000872166482354355,0.0346487957080776,0.021199070480192,"Apoe/Mef2c",2
"GO:0010613","positive regulation of cardiac muscle hypertrophy","2/35","41/28943",0.00113090344247788,0.0425083830309226,0.02600777860979,"Mef2a/Mef2c",2
"GO:0071248","cellular response to metal ion","3/35","170/28943",0.00113485385666079,0.0425083830309226,0.02600777860979,"Mef2a/Mef2c/Dlg2",3
"GO:0014742","positive regulation of muscle hypertrophy","2/35","42/28943",0.00118654840734346,0.043210137834091,0.0264371311811613,"Mef2a/Mef2c",2
"GO:0051896","regulation of protein kinase B signaling","3/35","175/28943",0.00123349028529974,0.043705561189945,0.0267402445917043,"P2ry12/Hsp90aa1/Hsp90ab1",3
"GO:1901214","regulation of neuron death","4/35","399/28943",0.00132869187289693,0.045017449022666,0.0275428930549372,"Apoe/Mef2c/C1qa/Hsp90ab1",4
"GO:0030851","granulocyte differentiation","2/35","45/28943",0.00136122384995288,0.045017449022666,0.0275428930549372,"C1qc/Inpp5d",2
"GO:0021955","central nervous system neuron axonogenesis","2/35","46/28943",0.00142201911176448,0.045017449022666,0.0275428930549372,"Hsp90aa1/Hsp90ab1",2
