"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050795","regulation of behavior","6/84","103/28943",5.69206230877332e-07,0.000858659940980945,0.000633289937608094,"Ptgds/Apoe/Per3/Arrdc3/Nrxn1/Insr",6
"GO:0010959","regulation of metal ion transport","10/84","458/28943",8.66895447734422e-07,0.000858659940980945,0.000633289937608094,"Sgk1/Hecw2/Slc8a1/Kcnab1/Calm1/Dpp10/Nkain2/Kcna1/Calm2/Kcnip4",10
"GO:0071805","potassium ion transmembrane transport","7/84","207/28943",2.45746519385852e-06,0.0015159538576056,0.00111806581171475,"Kcnab1/Calm1/Dpp10/Kcna1/Calm2/Kcnip4/Slc1a3",7
"GO:1904062","regulation of cation transmembrane transport","9/84","414/28943",3.28321191529899e-06,0.0015159538576056,0.00111806581171475,"Hecw2/Slc8a1/Kcnab1/Calm1/Dpp10/Kcna1/Nrxn1/Calm2/Kcnip4",9
"GO:0005513","detection of calcium ion","3/84","11/28943",3.82623386573852e-06,0.0015159538576056,0.00111806581171475,"Calm1/Syt1/Calm2",3
"GO:0006813","potassium ion transport","7/84","244/28943",7.2418204793035e-06,0.0023151296468744,0.00170748423170736,"Kcnab1/Calm1/Dpp10/Kcna1/Calm2/Kcnip4/Slc1a3",7
"GO:0032410","negative regulation of transporter activity","5/84","94/28943",8.18067013029824e-06,0.0023151296468744,0.00170748423170736,"Hecw2/Kcnab1/Calm1/Insr/Calm2",5
"GO:0048102","autophagic cell death","3/84","15/28943",1.04629083205293e-05,0.00259087767287108,0.00191085746695983,"Calm1/Calm2/Atp6v0c",3
"GO:1902904","negative regulation of supramolecular fiber organization","6/84","179/28943",1.40233881306058e-05,0.00308670354297002,0.00227654534798607,"Sgk1/Tmod2/Apoe/Ssh2/Stmn2/Hspa8",6
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/84","22/28943",3.48966942606661e-05,0.00661111496809369,0.00487591465007787,"Calm1/Calm2/Hsp90ab1",3
"GO:0032409","regulation of transporter activity","7/84","317/28943",3.89545079243099e-05,0.00661111496809369,0.00487591465007787,"Hecw2/Kcnab1/Calm1/Kcna1/Nrxn1/Insr/Calm2",7
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","3/84","23/28943",4.00471376159133e-05,0.00661111496809369,0.00487591465007787,"Slc8a1/Calm1/Calm2",3
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","3/84","25/28943",5.17916528059692e-05,0.00771592795094077,0.00569075054911437,"Slc8a1/Calm1/Calm2",3
"GO:0006883","cellular sodium ion homeostasis","3/84","26/28943",5.84244923089912e-05,0.00771592795094077,0.00569075054911437,"Sgk1/Slc8a1/Slc1a3",3
"GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","3/84","26/28943",5.84244923089912e-05,0.00771592795094077,0.00569075054911437,"Slc8a1/Calm1/Calm2",3
"GO:0043954","cellular component maintenance","4/84","75/28943",6.85797585971225e-05,0.00849103136130623,0.00626241479821092,"Apoe/Nrxn1/Insr/Hspa8",4
"GO:0006470","protein dephosphorylation","6/84","252/28943",9.45924403754368e-05,0.0105423009851732,0.00777529358772574,"Ptprk/Calm1/Ssh2/Calm2/Ppp2r3a/Hsp90ab1",6
"GO:0030003","cellular cation homeostasis","8/84","498/28943",0.00010079829240677,0.0105423009851732,0.00777529358772574,"Sgk1/Slc8a1/Calm1/Apoe/Calm2/Atp6v0c/Mt1/Slc1a3",8
"GO:0032272","negative regulation of protein polymerization","4/84","84/28943",0.000106731541854444,0.0105423009851732,0.00777529358772574,"Sgk1/Tmod2/Ssh2/Stmn2",4
"GO:0070296","sarcoplasmic reticulum calcium ion transport","3/84","32/28943",0.0001100635360333,0.0105423009851732,0.00777529358772574,"Slc8a1/Calm1/Calm2",3
"GO:0032413","negative regulation of ion transmembrane transporter activity","4/84","85/28943",0.000111755840832225,0.0105423009851732,0.00777529358772574,"Hecw2/Kcnab1/Calm1/Calm2",4
"GO:0010922","positive regulation of phosphatase activity","3/84","36/28943",0.000157116653304956,0.0136377297029839,0.0100582740390243,"Calm1/Calm2/Hsp90ab1",3
"GO:1901379","regulation of potassium ion transmembrane transport","4/84","93/28943",0.000158338103568213,0.0136377297029839,0.0100582740390243,"Kcnab1/Dpp10/Kcna1/Kcnip4",4
"GO:0009612","response to mechanical stimulus","5/84","177/28943",0.000168863162157854,0.0139382468431129,0.0102799153103115,"Slc8a1/Kcna1/Nrxn1/Il18/Slc1a3",5
"GO:0030431","sleep","3/84","39/28943",0.000199845999166791,0.0153408743209066,0.0113143991909553,"Ptgds/Per3/Il18",3
"GO:0002028","regulation of sodium ion transport","4/84","100/28943",0.000209398748737402,0.0153408743209066,0.0113143991909553,"Sgk1/Hecw2/Slc8a1/Nkain2",4
"GO:0032412","regulation of ion transmembrane transporter activity","6/84","293/28943",0.00021447515754651,0.0153408743209066,0.0113143991909553,"Hecw2/Kcnab1/Calm1/Kcna1/Nrxn1/Calm2",6
"GO:0043271","negative regulation of ion transport","5/84","187/28943",0.000217965397889375,0.0153408743209066,0.0113143991909553,"Hecw2/Kcnab1/Calm1/Calm2/Gpm6b",5
"GO:0010038","response to metal ion","6/84","296/28943",0.000226545362988401,0.0153408743209066,0.0113143991909553,"Calm1/Kcna1/Syt1/Nrxn1/Calm2/Mt1",6
"GO:0000910","cytokinesis","5/84","190/28943",0.000234624859556832,0.0153408743209066,0.0113143991909553,"Calm1/Anln/Kif13a/Calm2/Exoc6b",5
"GO:0006875","cellular metal ion homeostasis","7/84","425/28943",0.000240064161508382,0.0153408743209066,0.0113143991909553,"Sgk1/Slc8a1/Calm1/Apoe/Calm2/Mt1/Slc1a3",7
"GO:0022898","regulation of transmembrane transporter activity","6/84","303/28943",0.000256796491934088,0.0158973078287946,0.0117247871975169,"Hecw2/Kcnab1/Calm1/Kcna1/Nrxn1/Calm2",6
"GO:2001257","regulation of cation channel activity","5/84","196/28943",0.000270835777653719,0.0159154469376637,0.0117381653866879,"Kcnab1/Calm1/Kcna1/Nrxn1/Calm2",5
"GO:0072659","protein localization to plasma membrane","6/84","308/28943",0.000280286020059313,0.0159154469376637,0.0117381653866879,"Map7/Dpp10/Sytl2/Nrxn1/Kif13a/Kcnip4",6
"GO:1904063","negative regulation of cation transmembrane transport","4/84","108/28943",0.000281191642008193,0.0159154469376637,0.0117381653866879,"Hecw2/Kcnab1/Calm1/Calm2",4
"GO:0030004","cellular monovalent inorganic cation homeostasis","4/84","113/28943",0.000334147454237072,0.0182106524174157,0.013430954890073,"Sgk1/Slc8a1/Atp6v0c/Slc1a3",4
"GO:0043266","regulation of potassium ion transport","4/84","114/28943",0.00034553797784571,0.0182106524174157,0.013430954890073,"Kcnab1/Dpp10/Kcna1/Kcnip4",4
"GO:0007611","learning or memory","6/84","321/28943",0.000349320944907519,0.0182106524174157,0.013430954890073,"Sgk1/Tmod2/Kcnab1/Apoe/Dgki/Nrxn1",6
"GO:0034766","negative regulation of ion transmembrane transport","4/84","117/28943",0.000381377291799563,0.0190632718297738,0.0140597897392205,"Hecw2/Kcnab1/Calm1/Calm2",4
"GO:0051897","positive regulation of protein kinase B signaling","4/84","118/28943",0.000393892507590904,0.0190632718297738,0.0140597897392205,"Nrxn1/Insr/Il18/Hsp90ab1",4
"GO:0035307","positive regulation of protein dephosphorylation","3/84","49/28943",0.000394545252408241,0.0190632718297738,0.0140597897392205,"Calm1/Calm2/Hsp90ab1",3
"GO:0018105","peptidyl-serine phosphorylation","6/84","332/28943",0.000417573064770302,0.0196955295549992,0.014526100599027,"Sgk1/Mast4/Nrxn1/Camk1d/Clk1/Hsp90ab1",6
"GO:2001258","negative regulation of cation channel activity","3/84","52/28943",0.000470307684798742,0.0216669656647978,0.0159800995471396,"Kcnab1/Calm1/Calm2",3
"GO:0051261","protein depolymerization","4/84","126/28943",0.000504812007198956,0.0227280133241166,0.0167626570811519,"Sgk1/Tmod2/Stmn2/Hspa8",4
"GO:0002176","male germ cell proliferation","2/84","12/28943",0.000539046071903623,0.0232141362704582,0.0171211887368931,"Ptgds/Il18",2
"GO:0097090","presynaptic membrane organization","2/84","12/28943",0.000539046071903623,0.0232141362704582,0.0171211887368931,"Apoe/Nrxn1",2
"GO:0016311","dephosphorylation","6/84","351/28943",0.000559601971116095,0.0234367879183015,0.0172854016475478,"Ptprk/Calm1/Ssh2/Calm2/Ppp2r3a/Hsp90ab1",6
"GO:0051592","response to calcium ion","4/84","130/28943",0.000567877748651425,0.0234367879183015,0.0172854016475478,"Calm1/Syt1/Nrxn1/Calm2",4
"GO:0018209","peptidyl-serine modification","6/84","354/28943",0.000585093497400431,0.0236376074833453,0.0174335126793396,"Sgk1/Mast4/Nrxn1/Camk1d/Clk1/Hsp90ab1",6
"GO:0050890","cognition","6/84","358/28943",0.000620476934545152,0.0236376074833453,0.0174335126793396,"Sgk1/Tmod2/Kcnab1/Apoe/Dgki/Nrxn1",6
"GO:0072507","divalent inorganic cation homeostasis","6/84","359/28943",0.000629577158520953,0.0236376074833453,0.0174335126793396,"Slc8a1/Calm1/Apoe/Kcna1/Calm2/Mt1",6
"GO:0031223","auditory behavior","2/84","13/28943",0.000635853657592684,0.0236376074833453,0.0174335126793396,"Nrxn1/Slc1a3",2
"GO:1902931","negative regulation of alcohol biosynthetic process","2/84","13/28943",0.000635853657592684,0.0236376074833453,0.0174335126793396,"Apoe/Erlin2",2
"GO:0043666","regulation of phosphoprotein phosphatase activity","3/84","58/28943",0.00064846436518867,0.0236376074833453,0.0174335126793396,"Calm1/Calm2/Hsp90ab1",3
"GO:0032984","protein-containing complex disassembly","5/84","238/28943",0.000656268759002519,0.0236376074833453,0.0174335126793396,"Sgk1/Tmod2/Stmn2/Insr/Hspa8",5
"GO:0046777","protein autophosphorylation","5/84","241/28943",0.000694340829287473,0.0240458093314907,0.017734574963261,"Calm1/Insr/Clk1/Calm2/Hspa8",5
"GO:0055078","sodium ion homeostasis","3/84","60/28943",0.000716164703514141,0.0240458093314907,0.017734574963261,"Sgk1/Slc8a1/Slc1a3",3
"GO:0006836","neurotransmitter transport","5/84","243/28943",0.00072062546315419,0.0240458093314907,0.017734574963261,"Syt1/Dgki/Myo6/Nrxn1/Gpm6b",5
"GO:0051588","regulation of neurotransmitter transport","4/84","139/28943",0.000729933756797139,0.0240458093314907,0.017734574963261,"Syt1/Dgki/Myo6/Gpm6b",4
"GO:0036093","germ cell proliferation","2/84","14/28943",0.000740431281787447,0.0240458093314907,0.017734574963261,"Ptgds/Il18",2
"GO:0060263","regulation of respiratory burst","2/84","14/28943",0.000740431281787447,0.0240458093314907,0.017734574963261,"Camk1d/Insr",2
"GO:0045778","positive regulation of ossification","3/84","62/28943",0.000788208799157166,0.0248421510130634,0.0183219031356476,"Slc8a1/Zbtb16/Gpm6b",3
"GO:1990778","protein localization to cell periphery","6/84","377/28943",0.000811848173119348,0.0248421510130634,0.0183219031356476,"Map7/Dpp10/Sytl2/Nrxn1/Kif13a/Kcnip4",6
"GO:0006814","sodium ion transport","5/84","250/28943",0.000818518045434304,0.0248421510130634,0.0183219031356476,"Sgk1/Hecw2/Slc8a1/Nkain2/Slc13a1",5
"GO:0031115","negative regulation of microtubule polymerization","2/84","15/28943",0.000852734108474665,0.0248421510130634,0.0183219031356476,"Sgk1/Stmn2",2
"GO:0032488","Cdc42 protein signal transduction","2/84","15/28943",0.000852734108474665,0.0248421510130634,0.0183219031356476,"Apoe/Rhoj",2
"GO:0044794","positive regulation by host of viral process","2/84","15/28943",0.000852734108474665,0.0248421510130634,0.0183219031356476,"Apoe/Hspa8",2
"GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","2/84","15/28943",0.000852734108474665,0.0248421510130634,0.0183219031356476,"Calm1/Calm2",2
"GO:0001505","regulation of neurotransmitter levels","5/84","255/28943",0.000894288420748456,0.0252411760509703,0.0186161972203017,"Syt1/Dgki/Myo6/Nrxn1/Gpm6b",5
"GO:0035306","positive regulation of dephosphorylation","3/84","65/28943",0.000904655981634977,0.0252411760509703,0.0186161972203017,"Calm1/Calm2/Hsp90ab1",3
"GO:0048278","vesicle docking","3/84","65/28943",0.000904655981634977,0.0252411760509703,0.0186161972203017,"Syt1/Sytl2/Exoc6b",3
"GO:0034763","negative regulation of transmembrane transport","4/84","149/28943",0.00094563525624487,0.0258985587656205,0.0191010385858717,"Hecw2/Kcnab1/Calm1/Calm2",4
"GO:1902903","regulation of supramolecular fiber organization","6/84","389/28943",0.000954363851534727,0.0258985587656205,0.0191010385858717,"Sgk1/Tmod2/Apoe/Ssh2/Stmn2/Hspa8",6
"GO:0007638","mechanosensory behavior","2/84","16/28943",0.000972717491058254,0.0260399101322487,0.0192052898661288,"Nrxn1/Slc1a3",2
"GO:0031333","negative regulation of protein-containing complex assembly","4/84","151/28943",0.000993613717961749,0.0262446503370963,0.0193562924986794,"Sgk1/Tmod2/Ssh2/Stmn2",4
"GO:0051284","positive regulation of sequestering of calcium ion","2/84","17/28943",0.00110033697165879,0.0286811518533693,0.0211532924745485,"Calm1/Calm2",2
"GO:0055117","regulation of cardiac muscle contraction","3/84","71/28943",0.00116901508352642,0.0300755698761796,0.0221817216122306,"Slc8a1/Calm1/Calm2",3
"GO:0010644","cell communication by electrical coupling","2/84","18/28943",0.00123554828041544,0.0313797582500382,0.0231436034172284,"Slc8a1/Kcna1",2
"GO:0034394","protein localization to cell surface","3/84","73/28943",0.00126682771479686,0.0317669076330706,0.0234291388159632,"Ptprk/Gpm6b/Hsp90ab1",3
"GO:0051606","detection of stimulus","5/84","283/28943",0.00141910704678461,0.0346249837923965,0.0255370639516705,"Calm1/Kcna1/Syt1/Calm2/Il18",5
"GO:0006937","regulation of muscle contraction","4/84","167/28943",0.0014408906228232,0.0346249837923965,0.0255370639516705,"Slc8a1/Calm1/Kcna1/Calm2",4
"GO:0006887","exocytosis","6/84","422/28943",0.00144669248284167,0.0346249837923965,0.0255370639516705,"Ptgds/Syt1/Dgki/Sytl2/Myo6/Exoc6b",6
"GO:0006457","protein folding","4/84","169/28943",0.00150521184557439,0.0346249837923965,0.0255370639516705,"Cdc37l1/Fkbp5/Hspa8/Hsp90ab1",4
"GO:0045540","regulation of cholesterol biosynthetic process","2/84","20/28943",0.00152857023887454,0.0346249837923965,0.0255370639516705,"Apoe/Erlin2",2
"GO:0050966","detection of mechanical stimulus involved in sensory perception of pain","2/84","20/28943",0.00152857023887454,0.0346249837923965,0.0255370639516705,"Kcna1/Il18",2
"GO:0060314","regulation of ryanodine-sensitive calcium-release channel activity","2/84","20/28943",0.00152857023887454,0.0346249837923965,0.0255370639516705,"Calm1/Calm2",2
"GO:0106118","regulation of sterol biosynthetic process","2/84","20/28943",0.00152857023887454,0.0346249837923965,0.0255370639516705,"Apoe/Erlin2",2
"GO:0071248","cellular response to metal ion","4/84","170/28943",0.00153811134463952,0.0346249837923965,0.0255370639516705,"Kcna1/Syt1/Nrxn1/Mt1",4
"GO:0055067","monovalent inorganic cation homeostasis","4/84","171/28943",0.00157150873618421,0.0347732646554645,0.0256464259633809,"Sgk1/Slc8a1/Atp6v0c/Slc1a3",4
"GO:0043523","regulation of neuron apoptotic process","5/84","290/28943",0.00157980505754256,0.0347732646554645,0.0256464259633809,"Apoe/Oxr1/Mt1/Il18/Hsp90ab1",5
"GO:0043117","positive regulation of vascular permeability","2/84","21/28943",0.0016862932826986,0.036040640087226,0.0265811570132414,"Apoe/Il18",2
"GO:0099558","maintenance of synapse structure","2/84","21/28943",0.0016862932826986,0.036040640087226,0.0265811570132414,"Nrxn1/Hspa8",2
"GO:0140056","organelle localization by membrane tethering","3/84","81/28943",0.00170909869486266,0.036040640087226,0.0265811570132414,"Syt1/Sytl2/Exoc6b",3
"GO:0051896","regulation of protein kinase B signaling","4/84","175/28943",0.00171015657152915,0.036040640087226,0.0265811570132414,"Nrxn1/Insr/Il18/Hsp90ab1",4
"GO:0051279","regulation of release of sequestered calcium ion into cytosol","3/84","82/28943",0.00177031089318181,0.0367840925415598,0.0271294776416403,"Slc8a1/Calm1/Calm2",3
"GO:0051494","negative regulation of cytoskeleton organization","4/84","177/28943",0.00178257086521441,0.0367840925415598,0.0271294776416403,"Sgk1/Tmod2/Ssh2/Stmn2",4
"GO:0031346","positive regulation of cell projection organization","6/84","441/28943",0.00180681258402737,0.0368999559686415,0.0272149307284861,"Sgk1/Apoe/Anln/Stmn2/Nrxn1/Camk1d",6
"GO:0072578","neurotransmitter-gated ion channel clustering","2/84","22/28943",0.0018514329415424,0.0374253944611785,0.0276024588921681,"Apoe/Nrxn1",2
"GO:2000300","regulation of synaptic vesicle exocytosis","3/84","84/28943",0.00189680863074063,0.0379553322979513,0.0279933054701541,"Syt1/Dgki/Myo6",3
"GO:0051966","regulation of synaptic transmission, glutamatergic","3/84","85/28943",0.00196211544012752,0.0388695068689262,0.0286675392726,"Syt1/Dgki/Nrxn1",3
"GO:0010921","regulation of phosphatase activity","3/84","86/28943",0.00202880818431103,0.0394026373835309,0.0290607405554562,"Calm1/Calm2/Hsp90ab1",3
"GO:0022406","membrane docking","3/84","86/28943",0.00202880818431103,0.0394026373835309,0.0290607405554562,"Syt1/Sytl2/Exoc6b",3
"GO:0019932","second-messenger-mediated signaling","5/84","309/28943",0.00208339487535158,0.0395256777165123,0.0291514868463663,"Slc8a1/Calm1/Apoe/Calm2/Mt1",5
"GO:0006942","regulation of striated muscle contraction","3/84","87/28943",0.00209689719092728,0.0395256777165123,0.0291514868463663,"Slc8a1/Calm1/Calm2",3
"GO:0050954","sensory perception of mechanical stimulus","5/84","310/28943",0.00211279247215101,0.0395256777165123,0.0291514868463663,"Kcna1/Ccdc50/Myo6/Il18/Slc1a3",5
"GO:0007269","neurotransmitter secretion","4/84","186/28943",0.00213490535874145,0.0395256777165123,0.0291514868463663,"Syt1/Dgki/Myo6/Nrxn1",4
"GO:0099643","signal release from synapse","4/84","186/28943",0.00213490535874145,0.0395256777165123,0.0291514868463663,"Syt1/Dgki/Myo6/Nrxn1",4
"GO:0016358","dendrite development","5/84","315/28943",0.00226434897766629,0.0415340307847863,0.0306327132651151,"Sgk1/Hecw2/Apoe/Myo6/Camk1d",5
"GO:0006936","muscle contraction","5/84","317/28943",0.00232713797005535,0.0422893820295813,0.0311898096426892,"Tmod2/Slc8a1/Calm1/Kcna1/Calm2",5
"GO:0007263","nitric oxide mediated signal transduction","2/84","25/28943",0.00239091912534735,0.0422893820295813,0.0311898096426892,"Apoe/Mt1",2
"GO:0010894","negative regulation of steroid biosynthetic process","2/84","25/28943",0.00239091912534735,0.0422893820295813,0.0311898096426892,"Apoe/Erlin2",2
"GO:0097062","dendritic spine maintenance","2/84","25/28943",0.00239091912534735,0.0422893820295813,0.0311898096426892,"Apoe/Insr",2
"GO:0072503","cellular divalent inorganic cation homeostasis","5/84","320/28943",0.00242368876008836,0.0424896233073897,0.031337494168632,"Slc8a1/Calm1/Apoe/Calm2/Mt1",5
"GO:2001259","positive regulation of cation channel activity","3/84","92/28943",0.00245863915477429,0.0427242470667357,0.0315105369051405,"Calm1/Kcna1/Calm2",3
"GO:0051099","positive regulation of binding","4/84","194/28943",0.00248613570273317,0.0428263898009949,0.0315858705299189,"Plcl1/Calm1/Apoe/Hsp90ab1",4
"GO:0043524","negative regulation of neuron apoptotic process","4/84","195/28943",0.00253266160228452,0.0430375359354387,0.0317415977461616,"Apoe/Oxr1/Mt1/Hsp90ab1",4
"GO:0010996","response to auditory stimulus","2/84","26/28943",0.00258529367810056,0.0430375359354387,0.0317415977461616,"Nrxn1/Slc1a3",2
"GO:0045730","respiratory burst","2/84","26/28943",0.00258529367810056,0.0430375359354387,0.0317415977461616,"Camk1d/Insr",2
"GO:0045939","negative regulation of steroid metabolic process","2/84","26/28943",0.00258529367810056,0.0430375359354387,0.0317415977461616,"Apoe/Erlin2",2
"GO:0051402","neuron apoptotic process","5/84","329/28943",0.00273085223535467,0.0450818189853133,0.0332493237076516,"Apoe/Oxr1/Mt1/Il18/Hsp90ab1",5
"GO:0035304","regulation of protein dephosphorylation","3/84","96/28943",0.00277417449421731,0.0452523723328595,0.0333751124089423,"Calm1/Calm2/Hsp90ab1",3
"GO:0045187","regulation of circadian sleep/wake cycle, sleep","2/84","27/28943",0.00278686997708676,0.0452523723328595,0.0333751124089423,"Ptgds/Per3",2
"GO:0050806","positive regulation of synaptic transmission","5/84","335/28943",0.00295072129842601,0.0475234056274954,0.0350500741310681,"Apoe/Nrgn/Syt1/Nrxn1/Slc1a3",5
"GO:0032148","activation of protein kinase B activity","2/84","28/28943",0.00299560559475669,0.0478572151872016,0.0352962696563861,"Insr/Il18",2
"GO:0140029","exocytic process","3/84","99/28943",0.00302646917464433,0.0479634834797634,0.0353746460160533,"Syt1/Sytl2/Exoc6b",3
"GO:0032271","regulation of protein polymerization","4/84","206/28943",0.0030845821048848,0.0484964853156887,0.0357677523941528,"Sgk1/Tmod2/Ssh2/Stmn2",4
"GO:0043491","protein kinase B signaling","4/84","207/28943",0.00313850337235854,0.0485641134405787,0.0358176303597456,"Nrxn1/Insr/Il18/Hsp90ab1",4
"GO:0099173","postsynapse organization","4/84","208/28943",0.00319306527718903,0.0485641134405787,0.0358176303597456,"Apoe/Nrxn1/Insr/Hspa8",4
"GO:0032092","positive regulation of protein binding","3/84","101/28943",0.00320224936330146,0.0485641134405787,0.0358176303597456,"Plcl1/Apoe/Hsp90ab1",3
"GO:0048521","negative regulation of behavior","2/84","29/28943",0.00321145828405644,0.0485641134405787,0.0358176303597456,"Arrdc3/Insr",2
"GO:0050802","circadian sleep/wake cycle, sleep","2/84","29/28943",0.00321145828405644,0.0485641134405787,0.0358176303597456,"Ptgds/Per3",2
"GO:0043270","positive regulation of ion transport","5/84","343/28943",0.00326346057895051,0.0489461771362416,0.0360994148968375,"Sgk1/Calm1/Kcna1/Syt1/Calm2",5
"GO:0099565","chemical synaptic transmission, postsynaptic","3/84","102/28943",0.00329244065147514,0.0489461771362416,0.0360994148968375,"Dgki/Nrxn1/Anks1b",3
"GO:0051648","vesicle localization","4/84","211/28943",0.00336063179458367,0.0489461771362416,0.0360994148968375,"Myo6/Nrxn1/Kif13a/Exoc6b",4
"GO:0032465","regulation of cytokinesis","3/84","103/28943",0.00338417739697053,0.0489461771362416,0.0360994148968375,"Calm1/Kif13a/Calm2",3
"GO:0071900","regulation of protein serine/threonine kinase activity","5/84","347/28943",0.00342848955204382,0.0489461771362416,0.0360994148968375,"Slc8a1/Apoe/Nrxn1/Insr/Hsp90ab1",5
"GO:0042749","regulation of circadian sleep/wake cycle","2/84","30/28943",0.00343438597775749,0.0489461771362416,0.0360994148968375,"Ptgds/Per3",2
"GO:0044788","modulation by host of viral process","2/84","30/28943",0.00343438597775749,0.0489461771362416,0.0360994148968375,"Apoe/Hspa8",2
"GO:0071312","cellular response to alkaloid","2/84","30/28943",0.00343438597775749,0.0489461771362416,0.0360994148968375,"Slc8a1/Slc1a3",2
