"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"7","Astro.acute","Astro","acute","GO:1900272","negative regulation of long-term synaptic potentiation","2/40","12/28943",0.000121841334533737,0.0172432932269309,0.0118729773740239,"11816/19242",2
"34","Astro.acute","Astro","acute","GO:0040013","negative regulation of locomotion","4/40","360/28943",0.00151081636109777,0.0484349951057815,0.0333502187449756,"11816/260315/18183/19242",4
"60","Astro.chronic","Astro","chronic","GO:0032922","circadian regulation of gene expression","4/104","72/28943",0.000134129784327569,0.00937360838935354,0.0072169426466129,"15903/18627/19883/11906",4
"61","Astro.chronic","Astro","chronic","GO:0007623","circadian rhythm","6/104","222/28943",0.000154476455796646,0.00999902943050517,0.00769846775375337,"15903/232087/18627/19215/19883/11906",6
"75","Astro.chronic","Astro","chronic","GO:0097242","amyloid-beta clearance","3/104","36/28943",0.00029519604946881,0.0125469723573933,0.00966018379803362,"11816/13121/15357",3
"111","Astro.chronic","Astro","chronic","GO:0042752","regulation of circadian rhythm","4/104","129/28943",0.00122753046579793,0.0289665306020109,0.0223019547374634,"18627/19215/19883/11906",4
"133","Astro.chronic","Astro","chronic","GO:0040013","negative regulation of locomotion","6/104","360/28943",0.00193889246850153,0.0355855314673462,0.0273980658228445,"11815/11816/50791/11819/18183/208177",6
"157","Astro.chronic","Astro","chronic","GO:0007568","aging","3/104","81/28943",0.00313810617903602,0.0456646620769155,0.0351582051966635,"11815/11816/14681",3
"228","Exc-neuron.acute","Exc-neuron","acute","GO:0031503","protein-containing complex localization","28/998","217/28943",2.18205457134074e-09,1.6628539395129e-07,1.1920233099476e-07,"11838/216831/68566/12322/65945/56320/23859/110350/23888/51810/232227/545156/16574/50791/192167/53324/18222/23969/18717/18762/56508/108911/24052/17131/20908/56149/665113/216049",28
"235","Exc-neuron.acute","Exc-neuron","acute","GO:0040013","negative regulation of locomotion","37/998","360/28943",3.9794016531931e-09,2.74950124891289e-07,1.97099065742014e-07,"20927/109934/11490/110532/107831/11816/12512/12385/20312/69601/56320/19252/72349/56484/228564/108071/15116/52392/50791/17260/338366/17319/260315/18183/108155/18795/19091/19271/19272/76108/20357/214968/20563/114715/56363/238328/228880",37
"258","Exc-neuron.acute","Exc-neuron","acute","GO:0007623","circadian rhythm","27/998","222/28943",1.5199049857632e-08,8.03688534308666e-07,5.76127249705515e-07,"11554/11865/12064/20893/66797/12953/13170/13653/51810/16508/16531/75605/21847/214162/16847/105689/17978/192167/18143/18212/108155/18626/19215/19377/17691/21934/22215",27
"276","Exc-neuron.acute","Exc-neuron","acute","GO:0045927","positive regulation of growth","33/998","324/28943",3.40186402430091e-08,1.51969477361442e-06,1.08939910542268e-06,"240442/11554/11816/11951/50769/12064/268697/12520/12561/12891/211232/56320/13193/53817/54214/15081/68142/11426/17755/26416/17762/17260/83814/18795/50873/217340/11739/17131/75788/80297/20979/110058/382018",33
"297","Exc-neuron.acute","Exc-neuron","acute","GO:0021700","developmental maturation","34/998","355/28943",9.50467039152881e-08,3.59512423130674e-06,2.57717877923205e-06,"11352/210933/330814/12259/12286/268697/12512/65945/66797/69601/668253/23859/14042/56484/50915/14810/16531/59003/269116/192167/18227/18483/23980/237625/18795/18987/19339/72961/20681/80297/20910/382018/233781/235320",34
"305","Exc-neuron.acute","Exc-neuron","acute","GO:0033555","multicellular organismal response to stress","17/998","109/28943",1.99231914450113e-07,7.1201364184861e-06,5.10409746711033e-06,"11554/11816/12064/56710/12286/12424/66797/12921/210108/14042/26431/14806/17260/18143/18227/218461/19085",17
"308","Exc-neuron.acute","Exc-neuron","acute","GO:0035637","multicellular organismal signaling","21/998","163/28943",2.23296768676735e-07,7.79337378202614e-06,5.58671028799493e-06,"109676/12286/239556/12296/66797/14167/14799/14806/16508/16531/58802/269116/18212/18810/56508/20191/20265/20273/80297/21960/68667",21
"341","Exc-neuron.acute","Exc-neuron","acute","GO:0035264","multicellular organism growth","24/998","224/28943",9.94694315571884e-07,2.84779333883619e-05,2.04145172413677e-05,"11352/110532/11554/71371/50769/66797/214253/14042/15081/22289/232685/109241/17263/18810/19247/19377/70661/20496/57138/227731/20743/80297/74178/74493",24
"369","Exc-neuron.acute","Exc-neuron","acute","GO:0001503","ossification","35/998","426/28943",2.31066283789576e-06,5.70323542191423e-05,4.0883864803135e-05,"11477/11732/12167/16007/14042/218952/72007/15081/208727/16477/21847/232685/26399/26416/17260/17313/338366/210719/17389/17937/338352/67399/170826/19247/239405/70661/17131/75788/20661/20681/21833/21934/68667/233781/235320",35
"399","Exc-neuron.acute","Exc-neuron","acute","GO:0032922","circadian regulation of gene expression","12/998","72/28943",6.04223218955256e-06,0.000130691744127467,9.36868847682936e-05,"11865/20893/12953/13653/51810/214162/105689/17978/18143/108155/18626/19377",12
"410","Exc-neuron.acute","Exc-neuron","acute","GO:0140029","exocytic process","14/998","99/28943",7.64379784283928e-06,0.000158440641686373,0.000113578789841599,"320405/12322/13829/14809/192167/237625/76787/19339/20907/20908/20910/20979/54525/382018",14
"454","Exc-neuron.acute","Exc-neuron","acute","GO:0051651","maintenance of location in cell","22/998","232/28943",1.96924931330725e-05,0.000347096936787694,0.000248817788280032,"109676/11816/71435/12313/12314/103172/20312/56320/13405/14319/14809/51810/16410/18754/19762/20191/20192/72961/77053/64009/19241/78610",22
"516","Exc-neuron.acute","Exc-neuron","acute","GO:0051235","maintenance of location","27/998","341/28943",6.05098469340105e-05,0.000880792210146186,0.000631399319426739,"109676/11816/71435/12313/12314/103172/12953/20312/56320/13405/14319/14809/51810/16410/17294/18754/19762/20191/20192/72961/20788/77053/64009/19241/78610/211739/54401",27
"580","Exc-neuron.acute","Exc-neuron","acute","GO:0022406","membrane docking","11/998","86/28943",0.000178861780447905,0.00220157184389797,0.00157820533366835,"12322/76787/19339/54198/228960/20907/20908/20910/20979/382018/75909",11
"599","Exc-neuron.acute","Exc-neuron","acute","GO:0090130","tissue migration","25/998","332/28943",0.000242826367653788,0.0028663467817356,0.00205475183179527,"107831/11816/320924/12512/69601/13655/226352/14164/232227/16410/16476/11426/52392/212307/17260/338366/17886/15370/269608/18754/19247/20563/64074/114715/238328",25
"684","Exc-neuron.acute","Exc-neuron","acute","GO:0042752","regulation of circadian rhythm","13/998","129/28943",0.000530449782573961,0.00524391129070424,0.00375911819149186,"11554/11865/20893/12953/75605/21847/16847/192167/18143/18626/19215/17691/22215",13
"703","Exc-neuron.acute","Exc-neuron","acute","GO:0035265","organ growth","18/998","218/28943",0.000595137090762248,0.00567955875567213,0.00407141377008815,"11554/268697/53817/67603/13982/14042/14164/16847/26416/17260/19247/239405/11739/234214/24064/56274/22215/232334",18
"704","Exc-neuron.acute","Exc-neuron","acute","GO:0002021","response to dietary excess","7/998","43/28943",0.000617893865323389,0.00585692069277962,0.00419855636409825,"11554/11816/66797/26416/30052/116939/227731",7
"705","Exc-neuron.acute","Exc-neuron","acute","GO:1990845","adaptive thermogenesis","15/998","165/28943",0.000618115139391734,0.00585692069277962,0.00419855636409825,"11554/11865/12709/13424/51810/333050/16847/26399/18162/108155/54635/170826/213527/11739/21833",15
"802","Exc-neuron.acute","Exc-neuron","acute","GO:0035176","social behavior","8/998","62/28943",0.00126303108029467,0.0101788912256407,0.00729677773980503,"20238/56710/66797/14042/14810/545156/225872/18190",8
"819","Exc-neuron.acute","Exc-neuron","acute","GO:0007163","establishment or maintenance of cell polarity","18/998","235/28943",0.001409696606795,0.0109738456429652,0.00786664390380144,"16800/12385/23859/13518/14252/209630/14086/15519/15516/11426/17755/68617/17886/360013/18762/246710/69581/24064",18
"889","Exc-neuron.acute","Exc-neuron","acute","GO:0019098","reproductive behavior","8/998","68/28943",0.00230458435768652,0.016381832841607,0.011743380547651,"11804/56710/14810/208727/545156/17978/21833/22353",8
"949","Exc-neuron.acute","Exc-neuron","acute","GO:0007585","respiratory gaseous exchange by respiratory system","8/998","72/28943",0.00330882383503889,0.0217042090040146,0.0155587465874114,"320924/14810/16450/22289/192167/18227/19339/74178",8
"996","Exc-neuron.acute","Exc-neuron","acute","GO:0051775","response to redox state","3/998","10/28943",0.00408963369003909,0.0250798600967841,0.0179785951942048,"11865/18143/20191",3
"1061","Exc-neuron.acute","Exc-neuron","acute","GO:1900454","positive regulation of long-term synaptic depression","3/998","11/28943",0.00548003980269879,0.031413237010603,0.0225187010523102,"11514/17762/243725",3
"1146","Exc-neuron.acute","Exc-neuron","acute","GO:0097242","amyloid-beta clearance","5/998","36/28943",0.00749176252755319,0.0393735430200615,0.028225077356395,"11816/13121/15357/16835/237625",5
"1191","Exc-neuron.acute","Exc-neuron","acute","GO:0031214","biomineral tissue development","13/998","179/28943",0.00940865129828897,0.04715866215001,0.0338058702649628,"11477/11732/11941/12167/16007/21847/232685/17260/17313/338366/338352/239405/68667",13
"1197","Exc-neuron.acute","Exc-neuron","acute","GO:0045926","negative regulation of growth","17/998","261/28943",0.0094940611481084,0.0474428397970084,0.0340095841157941,"11490/11554/240514/210108/69601/239667/15982/17751/19271/19280/19377/20357/214968/20563/56274/21960/232334",17
"1198","Exc-neuron.acute","Exc-neuron","acute","GO:0032941","secretion by tissue","6/998","53/28943",0.00956559090681513,0.0476166110270087,0.0341341526974575,"11554/12671/16531/228355/18162/18754",6
"1222","Exc-neuron.acute","Exc-neuron","acute","GO:0098743","cell aggregation","4/998","25/28943",0.00997417911256379,0.0485772520313022,0.034822791935336,"12167/12814/26416/21833",4
"1230","Exc-neuron.acute","Exc-neuron","acute","GO:0140253","cell-cell fusion","7/998","70/28943",0.0103309412248338,0.0499859359730053,0.035832612494411,"107831/210933/52163/12520/26416/17886/14218",7
"1260","Exc-neuron.chronic","Exc-neuron","chronic","GO:0035637","multicellular organismal signaling","24/915","163/28943",3.85144137093336e-10,6.56869966228842e-08,5.19909635517284e-08,"109676/12286/12288/12289/12290/12296/12298/81905/13483/14167/64378/14799/108073/16508/56543/16531/58802/319504/18212/67451/20191/20265/20269/21960",24
"1291","Exc-neuron.chronic","Exc-neuron","chronic","GO:0007623","circadian rhythm","24/915","222/28943",1.79174826609526e-07,1.47699782068452e-05,1.16903715817689e-05,"11865/12064/224671/229599/13123/13170/99586/13653/51810/16508/16531/21847/16847/56335/17777/18143/353187/18212/18628/19046/19215/19377/19878/22215",24
"1306","Exc-neuron.chronic","Exc-neuron","chronic","GO:0031503","protein-containing complex localization","23/915","217/28943",4.57613244199276e-07,3.01780680774616e-05,2.38858056866963e-05,"238161/11838/216831/81905/76380/65945/103967/110350/13642/15114/51810/232227/545156/16574/242274/50791/171567/53324/18222/23969/17131/56149/216049",23
"1354","Exc-neuron.chronic","Exc-neuron","chronic","GO:0040013","negative regulation of locomotion","29/915","360/28943",4.73802540864237e-06,0.000190522550171912,0.00015079774492718,"107831/11601/11816/12667/12385/20312/69601/22240/72349/228564/108071/15116/15560/16189/114229/52662/50791/17257/260315/18183/18795/19271/19272/214968/20563/114715/259302/20440/21814",29
"1411","Exc-neuron.chronic","Exc-neuron","chronic","GO:0090130","tissue migration","26/915","332/28943",2.3574472428264e-05,0.000647774114612187,0.000512710309711776,"107831/11601/11816/192197/320924/12554/69601/13642/13655/14164/79221/16189/232227/17311/11426/17257/15370/269608/67916/18754/18760/19878/20563/64074/114715/21814",26
"1427","Exc-neuron.chronic","Exc-neuron","chronic","GO:0033555","multicellular organismal response to stress","13/915","109/28943",4.11760176059243e-05,0.00103760757426638,0.000821261746588774,"11516/11816/12064/56710/12286/12290/14042/108073/15560/17257/18143/218461/19085",13
"1541","Exc-neuron.chronic","Exc-neuron","chronic","GO:0045927","positive regulation of growth","23/915","324/28943",0.000289844914146227,0.0046095593098625,0.00364844554310312,"52906/238161/11816/12064/12561/12891/211232/13193/13640/54214/16001/11426/17755/17257/83814/18795/50873/116837/17131/75788/110058/21814/382018",23
"1543","Exc-neuron.chronic","Exc-neuron","chronic","GO:0140029","exocytic process","11/915","99/28943",0.000297189215955356,0.00471121109652305,0.00372890247684875,"27062/320405/13829/75914/83762/116837/20907/20910/54525/382018/208898",11
"1615","Exc-neuron.chronic","Exc-neuron","chronic","GO:0035176","social behavior","8/915","62/28943",0.000722495767517787,0.00930589600558066,0.00736557499835156,"56710/14042/14803/545156/17257/225872/18191/271564",8
"1631","Exc-neuron.chronic","Exc-neuron","chronic","GO:0097242","amyloid-beta clearance","6/915","36/28943",0.000849748601004886,0.0105071414514254,0.00831635538720308,"11816/12759/15357/16001/16189/17380",6
"1649","Exc-neuron.chronic","Exc-neuron","chronic","GO:0021700","developmental maturation","23/915","355/28943",0.00101932037841686,0.0119840080763248,0.0094852887045038,"210933/12032/71132/12286/65945/13039/69601/668253/14042/50915/16531/17257/319504/18551/18667/18795/19726/72961/20910/382018/208898/233781/235320",23
"1677","Exc-neuron.chronic","Exc-neuron","chronic","GO:0098900","regulation of action potential","8/915","68/28943",0.00133814172496451,0.0148395716853688,0.0117454545082441,"109676/11938/12288/14167/17257/67451/433809/20191",8
