"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"15","Astro.chronic","Astro","chronic","GO:0019898","extrinsic component of membrane","6/103","337/28804",0.00135485051881101,0.0181549969520676,0.0136911210321955,"11816/227485/14681/268566/50791/50779",6
"30","Exc-neuron.acute","Exc-neuron","acute","GO:0150034","distal axon","53/1000","379/28804",5.90689107177133e-18,3.03712649273576e-16,1.93269330681641e-16,"11465/330814/11747/54126/232975/11951/12064/12313/12424/12671/12933/56320/13175/13193/320127/13982/14086/26431/234267/14800/14806/14807/14809/14810/15519/15516/29875/16531/16574/231876/17755/19099/17762/18080/109648/18212/23969/18548/23980/18975/243725/50873/19276/19339/56508/239606/104069/170625/20257/20908/54525/207777/382018",53
"32","Exc-neuron.acute","Exc-neuron","acute","GO:1990351","transporter complex","53/1000","395/28804",3.66146398490956e-17,1.613659484778e-15,1.02686170403855e-15,"20927/11928/232975/11951/228033/50769/54667/12286/239556/12296/12313/12314/66797/14400/14403/14799/14800/14806/14807/14809/14810/16508/16510/16531/58802/433926/100604/243499/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/68404/20191/20192/20265/20273/22068/68667/57776/78339/66594/67530/66694",53
"34","Exc-neuron.acute","Exc-neuron","acute","GO:0043209","myelin sheath","38/1000","215/28804",1.25045194286125e-16,4.82205530465868e-15,3.06854325452135e-15,"11465/11674/11928/232975/71679/12313/12314/12709/12859/13627/14086/14433/15122/15519/226180/17448/17319/269116/18102/23969/23980/18648/18738/18795/18810/268373/18477/18762/78294/11739/20740/20910/22142/22143/22187/66694/22334/22628",38
"41","Exc-neuron.acute","Exc-neuron","acute","GO:0048786","presynaptic active zone","24/1000","99/28804",3.64824431228615e-14,9.78681191600242e-13,6.22789532486377e-13,"11514/216831/11941/12217/12286/66797/320127/14252/234267/108069/16531/17978/80883/171171/18212/76787/67533/19339/20273/72961/20907/20908/20910/382018",24
"42","Exc-neuron.acute","Exc-neuron","acute","GO:0031252","cell leading edge","49/1000","409/28804",5.08337961164307e-14,1.30685217515991e-12,8.31623068045117e-13,"11352/226251/78618/109711/216831/16800/54126/11941/12488/12704/66797/12385/56320/104418/13405/13518/13627/13800/226352/14252/14086/14799/14810/29875/241226/16410/16510/16826/16911/11426/17762/17886/18102/23969/18483/67399/18720/269608/243725/18762/19271/19272/27050/20200/57138/20742/56013/20257/20908",49
"46","Exc-neuron.acute","Exc-neuron","acute","GO:0044306","neuron projection terminus","34/1000","215/28804",1.47547302783924e-13,3.25131020777433e-12,2.0689903736242e-12,"11465/11747/16467/232975/12064/12217/12424/12671/320127/13405/13982/26431/14800/14806/14807/14809/14810/16531/109648/18212/23969/18548/23980/18975/50873/56294/19276/19339/56508/104069/20979/54525/207777/382018",34
"52","Exc-neuron.acute","Exc-neuron","acute","GO:0070469","respirasome","22/1000","95/28804",1.1515135178897e-12,2.08965835452336e-11,1.32976638443609e-11,"12857/12859/12864/12866/66142/12868/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/66594/67530/66694",22
"63","Exc-neuron.acute","Exc-neuron","acute","GO:0030427","site of polarized growth","28/1000","209/28804",1.07046031625209e-09,1.46772003361676e-08,9.33992275934575e-09,"330814/54126/12313/12933/56320/13175/13193/14086/234267/14800/14810/15519/15516/29875/16574/231876/17755/19099/17762/18080/18212/243725/56508/239606/104069/170625/20257/20908",28
"66","Exc-neuron.acute","Exc-neuron","acute","GO:0043204","perikaryon","22/1000","143/28804",4.88834533179874e-09,6.2835605619163e-08,3.99858072096696e-08,"11747/12064/12286/12424/18163/239667/13982/14800/14806/14807/14809/241226/17755/109648/56876/18212/18548/23984/52897/269295/57138/22353",22
