"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Astro.chronic","Astro","chronic","mmu04015","Rap1 signaling pathway - Mus musculus (house mouse)","8/56","214/9070",4.51806278369925e-05,0.0089909449395615,0.00694354912021147,"11652/12313/12314/14681/50791/71785/18798/74055",8
"2","Astro.chronic","Astro","chronic","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","6/56","134/9070",0.000164639323686711,0.0118110438255014,0.00912146203926583,"11652/12313/12314/14229/14681/18798",6
"3","Astro.chronic","Astro","chronic","mmu04970","Salivary secretion - Mus musculus (house mouse)","5/56","86/9070",0.00017805593706786,0.0118110438255014,0.00912146203926583,"98660/12313/12314/13010/18798",5
"4","Astro.chronic","Astro","chronic","mmu04713","Circadian entrainment - Mus musculus (house mouse)","5/56","98/9070",0.000328245723351334,0.0163302247367289,0.0126115462129723,"12313/12314/14681/18627/18798",5
"5","Astro.chronic","Astro","chronic","mmu04922","Glucagon signaling pathway - Mus musculus (house mouse)","5/56","104/9070",0.000432197576886067,0.0172014635600654,0.0132843886790244,"11652/12313/12314/18679/18798",5
"6","Astro.chronic","Astro","chronic","mmu04919","Thyroid hormone signaling pathway - Mus musculus (house mouse)","5/56","120/9070",0.000831119143880288,0.0275654516053629,0.0212883149134249,"11652/98660/18798/74055/58807",5
"7","Astro.chronic","Astro","chronic","mmu04971","Gastric acid secretion - Mus musculus (house mouse)","4/56","75/9070",0.00114427712951171,0.0325301641104042,0.0251224753246179,"98660/12313/12314/18798",4
"8","Astro.chronic","Astro","chronic","mmu04728","Dopaminergic synapse - Mus musculus (house mouse)","5/56","135/9070",0.00140968806379785,0.0350659905869716,0.0270808496466429,"11652/12313/12314/14681/18798",5
"9","Astro.chronic","Astro","chronic","mmu05017","Spinocerebellar ataxia - Mus musculus (house mouse)","5/56","141/9070",0.00170918393570018,0.0370524273352789,0.0286149399151057,"11652/20238/56543/18798/19883",5
"10","Astro.chronic","Astro","chronic","mmu04072","Phospholipase D signaling pathway - Mus musculus (house mouse)","5/56","149/9070",0.00217824689283911,0.0370524273352789,0.0286149399151057,"11652/108069/71785/18798/18805",5
"11","Astro.chronic","Astro","chronic","mmu04912","GnRH signaling pathway - Mus musculus (house mouse)","4/56","90/9070",0.00224654932240832,0.0370524273352789,0.0286149399151057,"12313/12314/18798/18805",4
"12","Astro.chronic","Astro","chronic","mmu04024","cAMP signaling pathway - Mus musculus (house mouse)","6/56","224/9070",0.00245787114365813,0.0370524273352789,0.0286149399151057,"11652/98660/12313/12314/74055/18805",6
"13","Astro.chronic","Astro","chronic","mmu04261","Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)","5/56","156/9070",0.00266047838038868,0.0370524273352789,0.0286149399151057,"11652/98660/12313/12314/18798",5
"14","Astro.chronic","Astro","chronic","mmu04070","Phosphatidylinositol signaling system - Mus musculus (house mouse)","4/56","96/9070",0.0028419871098771,0.0370524273352789,0.0286149399151057,"12313/12314/18798/74055",4
"15","Astro.chronic","Astro","chronic","mmu04014","Ras signaling pathway - Mus musculus (house mouse)","6/56","235/9070",0.00312109672368,0.0370524273352789,0.0286149399151057,"11652/12313/12314/71785/74055/18805",6
"16","Astro.chronic","Astro","chronic","mmu04973","Carbohydrate digestion and absorption - Mus musculus (house mouse)","3/56","48/9070",0.00316770895463092,0.0370524273352789,0.0286149399151057,"11652/98660/18798",3
"17","Astro.chronic","Astro","chronic","mmu04916","Melanogenesis - Mus musculus (house mouse)","4/56","100/9070",0.00329415815404669,0.0370524273352789,0.0286149399151057,"12313/12314/14681/18798",4
"18","Astro.chronic","Astro","chronic","mmu04020","Calcium signaling pathway - Mus musculus (house mouse)","6/56","240/9070",0.00346341809956428,0.0370524273352789,0.0286149399151057,"12313/12314/71785/18679/18798/74055",6
"19","Astro.chronic","Astro","chronic","mmu04925","Aldosterone synthesis and secretion - Mus musculus (house mouse)","4/56","102/9070",0.0035376689415593,0.0370524273352789,0.0286149399151057,"98660/12313/12314/18798",4
"20","Astro.chronic","Astro","chronic","mmu04022","cGMP-PKG signaling pathway - Mus musculus (house mouse)","5/56","173/9070",0.00414918159831437,0.041284356903228,0.0318831849133631,"11652/98660/12313/12314/18798",5
"21","Astro.chronic","Astro","chronic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","4/56","110/9070",0.00463439901793196,0.0439164478365934,0.0339159025873718,"11652/14681/16774/16775",4
"22","Astro.chronic","Astro","chronic","mmu04724","Glutamatergic synapse - Mus musculus (house mouse)","4/56","113/9070",0.00509871158165797,0.0461201638522698,0.0356177938240222,"14681/108069/18798/18805",4
"23","Exc-neuron.acute","Exc-neuron","acute","mmu03010","Ribosome - Mus musculus (house mouse)","40/452","176/9070",1.9230701906042e-16,5.40382723559779e-14,4.47366854866871e-14,"14109/110954/67025/270106/67115/76808/19921/19933/65019/268449/68193/19941/19943/27367/19946/19951/68436/19982/66483/19989/26961/20005/56040/67186/67097/27207/20044/267019/16898/66475/20088/75617/27370/78294/27050/20091/20102/20115/20116/76846",40
"24","Exc-neuron.acute","Exc-neuron","acute","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","47/452","248/9070",8.02113999129355e-16,1.12697016877674e-13,9.3298523056625e-14,"12259/12260/12262/14109/14281/16476/26416/17171/110954/67025/270106/67115/76808/19921/19933/65019/268449/68193/19941/19943/27367/19946/19951/68436/19982/66483/19989/26961/20005/56040/67186/67097/27207/20044/267019/16898/66475/20088/75617/27370/78294/27050/20091/20102/20115/20116/76846",47
"25","Exc-neuron.acute","Exc-neuron","acute","mmu05012","Parkinson disease - Mus musculus (house mouse)","45/452","264/9070",1.93517504374766e-13,1.81261395764365e-11,1.50060941988854e-11,"11951/228033/71679/11957/12313/12314/12322/12325/12857/12859/12864/12866/66142/12868/19252/14679/16574/26408/17762/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/50873/67089/78294/20192/11739/22142/22143/22154/22187/66594/67530/66694/22334",45
"26","Exc-neuron.acute","Exc-neuron","acute","mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)","30/452","135/9070",2.38637531927483e-12,1.67642866179057e-10,1.38786564620983e-10,"11951/228033/71679/11957/11975/11984/73834/66144/12857/12859/12864/12866/66142/12868/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/66594/67530/66694",30
"27","Exc-neuron.acute","Exc-neuron","acute","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","60/452","471/9070",8.87009318682104e-12,4.98499237099342e-10,4.12692756692095e-10,"226977/11951/228033/71679/11957/20238/12064/12313/12314/12322/12325/12671/12857/12859/12864/12866/66142/12868/14799/14800/14810/14816/108071/16574/26399/26408/26416/17762/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/18795/50873/67089/78294/20191/20192/11739/20743/20907/22142/22143/22154/22187/66594/67530/66694/22334/74781/216795",60
"28","Exc-neuron.acute","Exc-neuron","acute","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","38/452","222/9070",1.41938823434231e-11,6.64746823083648e-10,5.50324210157282e-10,"11352/11951/228033/71679/11957/12857/12859/12864/12866/66142/12868/14281/56484/14866/16476/26408/26416/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/19246/19247/19271/11739/66594/67530/66694/22334",38
"29","Exc-neuron.acute","Exc-neuron","acute","mmu05020","Prion disease - Mus musculus (house mouse)","42/452","268/9070",2.24237473265123e-11,8.52481165362976e-10,7.05743912887124e-10,"11951/228033/71679/11957/12259/12260/12262/12857/12859/12864/12866/66142/12868/13653/14810/16574/26416/17968/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/67089/20191/20192/11739/22142/22143/22154/66594/67530/66694/22334",42
"30","Exc-neuron.acute","Exc-neuron","acute","mmu05016","Huntington disease - Mus musculus (house mouse)","45/452","302/9070",2.42699264160278e-11,8.52481165362976e-10,7.05743912887124e-10,"226977/11951/228033/71679/11957/12064/74325/12857/12859/12864/12866/66142/12868/14799/14800/14810/108071/16574/26408/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/18795/67089/20512/11739/20907/22142/22143/22154/66594/67530/66694/22334/74781",45
"31","Exc-neuron.acute","Exc-neuron","acute","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","36/452","211/9070",5.52210266685853e-11,1.72412316598583e-09,1.42735051388975e-09,"11951/228033/71679/11957/12322/12325/12857/12859/12864/12866/66142/12868/14433/14584/26416/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/18795/18762/20191/11739/66594/67530/66694/22334",36
"32","Exc-neuron.acute","Exc-neuron","acute","mmu04723","Retrograde endocannabinoid signaling - Mus musculus (house mouse)","27/452","148/9070",3.35686309922002e-09,9.43278530880825e-08,7.80912363081709e-08,"11514/12286/14073/14400/14403/14679/14704/14799/14800/14816/108071/26416/69875/67184/17992/66416/68375/70316/68342/104130/66495/66916/66218/68197/75406/18795/72961",27
