"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"8","Astro.chronic","Astro","chronic","GO:0016247","channel regulator activity","5/100","146/28404",0.00017036138017666,0.013415958688912,0.00986302727338557,"12313/12314/14168/108069/80334",5
"22","Astro.chronic","Astro","chronic","GO:0140678","molecular function inhibitor activity","3/100","60/28404",0.00125260965394546,0.0219206689440456,0.016115445840234,"12313/12314/15903",3
"33","Astro.chronic","Astro","chronic","GO:0005319","lipid transporter activity","4/100","166/28404",0.00285401287637949,0.0300867074033419,0.0221188826357066,"11816/19679/58807/170459",4
"36","Astro.chronic","Astro","chronic","GO:0016853","isomerase activity","4/100","170/28404",0.00310856082036912,0.0305998955755085,0.0224961638316186,"23986/14229/208715/19215",4
"42","Astro.chronic","Astro","chronic","GO:0098918","structural constituent of synapse","2/100","30/28404",0.00500582721478108,0.0414956729646327,0.0305064262396631,"111173/50791",2
"55","Exc-neuron.acute","Exc-neuron","acute","GO:0003735","structural constituent of ribosome","41/989","164/28404",9.91636668199007e-24,8.91481364710907e-21,6.20033874642326e-21,"14109/66416/110954/67025/270106/67115/76808/19921/19933/65019/268449/68193/19941/19943/27367/19946/19951/68436/19982/66483/19989/26961/20005/56040/67186/67097/27207/20044/267019/16898/66475/20088/75617/27370/78294/27050/20091/20102/20115/20116/76846",41
"88","Exc-neuron.acute","Exc-neuron","acute","GO:0003712","transcription coregulator activity","39/989","490/28404",1.71471953928049e-06,4.53392019356812e-05,3.15338515892449e-05,"109711/60595/68050/71371/107182/12227/100072/67040/208266/67673/208727/15259/51810/54169/75605/338523/16826/16911/238317/69642/72199/223701/239719/17933/17937/17978/211329/170826/50873/214742/320165/101206/66855/21413/224829/27223/100683/22215/228880",39
"89","Exc-neuron.acute","Exc-neuron","acute","GO:0098918","structural constituent of synapse","8/989","30/28404",6.2116657169002e-06,0.000159551070842665,0.000110969306341014,"11465/109711/12217/23859/26556/226180/50791/20743",8
"119","Exc-neuron.acute","Exc-neuron","acute","GO:0033218","amide binding","32/989","452/28404",0.000134185629389042,0.00185589047416536,0.00129078969809054,"11747/11787/11816/232975/29867/65945/74325/77018/12921/13010/242667/110606/14799/14800/14810/14866/15516/16432/16835/16847/17171/75805/18162/108155/56612/18738/116939/268373/213527/53421/237553/22334",32
"123","Exc-neuron.acute","Exc-neuron","acute","GO:1901681","sulfur compound binding","23/989","284/28404",0.000170578137714034,0.00222246008412923,0.00154574239209972,"320712/11804/11816/232975/16007/12814/77018/14164/14167/14866/243499/78286/338352/18738/116939/268373/381813/19280/239405/20191/21366/20563/64074",23
"125","Exc-neuron.acute","Exc-neuron","acute","GO:0016247","channel regulator activity","15/989","146/28404",0.000183206472826864,0.00231975519818804,0.00161341208093636,"109676/29867/12296/12313/12314/14167/108069/58802/83814/18190/18762/19091/545622/20907/75607",15
"133","Exc-neuron.acute","Exc-neuron","acute","GO:0016887","ATP hydrolysis activity","21/989","261/28404",0.000350342160939015,0.00395632488889245,0.00275166206194264,"56325/27416/70472/11957/71389/53817/15519/15516/15525/68142/16560/16561/16562/16564/16565/16574/16581/11426/260315/67459/67089",21
