"","SYMBOL","ENSEMBL","ENTREZID"
"1","Nrgn","ENSMUSG00000053310","64011"
"2","Calm1","ENSMUSG00000001175","12313"
"3","Fth1","ENSMUSG00000024661","14319"
"4","Calm2","ENSMUSG00000036438","12314"
"5","Gapdh","ENSMUSG00000057666","14433"
"6","Ppia","ENSMUSG00000071866","268373"
"7","Stmn1","ENSMUSG00000028832","16765"
"8","Malat1","ENSMUSG00000092341","72289"
"9","Dynll1","ENSMUSG00000009013","56455"
"10","Rtn1","ENSMUSG00000021087","104001"
"11","Hsp90ab1","ENSMUSG00000023944","15516"
"12","Olfm1","ENSMUSG00000026833","56177"
"13","Tmem267","ENSMUSG00000074634","633640"
"14","Tmsb4x","ENSMUSG00000049775","19241"
"15","Gpc5","ENSMUSG00000022112","103978"
"16","Atp6v0c","ENSMUSG00000024121","11984"
"17","Ntm","ENSMUSG00000059974","235106"
"18","Cck","ENSMUSG00000032532","12424"
"20","Ank2","ENSMUSG00000032826","109676"
"21","Aldoa","ENSMUSG00000030695","11674"
"22","Ubb","ENSMUSG00000019505","22187"
"23","Pde10a","ENSMUSG00000023868","23984"
"24","Cox4i1","ENSMUSG00000031818","12857"
"25","Chchd2","ENSMUSG00000070493","14004"
"26","Fau","ENSMUSG00000038274","14109"
"27","Ywhah","ENSMUSG00000018965","22629"
"28","Stmn2","ENSMUSG00000027500","20257"
"29","Uchl1","ENSMUSG00000029223","22223"
"30","Gpr158","ENSMUSG00000045967","241263"
"31","Cox8a","ENSMUSG00000035885","12868"
"32","Pcp4","ENSMUSG00000090223","18546"
"33","Hspa8","ENSMUSG00000015656","15481"
"34","Snap25","ENSMUSG00000027273","20614"
"35","Eif1","ENSMUSG00000035530","20918"
"36","Bex2","ENSMUSG00000042750","12069"
"37","Actb","ENSMUSG00000029580","11461"
"38","Rsrp1","ENSMUSG00000037266","27981"
"39","Hsp90aa1","ENSMUSG00000021270","15519"
"41","Hspa5","ENSMUSG00000026864","14828"
"42","Egr1","ENSMUSG00000038418","13653"
"43","Atp5g1","ENSMUSG00000006057","11951"
"44","Rgs7","ENSMUSG00000026527","24012"
"45","Ddo","ENSMUSG00000063428","70503"
"46","Fgf14","ENSMUSG00000025551","14169"
"47","Atp5h","ENSMUSG00000034566","71679"
"48","Ptma","ENSMUSG00000026238","19231"
"49","Tpt1","ENSMUSG00000060126","22070"
"50","Snrpn","ENSMUSG00000102252","20646"
"51","Basp1","ENSMUSG00000045763","70350"
"52","Swap70","ENSMUSG00000031015","20947"
"53","Chchd10","ENSMUSG00000049422","103172"
"54","Atp5k","ENSMUSG00000050856","11958"
"55","Atp5g3","ENSMUSG00000018770","228033"
"57","Sub1","ENSMUSG00000022205","20024"
"58","Ndufb9","ENSMUSG00000022354","66218"
"59","Cox7a2","ENSMUSG00000032330","12866"
"60","Slc25a4","ENSMUSG00000031633","11739"
"61","Tuba1a","ENSMUSG00000072235","22142"
"62","Hint1","ENSMUSG00000020267","15254"
"63","Rab3a","ENSMUSG00000031840","19339"
"64","Cycs","ENSMUSG00000063694","13063"
