"","SYMBOL","ENSEMBL","ENTREZID"
"1","Snhg11","ENSMUSG00000044349","319317"
"2","Gapdh","ENSMUSG00000057666","14433"
"3","Nrgn","ENSMUSG00000053310","64011"
"4","Nav3","ENSMUSG00000020181","260315"
"5","Calm1","ENSMUSG00000001175","12313"
"6","Hsp90ab1","ENSMUSG00000023944","15516"
"7","Calm2","ENSMUSG00000036438","12314"
"8","Fth1","ENSMUSG00000024661","14319"
"9","Ppia","ENSMUSG00000071866","268373"
"10","Nrg3","ENSMUSG00000041014","18183"
"11","Aldoa","ENSMUSG00000030695","11674"
"12","Atp6v0c","ENSMUSG00000024121","11984"
"13","Rad51ap2","ENSMUSG00000086022","209550"
"14","Hspa5","ENSMUSG00000026864","14828"
"15","Tmem267","ENSMUSG00000074634","633640"
"16","Hspa8","ENSMUSG00000015656","15481"
"17","Ptprd","ENSMUSG00000028399","19266"
"18","Tmsb4x","ENSMUSG00000049775","19241"
"19","Actb","ENSMUSG00000029580","11461"
"20","Pde10a","ENSMUSG00000023868","23984"
"21","Hsp90aa1","ENSMUSG00000021270","15519"
"22","Rtn1","ENSMUSG00000021087","104001"
"23","Egr1","ENSMUSG00000038418","13653"
"24","Bex2","ENSMUSG00000042750","12069"
"25","Tuba1a","ENSMUSG00000072235","22142"
"26","Stmn1","ENSMUSG00000028832","16765"
"27","Atp1b1","ENSMUSG00000026576","11931"
"28","Sgcz","ENSMUSG00000039539","244431"
"29","Hecw2","ENSMUSG00000042807","329152"
"30","Ubb","ENSMUSG00000019505","22187"
"31","Nrg3os","ENSMUSG00000093528","75170"
"32","Cox8a","ENSMUSG00000035885","12868"
"33","Dynll1","ENSMUSG00000009013","56455"
"34","Cck","ENSMUSG00000032532","12424"
"35","Slc25a4","ENSMUSG00000031633","11739"
"36","Ckb","ENSMUSG00000001270","12709"
"37","Cox4i1","ENSMUSG00000031818","12857"
"38","Arl6ip1","ENSMUSG00000030654","54208"
"40","Csmd1","ENSMUSG00000060924","94109"
"42","Luc7l2","ENSMUSG00000029823","192196"
"43","Rab3a","ENSMUSG00000031840","19339"
"44","Camk2n1","ENSMUSG00000046447","66259"
"45","Chchd2","ENSMUSG00000070493","14004"
"46","Ywhah","ENSMUSG00000018965","22629"
"47","Fgf1","ENSMUSG00000036585","14164"
"48","Eif1","ENSMUSG00000035530","20918"
"50","Norad","ENSMUSG00000102869","347740"
"51","Gtdc1","ENSMUSG00000036890","227835"
"52","Gm20752","ENSMUSG00000106053","624759"
"53","Zfp46","ENSMUSG00000051351","22704"
"54","2210408I21Rik","ENSMUSG00000071252","72371"
"55","Adam23","ENSMUSG00000025964","23792"
"56","Olfm1","ENSMUSG00000026833","56177"
"58","Stmn2","ENSMUSG00000027500","20257"
"59","Ywhab","ENSMUSG00000018326","54401"
"60","Actg1","ENSMUSG00000062825","11465"
"61","Tpt1","ENSMUSG00000060126","22070"
"62","Chchd10","ENSMUSG00000049422","103172"
"63","Rplp1","ENSMUSG00000007892","56040"
"65","Fgf12","ENSMUSG00000022523","14167"
"66","Enc1","ENSMUSG00000041773","13803"
"67","Pcsk1n","ENSMUSG00000039278","30052"
"68","Kcnip4","ENSMUSG00000029088","80334"
"69","Tubb5","ENSMUSG00000001525","22154"
"71","Mdh1","ENSMUSG00000020321","17449"
"72","Pdia6","ENSMUSG00000020571","71853"
"73","Tubb2a","ENSMUSG00000058672","22151"
"78","Myo16","ENSMUSG00000039057","244281"
"79","Ptprn","ENSMUSG00000026204","19275"
"80","Slc9a9","ENSMUSG00000031129","331004"
"81","St6galnac3","ENSMUSG00000052544","20447"
"82","Pcp4","ENSMUSG00000090223","18546"
"83","Ndufa4","ENSMUSG00000029632","17992"
"84","Plekha5","ENSMUSG00000030231","109135"
"85","Cox6c","ENSMUSG00000014313","12864"
"86","Tspyl4","ENSMUSG00000039485","72480"
"87","C1ql3","ENSMUSG00000049630","227580"
"88","Atp6v1e1","ENSMUSG00000019210","11973"
"89","Diaph2","ENSMUSG00000034480","54004"
"90","Fgf14","ENSMUSG00000025551","14169"
"91","Eef1a1","ENSMUSG00000037742","13627"
"93","Atp6v1d","ENSMUSG00000021114","73834"
"94","Dnaja1","ENSMUSG00000028410","15502"
"95","Itm2b","ENSMUSG00000022108","16432"
"96","Stmn3","ENSMUSG00000027581","20262"
"97","Etl4","ENSMUSG00000036617","208618"
"98","Ptms","ENSMUSG00000030122","69202"
"99","Tuba1b","ENSMUSG00000023004","22143"
"100","Celf2","ENSMUSG00000002107","14007"
"101","Nme1","ENSMUSG00000037601","18102"
"102","Tubb4b","ENSMUSG00000036752","227613"
"103","Atp5g1","ENSMUSG00000006057","11951"
"104","Basp1","ENSMUSG00000045763","70350"
"105","Atp5h","ENSMUSG00000034566","71679"
"106","Rn18s-rs5","ENSMUSG00000119584","110183"
"107","Rsrp1","ENSMUSG00000037266","27981"
"108","Mast4","ENSMUSG00000034751","328329"
"109","Serinc1","ENSMUSG00000019877","56442"
"110","Grin1","ENSMUSG00000026959","14810"
"111","Rpl23","ENSMUSG00000071415","65019"
"112","Hsp90b1","ENSMUSG00000020048","22027"
"113","Pgam1","ENSMUSG00000011752","18648"
"114","Babam2","ENSMUSG00000052139","107976"
"115","Atp5g3","ENSMUSG00000018770","228033"
"116","Ly6h","ENSMUSG00000022577","23934"
"117","Sorbs2","ENSMUSG00000031626","234214"
"118","9630028H03Rik","ENSMUSG00000085631","320684"
"119","Tuba4a","ENSMUSG00000026202","22145"
"120","Fau","ENSMUSG00000038274","14109"
"122","Atxn7l3b","ENSMUSG00000074748","382423"
"123","Ptma","ENSMUSG00000026238","19231"
"124","Pebp1","ENSMUSG00000032959","23980"
"125","Fggy","ENSMUSG00000028573","75578"
"126","Atp6v1f","ENSMUSG00000004285","66144"
"127","Rps8","ENSMUSG00000047675","20116"
"128","Calm3","ENSMUSG00000019370","12315"
"129","Mif","ENSMUSG00000033307","17319"
"130","Grin2b","ENSMUSG00000030209","14812"
"131","Hunk","ENSMUSG00000053414","26559"
"132","Snrpn","ENSMUSG00000102252","20646"
"133","Ptgds","ENSMUSG00000015090","19215"
"134","Pkm","ENSMUSG00000032294","18746"
"135","Ccdc85b","ENSMUSG00000095098","240514"
"136","Snap25","ENSMUSG00000027273","20614"
"137","Rtn4","ENSMUSG00000020458","68585"
"138","Maml3","ENSMUSG00000061143","433586"
"139","Ldhb","ENSMUSG00000030246","16832"
"140","Homer1","ENSMUSG00000007617","26556"
"141","Kcnd2","ENSMUSG00000060882","16508"
"142","Hint1","ENSMUSG00000020267","15254"
"143","Nefl","ENSMUSG00000022055","18039"
"144","Cpne9","ENSMUSG00000030270","211232"
"145","Gabarapl1","ENSMUSG00000030161","57436"
"146","Sub1","ENSMUSG00000022205","20024"
"147","Cox5b","ENSMUSG00000061518","12859"
"149","Rbm26","ENSMUSG00000022119","74213"
"150","Rpl19","ENSMUSG00000017404","19921"
"151","Uqcrb","ENSMUSG00000021520","67530"
"152","Vamp2","ENSMUSG00000020894","22318"
"153","Iqgap2","ENSMUSG00000021676","544963"
"154","Cox5a","ENSMUSG00000000088","12858"
"155","Rps3a1","ENSMUSG00000028081","20091"
"156","Uchl1","ENSMUSG00000029223","22223"
"157","Nrxn1","ENSMUSG00000024109","18189"
"158","Bc1","ENSMUSG00000115783","100568459"
"159","Xkr4","ENSMUSG00000051951","497097"
"160","Ndufb9","ENSMUSG00000022354","66218"
"161","Zmat4","ENSMUSG00000037492","320158"
"162","Rpl28","ENSMUSG00000030432","19943"
"163","Rps14","ENSMUSG00000024608","20044"
"164","Cfl1","ENSMUSG00000056201","12631"
"165","Rpl8","ENSMUSG00000003970","26961"
"166","Fkbp1a","ENSMUSG00000032966","14225"
"167","Rps24","ENSMUSG00000025290","20088"
"168","Dcx","ENSMUSG00000031285","13193"
"169","Psap","ENSMUSG00000004207","19156"
"171","Elob","ENSMUSG00000055839","67673"
"172","Eif1b","ENSMUSG00000006941","68969"
"173","Gnas","ENSMUSG00000027523","14683"
"174","Zfp804b","ENSMUSG00000092094","207618"
"175","Ttc9b","ENSMUSG00000007944","73032"
"176","Ywhae","ENSMUSG00000020849","22627"
"177","Ndufs7","ENSMUSG00000020153","75406"
"178","Npm1","ENSMUSG00000057113","18148"
"179","Mlip","ENSMUSG00000032355","69642"
"180","Cd2ap","ENSMUSG00000061665","12488"
"182","Ddx17","ENSMUSG00000055065","67040"
"183","Rpl21","ENSMUSG00000041453","19933"
"184","Vwa8","ENSMUSG00000058997","219189"
"185","Atp5j","ENSMUSG00000022890","11957"
"186","Rpsa","ENSMUSG00000032518","16785"
"187","Egr3","ENSMUSG00000033730","13655"
"188","Septin7","ENSMUSG00000001833","235072"
"189","Chgb","ENSMUSG00000027350","12653"
"190","Ranbp17","ENSMUSG00000040594","66011"
"191","Hspe1","ENSMUSG00000073676","15528"
"192","Atp5b","ENSMUSG00000025393","11947"
"193","Pnma8b","ENSMUSG00000070802","434128"
"194","Junb","ENSMUSG00000052837","16477"
"195","Pcca","ENSMUSG00000041650","110821"
"196","Nrg1","ENSMUSG00000062991","211323"
"197","Cox7a2","ENSMUSG00000032330","12866"
"198","Cdk5r1","ENSMUSG00000048895","12569"
"199","Zfyve28","ENSMUSG00000037224","231125"
"200","Rpl11","ENSMUSG00000059291","67025"
"201","Rpl24","ENSMUSG00000098274","68193"
"202","Nrxn3","ENSMUSG00000066392","18191"
"203","Lhfp","ENSMUSG00000048332","108927"
"204","Hs6st3","ENSMUSG00000053465","50787"
"205","Myo1b","ENSMUSG00000018417","17912"
"206","9530062K07Rik","ENSMUSG00000108030","78739"
"207","Pak5","ENSMUSG00000039913","241656"
"208","Nav2","ENSMUSG00000052512","78286"
"209","Pdia3","ENSMUSG00000027248","14827"
"210","Ndufa13","ENSMUSG00000036199","67184"
"211","Rpl6","ENSMUSG00000029614","19988"
"212","Ndufb7","ENSMUSG00000033938","66916"
"213","Specc1","ENSMUSG00000042331","432572"
"214","Aplp1","ENSMUSG00000006651","11803"
"215","Arc","ENSMUSG00000022602","11838"
