"","SYMBOL","ENSEMBL","ENTREZID"
"1","Snhg11","ENSMUSG00000044349","319317"
"2","Calm1","ENSMUSG00000001175","12313"
"3","Calm2","ENSMUSG00000036438","12314"
"4","Gapdh","ENSMUSG00000057666","14433"
"5","Nrgn","ENSMUSG00000053310","64011"
"6","Fth1","ENSMUSG00000024661","14319"
"7","Atp6v0c","ENSMUSG00000024121","11984"
"8","Ppia","ENSMUSG00000071866","268373"
"9","Hsp90ab1","ENSMUSG00000023944","15516"
"10","Tmem267","ENSMUSG00000074634","633640"
"11","Tmsb4x","ENSMUSG00000049775","19241"
"12","Aldoa","ENSMUSG00000030695","11674"
"13","Stmn1","ENSMUSG00000028832","16765"
"14","Actb","ENSMUSG00000029580","11461"
"15","Dynll1","ENSMUSG00000009013","56455"
"16","Tuba1a","ENSMUSG00000072235","22142"
"17","Ubb","ENSMUSG00000019505","22187"
"18","Cox4i1","ENSMUSG00000031818","12857"
"19","Olfm1","ENSMUSG00000026833","56177"
"20","Hspa8","ENSMUSG00000015656","15481"
"21","Cck","ENSMUSG00000032532","12424"
"22","Rtn1","ENSMUSG00000021087","104001"
"23","Hspa5","ENSMUSG00000026864","14828"
"24","Meg3","ENSMUSG00000021268","17263"
"25","Meis2","ENSMUSG00000027210","17536"
"26","Bex2","ENSMUSG00000042750","12069"
"27","Pcp4","ENSMUSG00000090223","18546"
"28","Cox8a","ENSMUSG00000035885","12868"
"29","Fmn1","ENSMUSG00000044042","14260"
"30","Ckb","ENSMUSG00000001270","12709"
"31","Slc25a4","ENSMUSG00000031633","11739"
"32","Eif1","ENSMUSG00000035530","20918"
"33","Ywhah","ENSMUSG00000018965","22629"
"34","Hsp90aa1","ENSMUSG00000021270","15519"
"35","Basp1","ENSMUSG00000045763","70350"
"36","Snap25","ENSMUSG00000027273","20614"
"37","Ndufb9","ENSMUSG00000022354","66218"
"38","Rab3a","ENSMUSG00000031840","19339"
"39","Atp1b1","ENSMUSG00000026576","11931"
"40","Egr1","ENSMUSG00000038418","13653"
"42","Luc7l2","ENSMUSG00000029823","192196"
"44","Rtn4","ENSMUSG00000020458","68585"
"45","Atp5g1","ENSMUSG00000006057","11951"
"46","Rims1","ENSMUSG00000041670","116837"
"47","Rpl19","ENSMUSG00000017404","19921"
"49","Stmn2","ENSMUSG00000027500","20257"
"50","Rbfox1","ENSMUSG00000008658","268859"
"51","Nebl","ENSMUSG00000053702","74103"
"52","Actg1","ENSMUSG00000062825","11465"
"53","E230016M11Rik","ENSMUSG00000087231","320172"
"54","Nrg3","ENSMUSG00000041014","18183"
"55","Grip1","ENSMUSG00000034813","74053"
"56","Tubb5","ENSMUSG00000001525","22154"
"57","Garnl3","ENSMUSG00000038860","99326"
"58","Xkr4","ENSMUSG00000051951","497097"
"59","Gm9866","ENSMUSG00000094002","636791"
"60","Dnaja1","ENSMUSG00000028410","15502"
"61","Atp5b","ENSMUSG00000025393","11947"
"62","Atp6v1d","ENSMUSG00000021114","73834"
"63","Kcns3","ENSMUSG00000043673","238076"
"64","Tmem132b","ENSMUSG00000070498","208151"
"65","Camk2n1","ENSMUSG00000046447","66259"
"66","Agbl4","ENSMUSG00000061298","78933"
"67","C1ql3","ENSMUSG00000049630","227580"
"69","Gabrg3","ENSMUSG00000055026","14407"
"70","Kcnmb2","ENSMUSG00000037610","72413"
"71","Rsrp1","ENSMUSG00000037266","27981"
"73","Ptma","ENSMUSG00000026238","19231"
"75","Vwa8","ENSMUSG00000058997","219189"
"76","Cfl1","ENSMUSG00000056201","12631"
"77","Nxpe4","ENSMUSG00000044229","244853"
"78","Kcnip4","ENSMUSG00000029088","80334"
"79","C130071C03Rik","ENSMUSG00000050334","320203"
"80","Pdia6","ENSMUSG00000020571","71853"
"81","Ranbp17","ENSMUSG00000040594","66011"
"82","Ddx5","ENSMUSG00000020719","13207"
"83","A330008L17Rik","ENSMUSG00000052479","234624"
"84","Prkn","ENSMUSG00000023826","50873"
"85","Cpa6","ENSMUSG00000042501","329093"
"86","Adamts17","ENSMUSG00000058145","233332"
"87","Frmd4a","ENSMUSG00000026657","209630"
"88","Sub1","ENSMUSG00000022205","20024"
"89","Psma7","ENSMUSG00000027566","26444"
"90","Tnrc6c","ENSMUSG00000025571","217351"
"91","Spock1","ENSMUSG00000056222","20745"
"92","2210408I21Rik","ENSMUSG00000071252","72371"
"93","Atp6v1e1","ENSMUSG00000019210","11973"
"94","Ttc9b","ENSMUSG00000007944","73032"
"95","Col19a1","ENSMUSG00000026141","12823"
"96","Bbln","ENSMUSG00000039195","73737"
"97","Pbx3","ENSMUSG00000038718","18516"
"98","Vamp2","ENSMUSG00000020894","22318"
"99","Kcnip1","ENSMUSG00000053519","70357"
"100","Ywhae","ENSMUSG00000020849","22627"
"101","Atp8a2","ENSMUSG00000021983","50769"
