"","SYMBOL","ENSEMBL","ENTREZID"
"1","Calm2","ENSMUSG00000036438","12314"
"2","Hsp90ab1","ENSMUSG00000023944","15516"
"3","Gapdh","ENSMUSG00000057666","14433"
"4","Hspa5","ENSMUSG00000026864","14828"
"5","Tmem267","ENSMUSG00000074634","633640"
"6","Fth1","ENSMUSG00000024661","14319"
"7","Calm1","ENSMUSG00000001175","12313"
"8","Hspa8","ENSMUSG00000015656","15481"
"9","Nrgn","ENSMUSG00000053310","64011"
"10","Tmsb4x","ENSMUSG00000049775","19241"
"11","Ppia","ENSMUSG00000071866","268373"
"12","Actb","ENSMUSG00000029580","11461"
"13","Cox5a","ENSMUSG00000000088","12858"
"14","Atp6v1e1","ENSMUSG00000019210","11973"
"15","Atp1b1","ENSMUSG00000026576","11931"
"16","Stmn1","ENSMUSG00000028832","16765"
"17","Ywhab","ENSMUSG00000018326","54401"
"18","Egr1","ENSMUSG00000038418","13653"
"19","Dynll1","ENSMUSG00000009013","56455"
"20","Mdga2","ENSMUSG00000034912","320772"
"21","Hsp90b1","ENSMUSG00000020048","22027"
"22","Bex2","ENSMUSG00000042750","12069"
"23","Hspe1","ENSMUSG00000073676","15528"
"24","Ubb","ENSMUSG00000019505","22187"
"25","Gap43","ENSMUSG00000047261","14432"
"26","Nav3","ENSMUSG00000020181","260315"
"27","Ywhah","ENSMUSG00000018965","22629"
"28","Basp1","ENSMUSG00000045763","70350"
