"","SYMBOL","ENSEMBL","ENTREZID"
"1","Calm2","ENSMUSG00000036438","12314"
"2","Hsp90ab1","ENSMUSG00000023944","15516"
"3","Tmem267","ENSMUSG00000074634","633640"
"4","Calm1","ENSMUSG00000001175","12313"
"5","Fth1","ENSMUSG00000024661","14319"
"6","Nrgn","ENSMUSG00000053310","64011"
"7","Gapdh","ENSMUSG00000057666","14433"
"9","Ppia","ENSMUSG00000071866","268373"
"10","Tmsb4x","ENSMUSG00000049775","19241"
"11","Egr1","ENSMUSG00000038418","13653"
"12","Hsp90aa1","ENSMUSG00000021270","15519"
"13","Dynll1","ENSMUSG00000009013","56455"
"14","Cryab","ENSMUSG00000032060","12955"
"15","Marchf1","ENSMUSG00000036469","72925"
"16","Hspa5","ENSMUSG00000026864","14828"
"17","Stmn1","ENSMUSG00000028832","16765"
"18","Sytl2","ENSMUSG00000030616","83671"
"19","St6galnac3","ENSMUSG00000052544","20447"
"20","Rtn1","ENSMUSG00000021087","104001"
"21","Malat1","ENSMUSG00000092341","72289"
"22","Mbp","ENSMUSG00000041607","17196"
"23","Atp6v0c","ENSMUSG00000024121","11984"
"24","Basp1","ENSMUSG00000045763","70350"
"25","Aldoa","ENSMUSG00000030695","11674"
"26","Kirrel3","ENSMUSG00000032036","67703"
"27","Ubb","ENSMUSG00000019505","22187"
"28","Auts2","ENSMUSG00000029673","319974"
"29","Cox4i1","ENSMUSG00000031818","12857"
"30","Fnbp1","ENSMUSG00000075415","14269"
"31","Rps8","ENSMUSG00000047675","20116"
"32","Olfm1","ENSMUSG00000026833","56177"
"33","Hspa8","ENSMUSG00000015656","15481"
"34","Tpt1","ENSMUSG00000060126","22070"
"35","P4ha1","ENSMUSG00000019916","18451"
"36","Mdh1","ENSMUSG00000020321","17449"
"37","Ddx5","ENSMUSG00000020719","13207"
"38","Chchd2","ENSMUSG00000070493","14004"
"39","Ank3","ENSMUSG00000069601","11735"
"40","Cox8a","ENSMUSG00000035885","12868"
"41","Slc24a2","ENSMUSG00000037996","76376"
"42","Lrp1b","ENSMUSG00000049252","94217"
"43","Magi2","ENSMUSG00000040003","50791"
"44","Xkr4","ENSMUSG00000051951","497097"
"45","Opalin","ENSMUSG00000050121","226115"
"46","Cox5a","ENSMUSG00000000088","12858"
"47","Ano4","ENSMUSG00000035189","320091"
"48","Ywhah","ENSMUSG00000018965","22629"
"49","Atp5g1","ENSMUSG00000006057","11951"
"50","Ywhab","ENSMUSG00000018326","54401"
"51","Rpl38","ENSMUSG00000057322","67671"
"52","Vsnl1","ENSMUSG00000054459","26950"
"53","Atp6v1d","ENSMUSG00000021114","73834"
"54","Actb","ENSMUSG00000029580","11461"
"55","Smad7","ENSMUSG00000025880","17131"
"56","Prickle2","ENSMUSG00000030020","243548"
"57","Pcp4","ENSMUSG00000090223","18546"
"58","Dtna","ENSMUSG00000024302","13527"
"59","Tuba1a","ENSMUSG00000072235","22142"
"60","Hsph1","ENSMUSG00000029657","15505"
"61","Rab3a","ENSMUSG00000031840","19339"
"62","Arpc3","ENSMUSG00000029465","56378"
"63","Atp6v1e1","ENSMUSG00000019210","11973"
"64","Ctnna3","ENSMUSG00000060843","216033"
"65","Tenm2","ENSMUSG00000049336","23964"
"66","Syn2","ENSMUSG00000009394","20965"
"67","Bbln","ENSMUSG00000039195","73737"
"68","Tuba1b","ENSMUSG00000023004","22143"
"69","C030029H02Rik","ENSMUSG00000110027","77383"
"70","Ier5","ENSMUSG00000056708","15939"
"71","Tubb5","ENSMUSG00000001525","22154"
"72","Slc25a3","ENSMUSG00000061904","18674"
