"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","oxidative phosphorylation","12/149","140/28943",9.16622951473194e-12,2.50329728047329e-08,1.87570001859357e-08,"Cox4i1/Chchd2/Atp5h/Chchd10/Atp5k/Ndufb9/Cox7a2/Cycs/Ndufa5/Cox5b/Uqcrb/Snca",12
"GO:0006091","generation of precursor metabolites and energy","18/149","465/28943",3.73222880218292e-11,3.58904303339939e-08,2.68924036189882e-08,"Gapdh/Aldoa/Cox4i1/Chchd2/Atp5h/Chchd10/Atp5k/Ndufb9/Cox7a2/Cycs/Ndufa5/Slc1a3/Cox5b/Uqcrb/Ndufa4/Phkb/Snca/Norad",18
"GO:0045333","cellular respiration","14/149","245/28943",3.94255917253686e-11,3.58904303339939e-08,2.68924036189882e-08,"Cox4i1/Chchd2/Atp5h/Chchd10/Atp5k/Ndufb9/Cox7a2/Cycs/Ndufa5/Slc1a3/Cox5b/Uqcrb/Snca/Norad",14
"GO:0022904","respiratory electron transport chain","10/149","96/28943",7.44606463820035e-11,5.08380063173129e-08,3.80924990964776e-08,"Cox4i1/Chchd2/Ndufb9/Cycs/Ndufa5/Slc1a3/Cox5b/Uqcrb/Snca/Norad",10
"GO:1902904","negative regulation of supramolecular fiber organization","12/149","179/28943",1.64268055498995e-10,8.9723211913551e-08,6.72288631347465e-08,"Stmn1/Tmsb4x/Stmn2/Hspa8/Swap70/Carmil1/Cryab/Cfl1/Tubb4a/Ctnna2/Snca/Arpc2",12
"GO:0022900","electron transport chain","10/149","107/28943",2.21050451237133e-10,9.30181741459204e-08,6.96977511764225e-08,"Cox4i1/Chchd2/Ndufb9/Cycs/Ndufa5/Slc1a3/Cox5b/Uqcrb/Snca/Norad",10
"GO:0015980","energy derivation by oxidation of organic compounds","15/149","337/28943",2.57249603021879e-10,9.30181741459204e-08,6.96977511764225e-08,"Cox4i1/Chchd2/Atp5h/Chchd10/Atp5k/Ndufb9/Cox7a2/Cycs/Ndufa5/Slc1a3/Cox5b/Uqcrb/Phkb/Snca/Norad",15
"GO:0009060","aerobic respiration","12/149","187/28943",2.72480920237043e-10,9.30181741459204e-08,6.96977511764225e-08,"Cox4i1/Chchd2/Atp5h/Chchd10/Atp5k/Ndufb9/Cox7a2/Cycs/Ndufa5/Cox5b/Uqcrb/Snca",12
"GO:0022898","regulation of transmembrane transporter activity","14/149","303/28943",6.44641405440937e-10,1.95612853139911e-07,1.46571098500255e-07,"Calm1/Calm2/Ank2/Ywhah/Actb/Fgf14/Slc25a4/Fkbp1a/Cfl1/Atp1b1/Ndufa4/Ywhae/Snca/Nrxn1",14
"GO:0032409","regulation of transporter activity","14/149","317/28943",1.15679707991139e-09,3.15921282523802e-07,2.36717212983974e-07,"Calm1/Calm2/Ank2/Ywhah/Actb/Fgf14/Slc25a4/Fkbp1a/Cfl1/Atp1b1/Ndufa4/Ywhae/Snca/Nrxn1",14
"GO:0043270","positive regulation of ion transport","14/149","343/28943",3.18274787234476e-09,7.90189494488504e-07,5.92082475008442e-07,"Calm1/Calm2/Cck/Ank2/Pcp4/Rgs7/Fgf14/Grik1/Arl6ip1/Rtn4/Cfl1/Atp1b1/Ndufa4/Snca",14
"GO:1904062","regulation of cation transmembrane transport","15/149","414/28943",4.27068294584902e-09,9.71936260426139e-07,7.2826382866057e-07,"Calm1/Calm2/Ank2/Ywhah/Rgs7/Fgf14/Slc25a4/Fkbp1a/Cfl1/Atp1b1/Ndufa4/Ywhae/Snca/Rgs2/Nrxn1",15
"GO:0031333","negative regulation of protein-containing complex assembly","10/149","151/28943",6.50017171266446e-09,1.28541563901435e-06,9.63151343153227e-07,"Stmn1/Tmsb4x/Stmn2/Carmil1/Cryab/Cfl1/Tubb4a/Lmo4/Snca/Arpc2",10
"GO:0050808","synapse organization","16/149","496/28943",6.5894613497623e-09,1.28541563901435e-06,9.63151343153227e-07,"Malat1/Hspa8/Actb/Chchd10/Tuba1a/Rab3a/Tubb5/Septin7/Sncb/C1ql3/Ywhaz/Cfl1/Ctnna2/Snca/Dock10/Nrxn1",16
"GO:0032272","negative regulation of protein polymerization","8/149","84/28943",1.27889604511721e-08,2.32844339947673e-06,1.74468344681253e-06,"Stmn1/Tmsb4x/Stmn2/Carmil1/Cfl1/Tubb4a/Snca/Arpc2",8
"GO:1902903","regulation of supramolecular fiber organization","14/149","389/28943",1.56465060003948e-08,2.67066299294238e-06,2.00110576741891e-06,"Stmn1/Tmsb4x/Stmn2/Hspa8/Swap70/Carmil1/Actg1/Cryab/Cfl1/Tubb4a/Dstn/Ctnna2/Snca/Arpc2",14
"GO:0006457","protein folding","10/149","169/28943",1.91513567561572e-08,3.07660913535678e-06,2.30527786588047e-06,"Ppia/Hsp90ab1/Hspa8/Hsp90aa1/Hspa5/Cryab/Fkbp1a/Dnaja1/Hsp90b1/Nudc",10
"GO:1902600","proton transmembrane transport","8/149","90/28943",2.21562664371106e-08,3.23083485569402e-06,2.42083792690905e-06,"Atp6v0c/Atp5g1/Atp5g3/Slc25a4/Atp6v1e1/Atp1b1/Ndufa4/Atp6v1f",8
"GO:0042391","regulation of membrane potential","15/149","469/28943",2.24774303398705e-08,3.23083485569402e-06,2.42083792690905e-06,"Cck/Ank2/Ubb/Ywhah/Atp5g1/Rgs7/Fgf14/Chchd10/Kcnma1/Grik1/Atp1b1/Ywhae/Snca/Kcnk2/Nrxn1",15
"GO:0051494","negative regulation of cytoskeleton organization","10/149","177/28943",2.97373242660208e-08,4.06063162852513e-06,3.04259780911286e-06,"Stmn1/Tmsb4x/Stmn2/Swap70/Carmil1/Cfl1/Tubb4a/Ctnna2/Snca/Arpc2",10
"GO:0035304","regulation of protein dephosphorylation","8/149","96/28943",3.69289869843378e-08,4.80252683115364e-06,3.59849376930089e-06,"Calm1/Calm2/Ppia/Hsp90ab1/Swap70/Ywhae/Hsp90b1/Ywhab",8
"GO:0007409","axonogenesis","15/149","493/28943",4.32562712291225e-08,5.36967621485153e-06,4.02345412772317e-06,"Stmn1/Hsp90ab1/Olfm1/Cck/Uchl1/Actb/Hsp90aa1/Atp5g1/Rab3a/Septin7/Chn1/Rtn4/Sema6d/Lama3/Ctnna2",15
"GO:0031346","positive regulation of cell projection organization","14/149","441/28943",7.42200264039052e-08,8.81282139604631e-06,6.60337443154196e-06,"Dynll1/Stmn2/Pcp4/Hspa5/Atp5g1/Eef1a1/Carmil1/Septin7/Cfl1/Nme1/Enc1/Rgs2/Arpc2/Nrxn1",14
"GO:0009205","purine ribonucleoside triphosphate metabolic process","11/149","251/28943",8.06712973150654e-08,9.1713452943092e-06,6.87201343334313e-06,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Atp1b1/Nme1",11
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","7/149","71/28943",8.39559254330758e-08,9.1713452943092e-06,6.87201343334313e-06,"Cox4i1/Chchd2/Ndufb9/Cycs/Cox5b/Uqcrb/Snca",7
"GO:0042773","ATP synthesis coupled electron transport","7/149","73/28943",1.01981475655114e-07,9.3870662313615e-06,7.03365135337615e-06,"Cox4i1/Chchd2/Ndufb9/Cycs/Cox5b/Uqcrb/Snca",7
"GO:0009144","purine nucleoside triphosphate metabolic process","11/149","257/28943",1.02433833069407e-07,9.3870662313615e-06,7.03365135337615e-06,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Atp1b1/Nme1",11
"GO:0009199","ribonucleoside triphosphate metabolic process","11/149","257/28943",1.02433833069407e-07,9.3870662313615e-06,7.03365135337615e-06,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Atp1b1/Nme1",11
"GO:0010563","negative regulation of phosphorus metabolic process","14/149","453/28943",1.0311680224857e-07,9.3870662313615e-06,7.03365135337615e-06,"Ppia/Dynll1/Uchl1/Pcp4/Actb/Swap70/Camk2n1/Il18/Pebp1/Dnaja1/Ywhae/Snca/Rgs2/Ywhab",14
"GO:0045936","negative regulation of phosphate metabolic process","14/149","453/28943",1.0311680224857e-07,9.3870662313615e-06,7.03365135337615e-06,"Ppia/Dynll1/Uchl1/Pcp4/Actb/Swap70/Camk2n1/Il18/Pebp1/Dnaja1/Ywhae/Snca/Rgs2/Ywhab",14
"GO:0042026","protein refolding","5/149","24/28943",1.32766139710853e-07,1.16962686306561e-05,8.76391767734801e-06,"Hspa8/Hsp90aa1/Hspa5/Cryab/Dnaja1",5
"GO:0034767","positive regulation of ion transmembrane transport","10/149","213/28943",1.69169915989844e-07,1.39286967848069e-05,1.04366576922526e-05,"Calm1/Calm2/Ank2/Rgs7/Fgf14/Arl6ip1/Cfl1/Atp1b1/Ndufa4/Snca",10
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","8/149","117/28943",1.7340742976325e-07,1.39286967848069e-05,1.04366576922526e-05,"Aldoa/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Nme1",8
"GO:0051952","regulation of amine transport","8/149","117/28943",1.7340742976325e-07,1.39286967848069e-05,1.04366576922526e-05,"Cck/Pcp4/Rab3a/Grik1/Arl6ip1/Rtn4/Snca/Rgs2",8
"GO:0009145","purine nucleoside triphosphate biosynthetic process","8/149","118/28943",1.85215395465241e-07,1.44520927147307e-05,1.08288339484039e-05,"Aldoa/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Nme1",8
"GO:0009141","nucleoside triphosphate metabolic process","11/149","275/28943",2.02230846098758e-07,1.53414566859919e-05,1.14952270414031e-05,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Atp1b1/Nme1",11
"GO:0072521","purine-containing compound metabolic process","14/149","483/28943",2.2470291064266e-07,1.65855040260839e-05,1.24273814591559e-05,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Hint1/Carmil1/Ndufa5/Atp1b1/Nme1/Snca",14
"GO:0009201","ribonucleoside triphosphate biosynthetic process","8/149","122/28943",2.39611122327452e-07,1.67789224378531e-05,1.2572308280825e-05,"Aldoa/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Nme1",8
"GO:0015837","amine transport","8/149","122/28943",2.39611122327452e-07,1.67789224378531e-05,1.2572308280825e-05,"Cck/Pcp4/Rab3a/Grik1/Arl6ip1/Rtn4/Snca/Rgs2",8
"GO:0046034","ATP metabolic process","10/149","224/28943",2.69632398550719e-07,1.84091520110503e-05,1.37938258626999e-05,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Atp1b1",10
"GO:0051261","protein depolymerization","8/149","126/28943",3.07165385381461e-07,2.04602114018724e-05,1.53306677581915e-05,"Stmn1/Stmn2/Hspa8/Swap70/Carmil1/Cfl1/Dstn/Arpc2",8
"GO:0009150","purine ribonucleotide metabolic process","13/149","425/28943",3.37900888807469e-07,2.14606355193767e-05,1.60802773033469e-05,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Hint1/Ndufa5/Atp1b1/Nme1/Snca",13
"GO:0043254","regulation of protein-containing complex assembly","13/149","425/28943",3.37900888807469e-07,2.14606355193767e-05,1.60802773033469e-05,"Stmn1/Tmsb4x/Cck/Stmn2/Hsp90aa1/Rab3a/Carmil1/Cryab/Cfl1/Tubb4a/Lmo4/Snca/Arpc2",13
"GO:0051651","maintenance of location in cell","10/149","232/28943",3.72465116867576e-07,2.3071475047226e-05,1.72872660840669e-05,"Calm1/Fth1/Calm2/Tmsb4x/Ank2/Hspa5/Chchd10/Syne1/Fkbp1a/Snca",10
"GO:0032412","regulation of ion transmembrane transporter activity","11/149","293/28943",3.80159786570916e-07,2.3071475047226e-05,1.72872660840669e-05,"Calm1/Calm2/Ank2/Ywhah/Fgf14/Fkbp1a/Cfl1/Atp1b1/Ndufa4/Ywhae/Nrxn1",11
"GO:0009142","nucleoside triphosphate biosynthetic process","8/149","132/28943",4.3882175564229e-07,2.60526568404151e-05,1.952104102903e-05,"Aldoa/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Nme1",8
"GO:0035303","regulation of dephosphorylation","8/149","136/28943",5.51197009850631e-07,3.20280645511079e-05,2.39983647737878e-05,"Calm1/Calm2/Ppia/Hsp90ab1/Swap70/Ywhae/Hsp90b1/Ywhab",8
"GO:0009259","ribonucleotide metabolic process","13/149","445/28943",5.67494283277112e-07,3.2288060158954e-05,2.41931773397085e-05,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Hint1/Ndufa5/Atp1b1/Nme1/Snca",13
"GO:0006163","purine nucleotide metabolic process","13/149","449/28943",6.2741330235534e-07,3.49686883414783e-05,2.6201749941542e-05,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Hint1/Ndufa5/Atp1b1/Nme1/Snca",13
"GO:0019693","ribose phosphate metabolic process","13/149","456/28943",7.45996858341808e-07,4.07463484026296e-05,3.05309030024521e-05,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Hint1/Ndufa5/Atp1b1/Nme1/Snca",13
"GO:0032411","positive regulation of transporter activity","8/149","143/28943",8.0737107971827e-07,4.32339297786391e-05,3.23948272233708e-05,"Calm1/Calm2/Ank2/Fgf14/Slc25a4/Cfl1/Atp1b1/Ndufa4",8
"GO:1901019","regulation of calcium ion transmembrane transporter activity","7/149","99/28943",8.33448135128574e-07,4.37720549430026e-05,3.27980399734807e-05,"Calm1/Calm2/Ank2/Fgf14/Fkbp1a/Atp1b1/Ywhae",7
"GO:0031115","negative regulation of microtubule polymerization","4/149","15/28943",8.81033386803873e-07,4.53981543275731e-05,3.40164628390611e-05,"Stmn1/Stmn2/Tubb4a/Snca",4
"GO:0009152","purine ribonucleotide biosynthetic process","9/149","200/28943",1.01635528466701e-06,5.14012274523261e-05,3.85145160505394e-05,"Aldoa/Atp5g1/Atp5h/Atp5k/Atp5g3/Ndufb9/Ndufa5/Nme1/Snca",9
