"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","76/1745","146/28943",3.5528822270557e-53,2.03793324543915e-49,1.44621006021309e-49,"Rplp1/Rpl23/Fau/Rps8/Pkm/Rpl19/Rps3a1/Rpl28/Rps14/Rpl8/Rps24/Rpl21/Rpsa/Rpl11/Rpl24/Rpl6/Rps4x/Rps27a/Rplp2/Rpl3/Rps2/Rpl38/Rpl32/Rpl41/Rpl18a/Rpl14/Rpl26/Rpl9/Rpl7/Rps29/Rps16/Rpl7a/Rps11/Rps3/Dph6/Rpl18/Rps15/Rps5/Rps9/Rps10/Rps15a/Rps25/Rps7/Rpl30/Rpl29/Rpl12/Zc3h15/Rpl36a/Rps21/Rps17/Rps26/Rpl34/Rpl35a/Rps18/Hnrnpd/Rps13/Eif2s2/Eef2/Rpl39/Rpl27/Eif2s3y/Rpl5/Rpl4/Rpl37a/Rps19/Eif4a2/Cpeb1/Rwdd1/Rpl27a/Eif4a1/Rpl36/Rpl15/Pabpc1/Rps28/Ybx1/Eif4h",76
"GO:0006091","generation of precursor metabolites and energy","107/1745","465/28943",4.48803579209409e-34,1.28716866517259e-30,9.13433389896203e-31,"Gapdh/Aldoa/Cox4i1/Chchd2/Norad/Chchd10/Mdh1/Ndufa4/Atp5h/Pgam1/Pkm/Gabarapl1/Cox5b/Uqcrb/Cox5a/Ndufb9/Gnas/Ndufs7/Atp5j/Atp5b/Cox7a2/Ndufa13/Ndufb7/Uqcr11/Mdh2/Per2/Ndufa5/Ndufc2/Tpi1/Ndufb8/Ndufa11/Atp5d/Hmgb1/Uqcrfs1/Ndufb10/Atp5k/Ndufb11/Ndufa8/Ndufab1/Mt3/Vgf/Uqcrh/Ndufs5/Atp5e/Grb10/Uqcrq/Uqcr10/Cox7c/Slc4a4/Cycs/Atp5pb/Irs2/Ndufv1/Cyc1/Snca/Pgk1/Cox6a1/Ndufa6/Cisd1/Ndufa2/Il4/Immp2l/Atp5c1/Eno2/Atp5a1/Park7/Ndufs2/Sod2/Pdha1/Gpi1/Ndufv2/Dhtkd1/App/Ppp1ca/Prelid1/Ndufb6/Epm2a/Ndufb2/Hmgcll1/Hkdc1/Ldha/Ndufa12/Atp5j2/Agl/Nfatc3/Suclg1/Gbe1/Rbks/Eno1/Ier3/Uqcc2/Ndufa1/Epm2aip1/Ccnb1/Ndufa3/Sdhb/Uqcrc2/Zbtb7a/Ptges3/Ndufb1/Adpgk/Phka1/Iscu/Vcp/Tkt/Adrb1/Nr4a3",107
"GO:0006119","oxidative phosphorylation","58/1745","140/28943",6.87550081996659e-34,1.31459575677761e-30,9.32896900730204e-31,"Cox4i1/Chchd2/Chchd10/Atp5h/Cox5b/Uqcrb/Cox5a/Ndufb9/Ndufs7/Atp5j/Atp5b/Cox7a2/Ndufa13/Ndufb7/Uqcr11/Ndufa5/Ndufc2/Ndufb8/Ndufa11/Atp5d/Uqcrfs1/Ndufb10/Atp5k/Ndufb11/Ndufa8/Ndufab1/Uqcrh/Ndufs5/Atp5e/Uqcrq/Uqcr10/Cox7c/Cycs/Atp5pb/Ndufv1/Cyc1/Snca/Cox6a1/Ndufa6/Ndufa2/Atp5c1/Atp5a1/Park7/Ndufs2/Ndufv2/Ndufb6/Ndufb2/Ndufa12/Atp5j2/Uqcc2/Ndufa1/Ccnb1/Ndufa3/Sdhb/Uqcrc2/Ndufb1/Iscu/Vcp",58
"GO:0015980","energy derivation by oxidation of organic compounds","87/1745","337/28943",8.02640966294987e-32,1.15098714566701e-28,8.16792793858609e-29,"Cox4i1/Chchd2/Norad/Chchd10/Mdh1/Atp5h/Gabarapl1/Cox5b/Uqcrb/Cox5a/Ndufb9/Gnas/Ndufs7/Atp5j/Atp5b/Cox7a2/Ndufa13/Ndufb7/Uqcr11/Mdh2/Per2/Ndufa5/Ndufc2/Ndufb8/Ndufa11/Atp5d/Hmgb1/Uqcrfs1/Ndufb10/Atp5k/Ndufb11/Ndufa8/Ndufab1/Mt3/Uqcrh/Ndufs5/Atp5e/Grb10/Uqcrq/Uqcr10/Cox7c/Cycs/Atp5pb/Irs2/Ndufv1/Cyc1/Snca/Cox6a1/Ndufa6/Cisd1/Ndufa2/Il4/Immp2l/Atp5c1/Atp5a1/Park7/Ndufs2/Sod2/Pdha1/Ndufv2/Dhtkd1/Ppp1ca/Prelid1/Ndufb6/Epm2a/Ndufb2/Ldha/Ndufa12/Atp5j2/Agl/Nfatc3/Suclg1/Gbe1/Uqcc2/Ndufa1/Epm2aip1/Ccnb1/Ndufa3/Sdhb/Uqcrc2/Ptges3/Ndufb1/Phka1/Iscu/Vcp/Adrb1/Nr4a3",87
"GO:0009060","aerobic respiration","63/1745","187/28943",1.5544007162233e-30,1.78320850165136e-27,1.26544580413379e-27,"Cox4i1/Chchd2/Chchd10/Mdh1/Atp5h/Cox5b/Uqcrb/Cox5a/Ndufb9/Ndufs7/Atp5j/Atp5b/Cox7a2/Ndufa13/Ndufb7/Uqcr11/Mdh2/Ndufa5/Ndufc2/Ndufb8/Ndufa11/Atp5d/Uqcrfs1/Ndufb10/Atp5k/Ndufb11/Ndufa8/Ndufab1/Uqcrh/Ndufs5/Atp5e/Uqcrq/Uqcr10/Cox7c/Cycs/Atp5pb/Ndufv1/Cyc1/Snca/Cox6a1/Ndufa6/Ndufa2/Atp5c1/Atp5a1/Park7/Ndufs2/Pdha1/Ndufv2/Dhtkd1/Ndufb6/Ndufb2/Ndufa12/Atp5j2/Suclg1/Uqcc2/Ndufa1/Ccnb1/Ndufa3/Sdhb/Uqcrc2/Ndufb1/Iscu/Vcp",63
"GO:0045333","cellular respiration","71/1745","245/28943",1.41468028931853e-29,1.35243435658852e-26,9.59748891016624e-27,"Cox4i1/Chchd2/Norad/Chchd10/Mdh1/Atp5h/Cox5b/Uqcrb/Cox5a/Ndufb9/Ndufs7/Atp5j/Atp5b/Cox7a2/Ndufa13/Ndufb7/Uqcr11/Mdh2/Ndufa5/Ndufc2/Ndufb8/Ndufa11/Atp5d/Uqcrfs1/Ndufb10/Atp5k/Ndufb11/Ndufa8/Ndufab1/Uqcrh/Ndufs5/Atp5e/Uqcrq/Uqcr10/Cox7c/Cycs/Atp5pb/Ndufv1/Cyc1/Snca/Cox6a1/Ndufa6/Cisd1/Ndufa2/Il4/Immp2l/Atp5c1/Atp5a1/Park7/Ndufs2/Sod2/Pdha1/Ndufv2/Dhtkd1/Prelid1/Ndufb6/Ndufb2/Ndufa12/Atp5j2/Nfatc3/Suclg1/Uqcc2/Ndufa1/Ccnb1/Ndufa3/Sdhb/Uqcrc2/Ndufb1/Iscu/Vcp/Nr4a3",71
"GO:0050808","synapse organization","100/1745","496/28943",5.155265058767e-27,4.22437148244107e-24,2.99780601236872e-24,"Hspa8/Ptprd/Actb/Tuba1a/Rab3a/Chchd10/Tubb5/C1ql3/Grin1/Sorbs2/Grin2b/Homer1/Nefl/Nrxn1/Cfl1/Septin7/Nrg1/Cdk5r1/Nrxn3/Arc/Gap43/Pafah1b1/Baiap2/Sncb/Sparcl1/Prnp/Il1rapl1/Rock2/Cacnb4/Pgrmc1/Dgkb/Tnr/Nptxr/Eef2k/Lingo2/Arf1/Lrrtm4/Cnksr2/Arhgap44/Snca/Sipa1l1/Ptk2/Unc13b/Marcks/Clstn1/Erc2/Pfn2/Prrt1/Ppfia2/Ptn/Pak1/Pcdh17/Ywhaz/Bhlhb9/Cntnap4/Ctnna2/Nptx1/Ntrk3/Vstm5/Frmpd4/Pfn1/Nrg2/Hnrnpk/App/Chmp4b/Lrrtm3/Caprin2/Apoe/Nos1ap/Fgfr2/Nrxn2/Atp2b2/Malat1/Cdc42/Sdk1/Sez6l2/Nedd4/Rheb/Lrp4/Lrrc4c/Sybu/Npas4/Adgrb3/Arf4/Cbln2/Setd5/Magi2/Dlg4/Nectin1/Cript/Pcdh8/Cntnap2/Cntn5/Chd4/Zdhhc15/Lrfn2/Vcp/Myo6/Snap91/Gabra2",100
"GO:0015986","proton motive force-driven ATP synthesis","37/1745","70/28943",7.31644705656086e-27,5.24589253955414e-24,3.72272378522643e-24,"Atp5g1/Atp5h/Atp5g3/Ndufb9/Ndufs7/Atp5j/Atp5b/Ndufa13/Ndufb7/Ndufa5/Ndufc2/Ndufb8/Ndufa11/Atp5d/Ndufb10/Atp5k/Ndufb11/Ndufa8/Ndufab1/Ndufs5/Atp5e/Atp5pb/Ndufv1/Ndufa6/Ndufa2/Atp5c1/Atp5a1/Ndufs2/Ndufv2/Ndufb6/Ndufb2/Ndufa12/Atp5j2/Ndufa1/Ndufa3/Sdhb/Ndufb1",37
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","35/1745","65/28943",7.50915968591868e-26,4.78583777315884e-23,3.39624801233304e-23,"Atp5h/Ndufb9/Ndufs7/Atp5j/Atp5b/Ndufa13/Ndufb7/Ndufa5/Ndufc2/Ndufb8/Ndufa11/Atp5d/Ndufb10/Atp5k/Ndufb11/Ndufa8/Ndufab1/Ndufs5/Atp5e/Atp5pb/Ndufv1/Ndufa6/Ndufa2/Atp5c1/Atp5a1/Ndufs2/Ndufv2/Ndufb6/Ndufb2/Ndufa12/Atp5j2/Ndufa1/Ndufa3/Sdhb/Ndufb1",35
"GO:0006754","ATP biosynthetic process","43/1745","106/28943",4.97554725020551e-25,2.85397390271788e-22,2.02530960174155e-22,"Aldoa/Atp5g1/Atp5h/Atp5g3/Pkm/Ndufb9/Ndufs7/Atp5j/Atp5b/Ndufa13/Ndufb7/Ndufa5/Ndufc2/Ndufb8/Ndufa11/Atp5d/Ndufb10/Atp5k/Ndufb11/Ndufa8/Ndufab1/Ndufs5/Atp5e/Atp5pb/Ndufv1/Ndufa6/Ndufa2/Il4/Atp5c1/Atp5a1/Ndufs2/Ndufv2/Ndufb6/Ndufb2/Ndufa12/Atp5j2/Eno1/Ndufa1/Ndufa3/Sdhb/Ndufb1/Pid1/Vcp",43
