"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","axonogenesis","25/239","493/28943",5.80784213229013e-13,1.73480244491506e-09,1.35842370715249e-09,"Hsp90ab1/Stmn1/Actb/Olfm1/Cck/Hsp90aa1/Rab3a/Rtn4/Atp5g1/Atp8a2/Lrrc4c/Uchl1/Epha10/Aplp1/Grin1/Ntrk2/Cntn5/Ablim1/Robo1/Chn1/Cntn6/Map1b/Etv1/Tenm2/Cntn4",25
"GO:0050808","synapse organization","20/239","496/28943",6.89433688233523e-09,9.43717333128104e-06,7.38970596870878e-06,"Actb/Tuba1a/Hspa8/Rab3a/Tubb5/C1ql3/Cfl1/Lrrc4c/Ptn/Grin1/Arhgap44/Ptprd/Ntrk2/Lingo2/Ywhaz/Cntn5/Erc2/Magi2/Slc6a1/Arc",20
"GO:0050803","regulation of synapse structure or activity","15/239","272/28943",9.49661254181734e-09,9.43717333128104e-06,7.38970596870878e-06,"Tuba1a/Hspa8/Tubb5/C1ql3/Cfl1/Ptn/Grin1/Arhgap44/Ptprd/Ntrk2/Lingo2/Ywhaz/Magi2/Arc/Slc17a7",15
"GO:0007611","learning or memory","16/239","321/28943",1.26376609725893e-08,9.43717333128104e-06,7.38970596870878e-06,"Cck/Meis2/Snap25/Egr1/Camk2n1/Prkn/Ptn/Grin1/Csmd1/Ntrk2/Ddhd2/Kcnab1/Aff2/Slc6a1/Arc/Slc17a7",16
"GO:0050807","regulation of synapse organization","14/239","264/28943",4.87252012554068e-08,2.26463319187947e-05,1.77330359711599e-05,"Tuba1a/Hspa8/Tubb5/C1ql3/Cfl1/Ptn/Grin1/Arhgap44/Ptprd/Ntrk2/Lingo2/Ywhaz/Magi2/Arc",14
"GO:0050890","cognition","16/239","358/28943",5.75281651504693e-08,2.26463319187947e-05,1.77330359711599e-05,"Cck/Meis2/Snap25/Egr1/Camk2n1/Prkn/Ptn/Grin1/Csmd1/Ntrk2/Ddhd2/Kcnab1/Aff2/Slc6a1/Arc/Slc17a7",16
"GO:0007616","long-term memory","7/239","43/28943",5.99868642938871e-08,2.26463319187947e-05,1.77330359711599e-05,"Snap25/Egr1/Camk2n1/Grin1/Ntrk2/Arc/Slc17a7",7
"GO:1902600","proton transmembrane transport","9/239","90/28943",6.06530483261994e-08,2.26463319187947e-05,1.77330359711599e-05,"Atp6v0c/Slc25a4/Atp1b1/Atp5g1/Atp5b/Atp6v1e1/Atp1a1/Tesc/Slc17a7",9
"GO:0007613","memory","11/239","160/28943",1.01834187049403e-07,3.37976351907296e-05,2.64649782016109e-05,"Cck/Snap25/Egr1/Camk2n1/Ptn/Grin1/Csmd1/Ntrk2/Slc6a1/Arc/Slc17a7",11
"GO:0006813","potassium ion transport","13/239","244/28943",1.4022750164462e-07,4.18859547412479e-05,3.27984745951942e-05,"Calm1/Calm2/Atp1b1/Kcns3/Kcnmb2/Kcnip4/Vamp2/Kcnip1/Ywhae/Atp1a1/Kcnt2/Akap7/Kcnab1",13
