"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","protein folding","8/83","169/28943",3.11021268326562e-08,4.53580233060374e-05,2.9803888347049e-05,"Ppia/Hsp90ab1/Hspa8/Hspa5/Hsp90aa1/Fkbp1a/Hspe1/Dnaja1",8
"GO:1903320","regulation of protein modification by small protein conjugation or removal","9/83","252/28943",4.67608487691107e-08,4.53580233060374e-05,2.9803888347049e-05,"Ppia/Hsp90ab1/Hspa5/Egr1/Hsp90aa1/Ubb/Tgfbr1/Prkn/Dnaja1",9
"GO:0031396","regulation of protein ubiquitination","8/83","218/28943",2.21240098389136e-07,0.000143068596958308,9.40076347892083e-05,"Ppia/Hsp90ab1/Hspa5/Hsp90aa1/Ubb/Tgfbr1/Prkn/Dnaja1",8
"GO:1901019","regulation of calcium ion transmembrane transporter activity","6/83","99/28943",4.19205470360656e-07,0.000203314653124918,0.000133594164370199,"Calm1/Calm2/Atp1b1/Fkbp1a/Ppp3r1/Ywhae",6
"GO:0042026","protein refolding","4/83","24/28943",6.39402096946206e-07,0.000248088013615128,0.000163013881979338,"Hspa8/Hspa5/Hsp90aa1/Dnaja1",4
"GO:0033673","negative regulation of kinase activity","7/83","226/28943",4.04680002060371e-06,0.00113944742921238,0.000748709081267604,"Ppia/Camk2n1/Actb/Uchl1/Prkn/Pcp4/Dnaja1",7
"GO:0006734","NADH metabolic process","4/83","39/28943",4.78990963144373e-06,0.00113944742921238,0.000748709081267604,"Gapdh/Aldoa/Mdh1/Mdh2",4
"GO:1901020","negative regulation of calcium ion transmembrane transporter activity","4/83","40/28943",5.31052457859481e-06,0.00113944742921238,0.000748709081267604,"Calm1/Calm2/Ppp3r1/Ywhae",4
"GO:0010563","negative regulation of phosphorus metabolic process","9/83","453/28943",6.14596867292851e-06,0.00113944742921238,0.000748709081267604,"Ppia/Dynll1/Camk2n1/Actb/Uchl1/Prkn/Pcp4/Ywhae/Dnaja1",9
"GO:0045936","negative regulation of phosphate metabolic process","9/83","453/28943",6.14596867292851e-06,0.00113944742921238,0.000748709081267604,"Ppia/Dynll1/Camk2n1/Actb/Uchl1/Prkn/Pcp4/Ywhae/Dnaja1",9
"GO:0035304","regulation of protein dephosphorylation","5/83","96/28943",8.55088995159739e-06,0.00113944742921238,0.000748709081267604,"Calm1/Calm2/Ppia/Hsp90ab1/Ywhae",5
"GO:0048102","autophagic cell death","3/83","15/28943",1.00923733390242e-05,0.00113944742921238,0.000748709081267604,"Calm1/Calm2/Atp6v0c",3
"GO:0035774","positive regulation of insulin secretion involved in cellular response to glucose stimulus","4/83","47/28943",1.02074764974375e-05,0.00113944742921238,0.000748709081267604,"Dynll1/Camk2n1/Vsnl1/Prkn",4
"GO:1903532","positive regulation of secretion by cell","8/83","365/28943",1.02606042554488e-05,0.00113944742921238,0.000748709081267604,"Ppia/Dynll1/Cck/Snap25/Camk2n1/Vsnl1/Prkn/Pcp4",8
"GO:0022618","ribonucleoprotein complex assembly","6/83","172/28943",1.04314280430909e-05,0.00113944742921238,0.000748709081267604,"Hsp90ab1/Luc7l2/Hsp90aa1/Rpl10/Snu13/Psip1",6
"GO:0051348","negative regulation of transferase activity","7/83","262/28943",1.06219614608606e-05,0.00113944742921238,0.000748709081267604,"Ppia/Camk2n1/Actb/Uchl1/Prkn/Pcp4/Dnaja1",7
"GO:0009266","response to temperature stimulus","6/83","174/28943",1.11413160952648e-05,0.00113944742921238,0.000748709081267604,"Hsp90ab1/Hsp90aa1/Thra/Psip1/Ywhae/Dnaja1",6
"GO:0009408","response to heat","5/83","102/28943",1.14963785402072e-05,0.00113944742921238,0.000748709081267604,"Hsp90ab1/Hsp90aa1/Psip1/Ywhae/Dnaja1",5
"GO:0035307","positive regulation of protein dephosphorylation","4/83","49/28943",1.20724880533039e-05,0.00113944742921238,0.000748709081267604,"Calm1/Calm2/Ppia/Hsp90ab1",4
"GO:0007409","axonogenesis","9/83","493/28943",1.20789069100576e-05,0.00113944742921238,0.000748709081267604,"Olfm1/Stmn1/Hsp90ab1/Cck/Hsp90aa1/Actb/Uchl1/Macf1/Chn1",9
"GO:1902904","negative regulation of supramolecular fiber organization","6/83","179/28943",1.30883661104408e-05,0.00113944742921238,0.000748709081267604,"Nav3/Stmn1/Tmsb4x/Hspa8/Stmn2/Prkn",6
"GO:1901021","positive regulation of calcium ion transmembrane transporter activity","4/83","50/28943",1.30936938916603e-05,0.00113944742921238,0.000748709081267604,"Calm1/Calm2/Atp1b1/Ppp3r1",4
"GO:0071826","ribonucleoprotein complex subunit organization","6/83","180/28943",1.35089128205592e-05,0.00113944742921238,0.000748709081267604,"Hsp90ab1/Luc7l2/Hsp90aa1/Rpl10/Snu13/Psip1",6
"GO:0042326","negative regulation of phosphorylation","8/83","394/28943",1.77925616130466e-05,0.00132893403690783,0.000873217101842311,"Ppia/Dynll1/Camk2n1/Actb/Uchl1/Prkn/Pcp4/Dnaja1",8
"GO:0000375","RNA splicing, via transesterification reactions","7/83","287/28943",1.91172620047361e-05,0.00132893403690783,0.000873217101842311,"Malat1/Hspa8/Luc7l2/Ddx5/Snrpn/Snu13/Psip1",7
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","7/83","287/28943",1.91172620047361e-05,0.00132893403690783,0.000873217101842311,"Malat1/Hspa8/Luc7l2/Ddx5/Snrpn/Snu13/Psip1",7
"GO:0000398","mRNA splicing, via spliceosome","7/83","287/28943",1.91172620047361e-05,0.00132893403690783,0.000873217101842311,"Malat1/Hspa8/Luc7l2/Ddx5/Snrpn/Snu13/Psip1",7
"GO:0007019","microtubule depolymerization","4/83","55/28943",1.91804912543398e-05,0.00132893403690783,0.000873217101842311,"Nav3/Stmn1/Stmn3/Stmn2",4
"GO:1903170","negative regulation of calcium ion transmembrane transport","4/83","57/28943",2.21182444109891e-05,0.00147666380838572,0.000970287505130282,"Calm1/Calm2/Ppp3r1/Ywhae",4
"GO:0051098","regulation of binding","8/83","408/28943",2.2835007346171e-05,0.00147666380838572,0.000970287505130282,"Calm1/Stmn1/Hsp90ab1/Nme1/Actb/Tgfbr1/Prkn/Tle5",8
"GO:0060314","regulation of ryanodine-sensitive calcium-release channel activity","3/83","20/28943",2.50257504592884e-05,0.00152287324167831,0.00100065083867197,"Calm1/Calm2/Fkbp1a",3
"GO:1903169","regulation of calcium ion transmembrane transport","6/83","201/28943",2.51923377564369e-05,0.00152287324167831,0.00100065083867197,"Calm1/Calm2/Atp1b1/Fkbp1a/Ppp3r1/Ywhae",6
"GO:0006469","negative regulation of protein kinase activity","6/83","202/28943",2.59045448326723e-05,0.00152287324167831,0.00100065083867197,"Ppia/Camk2n1/Actb/Uchl1/Pcp4/Dnaja1",6
"GO:0022898","regulation of transmembrane transporter activity","7/83","303/28943",2.70461909125598e-05,0.00154322383442253,0.00101402282337801,"Calm1/Calm2/Actb/Atp1b1/Fkbp1a/Ppp3r1/Ywhae",7
"GO:0051047","positive regulation of secretion","8/83","420/28943",2.80645778833662e-05,0.00155557945982087,0.00102214146817313,"Ppia/Dynll1/Cck/Snap25/Camk2n1/Vsnl1/Prkn/Pcp4",8
"GO:0043254","regulation of protein-containing complex assembly","8/83","425/28943",3.05220121274569e-05,0.001637829481478,0.0010761863820238,"Nav3/Stmn1/Tmsb4x/Cck/Stmn2/Hsp90aa1/Lmo4/Thra",8
"GO:0051261","protein depolymerization","5/83","126/28943",3.19448295415979e-05,0.001637829481478,0.0010761863820238,"Nav3/Stmn1/Hspa8/Stmn3/Stmn2",5
"GO:0072594","establishment of protein localization to organelle","8/83","428/28943",3.20811960289506e-05,0.001637829481478,0.0010761863820238,"Hsp90ab1/Hspa8/Hspa5/Hsp90aa1/Ddx5/Macf1/Ppp3r1/Dnaja1",8
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/83","22/28943",3.36669540496736e-05,0.00167471515016325,0.00110042324842523,"Calm1/Calm2/Hsp90ab1",3
"GO:0061077","chaperone-mediated protein folding","4/83","64/28943",3.50389211866234e-05,0.00169938767755123,0.00111663509360529,"Hspa8/Hspa5/Fkbp1a/Hspe1",4
"GO:0032409","regulation of transporter activity","7/83","317/28943",3.60428316005365e-05,0.00170544130012294,0.00112061281304877,"Calm1/Calm2/Actb/Atp1b1/Fkbp1a/Ppp3r1/Ywhae",7
"GO:0035306","positive regulation of dephosphorylation","4/83","65/28943",3.72553292009977e-05,0.00172054483223754,0.00113053705471496,"Calm1/Calm2/Ppia/Hsp90ab1",4
"GO:0022411","cellular component disassembly","8/83","439/28943",3.83814619289164e-05,0.00172054483223754,0.00113053705471496,"Nav3/Stmn1/Hspa8/Stmn3/Stmn2/Tgfbr1/Prkn/Gabarapl1",8
"GO:0051222","positive regulation of protein transport","7/83","321/28943",3.90226662981711e-05,0.00172054483223754,0.00113053705471496,"Ppia/Dynll1/Hsp90ab1/Camk2n1/Vsnl1/Prkn/Ywhae",7
"GO:0035303","regulation of dephosphorylation","5/83","136/28943",4.60379440596557e-05,0.00198474692168293,0.00130413918728054,"Calm1/Calm2/Ppia/Hsp90ab1/Ywhae",5
"GO:1904951","positive regulation of establishment of protein localization","7/83","337/28943",5.30416144548099e-05,0.00223697243570285,0.00146987174152803,"Ppia/Dynll1/Hsp90ab1/Camk2n1/Vsnl1/Prkn/Ywhae",7
"GO:0051651","maintenance of location in cell","6/83","232/28943",5.60808509633735e-05,0.00231482661423286,0.00152102823105589,"Fth1/Calm1/Calm2/Tmsb4x/Hspa5/Fkbp1a",6
"GO:0001933","negative regulation of protein phosphorylation","7/83","346/28943",6.25874973695596e-05,0.00252957801868637,0.00166213726566966,"Ppia/Camk2n1/Actb/Uchl1/Prkn/Pcp4/Dnaja1",7
"GO:0051926","negative regulation of calcium ion transport","4/83","76/28943",6.89274384244961e-05,0.00272896388864332,0.00179314990187035,"Calm1/Calm2/Ppp3r1/Ywhae",4
"GO:0031333","negative regulation of protein-containing complex assembly","5/83","151/28943",7.56785699738574e-05,0.00293632851498567,0.00192940522607034,"Stmn1/Tmsb4x/Stmn2/Lmo4/Thra",5
"GO:0009205","purine ribonucleoside triphosphate metabolic process","6/83","251/28943",8.65638945056864e-05,0.00329282265374572,0.00216365069651984,"Gapdh/Aldoa/Hspa8/Nme1/Atp1b1/Prkn",6
"GO:0006470","protein dephosphorylation","6/83","252/28943",8.84739838920359e-05,0.0033007601682798,0.00216886628528857,"Calm1/Calm2/Ppia/Hsp90ab1/Ppp3r1/Ywhae",6
"GO:0009144","purine nucleoside triphosphate metabolic process","6/83","257/28943",9.85345538285885e-05,0.00353994508199003,0.00232603011084641,"Gapdh/Aldoa/Hspa8/Nme1/Atp1b1/Prkn",6
"GO:0009199","ribonucleoside triphosphate metabolic process","6/83","257/28943",9.85345538285885e-05,0.00353994508199003,0.00232603011084641,"Gapdh/Aldoa/Hspa8/Nme1/Atp1b1/Prkn",6
"GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","4/83","84/28943",0.000101873214361935,0.0035933461065846,0.00236111890128809,"Ddx5/Ubb/Fhit/Prkn",4
"GO:0051085","chaperone cofactor-dependent protein refolding","3/83","32/28943",0.000106212372706157,0.00363058164590296,0.00238558566098127,"Hspa8/Hspa5/Hspe1",3
"GO:0032413","negative regulation of ion transmembrane transporter activity","4/83","85/28943",0.000106671728771376,0.00363058164590296,0.00238558566098127,"Calm1/Calm2/Ppp3r1/Ywhae",4
"GO:0050714","positive regulation of protein secretion","5/83","165/28943",0.000114921626084785,0.0038391566759044,0.00252263631824212,"Ppia/Dynll1/Camk2n1/Vsnl1/Prkn",5
"GO:0061178","regulation of insulin secretion involved in cellular response to glucose stimulus","4/83","87/28943",0.000116757857669258,0.0038391566759044,0.00252263631824212,"Dynll1/Camk2n1/Vsnl1/Prkn",4
"GO:0007626","locomotory behavior","6/83","266/28943",0.00011892466437148,0.00384523081467786,0.00252662751848882,"Snap25/Egr1/Uchl1/Nav2/Prkn/Bc1",6
"GO:0046887","positive regulation of hormone secretion","5/83","169/28943",0.000128578224009267,0.00405639308497069,0.00266537820179029,"Dynll1/Snap25/Camk2n1/Vsnl1/Prkn",5
"GO:1902903","regulation of supramolecular fiber organization","7/83","389/28943",0.000129637304777414,0.00405639308497069,0.00266537820179029,"Nav3/Stmn1/Tmsb4x/Hspa8/Stmn2/Tgfbr1/Prkn",7
"GO:0051258","protein polymerization","6/83","274/28943",0.000139740052044001,0.00426155806232169,0.00280018817876916,"Nav3/Stmn1/Tmsb4x/Stmn2/Hsp90aa1/Prkn",6
"GO:0009141","nucleoside triphosphate metabolic process","6/83","275/28943",0.000142532938288471,0.00426155806232169,0.00280018817876916,"Gapdh/Aldoa/Hspa8/Nme1/Atp1b1/Prkn",6
"GO:0031110","regulation of microtubule polymerization or depolymerization","4/83","92/28943",0.00014498084129548,0.00426155806232169,0.00280018817876916,"Nav3/Stmn1/Stmn3/Stmn2",4
"GO:0032024","positive regulation of insulin secretion","4/83","92/28943",0.00014498084129548,0.00426155806232169,0.00280018817876916,"Dynll1/Camk2n1/Vsnl1/Prkn",4
"GO:0010922","positive regulation of phosphatase activity","3/83","36/28943",0.000151634712594601,0.00439061705124665,0.00288499036845344,"Calm1/Calm2/Hsp90ab1",3
"GO:0032410","negative regulation of transporter activity","4/83","94/28943",0.000157543619793409,0.00448716201662791,0.00294842821602626,"Calm1/Calm2/Ppp3r1/Ywhae",4
"GO:0051494","negative regulation of cytoskeleton organization","5/83","177/28943",0.000159594937704807,0.00448716201662791,0.00294842821602626,"Nav3/Stmn1/Tmsb4x/Stmn2/Prkn",5
"GO:0051084","'de novo' post-translational protein folding","3/83","37/28943",0.000164673396000176,0.00456380554629058,0.00299878921137162,"Hspa8/Hspa5/Hspe1",3
"GO:0035773","insulin secretion involved in cellular response to glucose stimulus","4/83","97/28943",0.00017783759716753,0.00480740081276646,0.00315885099525783,"Dynll1/Camk2n1/Vsnl1/Prkn",4
"GO:0006458","'de novo' protein folding","3/83","38/28943",0.000178418999236693,0.00480740081276646,0.00315885099525783,"Hspa8/Hspa5/Hspe1",3
"GO:0032412","regulation of ion transmembrane transporter activity","6/83","293/28943",0.000200841774736133,0.00533743894504244,0.00350712889986239,"Calm1/Calm2/Atp1b1/Fkbp1a/Ppp3r1/Ywhae",6
"GO:0051924","regulation of calcium ion transport","6/83","296/28943",0.000212163197564082,0.00556211626046376,0.00365476006045665,"Calm1/Calm2/Atp1b1/Fkbp1a/Ppp3r1/Ywhae",6
"GO:0008380","RNA splicing","7/83","427/28943",0.00022928013509124,0.00593071282769341,0.00389695780484901,"Malat1/Hspa8/Luc7l2/Ddx5/Snrpn/Snu13/Psip1",7
