"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035304","regulation of protein dephosphorylation","6/28","96/28943",4.03591589491863e-10,4.42739973672574e-07,2.50226785484955e-07,"Calm2/Hsp90ab1/Calm1/Ppia/Ywhab/Hsp90b1",6
"GO:0035303","regulation of dephosphorylation","6/28","136/28943",3.33301182701338e-09,1.82815698711684e-06,1.03323366637415e-06,"Calm2/Hsp90ab1/Calm1/Ppia/Ywhab/Hsp90b1",6
"GO:0006457","protein folding","6/28","169/28943",1.22785151548831e-08,4.48984370830224e-06,2.53755979867583e-06,"Hsp90ab1/Hspa5/Hspa8/Ppia/Hsp90b1/Hspe1",6
"GO:0006470","protein dephosphorylation","6/28","252/28943",1.31699211157816e-07,3.16008338777218e-05,1.7860088426789e-05,"Calm2/Hsp90ab1/Calm1/Ppia/Ywhab/Hsp90b1",6
"GO:0035307","positive regulation of protein dephosphorylation","4/28","49/28943",1.44032971183782e-07,3.16008338777218e-05,1.7860088426789e-05,"Calm2/Hsp90ab1/Calm1/Ppia",4
"GO:0043666","regulation of phosphoprotein phosphatase activity","4/28","58/28943",2.86700362882829e-07,5.24183830137439e-05,2.9625704164559e-05,"Calm2/Hsp90ab1/Calm1/Hsp90b1",4
"GO:0035306","positive regulation of dephosphorylation","4/28","65/28943",4.5538895680784e-07,7.13659550883144e-05,4.0334450460123e-05,"Calm2/Hsp90ab1/Calm1/Ppia",4
"GO:0051235","maintenance of location","6/28","341/28943",7.74861164110893e-07,0.000106252837128706,6.00517402185942e-05,"Calm2/Hspa5/Fth1/Calm1/Tmsb4x/Ywhab",6
"GO:0016311","dephosphorylation","6/28","351/28943",9.16734764310607e-07,0.000111739781827637,6.31528393191751e-05,"Calm2/Hsp90ab1/Calm1/Ppia/Ywhab/Hsp90b1",6
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/28","22/28943",1.23334087141977e-06,0.000135297493594748,7.64671340280256e-05,"Calm2/Hsp90ab1/Calm1",3
"GO:0010921","regulation of phosphatase activity","4/28","86/28943",1.40856977347729e-06,0.000140472821954962,7.93921145050836e-05,"Calm2/Hsp90ab1/Calm1/Hsp90b1",4
"GO:0051651","maintenance of location in cell","5/28","232/28943",2.67979109456873e-06,0.000244977569228491,0.000138455873219384,"Calm2/Hspa5/Fth1/Calm1/Tmsb4x",5
"GO:0051085","chaperone cofactor-dependent protein refolding","3/28","32/28943",3.946666656187e-06,0.000314396630484582,0.000177689982589281,"Hspa5/Hspa8/Hspe1",3
"GO:1903320","regulation of protein modification by small protein conjugation or removal","5/28","252/28943",4.0123544455644e-06,0.000314396630484582,0.000177689982589281,"Hsp90ab1/Hspa5/Ppia/Egr1/Ubb",5
"GO:0010922","positive regulation of phosphatase activity","3/28","36/28943",5.66658820995053e-06,0.000414416484421049,0.000234218979344622,"Calm2/Hsp90ab1/Calm1",3
"GO:0051084","'de novo' post-translational protein folding","3/28","37/28943",6.16258808432097e-06,0.000422522445531257,0.000238800288267438,"Hspa5/Hspa8/Hspe1",3
"GO:0006458","'de novo' protein folding","3/28","38/28943",6.68647731913398e-06,0.000431474448181763,0.000243859761050769,"Hspa5/Hspa8/Hspe1",3
